SOD,sat,reset_type,VTEC,mapping_factor,I_L1_init_m,sigma_old_m,sigma_new_m,floor_active,fallback_used,gf_I_before_reset
0.0,E04,fresh_entry,6.891,1.8921,2.1172,22.0,3.000,1,0,
0.0,E09,fresh_entry,7.505,1.4002,1.7063,22.0,3.000,1,0,
0.0,E16,fresh_entry,8.107,1.1108,1.4622,22.0,3.000,1,0,
0.0,G01,fresh_entry,6.910,1.8446,2.0698,22.0,3.000,1,0,
0.0,G03,fresh_entry,8.079,1.1216,1.4712,22.0,3.000,1,0,
0.0,G04,fresh_entry,6.918,1.8389,2.0656,22.0,3.000,1,0,
0.0,G08,fresh_entry,6.922,2.2749,2.5568,22.0,3.000,1,0,
0.0,G16,fresh_entry,8.290,1.0514,1.4153,22.0,3.000,1,0,
0.0,G26,fresh_entry,7.461,1.4244,1.7257,22.0,3.000,1,0,
0.0,G27,fresh_entry,6.861,1.9978,2.2258,22.0,3.000,1,0,
0.0,G31,fresh_entry,6.891,1.8945,2.1197,22.0,3.000,1,0,
30.0,E05,fresh_entry,6.840,2.1099,2.3433,22.0,3.000,1,0,
480.0,G02,fresh_entry,7.144,2.3076,2.6767,22.0,3.000,1,0,
990.0,G08,fresh_entry,7.251,2.0862,2.4561,22.0,3.000,1,0,
1080.0,G02,fresh_entry,7.467,2.3920,2.9001,22.0,3.000,1,0,
1080.0,G07,fresh_entry,7.580,2.4630,3.0315,22.0,3.000,1,0,
1290.0,G07,fresh_entry,7.600,2.4401,3.0111,22.0,3.000,1,0,
1470.0,E25,fresh_entry,7.709,1.7873,2.2373,22.0,3.000,1,0,
1800.0,G09,fresh_entry,7.810,2.4691,3.1313,22.0,3.000,1,0,
2160.0,G02,fresh_entry,8.077,2.5174,3.3016,22.0,3.000,1,0,
2250.0,G08,fresh_entry,7.987,1.8436,2.3909,22.0,3.000,1,0,
2370.0,G31,fresh_entry,7.823,2.3227,2.9504,22.0,3.000,1,0,
3030.0,E04,fresh_entry,8.186,2.0118,2.6741,22.0,3.000,1,0,
3150.0,E04,fresh_entry,8.231,2.0193,2.6986,22.0,3.000,1,0,
3270.0,G31,fresh_entry,8.222,2.4643,3.2900,22.0,3.000,1,0,
3330.0,G01,fresh_entry,8.146,2.2996,3.0418,22.0,3.000,1,0,
4230.0,E18,fresh_entry,9.736,2.4572,3.8843,22.0,3.000,1,0,
7650.0,G16,fresh_entry,18.556,2.0828,6.2754,22.0,3.000,1,0,
7830.0,G16,fresh_entry,18.898,2.1361,6.5545,22.0,3.000,1,0,
7920.0,G16,fresh_entry,19.061,2.1629,6.6942,22.0,3.000,1,0,
8100.0,G14,fresh_entry,18.856,2.4729,7.5710,22.0,3.000,1,0,
8100.0,G16,fresh_entry,19.413,2.2170,6.9881,22.0,3.000,1,0,
8190.0,G16,fresh_entry,19.611,2.2440,7.1458,22.0,3.000,1,0,
8250.0,E02,fresh_entry,19.258,2.4589,7.6889,22.0,3.000,1,0,
8490.0,G16,fresh_entry,20.237,2.3338,7.6688,22.0,3.000,1,0,
8910.0,E02,fresh_entry,21.401,2.3297,8.0955,22.0,3.000,1,0,
8970.0,E03,fresh_entry,21.264,2.4269,8.3795,22.0,3.000,1,0,
10140.0,G30,fresh_entry,24.024,2.5488,9.9425,22.0,3.480,0,0,
10380.0,G03,fresh_entry,26.852,2.0044,8.7393,22.0,3.059,0,0,
10530.0,G03,fresh_entry,27.126,2.0408,8.9889,22.0,3.146,0,0,
10740.0,G03,fresh_entry,27.492,2.0922,9.3394,22.0,3.269,0,0,
10920.0,G03,fresh_entry,27.796,2.1365,9.6425,22.0,3.375,0,0,
11010.0,G22,fresh_entry,26.464,2.4772,10.6445,22.0,3.726,0,0,
11040.0,G27,fresh_entry,29.181,1.9302,9.1457,22.0,3.201,0,0,
11190.0,G03,fresh_entry,28.231,2.2029,10.0977,22.0,3.534,0,0,
11340.0,G27,fresh_entry,29.772,1.9985,9.6613,22.0,3.381,0,0,
11430.0,G27,fresh_entry,29.936,2.0200,9.8188,22.0,3.437,0,0,
11490.0,G22,fresh_entry,28.221,2.3795,10.9037,22.0,3.816,0,0,
11850.0,G27,fresh_entry,30.603,2.1258,10.5635,22.0,3.697,0,0,
12060.0,G27,fresh_entry,30.871,2.1818,10.9365,22.0,3.828,0,0,
12690.0,G27,fresh_entry,31.592,2.3582,12.0967,22.0,4.234,0,0,
12750.0,G30,fresh_entry,32.947,2.1721,11.6202,22.0,4.067,0,0,
12810.0,G02,fresh_entry,33.138,2.1700,11.6757,22.0,4.087,0,0,
12810.0,G27,fresh_entry,31.673,2.3923,12.3033,22.0,4.306,0,0,
13110.0,G02,fresh_entry,34.227,2.1405,11.8959,22.0,4.164,0,0,
13560.0,G17,fresh_entry,35.640,2.1289,12.3200,22.0,4.312,0,0,
13740.0,G01,fresh_entry,35.367,2.2362,12.8415,22.0,4.495,0,0,
14100.0,G02,fresh_entry,37.805,2.0555,12.6177,22.0,4.416,0,0,
14400.0,G08,fresh_entry,41.853,1.6005,10.8766,22.0,3.807,0,0,
14490.0,G08,fresh_entry,42.128,1.6178,11.0667,22.0,3.873,0,0,
14580.0,G08,fresh_entry,42.401,1.6356,11.2609,22.0,3.941,0,0,
14640.0,G01,fresh_entry,39.230,2.1186,13.4949,22.0,4.723,0,0,
14730.0,G08,fresh_entry,42.851,1.6663,11.5935,22.0,4.058,0,0,
14820.0,G08,fresh_entry,43.117,1.6853,11.7986,22.0,4.130,0,0,
14910.0,G08,fresh_entry,43.382,1.7047,12.0079,22.0,4.203,0,0,
15030.0,G02,fresh_entry,41.860,1.9979,13.5797,22.0,4.753,0,0,
15030.0,G08,fresh_entry,43.731,1.7313,12.2934,22.0,4.303,0,0,
15120.0,G01,fresh_entry,41.787,2.0561,13.9508,22.0,4.883,0,0,
15270.0,G08,fresh_entry,44.415,1.7869,12.8870,22.0,4.510,0,0,
15360.0,G08,fresh_entry,44.666,1.8086,13.1173,22.0,4.591,0,0,
15450.0,G01,fresh_entry,43.537,2.0142,14.2387,22.0,4.984,0,0,
15450.0,G08,fresh_entry,44.915,1.8308,13.3519,22.0,4.673,0,0,
15690.0,G08,fresh_entry,45.520,1.8920,13.9843,22.0,4.894,0,0,
15840.0,G08,fresh_entry,45.864,1.9319,14.3866,22.0,5.035,0,0,
15930.0,G08,fresh_entry,46.062,1.9563,14.6314,22.0,5.121,0,0,
16080.0,G08,fresh_entry,46.375,1.9979,15.0442,22.0,5.265,0,0,
16170.0,G08,fresh_entry,46.553,2.0234,15.2945,22.0,5.353,0,0,
