epoch,sod,sat,const,elevation_deg,birth_mm,birth_cycles,birth_sigma_mm,observed_lif_mm,predicted_noamb_mm,rho_geom_mm,sat_clk_mm,rec_clk_mm,isb_mm,tropo_hydro_mm,tropo_wet_mm,relativity_mm,shapiro_mm,solid_earth_mm,apc_sat_mm,apc_rec_mm,pcv_sat_mm,pcv_rec_mm,osb_if_phase_mm,windup_mm,windup_cycles,is_startup,is_first2h,birth_innovation_mm,birth_NIS,birth_predicted_sigma_mm
0,0.0,E04,E,24.649,13887.5942,96.278160,20000.0000,26394653576.1910,26394639688.5968,26375542642.8153,19088533.7031,-877.4603,4222.4503,4983.3109,288.2707,96.6588,16.5890,-0.0010,-1013.1449,-18.7569,-13.8615,-10.5609,-46.8614,6.9864,0.048434,1,1,0.0000,0.00000000e+00,20107.7283
0,0.0,E09,E,41.462,2467.0646,17.103354,20000.0000,25059202981.1975,25059200514.1329,24998255778.6357,60937853.5185,-877.4603,4222.4503,3152.6120,181.9331,-217.0385,15.2046,-0.0014,-994.4306,-32.5755,-15.0313,-14.7666,-20.9682,46.8385,0.324716,1,1,0.0000,0.00000000e+00,20068.4758
0,0.0,E16,E,62.216,5847.4023,40.538133,20000.0000,23817203588.3494,23817197740.9470,23813723994.7967,3467973.1561,-877.4603,4222.4503,2362.4808,136.2394,62.6705,14.1190,-0.0018,-1023.1919,-43.1406,-12.5451,-9.6173,41.6710,-52.5687,-0.364442,1,1,0.0000,0.00000000e+00,20054.1930
0,0.0,G01,G,25.887,-4821.7997,-33.985939,20000.0000,23080311340.2562,23080316162.0559,23180857619.6586,-100545269.3434,-877.4603,0.0000,4763.3024,275.4491,399.4372,15.4907,-0.0008,-1911.8935,-22.5080,42.4000,-8.0031,11.6611,-60.4672,-0.426197,1,1,0.0000,0.00000000e+00,20146.6518
0,0.0,G03,G,61.000,-5079.6713,-35.803519,20000.0000,20593468764.4900,20593473844.1612,20766479605.0951,-173011723.8134,-877.4603,0.0000,2389.6528,137.8092,-4286.3704,13.1876,-0.0017,-1508.7174,-40.7680,23.5000,-10.1784,-16.8706,66.6058,0.469464,1,1,0.0000,0.00000000e+00,20044.0277
0,0.0,G04,G,26.039,4837.7514,34.098373,20000.0000,23164156063.4416,23164151225.6902,23176946294.5978,-12796842.1903,-877.4603,0.0000,4737.7340,273.9599,2410.7539,15.4878,-0.0008,-1896.8220,-20.5847,42.4000,-8.0838,43.5636,57.3140,0.403972,1,1,0.0000,0.00000000e+00,20095.7470
0,0.0,G08,G,15.919,-4483.9967,-31.604970,20000.0000,23959729872.8057,23959734356.8024,24108144617.1868,-148409492.0612,-877.4603,0.0000,7507.9711,436.4948,7875.8463,16.5296,-0.0005,-1351.9323,-13.1520,23.5000,0.4884,-13.0006,-44.8895,-0.316399,1,1,0.0000,0.00000000e+00,20182.7204
0,0.0,G16,G,70.688,2459.5395,17.335801,20000.0000,20072628313.8660,20072625854.3265,20133486950.5729,-60856464.9752,-877.4603,0.0000,2215.1625,127.7298,6110.3760,12.7842,-0.0020,-1383.5328,-42.1862,6.4000,-5.5095,-45.5341,-62.7145,-0.442036,1,1,0.0000,0.00000000e+00,20042.7553
0,0.0,G26,G,40.319,-32.3085,-0.227723,20000.0000,21795457979.6061,21795458011.9146,21698565937.3994,96887997.5529,-877.4603,0.0000,3225.6581,186.1625,-1518.0055,14.2076,-0.0014,-1367.6310,-27.6303,23.5000,-13.1096,23.9574,35.4724,0.250024,1,1,0.0000,0.00000000e+00,20044.8000
0,0.0,G27,G,22.050,2878.8416,20.291206,20000.0000,23497203757.1318,23497200878.2903,23486581617.7867,10624049.3344,-877.4603,0.0000,5526.8514,320.0052,9792.3153,15.8535,-0.0008,-1337.2452,-16.2431,23.5000,-5.2645,8.9645,-34.2070,-0.241104,1,1,0.0000,0.00000000e+00,20146.1574
