SOD,sat,arc_age,slip_detected,dGF_m,dMW_cyc,WL_before,WL_after,WL_jump,NL_fixed_before,NL_fixed_after,N1_before,N1_after,N2_before,N2_after,iono_before,iono_after,phase_rms_L1_mm,phase_rms_L2_mm,fallback_used,primary_signal_pair,osb_signal_pair,missing_prev_epoch,epochs_since_last_obs,mw_buffer_std,gf_consistency_triggered,iono_health_gate_triggered,reset_path,event_type
0.0,E04,1,0,,,,,,0,0,,128.5543,,122.5090,,1.4938,1611.5670,1611.5551,0,C1C/L1C,C1C/L1C,0,,,0,0,NONE,L2_RMS_SPIKE
0.0,E09,1,0,,,,,,0,0,,93.2116,,110.4651,,1.2205,1552.0921,1552.0871,0,C1C/L1C,C1C/L1C,0,,,0,0,NONE,L2_RMS_SPIKE
0.0,G16,1,0,,,,,,0,0,,30.0484,,28.5647,,-0.5555,1496.8861,1497.0860,0,C1C/L1C,C1C/L1C,0,,,0,0,NONE,L2_RMS_SPIKE
0.0,G26,1,0,,,,,,0,0,,56.1500,,60.6431,,-0.9223,1741.7288,1742.0055,0,C1C/L1C,C1C/L1C,0,,,0,0,NONE,L2_RMS_SPIKE
0.0,G31,1,0,,,,,,0,0,,57.2741,,41.4894,,-0.6385,1565.5636,1565.8111,0,C1C/L1C,C1C/L1C,0,,,0,0,NONE,L2_RMS_SPIKE
990.0,G08,11,0,,,,,,0,0,16.2107,16.2107,20.8643,20.8643,-0.9053,-0.9053,,,1,C1C/L1C,C1C/L1C,1,690.0000,0.7617,0,0,FRESH_ENTRY,REENTRY
1080.0,G02,6,0,,,,,,0,0,-18.3209,-18.3209,-49.1292,-49.1292,-0.4088,-0.4088,,,1,C1C/L1C,C1C/L1C,1,450.0000,0.7806,0,0,FRESH_ENTRY,REENTRY
1290.0,G07,7,1,0.0047,1.6668,,,,0,0,-20.4655,-20.4655,-20.4133,-20.4133,-0.6080,-0.6080,,,1,C1C/L1C,C1C/L1C,0,30.0000,2.8151,0,0,MW_GF_SLIP,SLIP
1860.0,G02,27,0,,,,,,0,0,-9.7582,-9.7214,-14.7499,-14.7597,-0.7803,-0.3090,524.2967,2567.4182,0,C1C/L1C,C1C/L1C,0,,2.3931,0,0,NONE,L2_RMS_SPIKE
1890.0,G02,28,0,,,,,,0,0,-9.7214,-9.9418,-14.7597,-15.0775,-0.3090,-0.1277,798.2666,2134.4697,0,C1C/L1C,C1C/L1C,0,,3.4669,0,0,NONE,L2_RMS_SPIKE
1920.0,G02,29,0,,,,,,0,0,-9.9418,-10.2027,-15.0775,-15.4224,-0.1277,-0.0017,940.5352,1856.5279,0,C1C/L1C,C1C/L1C,0,,4.1353,0,0,NONE,L2_RMS_SPIKE
2160.0,G02,29,0,,,,,,0,0,-9.3983,-9.3983,-14.6198,-14.6198,0.0671,0.0671,,,1,C1C/L1C,C1C/L1C,1,240.0000,4.1353,0,0,FRESH_ENTRY,REENTRY
2250.0,G08,31,0,,,,,,0,0,11.1930,11.1930,16.4880,16.4880,-1.2779,-1.2779,,,1,C1C/L1C,C1C/L1C,1,360.0000,0.7314,0,0,FRESH_ENTRY,REENTRY
2370.0,G31,49,0,,,,,,0,0,46.9147,46.9147,31.0900,31.0900,-1.3628,-1.3628,,,1,C1C/L1C,C1C/L1C,1,930.0000,0.7167,0,0,FRESH_ENTRY,REENTRY
3030.0,E04,100,0,,,,,,0,0,130.6663,130.6663,125.5599,125.5599,3.1537,3.1537,,,0,C1C/L1C,C1C/L1C,1,60.0000,0.4370,0,0,FRESH_ENTRY,REENTRY
3150.0,E04,3,0,,,,,,0,0,128.8482,128.8482,123.3159,123.3159,2.9839,2.9839,,,0,C1C/L1C,C1C/L1C,1,60.0000,0.8930,0,0,FRESH_ENTRY,REENTRY
3270.0,G31,4,0,,,,,,0,0,-23.6190,-23.6190,-25.3770,-25.3770,-0.2671,-0.2671,,,1,C1C/L1C,C1C/L1C,1,810.0000,0.6753,0,0,FRESH_ENTRY,REENTRY
3330.0,G01,111,1,0.0155,1.7130,,,,0,0,-7.5673,-7.5673,-16.3955,-16.3955,-0.0180,-0.0180,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.4954,0,0,MW_GF_SLIP,SLIP
3690.0,G03,124,0,,,4,4,0,1,0,7.5751,7.5649,3.3303,3.3201,-1.4227,-1.4234,63.6868,85.4001,0,C1C/L1C,C1C/L1C,0,,0.1404,0,0,NONE,NL_RELEASE
3780.0,G16,127,0,,,1,1,0,1,0,18.4350,18.3610,17.2046,17.1313,-1.3962,-1.3458,16.1629,5.2517,0,C1C/L1C,C1C/L1C,0,,0.1426,0,0,NONE,NL_RELEASE
7650.0,G16,255,1,0.0558,-0.5514,1,,,0,0,17.9823,17.9823,16.9636,16.9636,3.0821,3.0821,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.2929,0,0,MW_GF_SLIP,SLIP
7830.0,G16,6,1,0.0530,-0.6019,,,,0,0,18.6300,18.6300,17.5184,17.5184,4.0268,4.0268,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.2377,0,0,MW_GF_SLIP,SLIP
