epoch,sod,sat,lineage_id,generation,parent_lineage_id,old_state,new_state,reason,sigma_mm,state_index,active,observable,in_filter,gap_length_epochs,convergence_score,rolling_sigma_mm,rolling_residual_rms_mm,acceptance_ratio,continuous_active_epochs,continuous_filter_epochs
0,0.0,E04,LIN-001409,0,,NEW,ACTIVE,genesis_birth,20000.00,6,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,E09,LIN-001410,0,,NEW,ACTIVE,genesis_birth,20000.00,7,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,E16,LIN-001411,0,,NEW,ACTIVE,genesis_birth,20000.00,8,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,G01,LIN-001412,0,,NEW,ACTIVE,genesis_birth,20000.00,9,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,G03,LIN-001413,0,,NEW,ACTIVE,genesis_birth,20000.00,10,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,G04,LIN-001414,0,,NEW,ACTIVE,genesis_birth,20000.00,11,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,G08,LIN-001415,0,,NEW,ACTIVE,genesis_birth,20000.00,12,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,G16,LIN-001416,0,,NEW,ACTIVE,genesis_birth,20000.00,13,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,G26,LIN-001417,0,,NEW,ACTIVE,genesis_birth,20000.00,14,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,G27,LIN-001418,0,,NEW,ACTIVE,genesis_birth,20000.00,15,1,1,0,0,0.0000,nan,nan,nan,0,0
0,0.0,G31,LIN-001419,0,,NEW,ACTIVE,genesis_birth,20000.00,16,1,1,0,0,0.0000,nan,nan,nan,0,0
1,30.0,E05,LIN-001420,0,,NEW,ACTIVE,genesis_birth,20000.00,17,1,1,0,0,0.0000,nan,nan,nan,0,0
-1,nan,G08,LIN-001415,0,,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.0000,0,0
-1,nan,G08,LIN-001415,0,,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.0000,0,0
2,60.0,G08,LIN-001421,1,LIN-001415,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.0000,0,0
2,60.0,G08,LIN-001421,1,LIN-001415,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.0000,0,0
-1,nan,G08,LIN-001421,1,LIN-001415,ACTIVE,SLIPPED,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.0000,0,0
-1,nan,G08,LIN-001421,1,LIN-001415,SLIPPED,RESET,cycle_slip,20000.00,12,0,1,0,0,0.0000,nan,nan,0.0000,0,0
3,90.0,G08,LIN-001422,2,LIN-001421,RESET,REBORN,post_reset_rebirth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.0000,0,0
3,90.0,G08,LIN-001422,2,LIN-001421,REBORN,ACTIVE,reborn_to_active,20000.00,12,1,1,0,0,0.0000,nan,nan,0.0000,0,0
11,330.0,G08,LIN-001422,2,LIN-001421,ACTIVE,DORMANT,deactivate,988.43,12,0,0,0,0,0.0000,10549.7328,40.4602,0.1250,0,0
16,480.0,G02,LIN-001423,0,,NEW,ACTIVE,genesis_birth,20000.00,18,1,1,0,0,0.0000,nan,nan,nan,0,0
22,660.0,G02,LIN-001423,0,,ACTIVE,DORMANT,deactivate,20000.00,18,0,0,0,0,0.0000,20000.0000,nan,0.0000,0,0
33,990.0,G08,LIN-001424,0,,NEW,ACTIVE,genesis_birth,20000.00,12,1,1,0,0,0.0000,nan,nan,0.1250,0,0
36,1080.0,G02,LIN-001423,0,,DORMANT,RESTORED,short_gap_14ep,20000.00,18,1,0,0,0,0.0000,20000.0000,nan,0.0000,0,0
36,1080.0,G02,LIN-001423,0,,RESTORED,ACTIVE,restored_to_active,20000.00,18,1,0,0,0,0.0000,20000.0000,nan,0.0000,0,0
36,1080.0,G07,LIN-001425,0,,NEW,ACTIVE,genesis_birth,20000.00,19,1,1,0,0,0.0000,nan,nan,nan,0,0
-1,nan,G31,LIN-001419,0,,ACTIVE,SLIPPED,cycle_slip,20000.00,16,0,1,0,0,0.0000,nan,nan,0.0000,0,0
-1,nan,G31,LIN-001419,0,,SLIPPED,RESET,cycle_slip,20000.00,16,0,1,0,0,0.0000,nan,nan,0.0000,0,0
39,1170.0,G31,LIN-001426,1,LIN-001419,RESET,REBORN,post_reset_rebirth,20000.00,16,1,1,0,0,0.0000,nan,nan,0.0000,0,0
39,1170.0,G31,LIN-001426,1,LIN-001419,REBORN,ACTIVE,reborn_to_active,20000.00,16,1,1,0,0,0.0000,nan,nan,0.0000,0,0
-1,nan,G31,LIN-001426,1,LIN-001419,ACTIVE,SLIPPED,cycle_slip,20000.00,16,0,1,0,0,0.0000,nan,nan,0.0000,0,0
-1,nan,G31,LIN-001426,1,LIN-001419,SLIPPED,RESET,cycle_slip,20000.00,16,0,1,0,0,0.0000,nan,nan,0.0000,0,0
41,1230.0,G31,LIN-001427,2,LIN-001426,RESET,REBORN,post_reset_rebirth,20000.00,16,1,1,0,0,0.0000,nan,nan,0.0000,0,0
