epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
107,3210.0,G01,ACTIVE,2220.0,0,0,0.746730,86.147,15.728,0,0
108,3240.0,G01,ACTIVE,2250.0,0,1,0.746730,-49.967,15.645,0,0
108,3240.0,G03,ACTIVE,2250.0,0,0,0.558338,-26.936,67.483,0,0
108,3240.0,G04,ACTIVE,2250.0,0,0,0.510049,-30.195,41.789,0,0
109,3270.0,G01,ACTIVE,2280.0,0,2,0.746730,-94.133,15.562,0,0
109,3270.0,G03,ACTIVE,2280.0,0,1,0.558338,-61.326,67.369,0,0
109,3270.0,G04,ACTIVE,2280.0,0,1,0.510050,-59.916,41.957,0,0
110,3300.0,G01,ACTIVE,2310.0,0,3,0.653954,93.002,15.480,0,0
110,3300.0,G03,ACTIVE,2310.0,0,2,0.494953,68.396,67.252,0,0
110,3300.0,G04,ACTIVE,2310.0,0,2,0.444169,98.795,42.125,0,0
111,3330.0,G03,ACTIVE,2340.0,1,0,0.494953,223.112,67.132,0,0
111,3330.0,G04,ACTIVE,2340.0,1,0,0.444169,241.778,42.294,0,0
112,3360.0,G03,ACTIVE,2370.0,2,0,0.494953,214.444,67.010,0,0
112,3360.0,G04,ACTIVE,2370.0,2,0,0.444169,229.230,42.463,0,0
113,3390.0,G03,DEGRADED,2400.0,3,0,0.857285,235.325,66.885,1,0
113,3390.0,G04,DEGRADED,2400.0,3,0,0.769325,252.800,42.632,1,0
114,3420.0,G03,DEGRADED,2430.0,0,1,0.510614,-120.384,66.758,1,0
114,3420.0,G04,DEGRADED,2430.0,0,1,0.382959,-68.532,42.802,1,0
115,3450.0,G03,DEGRADED,2460.0,0,2,0.471767,47.745,66.628,1,0
115,3450.0,G04,DEGRADED,2460.0,0,2,0.357529,-17.168,42.972,1,0
115,3450.0,G07,ACTIVE,300.0,0,0,0.686230,40.915,16.727,0,4
116,3480.0,G03,DEGRADED,2490.0,1,0,0.471767,-181.601,66.496,1,0
116,3480.0,G04,DEGRADED,2490.0,1,0,0.357529,-177.431,43.143,1,0
116,3480.0,G07,ACTIVE,330.0,1,0,0.686230,-192.026,16.779,0,4
117,3510.0,G03,DEGRADED,2520.0,2,0,0.471767,251.830,66.362,1,0
117,3510.0,G04,DEGRADED,2520.0,2,0,0.357529,258.184,43.314,1,0
117,3510.0,G07,ACTIVE,360.0,2,0,0.686231,217.950,16.830,0,4
118,3540.0,G03,DEGRADED,2550.0,0,1,0.471768,-44.046,66.225,1,0
118,3540.0,G04,DEGRADED,2550.0,0,1,0.357530,-34.450,43.485,1,0
118,3540.0,G07,ACTIVE,390.0,0,1,0.686231,-75.080,16.882,0,4
119,3570.0,G03,DEGRADED,2580.0,1,0,0.471768,-211.751,66.086,1,0
119,3570.0,G04,DEGRADED,2580.0,1,0,0.357530,-201.432,43.656,1,0
119,3570.0,G07,ACTIVE,420.0,1,0,0.686231,-249.250,16.933,0,4
120,3600.0,G03,DEGRADED,2610.0,0,1,0.471768,17.577,65.945,1,0
120,3600.0,G04,DEGRADED,2610.0,0,1,0.357530,34.521,43.828,1,0
120,3600.0,G07,ACTIVE,450.0,0,1,0.686231,-20.947,16.984,0,4
121,3630.0,G03,DEGRADED,2640.0,1,0,0.471768,-663.027,65.802,1,0
121,3630.0,G04,DEGRADED,2640.0,1,0,0.357530,-656.043,44.001,1,0
121,3630.0,G07,ACTIVE,480.0,1,0,0.686231,-699.570,17.035,0,4
122,3660.0,G03,DEGRADED,2670.0,2,0,0.471768,373.286,65.657,1,0
122,3660.0,G04,DEGRADED,2670.0,2,0,0.357530,385.694,44.173,1,0
122,3660.0,G07,ACTIVE,510.0,2,0,0.686231,348.677,17.085,0,4
123,3690.0,G03,DEGRADED,2700.0,0,1,0.471768,-34.329,65.510,1,0
123,3690.0,G04,DEGRADED,2700.0,0,1,0.357530,-26.349,44.346,1,0
123,3690.0,G07,ACTIVE,540.0,0,1,0.686231,-62.523,17.136,0,4
124,3720.0,G03,DEGRADED,2730.0,1,0,0.471768,-226.940,65.361,1,0
124,3720.0,G04,DEGRADED,2730.0,1,0,0.357530,-222.072,44.519,1,0
124,3720.0,G07,ACTIVE,570.0,1,0,0.686231,-248.960,17.186,0,4
125,3750.0,G03,DEGRADED,2760.0,0,1,0.471768,6.040,65.209,1,0
125,3750.0,G04,DEGRADED,2760.0,0,1,0.357530,12.121,44.693,1,0
125,3750.0,G07,ACTIVE,600.0,0,1,0.686231,-1.598,17.237,0,4
126,3780.0,G03,DEGRADED,2790.0,1,0,0.471768,165.141,65.056,1,0
126,3780.0,G04,DEGRADED,2790.0,1,0,0.357530,166.677,44.867,1,0
126,3780.0,G07,ACTIVE,630.0,0,2,0.686231,145.157,17.287,0,4
127,3810.0,G03,DEGRADED,2820.0,0,1,0.471768,89.756,64.901,1,0
127,3810.0,G04,DEGRADED,2820.0,0,1,0.357530,90.953,45.041,1,0
127,3810.0,G07,ACTIVE,660.0,0,3,0.686231,48.742,17.337,0,4
128,3840.0,G03,DEGRADED,2850.0,1,0,0.471768,201.100,64.745,1,0
128,3840.0,G04,DEGRADED,2850.0,1,0,0.357530,200.705,45.216,1,0
128,3840.0,G07,ACTIVE,690.0,0,4,0.686231,149.842,17.386,0,4
129,3870.0,G03,DEGRADED,2880.0,0,1,0.471768,-58.449,64.586,1,0
129,3870.0,G04,DEGRADED,2880.0,0,1,0.357530,-51.926,45.391,1,0
129,3870.0,G07,ACTIVE,720.0,0,5,0.686231,-111.630,17.436,0,4
130,3900.0,G03,DEGRADED,2910.0,1,0,0.471768,-203.960,64.426,1,0
130,3900.0,G04,DEGRADED,2910.0,1,0,0.357530,-205.403,45.566,1,0
130,3900.0,G07,ACTIVE,750.0,1,0,0.686231,-279.061,17.486,0,4
131,3930.0,G03,DEGRADED,2940.0,0,1,0.471768,-53.185,64.264,1,0
131,3930.0,G04,DEGRADED,2940.0,0,1,0.357530,-50.758,45.742,1,0
131,3930.0,G07,ACTIVE,780.0,0,1,0.686231,-121.522,17.535,0,4
132,3960.0,G03,DEGRADED,2970.0,1,0,0.471768,257.710,64.100,1,0
132,3960.0,G04,DEGRADED,2970.0,1,0,0.357530,259.959,45.918,1,0
132,3960.0,G07,ACTIVE,810.0,1,0,0.686231,175.106,17.584,0,4
133,3990.0,G03,DEGRADED,3000.0,0,1,0.471768,46.292,63.935,1,0
133,3990.0,G04,DEGRADED,3000.0,0,1,0.357530,50.040,46.094,1,0
133,3990.0,G07,ACTIVE,840.0,0,1,0.686231,-14.488,17.633,0,4
134,4020.0,G03,DEGRADED,3030.0,1,0,0.471768,273.325,63.768,1,0
134,4020.0,G04,DEGRADED,3030.0,1,0,0.357530,283.032,46.271,1,0
134,4020.0,G07,ACTIVE,870.0,1,0,0.686231,212.305,17.682,0,4
135,4050.0,G03,DEGRADED,3060.0,2,0,0.471768,166.204,63.600,1,0
135,4050.0,G04,DEGRADED,3060.0,2,0,0.357530,177.996,46.447,1,0
135,4050.0,G07,ACTIVE,900.0,0,1,0.686231,91.345,17.731,0,4
136,4080.0,G03,DEGRADED,3090.0,0,1,0.471768,108.263,63.430,1,0
136,4080.0,G04,DEGRADED,3090.0,0,1,0.357530,119.770,46.625,1,0
136,4080.0,G07,ACTIVE,930.0,0,2,0.686231,55.095,17.780,0,4
137,4110.0,G03,DEGRADED,3120.0,0,2,0.471768,124.477,63.259,1,0
137,4110.0,G04,DEGRADED,3120.0,0,2,0.357530,136.970,46.802,1,0
137,4110.0,G07,ACTIVE,960.0,0,3,0.686231,72.518,17.829,0,4
138,4140.0,G03,DEGRADED,3150.0,1,0,0.471768,-169.270,63.086,1,0
138,4140.0,G04,DEGRADED,3150.0,1,0,0.357530,-150.022,46.980,1,0
138,4140.0,G07,ACTIVE,990.0,1,0,0.686231,-231.332,17.877,0,4
