epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
190,5700.0,E09,ACTIVE,5640.0,0,0,0.146312,66.611,52.311,0,0
190,5700.0,E16,ACTIVE,4710.0,0,0,0.144842,77.397,74.704,0,0
190,5700.0,G04,ACTIVE,2370.0,0,0,0.144831,62.649,56.539,0,0
190,5700.0,E05,ACTIVE,5370.0,0,0,0.145475,55.977,39.777,0,0
190,5700.0,G07,ACTIVE,2550.0,0,0,0.151039,68.979,20.305,0,4
190,5700.0,G09,ACTIVE,2940.0,0,0,0.146090,63.776,34.053,0,2
191,5730.0,E09,ACTIVE,5670.0,1,0,0.146312,578.752,52.340,0,0
191,5730.0,E16,ACTIVE,4740.0,1,0,0.144842,594.567,74.501,0,0
191,5730.0,G04,ACTIVE,2400.0,1,0,0.144831,579.269,56.727,0,0
191,5730.0,E05,ACTIVE,5400.0,1,0,0.145475,570.204,39.921,0,0
191,5730.0,G07,ACTIVE,2580.0,1,0,0.151039,578.015,20.351,0,4
191,5730.0,G09,ACTIVE,2970.0,1,0,0.146090,592.535,34.254,0,2
192,5760.0,E09,ACTIVE,5700.0,2,0,0.146312,-179.608,52.369,0,0
192,5760.0,E16,ACTIVE,4770.0,2,0,0.144842,-166.627,74.298,0,0
192,5760.0,G04,ACTIVE,2430.0,2,0,0.144831,-181.701,56.914,0,0
192,5760.0,E05,ACTIVE,5430.0,2,0,0.145475,-189.529,40.065,0,0
192,5760.0,G07,ACTIVE,2610.0,2,0,0.151039,-175.879,20.397,0,4
192,5760.0,G09,ACTIVE,3000.0,2,0,0.146090,-185.288,34.456,0,2
193,5790.0,E09,DEGRADED,5730.0,3,0,0.253420,526.262,52.397,1,0
193,5790.0,E16,DEGRADED,4800.0,3,0,0.250873,538.057,74.094,1,0
193,5790.0,G04,DEGRADED,2460.0,3,0,0.250855,522.495,57.101,1,0
193,5790.0,E05,DEGRADED,5460.0,3,0,0.251971,515.269,40.209,1,0
193,5790.0,G07,DEGRADED,2640.0,3,0,0.261607,546.059,20.443,1,4
193,5790.0,G09,DEGRADED,3030.0,3,0,0.253036,516.049,34.658,1,2
194,5820.0,E09,DEGRADED,5760.0,0,1,0.253099,29.061,52.425,1,0
194,5820.0,E16,DEGRADED,4830.0,0,1,0.250552,44.826,73.890,1,0
194,5820.0,G04,DEGRADED,2490.0,0,1,0.250534,20.848,57.288,1,0
194,5820.0,E05,DEGRADED,5490.0,0,1,0.251652,20.568,40.354,1,0
194,5820.0,G07,DEGRADED,2670.0,0,1,0.261300,45.913,20.489,1,4
194,5820.0,G09,DEGRADED,3060.0,0,1,0.252719,24.420,34.860,1,2
195,5850.0,E09,DEGRADED,5790.0,0,2,0.144251,-3.396,52.451,1,0
195,5850.0,E16,DEGRADED,4860.0,0,2,0.142676,-1.611,73.687,1,0
195,5850.0,G04,DEGRADED,2520.0,0,2,0.142728,-2.588,57.475,1,0
195,5850.0,E05,DEGRADED,5520.0,0,2,0.143482,-1.914,40.499,1,0
195,5850.0,G07,DEGRADED,2700.0,0,2,0.150099,2.320,20.535,1,4
195,5850.0,G09,DEGRADED,3090.0,0,2,0.144267,-1.313,35.063,1,2
196,5880.0,E09,DEGRADED,5820.0,0,3,0.142070,0.963,52.477,1,0
196,5880.0,E16,DEGRADED,4890.0,0,3,0.140541,4.047,73.483,1,0
196,5880.0,G04,DEGRADED,2550.0,0,3,0.140551,1.546,57.662,1,0
196,5880.0,E05,DEGRADED,5550.0,0,3,0.141155,2.212,40.645,1,0
196,5880.0,G07,DEGRADED,2730.0,0,3,0.147005,3.964,20.582,1,4
196,5880.0,G09,DEGRADED,3120.0,0,3,0.141845,2.888,35.267,1,2
197,5910.0,E09,DEGRADED,5850.0,0,4,0.141562,-94.626,52.503,1,0
197,5910.0,E16,DEGRADED,4920.0,0,4,0.140033,-89.184,73.279,1,0
197,5910.0,G04,DEGRADED,2580.0,0,4,0.140043,-85.817,57.849,1,0
197,5910.0,E05,DEGRADED,5580.0,0,4,0.140650,-93.074,40.791,1,0
197,5910.0,G07,DEGRADED,2760.0,0,4,0.146521,-95.693,20.628,1,4
197,5910.0,G09,DEGRADED,3150.0,0,4,0.141343,-95.061,35.470,1,2
198,5940.0,E09,DEGRADED,5880.0,1,0,0.141072,-204.807,52.528,1,0
198,5940.0,E16,DEGRADED,4950.0,1,0,0.139543,-206.217,73.075,1,0
198,5940.0,G04,DEGRADED,2610.0,1,0,0.139553,-200.871,58.036,1,0
198,5940.0,E05,DEGRADED,5610.0,1,0,0.140164,-201.477,40.937,1,0
198,5940.0,G07,DEGRADED,2790.0,1,0,0.146053,-218.187,20.674,1,4
198,5940.0,G09,DEGRADED,3180.0,1,0,0.140859,-207.737,35.675,1,2
199,5970.0,E09,DEGRADED,5910.0,2,0,0.140599,-361.692,52.552,1,0
199,5970.0,E16,DEGRADED,4980.0,2,0,0.139071,-354.820,72.871,1,0
199,5970.0,G04,DEGRADED,2640.0,2,0,0.139079,-348.716,58.223,1,0
199,5970.0,E05,DEGRADED,5640.0,2,0,0.139694,-350.689,41.084,1,0
199,5970.0,G07,DEGRADED,2820.0,2,0,0.145603,-368.841,20.720,1,4
199,5970.0,G09,DEGRADED,3210.0,2,0,0.140392,-354.622,35.879,1,2
200,6000.0,E09,DEGRADED,5940.0,0,1,0.138629,-5.906,52.575,1,0
200,6000.0,E16,DEGRADED,5010.0,0,1,0.137163,-4.297,72.667,1,0
200,6000.0,G04,DEGRADED,2670.0,0,1,0.137159,1.222,58.410,1,0
200,6000.0,E05,DEGRADED,5670.0,0,1,0.137721,-0.955,41.231,1,0
200,6000.0,G07,DEGRADED,2850.0,0,1,0.143279,-9.584,20.767,1,4
200,6000.0,G09,DEGRADED,3240.0,0,1,0.138379,-4.989,36.084,1,2
201,6030.0,E09,DEGRADED,5970.0,1,0,0.138183,-297.424,52.598,1,0
201,6030.0,E16,DEGRADED,5040.0,1,0,0.136716,-299.986,72.463,1,0
201,6030.0,G04,DEGRADED,2700.0,1,0,0.136712,-293.666,58.597,1,0
201,6030.0,E05,DEGRADED,5700.0,1,0,0.137277,-301.808,41.379,1,0
201,6030.0,G07,DEGRADED,2880.0,1,0,0.142852,-310.713,20.813,1,4
201,6030.0,G09,DEGRADED,3270.0,1,0,0.137938,-302.037,36.290,1,2
202,6060.0,E09,DEGRADED,6000.0,0,1,0.137750,-65.067,52.619,1,0
202,6060.0,E16,DEGRADED,5070.0,0,1,0.136284,-68.258,72.259,1,0
202,6060.0,G04,DEGRADED,2730.0,0,1,0.136279,-57.248,58.783,1,0
202,6060.0,E05,DEGRADED,5730.0,0,1,0.136848,-70.230,41.526,1,0
202,6060.0,G07,DEGRADED,2910.0,0,1,0.142439,-78.745,20.860,1,4
202,6060.0,G09,DEGRADED,3300.0,0,1,0.137511,-66.224,36.496,1,2
203,6090.0,E09,DEGRADED,6030.0,0,2,0.137332,-60.037,52.641,1,0
203,6090.0,E16,DEGRADED,5100.0,0,2,0.135866,-57.740,72.055,1,0
203,6090.0,G04,DEGRADED,2760.0,0,2,0.135861,-47.851,58.970,1,0
203,6090.0,E05,DEGRADED,5760.0,0,2,0.136433,-59.318,41.675,1,0
203,6090.0,G07,DEGRADED,2940.0,0,2,0.142040,-60.310,20.906,1,4
203,6090.0,G09,DEGRADED,3330.0,0,2,0.137098,-58.938,36.702,1,2
204,6120.0,E09,DEGRADED,6060.0,1,0,0.136927,-180.691,52.661,1,0
204,6120.0,E16,DEGRADED,5130.0,1,0,0.135461,-187.488,71.850,1,0
204,6120.0,G04,DEGRADED,2790.0,1,0,0.135456,-169.308,59.156,1,0
204,6120.0,E05,DEGRADED,5790.0,1,0,0.136031,-184.737,41.823,1,0
204,6120.0,G07,DEGRADED,2970.0,1,0,0.141654,-175.042,20.953,1,4
204,6120.0,G09,DEGRADED,3360.0,1,0,0.136699,-179.611,36.909,1,2
205,6150.0,E09,DEGRADED,6090.0,2,0,0.136927,-583.965,52.681,1,0
205,6150.0,E16,DEGRADED,5160.0,2,0,0.135462,-584.290,71.646,1,0
205,6150.0,G04,DEGRADED,2820.0,2,0,0.135456,-569.345,59.342,1,0
205,6150.0,E05,DEGRADED,5820.0,2,0,0.136031,-576.080,41.972,1,0
205,6150.0,G07,DEGRADED,3000.0,2,0,0.141654,-566.885,20.999,1,4
205,6150.0,G09,DEGRADED,3390.0,2,0,0.136699,-583.983,37.117,1,2
206,6180.0,E09,DEGRADED,6120.0,3,0,0.136927,-520.024,52.700,1,0
206,6180.0,E16,DEGRADED,5190.0,3,0,0.135462,-523.204,71.442,1,0
206,6180.0,G04,DEGRADED,2850.0,3,0,0.135456,-500.357,59.529,1,0
206,6180.0,E05,DEGRADED,5850.0,3,0,0.136031,-511.595,42.122,1,0
206,6180.0,G07,DEGRADED,3030.0,3,0,0.141654,-482.134,21.046,1,4
206,6180.0,G09,DEGRADED,3420.0,3,0,0.136699,-508.092,37.325,1,2
207,6210.0,E09,DEGRADED,6150.0,4,0,0.136927,-635.268,52.718,1,0
207,6210.0,E16,DEGRADED,5220.0,4,0,0.135462,-639.964,71.238,1,0
207,6210.0,G04,DEGRADED,2880.0,4,0,0.135456,-618.326,59.714,1,0
207,6210.0,E05,DEGRADED,5880.0,4,0,0.136031,-627.193,42.271,1,0
207,6210.0,G07,DEGRADED,3060.0,4,0,0.141654,-601.805,21.093,1,4
207,6210.0,G09,DEGRADED,3450.0,4,0,0.136699,-626.890,37.533,1,2
208,6240.0,E09,DEGRADED,6180.0,5,0,0.136927,-869.258,52.735,1,0
208,6240.0,E16,DEGRADED,5250.0,5,0,0.135462,-875.703,71.034,1,0
208,6240.0,G04,DEGRADED,2910.0,5,0,0.135456,-852.229,59.900,1,0
208,6240.0,E05,DEGRADED,5910.0,5,0,0.136031,-865.142,42.422,1,0
208,6240.0,G07,DEGRADED,3090.0,5,0,0.141654,-844.990,21.139,1,4
208,6240.0,G09,DEGRADED,3480.0,5,0,0.136699,-858.686,37.742,1,2
209,6270.0,E09,DEGRADED,6210.0,6,0,0.136533,-237.957,52.752,1,0
209,6270.0,E16,DEGRADED,5280.0,6,0,0.135068,-240.796,70.830,1,0
209,6270.0,G04,DEGRADED,2940.0,6,0,0.135062,-218.159,60.086,1,0
209,6270.0,E05,DEGRADED,5940.0,6,0,0.135641,-228.713,42.572,1,0
