epoch,sod,sat,health,lifetime_s,bad_epochs,good_epochs,sigma_m,phase_residual_mm,elevation_deg,times_degraded,times_reborn
96,3150.0,E09,ACTIVE,2880.0,0,0,4.368563,-110.170,48.053,0,0
96,3150.0,E16,ACTIVE,2880.0,0,0,4.368538,-108.753,83.544,0,0
97,3180.0,E09,ACTIVE,2910.0,0,1,4.368563,-43.507,48.116,0,0
97,3180.0,E16,ACTIVE,2910.0,0,1,4.368538,-44.470,83.686,0,0
97,3180.0,E25,ACTIVE,1650.0,0,0,4.369150,-61.324,37.421,0,0
98,3210.0,E09,ACTIVE,2940.0,0,2,4.368563,35.085,48.179,0,0
98,3210.0,E16,ACTIVE,2940.0,0,2,4.368538,35.152,83.824,0,0
98,3210.0,E25,ACTIVE,1680.0,0,1,4.369150,20.912,37.596,0,0
99,3240.0,E09,ACTIVE,2970.0,0,3,4.368563,-96.178,48.241,0,0
99,3240.0,E16,ACTIVE,2970.0,0,3,4.368538,-94.228,83.957,0,0
99,3240.0,E25,ACTIVE,1710.0,0,2,4.369150,-114.571,37.771,0,0
100,3270.0,E09,ACTIVE,3000.0,0,4,4.368563,-133.605,48.304,0,0
100,3270.0,E16,ACTIVE,3000.0,0,4,4.368538,-128.425,84.084,0,0
100,3270.0,E25,ACTIVE,1740.0,0,3,4.369150,-149.957,37.946,0,0
101,3300.0,E09,ACTIVE,3030.0,0,5,4.368563,-7.690,48.366,0,0
101,3300.0,E16,ACTIVE,3030.0,0,5,4.368538,-4.143,84.206,0,0
101,3300.0,E25,ACTIVE,1770.0,0,4,4.369150,-29.806,38.121,0,0
102,3330.0,E09,ACTIVE,3060.0,0,6,4.368563,84.859,48.428,0,0
102,3330.0,E16,ACTIVE,3060.0,0,6,4.368538,88.029,84.321,0,0
102,3330.0,E25,ACTIVE,1800.0,0,5,4.369150,70.224,38.296,0,0
103,3360.0,E09,ACTIVE,3090.0,0,7,4.368563,77.220,48.490,0,0
103,3360.0,E16,ACTIVE,3090.0,0,7,4.368538,76.960,84.430,0,0
103,3360.0,E25,ACTIVE,1830.0,0,6,4.369150,62.693,38.471,0,0
104,3390.0,E09,ACTIVE,3120.0,0,8,4.368563,99.783,48.552,0,0
104,3390.0,E16,ACTIVE,3120.0,0,8,4.368539,101.532,84.532,0,0
104,3390.0,E25,ACTIVE,1860.0,0,7,4.369150,83.939,38.646,0,0
105,3420.0,E09,ACTIVE,3150.0,0,9,4.368563,-22.043,48.614,0,0
105,3420.0,E16,ACTIVE,3150.0,0,9,4.368539,-20.862,84.626,0,0
105,3420.0,E25,ACTIVE,1890.0,0,8,4.369150,-35.887,38.821,0,0
106,3450.0,E09,ACTIVE,3180.0,0,10,4.368563,58.967,48.675,0,0
106,3450.0,E16,ACTIVE,3180.0,0,10,4.368539,55.237,84.713,0,0
106,3450.0,E25,ACTIVE,1920.0,0,9,4.369150,42.798,38.996,0,0
107,3480.0,E09,ACTIVE,3210.0,0,11,4.368563,-123.375,48.736,0,0
107,3480.0,E16,ACTIVE,3210.0,0,11,4.368539,-127.331,84.792,0,0
107,3480.0,E25,ACTIVE,1950.0,0,10,4.369150,-136.555,39.170,0,0
108,3510.0,E09,ACTIVE,3240.0,1,0,4.368563,307.499,48.797,0,0
108,3510.0,E16,ACTIVE,3240.0,1,0,4.368539,308.358,84.862,0,0
108,3510.0,E25,ACTIVE,1980.0,1,0,4.369150,293.131,39.345,0,0
109,3540.0,E09,ACTIVE,3270.0,0,1,4.368563,11.482,48.858,0,0
109,3540.0,E16,ACTIVE,3270.0,0,1,4.368539,11.111,84.924,0,0
109,3540.0,E25,ACTIVE,2010.0,0,1,4.369150,3.829,39.519,0,0
110,3570.0,E09,ACTIVE,3300.0,1,0,4.368563,-160.794,48.919,0,0
110,3570.0,E16,ACTIVE,3300.0,1,0,4.368539,-154.294,84.976,0,0
110,3570.0,E25,ACTIVE,2040.0,1,0,4.369150,-168.508,39.694,0,0
111,3600.0,E09,ACTIVE,3330.0,0,1,4.368563,72.027,48.979,0,0
111,3600.0,E16,ACTIVE,3330.0,0,1,4.368539,78.245,85.019,0,0
111,3600.0,E25,ACTIVE,2070.0,0,1,4.369150,63.977,39.868,0,0
112,3630.0,E09,ACTIVE,3360.0,1,0,4.368563,-612.225,49.039,0,0
112,3630.0,E16,ACTIVE,3360.0,1,0,4.368539,-609.378,85.053,0,0
112,3630.0,E25,ACTIVE,2100.0,1,0,4.369150,-625.768,40.042,0,0
113,3660.0,E09,ACTIVE,3390.0,2,0,4.368563,428.568,49.099,0,0
113,3660.0,E16,ACTIVE,3390.0,2,0,4.368539,428.529,85.076,0,0
113,3660.0,E25,ACTIVE,2130.0,2,0,4.369150,405.536,40.216,0,0
114,3690.0,E09,ACTIVE,3420.0,0,1,4.368563,10.346,49.159,0,0
114,3690.0,E16,ACTIVE,3420.0,0,1,4.368539,14.806,85.090,0,0
114,3690.0,E25,ACTIVE,2160.0,0,1,4.369150,-7.126,40.390,0,0
115,3720.0,E09,ACTIVE,3450.0,1,0,4.368563,-185.690,49.218,0,0
115,3720.0,E16,ACTIVE,3450.0,1,0,4.368539,-179.535,85.094,0,0
115,3720.0,E25,ACTIVE,2190.0,1,0,4.369150,-201.196,40.564,0,0
116,3750.0,E09,ACTIVE,3480.0,0,1,4.368563,44.833,49.277,0,0
116,3750.0,E16,ACTIVE,3480.0,0,1,4.368539,51.046,85.087,0,0
116,3750.0,E25,ACTIVE,2220.0,0,1,4.369150,26.125,40.738,0,0
117,3780.0,E09,ACTIVE,3510.0,1,0,4.368563,200.814,49.336,0,0
117,3780.0,E16,ACTIVE,3510.0,1,0,4.368539,214.292,85.071,0,0
117,3780.0,E25,ACTIVE,2250.0,1,0,4.369150,186.738,40.912,0,0
118,3810.0,E09,ACTIVE,3540.0,0,1,4.368563,126.595,49.395,0,0
118,3810.0,E16,ACTIVE,3540.0,0,1,4.368539,133.761,85.044,0,0
118,3810.0,E25,ACTIVE,2280.0,0,1,4.369150,109.398,41.085,0,0
119,3840.0,E09,ACTIVE,3570.0,1,0,4.368564,232.459,49.453,0,0
119,3840.0,E16,ACTIVE,3570.0,1,0,4.368539,240.768,85.008,0,0
119,3840.0,E25,ACTIVE,2310.0,1,0,4.369150,212.232,41.259,0,0
120,3870.0,E09,ACTIVE,3600.0,0,1,4.368564,-21.907,49.512,0,0
120,3870.0,E16,ACTIVE,3600.0,0,1,4.368539,-15.976,84.962,0,0
120,3870.0,E25,ACTIVE,2340.0,0,1,4.369150,-46.315,41.432,0,0
121,3900.0,E09,ACTIVE,3630.0,1,0,4.368564,-170.473,49.569,0,0
121,3900.0,E16,ACTIVE,3630.0,1,0,4.368539,-166.548,84.908,0,0
121,3900.0,E25,ACTIVE,2370.0,1,0,4.369150,-194.638,41.605,0,0
122,3930.0,E09,ACTIVE,3660.0,0,1,4.368564,-24.639,49.627,0,0
122,3930.0,E16,ACTIVE,3660.0,0,1,4.368539,-14.550,84.844,0,0
122,3930.0,E25,ACTIVE,2400.0,0,1,4.369150,-50.333,41.779,0,0
123,3960.0,E09,ACTIVE,3690.0,1,0,4.368564,285.294,49.684,0,0
123,3960.0,E16,ACTIVE,3690.0,1,0,4.368539,295.308,84.771,0,0
123,3960.0,E25,ACTIVE,2430.0,1,0,4.369150,261.394,41.952,0,0
124,3990.0,E09,ACTIVE,3720.0,0,1,4.368564,80.338,49.741,0,0
124,3990.0,E16,ACTIVE,3720.0,0,1,4.368539,88.938,84.691,0,0
124,3990.0,E25,ACTIVE,2460.0,0,1,4.369150,50.109,42.124,0,0
125,4020.0,E09,ACTIVE,3750.0,1,0,4.368564,306.354,49.798,0,0
125,4020.0,E16,ACTIVE,3750.0,1,0,4.368539,311.334,84.602,0,0
125,4020.0,E25,ACTIVE,2490.0,1,0,4.369150,278.662,42.297,0,0
126,4050.0,E09,ACTIVE,3780.0,2,0,4.368564,194.874,49.855,0,0
126,4050.0,E16,ACTIVE,3780.0,2,0,4.368539,200.745,84.506,0,0
126,4050.0,E25,ACTIVE,2520.0,2,0,4.369150,164.787,42.470,0,0
127,4080.0,E09,ACTIVE,3810.0,0,1,4.368564,134.663,49.911,0,0
127,4080.0,E16,ACTIVE,3810.0,0,1,4.368539,141.105,84.403,0,0
127,4080.0,E25,ACTIVE,2550.0,0,1,4.369150,108.519,42.642,0,0
128,4110.0,E09,ACTIVE,3840.0,0,2,4.368564,146.524,49.967,0,0
128,4110.0,E16,ACTIVE,3840.0,1,0,4.368539,159.596,84.293,0,0
128,4110.0,E25,ACTIVE,2580.0,0,2,4.369150,123.021,42.814,0,0
129,4140.0,E09,ACTIVE,3870.0,0,3,4.368564,-141.468,50.022,0,0
129,4140.0,E16,ACTIVE,3870.0,0,1,4.368539,-133.197,84.177,0,0
129,4140.0,E25,ACTIVE,2610.0,1,0,4.369150,-171.982,42.986,0,0
130,4170.0,E09,ACTIVE,3900.0,0,4,4.368564,3.923,50.077,0,0
130,4170.0,E16,ACTIVE,3900.0,0,2,4.368539,13.757,84.055,0,0
130,4170.0,E25,ACTIVE,2640.0,0,1,4.369150,-22.132,43.158,0,0
131,4200.0,E09,ACTIVE,3930.0,0,5,4.368564,127.265,50.132,0,0
131,4200.0,E16,ACTIVE,3930.0,0,3,4.368539,138.021,83.927,0,0
131,4200.0,E25,ACTIVE,2670.0,0,2,4.369150,101.012,43.330,0,0
132,4230.0,E09,ACTIVE,3960.0,0,6,4.368564,-67.559,50.187,0,0
132,4230.0,E16,ACTIVE,3960.0,0,4,4.368539,-56.517,83.794,0,0
132,4230.0,E25,ACTIVE,2700.0,0,3,4.369150,-91.212,43.502,0,0
