epoch,sat_id,state_index,active,observable,lifecycle_state,lineage_id,generation,parent_lineage_id,sigma_mm,resets,accepts,rejects,born_epoch,lifetime_epochs,rejection_streak,acceptance_streak,continuous_active_epochs,continuous_filter_epochs,rolling_sigma_mm,convergence_score
0,E04,6,1,1,ACTIVE,LIN-001409,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,E09,7,1,1,ACTIVE,LIN-001410,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,E16,8,1,1,ACTIVE,LIN-001411,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,G01,9,1,1,ACTIVE,LIN-001412,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,G03,10,1,1,ACTIVE,LIN-001413,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,G04,11,1,1,ACTIVE,LIN-001414,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,G08,12,1,1,ACTIVE,LIN-001415,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,G16,13,1,1,ACTIVE,LIN-001416,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,G26,14,1,1,ACTIVE,LIN-001417,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,G27,15,1,1,ACTIVE,LIN-001418,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
0,G31,16,1,1,ACTIVE,LIN-001419,0,,20000.00,0,0,0,0,0,0,0,1,0,20000.00,0.0000
300,E02,24,1,1,ACTIVE,LIN-001463,0,,20000.00,0,0,2,275,25,2,0,4,0,20000.00,0.0000
300,E03,25,1,1,ACTIVE,LIN-001465,0,,20000.00,0,0,0,299,1,0,0,2,0,20000.00,0.0000
300,E04,6,0,0,DORMANT,LIN-001446,0,,19992.26,5,2,96,105,195,0,0,0,0,20000.00,0.0000
300,E05,17,1,1,ACTIVE,LIN-001420,0,,77.14,0,31,268,1,299,11,0,300,31,81.09,0.1614
300,E09,7,1,1,ACTIVE,LIN-001410,0,,20000.00,0,0,300,0,300,300,0,301,0,20000.00,0.0000
300,E16,8,1,1,ACTIVE,LIN-001411,0,,20000.00,0,0,300,0,300,300,0,301,0,20000.00,0.0000
300,E18,22,0,0,DORMANT,LIN-001449,0,,20000.00,0,0,0,141,159,0,0,0,0,20000.00,0.0000
300,E25,20,1,1,ACTIVE,LIN-001430,0,,79.44,0,26,225,49,251,11,0,252,26,84.75,0.1603
300,G01,9,0,0,DORMANT,LIN-001447,1,LIN-001412,80.07,1,23,88,111,189,0,1,0,0,10089.10,0.0000
300,G02,18,0,0,DORMANT,LIN-001423,0,,20000.00,0,0,2,16,284,2,0,0,0,20000.00,0.0000
300,G03,10,1,1,ACTIVE,LIN-001413,0,,72.62,0,17,283,0,300,14,0,301,17,76.05,0.1637
300,G04,11,1,1,ACTIVE,LIN-001414,0,,20000.00,0,0,300,0,300,300,0,301,0,20000.00,0.0000
300,G07,19,1,1,ACTIVE,LIN-001444,1,LIN-001425,75.57,1,20,196,102,198,11,0,199,20,80.90,0.1622
300,G08,12,1,1,ACTIVE,LIN-001435,0,,74.05,7,29,231,75,225,11,0,226,28,77.83,0.1630
300,G09,21,1,1,ACTIVE,LIN-001438,2,LIN-001437,72.13,2,18,199,89,211,11,0,212,18,75.21,0.1639
300,G14,23,1,1,ACTIVE,LIN-001458,0,,616.51,0,1,6,270,30,6,0,31,1,15623.09,0.0000
300,G16,13,0,0,DORMANT,LIN-001464,13,LIN-001462,19976.80,13,1,262,275,25,1,0,0,0,19993.74,0.0000
300,G26,14,0,0,DORMANT,LIN-001448,3,LIN-001442,19813.69,3,2,119,123,177,1,0,0,0,20000.00,0.0000
300,G27,15,1,1,ACTIVE,LIN-001418,0,,75.23,0,30,270,0,300,11,0,301,30,80.07,0.1624
300,G31,16,0,0,DORMANT,LIN-001436,5,LIN-001429,20000.00,4,0,44,79,221,4,0,0,0,20000.00,0.0000
600,E02,24,1,1,ACTIVE,LIN-001463,0,,57.11,0,35,267,275,325,20,0,304,35,57.84,0.1714
600,E03,25,1,1,ACTIVE,LIN-001465,0,,56.93,0,44,241,299,301,20,0,302,44,57.63,0.1715
600,E04,6,0,0,DORMANT,LIN-001446,0,,19991.07,5,2,96,105,495,0,0,0,0,20000.00,0.0000
600,E05,17,1,1,ACTIVE,LIN-001420,0,,56.80,0,72,527,1,599,20,0,600,72,57.47,0.1716
600,E09,7,0,0,DORMANT,LIN-001659,11,LIN-001652,19972.42,11,16,504,531,69,0,0,0,0,20000.00,0.0000
600,E16,8,0,0,DORMANT,LIN-001662,75,LIN-001660,19990.18,75,2,455,532,68,0,0,0,0,20000.00,0.0000
600,E18,22,0,0,DORMANT,LIN-001449,0,,20000.00,0,0,0,141,459,0,0,0,0,20000.00,0.0000
600,E25,20,1,1,ACTIVE,LIN-001430,0,,56.88,0,71,480,49,551,20,0,552,71,57.55,0.1716
600,G01,9,1,1,ACTIVE,LIN-001683,3,LIN-001628,224.88,8,34,172,551,49,1,0,50,8,1908.58,0.0876
600,G02,18,1,1,ACTIVE,LIN-001708,2,LIN-001643,121.51,6,12,125,582,18,8,0,19,3,1169.56,0.1392
600,G03,10,0,0,DORMANT,LIN-001497,20,LIN-001494,19960.50,20,27,335,381,219,1,0,0,0,20000.00,0.0000
600,G04,11,0,0,DORMANT,LIN-001712,9,LIN-001711,19999.99,9,4,577,590,10,0,0,0,0,20000.00,0.0000
600,G07,19,1,1,ACTIVE,LIN-001444,1,LIN-001425,54.35,1,67,449,102,498,20,0,499,67,55.00,0.1728
600,G08,12,0,0,DORMANT,LIN-001705,7,LIN-001703,19984.18,98,55,383,570,30,0,0,0,0,20000.00,0.0000
600,G09,21,1,1,ACTIVE,LIN-001438,2,LIN-001437,54.29,2,60,457,89,511,20,0,512,60,54.93,0.1729
600,G14,23,1,1,ACTIVE,LIN-001458,0,,54.64,0,40,267,270,330,20,0,331,40,55.33,0.1727
600,G16,13,0,0,DORMANT,LIN-001464,13,LIN-001462,19955.65,13,1,262,275,325,1,0,0,0,19993.74,0.0000
600,G17,28,1,1,ACTIVE,LIN-001523,0,,121.22,0,25,123,452,148,8,0,149,25,132.38,0.1394
600,G19,29,1,1,ACTIVE,LIN-001675,0,,121.36,0,8,49,543,57,8,0,58,8,132.68,0.1393
600,G22,27,1,1,ACTIVE,LIN-001485,0,,632.97,0,1,206,367,233,0,1,218,1,19612.66,0.0000
600,G26,14,0,0,DORMANT,LIN-001448,3,LIN-001442,19799.60,3,2,119,123,477,1,0,0,0,20000.00,0.0000
600,G27,15,0,0,DORMANT,LIN-001510,9,LIN-001509,19968.20,23,37,334,411,189,0,0,0,0,19994.16,0.0000
600,G30,26,1,1,ACTIVE,LIN-001511,1,LIN-001468,54.51,1,36,169,425,175,20,0,176,31,55.20,0.1727
600,G31,16,0,0,DORMANT,LIN-001436,5,LIN-001429,20000.00,4,0,44,79,521,4,0,0,0,20000.00,0.0000
900,E02,24,1,1,ACTIVE,LIN-001463,0,,52.54,0,49,553,275,625,10,0,604,49,52.83,0.1737
900,E03,25,1,1,ACTIVE,LIN-001465,0,,52.47,0,60,525,299,601,10,0,602,60,52.76,0.1738
900,E04,6,0,0,DORMANT,LIN-001446,0,,19991.04,5,2,96,105,795,0,0,0,0,20000.00,0.0000
900,E05,17,0,0,DORMANT,LIN-001787,5,LIN-001786,19982.22,5,84,699,782,118,7,0,0,0,19998.23,0.0000
900,E09,7,0,0,DORMANT,LIN-001659,11,LIN-001652,19964.17,11,16,504,531,369,0,0,0,0,20000.00,0.0000
900,E16,8,0,0,DORMANT,LIN-001662,75,LIN-001660,19983.57,75,2,455,532,368,0,0,0,0,20000.00,0.0000
900,E18,22,0,0,DORMANT,LIN-001449,0,,20000.00,0,0,0,141,759,0,0,0,0,20000.00,0.0000
900,E25,20,1,1,ACTIVE,LIN-001767,1,LIN-001430,64.47,1,111,739,689,211,3,0,212,32,65.73,0.1678
900,E34,32,1,1,ACTIVE,LIN-001782,1,LIN-001777,64.49,1,28,144,753,147,3,0,148,24,65.78,0.1678
