epoch,sod,sat,ki,alive_epochs,sigma_mm,accepted_phase_updates,rejected_phase_updates,phase_rows_present,phase_rows_missing,last_H_norm,participated_in_update,kalman_gain_norm,last_successful_update_epoch,epochs_since_last_accept,is_newborn,is_recently_reset
1,30.0,G01,5,1,6879.6157,1,0,1,0,2.873653,0,0.000000,1,0,0,0
1,30.0,G03,6,1,3871.3869,1,0,1,0,2.074122,0,0.000000,1,0,0,0
1,30.0,G04,7,1,7163.9849,1,0,1,0,2.849495,0,0.000000,1,0,0,0
1,30.0,G08,8,1,9562.0857,1,0,1,0,3.991034,0,0.000000,1,0,0,0
1,30.0,G16,9,1,3672.8365,1,0,1,0,2.030559,0,0.000000,1,0,0,0
1,30.0,G26,10,1,5206.8442,1,0,1,0,2.324888,0,0.000000,1,0,0,0
1,30.0,G27,11,1,7521.3618,1,0,1,0,3.159699,0,0.000000,1,0,0,0
2,60.0,G01,5,2,3635.1355,2,0,1,0,2.880176,0,0.000000,2,0,0,0
2,60.0,G03,6,2,2204.0743,2,0,1,0,2.072979,0,0.000000,2,0,0,0
2,60.0,G04,7,2,4104.5497,2,0,1,0,2.841687,0,0.000000,2,0,0,0
2,60.0,G08,8,2,4730.9551,2,0,1,0,3.968563,0,0.000000,2,0,0,0
2,60.0,G16,9,2,2130.6416,2,0,1,0,2.030704,0,0.000000,2,0,0,0
2,60.0,G26,10,2,3023.1010,2,0,1,0,2.329336,0,0.000000,2,0,0,0
2,60.0,G27,11,2,3717.8718,2,0,1,0,3.149877,0,0.000000,2,0,0,0
3,90.0,G01,5,3,2532.0840,3,0,1,0,2.886767,0,0.000000,3,0,0,0
3,90.0,G03,6,3,1660.1897,3,0,1,0,2.071855,0,0.000000,3,0,0,0
3,90.0,G04,7,3,3054.2376,3,0,1,0,2.833942,0,0.000000,3,0,0,0
3,90.0,G16,9,3,1622.2019,3,0,1,0,2.030862,0,0.000000,3,0,0,0
3,90.0,G26,10,3,2295.9545,3,0,1,0,2.333850,0,0.000000,3,0,0,0
3,90.0,G27,11,3,2386.5485,3,0,1,0,3.140146,0,0.000000,3,0,0,0
4,120.0,G01,5,4,2009.2920,4,0,1,0,2.893425,0,0.000000,4,0,0,0
4,120.0,G03,6,4,1537.1538,4,0,1,0,2.070751,0,0.000000,4,0,0,0
4,120.0,G04,7,4,2535.7625,4,0,1,0,2.826258,0,0.000000,4,0,0,0
4,120.0,G08,8,1,9396.4007,3,0,1,0,3.924392,0,0.000000,4,0,0,0
4,120.0,G16,9,4,1498.5606,4,0,1,0,2.031035,0,0.000000,4,0,0,0
4,120.0,G26,10,4,1934.4572,4,0,1,0,2.338432,0,0.000000,4,0,0,0
4,120.0,G27,11,4,1761.4902,4,0,1,0,3.130505,0,0.000000,4,0,0,0
5,150.0,G01,5,5,1708.4269,5,0,1,0,2.900151,0,0.000000,5,0,0,0
5,150.0,G03,6,5,1446.4768,5,0,1,0,2.069666,0,0.000000,5,0,0,0
5,150.0,G04,7,5,2221.6013,5,0,1,0,2.818635,0,0.000000,5,0,0,0
5,150.0,G08,8,2,4620.9010,4,0,1,0,3.902683,0,0.000000,5,0,0,0
5,150.0,G16,9,5,1407.6128,5,0,1,0,2.031221,0,0.000000,5,0,0,0
5,150.0,G26,10,5,1798.3824,5,0,1,0,2.343082,0,0.000000,5,0,0,0
5,150.0,G27,11,5,1413.1286,5,0,1,0,3.120951,0,0.000000,5,0,0,0
6,180.0,G01,5,6,1512.1886,6,0,1,0,2.906945,0,0.000000,6,0,0,0
6,180.0,G03,6,6,1374.5805,6,0,1,0,2.068600,0,0.000000,6,0,0,0
6,180.0,G04,7,6,2006.0376,6,0,1,0,2.811074,0,0.000000,6,0,0,0
6,180.0,G08,8,3,2812.2471,5,0,1,0,3.881221,0,0.000000,6,0,0,0
6,180.0,G16,9,6,1335.7583,6,0,1,0,2.031421,0,0.000000,6,0,0,0
6,180.0,G26,10,6,1693.1465,6,0,1,0,2.347801,0,0.000000,6,0,0,0
6,180.0,G27,11,6,1195.9268,6,0,1,0,3.111485,0,0.000000,6,0,0,0
7,210.0,G01,5,7,1372.7941,7,0,1,0,2.913809,0,0.000000,7,0,0,0
7,210.0,G03,6,7,1314.0456,7,0,1,0,2.067553,0,0.000000,7,0,0,0
7,210.0,G04,7,7,1893.7346,7,0,1,0,2.803573,0,0.000000,7,0,0,0
7,210.0,G08,8,4,1938.8764,6,0,1,0,3.860004,0,0.000000,7,0,0,0
7,210.0,G16,9,7,1275.5768,7,0,1,0,2.031635,0,0.000000,7,0,0,0
7,210.0,G26,10,7,1608.2701,7,0,1,0,2.352590,0,0.000000,7,0,0,0
7,210.0,G27,11,7,1049.2361,7,0,1,0,3.102106,0,0.000000,7,0,0,0
8,240.0,G01,5,8,1309.6766,8,0,1,0,2.920743,0,0.000000,8,0,0,0
8,240.0,G03,6,8,1260.5482,8,0,1,0,2.066526,0,0.000000,8,0,0,0
8,240.0,G04,7,8,1800.9048,8,0,1,0,2.796132,0,0.000000,8,0,0,0
8,240.0,G08,8,5,1445.2982,7,0,1,0,3.839031,0,0.000000,8,0,0,0
8,240.0,G16,9,8,1222.6936,8,0,1,0,2.031864,0,0.000000,8,0,0,0
8,240.0,G26,10,8,1537.4463,8,0,1,0,2.357452,0,0.000000,8,0,0,0
8,240.0,G27,11,8,1010.7297,8,0,1,0,3.092814,0,0.000000,8,0,0,0
9,270.0,G01,5,9,1256.7043,9,0,1,0,2.927747,0,0.000000,9,0,0,0
9,270.0,G03,6,9,1211.4557,9,0,1,0,2.065517,0,0.000000,9,0,0,0
9,270.0,G04,7,9,1722.3588,9,0,1,0,2.788750,0,0.000000,9,0,0,0
9,270.0,G08,8,6,1136.4669,8,0,1,0,3.818298,0,0.000000,9,0,0,0
9,270.0,G16,9,9,1174.4506,9,0,1,0,2.032106,0,0.000000,9,0,0,0
9,270.0,G26,10,9,1476.6275,9,0,1,0,2.362386,0,0.000000,9,0,0,0
9,270.0,G27,11,9,978.6325,9,0,1,0,3.083608,0,0.000000,9,0,0,0
10,300.0,G01,5,10,1211.3887,10,0,1,0,2.934822,0,0.000000,10,0,0,0
10,300.0,G03,6,10,1165.2298,10,0,1,0,2.064526,0,0.000000,10,0,0,0
10,300.0,G04,7,10,1654.5743,10,0,1,0,2.781427,0,0.000000,10,0,0,0
10,300.0,G08,8,7,929.1448,9,0,1,0,3.797801,0,0.000000,10,0,0,0
10,300.0,G16,9,10,1129.2647,10,0,1,0,2.032363,0,0.000000,10,0,0,0
10,300.0,G26,10,10,1423.1136,10,0,1,0,2.367394,0,0.000000,10,0,0,0
10,300.0,G27,11,10,951.2628,10,0,1,0,3.074488,0,0.000000,10,0,0,0
