epoch,sod,gps_phase_mean_mm,gps_phase_median_mm,gps_phase_rms_mm,gps_code_mean_mm,gps_amb_sigma_mean_mm,gps_mean_elev_deg,dx_mm,dy_mm,dz_mm,clock_mm,zwd_mm
0,0.0,nan,nan,nan,nan,nan,nan,-110.7996,2944.3685,-1836.5208,-1906.2302,179.4124
1,30.0,1201.4343,1493.9371,1441.0936,2319.0157,6268.3022,37.4422,-939.4349,1112.1206,-969.8237,-2225.4966,170.7833
2,60.0,-234.0430,-558.6426,1188.5229,1182.2749,3363.7613,37.4692,-568.2766,1350.9305,810.6059,-851.9912,166.4434
3,90.0,-408.5288,-507.4670,842.3517,-313.9345,2258.5360,41.0331,-323.3967,1669.4085,2122.1926,311.2812,164.0025
4,120.0,-512.7295,-801.5741,678.6191,-497.9285,2953.3024,37.5212,-149.1476,2643.6609,3009.1126,1691.4788,162.6276
5,150.0,-194.5520,-180.0346,234.3636,-805.3466,2088.0757,37.5463,-273.0728,2829.1508,2916.1332,1800.3363,160.7071
6,180.0,234.0929,202.8777,281.6426,-452.5703,1704.2693,37.5707,-318.5346,2496.6897,2784.7067,1510.1323,159.0070
7,210.0,-188.1419,-165.4116,196.8770,-483.8967,1493.2191,37.5946,-272.7994,2598.5381,2838.6943,1659.9110,158.0641
8,240.0,26.8056,62.5077,91.8913,-1038.1927,1369.6139,37.6179,-446.8845,2647.1116,2787.5566,1627.9183,156.9796
9,270.0,-184.7496,-129.2902,260.7482,-1442.2425,1279.5280,37.6405,-670.8766,2580.8685,2538.7338,1294.0854,155.1914
10,300.0,106.9003,105.6373,153.8136,32.7531,1209.1398,37.6625,-865.2688,2476.4592,2451.4505,1143.3748,154.2510
11,330.0,94.4566,109.6435,137.2328,-328.2282,1213.6955,41.0936,-860.0920,2311.8507,2465.4641,1047.9923,153.8041
12,360.0,-173.9089,-168.1557,184.1784,-155.9696,1175.0027,41.0976,-874.4705,2413.2691,2431.3158,1124.4961,153.4175
13,390.0,38.9759,40.8154,88.1098,-243.0466,1139.0694,41.1008,-864.7217,2344.3049,2415.4030,1102.7172,153.0835
14,420.0,-79.6589,-64.0791,110.9644,-172.6460,1105.4460,41.1032,-924.2388,2249.6753,2420.9639,1044.8321,152.7719
15,450.0,-37.7492,-38.9742,90.3141,-843.4496,1073.8199,41.1049,-911.5374,2160.1638,2437.0445,974.1736,152.4708
16,480.0,-424.6043,3.4765,870.6447,-1469.2403,1028.0151,41.1058,-2378.0854,2848.2800,2708.8372,1590.6251,154.6345
17,510.0,-483.6886,-410.2895,562.6040,-634.2865,2273.5460,37.3960,-1851.9219,2723.9495,2605.6692,1452.7150,153.4204
18,540.0,-117.9110,-208.5137,395.6597,-1218.6854,1538.6993,37.3821,-1177.1562,2404.1805,2484.1453,1137.9747,151.7919
19,570.0,128.1335,436.9325,464.6366,-1536.9635,1514.0112,37.3677,-460.6272,1936.4559,2348.5515,665.4086,149.7301
20,600.0,51.0895,129.3427,406.8914,-1002.5824,1064.6955,37.3527,-893.2949,2173.6889,1776.8142,638.1129,146.7572
21,630.0,363.4779,405.9665,402.1692,-184.2004,978.3021,37.3371,-1304.0072,1753.0178,1765.6364,290.5338,146.2090
22,660.0,-431.3391,-475.8748,478.9426,-124.6978,257.6347,41.0949,-1419.5951,2505.2809,1775.5035,718.3120,146.8451
23,690.0,-105.0358,-69.8072,132.6696,-302.7558,226.3848,41.0904,-1268.2063,2746.1940,1715.5305,827.8056,147.2118
24,720.0,311.7179,367.9610,344.2422,-120.7770,204.2424,41.0852,-1239.9912,2147.9783,1669.8416,331.4971,146.4424
25,750.0,356.2499,383.2284,378.7784,-295.9427,187.4410,41.0792,-1195.9567,1648.2544,1572.9501,43.7539,146.1847
26,780.0,82.7701,58.8273,116.5258,-104.2333,174.1009,41.0725,-1108.1803,1514.3181,1644.8641,-8.6507,146.5144
27,810.0,68.6099,109.0676,93.7447,-29.8365,163.2610,41.0651,-1129.0578,1230.4809,1634.7031,-347.1355,145.2144
28,840.0,69.7973,79.7308,73.8543,224.5562,154.0490,41.0569,-1162.9551,1130.2239,1623.7202,-313.1933,145.9387
29,870.0,79.0500,131.5881,121.5429,194.1871,146.1688,41.0479,-1275.6789,889.8618,1726.8696,-535.3783,145.7804
30,900.0,96.4237,118.2613,108.9774,-249.7141,139.3248,41.0383,-1305.2917,805.2924,1798.9941,-546.1464,146.5319
31,930.0,51.4253,43.7088,100.6366,-742.0532,133.4068,41.0278,-1229.4264,625.5657,1867.7703,-944.7444,144.9677
32,960.0,-17.5908,-5.7216,65.5459,-557.7933,128.0396,41.0167,-1181.4584,694.8846,1778.3431,-1059.8305,144.6261
33,990.0,379.2487,371.3779,386.5737,-370.6055,123.8347,41.0048,-1112.9928,601.6412,1853.9613,-889.7079,146.9867
34,1020.0,-168.7823,-154.9786,182.2869,536.5764,1243.0105,38.0140,-1088.4491,922.3597,1919.0501,-486.5729,150.5216
35,1050.0,-47.4642,-68.4178,102.5866,-230.7215,642.1910,38.0215,-1052.7684,1023.4161,1805.6353,-378.8334,149.8860
36,1080.0,35.0326,39.7992,59.8351,-109.8988,422.2627,38.0285,-1047.8263,1035.3370,1751.5005,-255.0893,149.4989
37,1110.0,-68.7582,-51.6260,80.6925,-81.3777,4689.6023,32.4006,-1012.4323,1107.7726,1720.2780,-347.9226,149.1570
38,1140.0,86.0905,82.1736,102.9519,-899.9824,4641.5876,32.4038,-975.7143,963.2704,1688.1424,-536.0898,145.8494
39,1170.0,139.9410,152.4881,153.5085,-1048.5622,4610.7396,32.4065,-1008.1831,802.4927,1613.5939,-557.7597,142.7274
40,1200.0,94.4038,90.4844,101.2483,-968.3239,4589.3836,32.4089,-1044.8975,654.9463,1608.1306,-765.2288,139.9110
41,1230.0,69.5141,77.8119,76.1061,-921.9477,4573.7690,32.4108,-1094.8453,574.8973,1604.9484,-933.8783,138.3844
42,1260.0,94.8683,82.1875,100.6442,-207.5745,4561.8669,32.4123,-1112.9994,488.6394,1636.8573,-867.5139,139.9362
43,1290.0,-1.5646,-8.2312,39.5485,-229.3615,4552.4977,32.4134,-1083.4218,444.9978,1653.9917,-1078.5912,139.7155
44,1320.0,8.7419,1.7710,29.3026,98.1176,4544.9157,32.4140,-1128.1827,417.3464,1635.6985,-1125.4789,140.1215
45,1350.0,35.0168,59.6355,59.5646,165.4642,4538.6651,32.4143,-1109.7563,407.4295,1594.9946,-932.5634,141.8030
46,1380.0,-34.5151,-7.7922,61.9732,50.4321,4533.3893,32.4142,-1061.7351,412.6475,1575.7529,-1050.2554,141.8208
47,1410.0,49.0702,64.1825,75.5011,-217.4395,4528.9087,32.4136,-990.0088,424.2096,1564.3472,-857.8175,143.9639
48,1440.0,18.2746,20.9116,60.9067,-201.7825,4525.0001,32.4127,-918.3323,410.3846,1593.7551,-775.3884,144.3623
49,1470.0,-159.3134,-147.7884,164.2728,-602.1087,4521.7746,32.4113,-900.4788,497.5859,1582.4822,-1081.8857,142.3595
50,1500.0,149.9054,185.1195,162.3114,-939.0791,4518.9711,32.4095,-843.1130,551.5550,1538.1878,-778.4114,145.4265
51,1530.0,36.7126,60.2326,67.4806,-1042.3736,4516.2480,32.4074,-808.8349,495.7793,1492.4913,-876.3651,143.7890
52,1560.0,-6.0888,14.0341,34.0733,151.9893,4513.7700,32.4048,-812.2424,521.9568,1481.0848,-840.1877,145.0932
53,1590.0,-23.6110,-2.9623,43.0707,-249.4060,4511.5331,32.4018,-810.5023,542.9042,1459.0739,-1009.0514,144.3600
54,1620.0,56.4293,57.0058,65.1855,-267.1816,4509.4922,32.3984,-856.9004,501.2668,1425.0965,-962.8019,144.4816
55,1650.0,7.6934,16.0987,30.8281,-345.6038,4507.6240,32.3946,-875.4734,476.3006,1406.9859,-1129.1783,143.2050
56,1680.0,51.0452,46.5934,62.1147,-555.2219,4505.9050,32.3904,-878.9713,418.1337,1391.4760,-1149.1429,142.1619
57,1710.0,18.9491,12.0572,37.9260,-531.1678,4504.4083,32.3858,-916.7223,425.5356,1376.8470,-969.3382,144.6988
58,1740.0,-366.0255,-347.7946,366.5696,725.9880,6717.7034,22.6263,-938.8304,478.1974,1383.2326,-1135.8833,141.8666
59,1770.0,-25.7090,-7.2302,43.8638,1466.3642,6716.9911,22.6172,-926.1346,528.8423,1382.2823,-815.6959,145.0269
60,1800.0,-52.7212,-52.0875,70.2992,-136.2858,5975.6602,32.3696,-872.0863,561.8873,1385.3240,-883.5143,143.8695
61,1830.0,-64.4268,-38.5094,87.8552,-221.6863,6650.9059,30.3205,-861.9128,536.5015,1414.7346,-1093.4015,139.4636
62,1860.0,48.2205,61.2503,64.9249,624.9730,6894.7074,31.0305,-878.1620,485.7115,1388.6156,-1110.0950,137.3464
63,1890.0,63.5505,80.4164,72.3152,-784.5206,6837.6416,30.3368,-886.6156,426.1538,1370.7530,-1066.4432,135.2423
64,1920.0,62.9136,77.7639,66.9327,-180.9715,6797.4197,31.0159,-920.4361,390.1599,1373.7270,-939.1071,136.2280
65,1950.0,36.0953,41.9439,46.3209,-276.3619,5122.1499,33.4839,-921.0722,367.4399,1373.2159,-839.6717,136.4043
66,1980.0,-107.4151,-88.4818,112.5141,-611.8928,5105.2996,33.4833,-921.5672,371.4022,1357.2969,-1138.1745,134.7532
67,2010.0,55.1381,68.7476,65.9185,-704.8443,5093.1012,33.4822,-918.3753,357.0331,1350.6521,-1098.9910,136.4646
68,2040.0,29.1358,47.8388,46.9408,-25.9209,5083.9908,33.4807,-944.2472,313.7966,1344.7713,-954.5190,134.1486
69,2070.0,-80.5881,-73.5368,86.2916,840.7659,5076.9628,33.4786,-958.8655,338.9498,1352.2900,-1074.2539,135.3615
70,2100.0,-50.2960,-36.0560,63.3080,643.0420,5071.3973,33.4761,-939.0809,370.4132,1351.9356,-1012.9157,135.9651
71,2130.0,-76.2195,-53.3888,84.5176,476.8581,5066.8933,33.4730,-942.7823,393.8826,1328.2725,-1125.8912,134.5968
72,2160.0,-13.9505,9.5572,37.9912,-223.9454,7643.2908,30.9420,-959.7750,393.5243,1313.3856,-1171.5171,133.6559
73,2190.0,-63.0242,-48.4425,70.6382,-283.1919,7640.5172,30.9311,-980.5429,397.2241,1316.3319,-1359.4182,131.6012
74,2220.0,33.2171,42.9239,51.1296,-627.6159,7638.1729,30.9198,-965.8940,426.1427,1321.7677,-1283.4137,136.9424
75,2250.0,65.5756,87.5955,79.1032,-917.7507,7636.1091,30.9082,-961.9262,411.0202,1309.6449,-1151.8941,136.8872
76,2280.0,-2.2070,17.0457,33.8287,-336.9760,7517.1097,30.4128,-1002.3644,387.6953,1284.8941,-1078.8921,132.2019
77,2310.0,108.0239,128.6935,115.3073,-247.8366,7170.5705,30.4166,-1022.9819,367.4338,1274.3515,-875.6235,134.3109
78,2340.0,-23.5274,-17.9973,38.6419,-529.2421,4689.4502,32.6521,-1037.5637,349.2626,1273.6342,-1134.8882,134.1358
79,2370.0,3.0471,3.6084,38.0940,-914.4707,4624.4753,32.6627,-1035.6932,307.6538,1276.3750,-1325.8434,132.0373
80,2400.0,220.3132,239.5938,225.7442,227.3154,4588.0738,32.6729,-1054.0180,306.2448,1268.6059,-1005.8330,134.9637
81,2430.0,-8.7578,-3.8031,41.9143,-127.6756,4564.2646,32.6827,-1051.3602,285.6965,1266.0659,-1009.4682,133.6988
82,2460.0,-16.1715,2.5845,36.9490,63.8667,2384.9732,32.6922,-1071.5058,273.8795,1261.3346,-1000.2893,132.0105
83,2490.0,-9.4655,-3.9983,35.3933,-357.3132,2355.1219,32.7014,-1085.9062,238.2065,1264.1552,-1045.9484,128.7166
84,2520.0,39.4782,43.7072,54.2085,-740.6489,144.4436,32.7102,-1089.3084,201.8777,1265.5828,-1015.3031,128.5322
85,2550.0,12.9099,14.2565,39.1196,-570.1584,124.9600,32.7186,-1103.6879,184.4977,1261.6551,-1057.6465,127.9913
86,2580.0,24.7771,39.5097,49.6186,-178.0332,98.8350,34.8637,-1123.1491,136.9337,1268.0822,-949.2327,123.8590
87,2610.0,-16.5266,-5.7927,45.3547,-785.0858,1154.5115,32.7345,-1144.6658,86.7475,1272.5156,-1201.4937,120.2866
88,2640.0,8.9741,9.0619,46.1505,-890.7913,604.6864,32.7419,-1150.1279,55.7828,1285.4087,-1352.9796,120.1034
89,2670.0,-53.4305,-46.3020,69.4918,201.3746,81.2270,34.8310,-1133.0818,65.7141,1277.8785,-1495.7230,119.7557
90,2700.0,169.2697,171.2296,179.2120,15.0393,1253.7088,31.9964,-1112.8358,68.7573,1255.3964,-1180.3469,123.8859
91,2730.0,-139.5200,-134.8712,146.5142,-550.4807,648.2582,31.9836,-1110.0798,40.0757,1250.0591,-1493.9794,119.9363
92,2760.0,17.8688,13.9727,40.9088,-125.4707,883.5784,32.7684,-1105.1584,37.4729,1244.2987,-1464.5045,122.4526
93,2790.0,68.9071,54.2735,77.7636,-180.0303,503.1865,32.7742,-1117.9966,53.6417,1215.3527,-1261.2174,125.0248
94,2820.0,111.0706,116.0632,118.1891,-332.8053,351.2499,32.7798,-1143.0424,31.7858,1205.0082,-996.2051,126.0041
95,2850.0,-59.4528,-69.2491,69.5314,-916.7606,269.7457,32.7850,-1154.4470,22.7698,1193.6444,-1291.1934,123.9462
96,2880.0,6.5463,-3.6153,40.0706,-357.1132,219.1601,32.7900,-1141.0948,16.6280,1195.4306,-1132.2685,123.0197
97,2910.0,-114.1631,-109.6674,119.9315,131.5590,202.0565,34.3462,-1135.1041,22.9651,1199.5157,-1365.8576,123.7506
98,2940.0,65.9935,75.5950,73.8120,209.3664,1041.1752,32.7990,-1140.7530,23.9628,1185.3777,-1154.4029,127.3973
99,2970.0,22.3707,24.6761,45.6920,49.8881,564.0749,32.8031,-1129.2240,23.0038,1171.2768,-1035.4433,129.5457
