epoch,sod,gps_phase_mean_mm,gps_phase_median_mm,gps_phase_rms_mm,gps_code_mean_mm,gps_amb_sigma_mean_mm,gps_mean_elev_deg,gal_phase_mean_mm,gal_phase_median_mm,gal_phase_rms_mm,gal_code_mean_mm,gal_amb_sigma_mean_mm,gal_mean_elev_deg,dx_mm,dy_mm,dz_mm,clock_mm,zwd_mm,isb_mm
0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-654.6124,2104.0233,990.6811,-877.4603,120.5513,4222.4503
1,30.0,1418.1263,1741.0389,1575.4442,461.4242,17718.1719,35.8177,2272.8574,2308.1668,2275.4535,458.0547,20000.0000,42.8589,-1017.6346,1093.5274,1012.6880,-844.3681,120.2591,3924.9116
2,60.0,514.1368,364.3035,721.9231,-221.0210,17354.4831,38.6342,939.0334,1678.3728,1333.4463,-370.0134,15392.4878,37.0952,-693.5755,1201.1715,1499.8745,-48.2024,120.3524,3636.3770
3,90.0,740.8643,744.0320,877.1740,-47.6120,14640.2394,38.6239,1187.1053,1784.2403,1485.2006,-228.1163,15349.0982,37.1759,-609.4287,1223.5208,1678.6447,309.6258,120.4152,3473.5400
4,120.0,757.8394,1020.0461,982.0640,405.3665,15283.0181,35.8349,1388.7376,1848.6700,1599.1764,-65.3001,15321.2694,37.2568,-827.4847,1243.2319,1554.5780,527.1200,120.4675,3493.1264
5,150.0,727.8404,810.0764,952.2093,97.8350,15263.3471,35.8397,1343.0447,1957.5962,1580.4987,-70.3692,15301.7053,37.3378,-958.8926,1208.5685,1467.6311,163.7245,120.4247,3551.8484
6,180.0,841.5243,816.7603,1037.0764,-39.9326,15237.1103,35.8439,1340.6367,2092.1918,1628.1025,293.4197,15287.1200,37.4189,-898.9023,1016.2383,1474.8062,137.8080,120.3825,3627.3925
7,210.0,735.0922,806.6155,968.7468,246.8511,12868.8049,35.8477,1264.0910,1993.9993,1549.6479,-305.1595,15275.7936,37.5001,-860.9550,983.7607,1458.9611,-57.4048,120.3585,3598.4195
8,240.0,1101.0195,1218.2977,1291.4594,-59.4197,12853.5753,35.8510,1616.8686,2285.8492,1819.7153,68.2898,15266.7221,37.5814,-979.2782,917.2222,1369.1896,-335.7871,120.3464,3666.0914
9,270.0,768.7914,839.1083,1053.4411,-623.7299,12831.9352,35.8539,1263.9743,2010.8317,1519.8079,69.1268,15202.3120,37.6629,-1045.1644,859.8305,1308.3066,-521.1456,120.3198,3751.4596
10,300.0,710.4611,686.0326,974.9535,312.6284,12820.6906,35.8562,1193.3361,1999.5190,1469.5983,-520.0784,15194.3982,37.7445,-1123.0397,923.1608,1383.0922,-214.2173,120.2827,3720.5719
11,330.0,892.3300,773.1520,1154.6872,37.1687,14483.2760,38.5198,1308.1015,2185.9911,1604.6103,-397.8869,15183.7600,37.8262,-1101.5883,835.0906,1364.2654,-267.6414,120.2293,3702.6816
12,360.0,869.8757,772.1861,1131.4592,-57.3651,14478.3775,38.5040,1292.0241,2149.8942,1574.9889,-208.7608,15177.8095,37.9080,-1135.3558,854.6344,1354.6465,-430.9864,120.1817,3696.0092
13,390.0,1024.5795,906.9663,1255.9305,-128.9584,14470.9246,38.4876,1450.8434,2308.6611,1715.8773,119.3029,15169.9904,37.9899,-1145.6319,791.1370,1334.9632,-452.8295,120.1745,3689.6478
14,420.0,488.6281,276.0680,779.9863,-369.8842,14443.2411,38.4706,879.6484,1704.3095,1238.0349,-438.3189,15161.9952,38.0719,-1107.5631,1273.5172,1627.8547,-5.0160,120.6990,3650.5412
15,450.0,-46.9093,-120.7691,436.6747,-1802.0836,14409.3371,38.4530,164.3115,935.0279,901.2292,-1217.0367,15155.5714,38.1540,-876.5191,2570.3209,2689.6518,1248.6396,121.1076,3557.7765
16,480.0,1112.2490,1074.2368,1353.0950,-1132.5015,14403.3369,38.4348,1436.7077,1896.6850,1755.8204,-266.9540,15150.3481,38.2363,-917.6064,2403.7313,2644.3021,1191.8497,121.1156,3554.8842
17,510.0,592.2636,622.8331,983.4658,-575.8091,15101.1320,35.5061,1050.1137,1545.0022,1455.0640,-296.1580,15146.8463,38.3186,-923.9068,2387.6056,2640.8021,998.0393,121.1417,3552.7226
18,540.0,853.7912,879.6262,1153.6645,-821.9582,15097.8582,35.4775,1286.1887,1795.8868,1647.7085,-60.9587,15142.2270,38.4011,-843.1950,2341.9725,2683.4361,904.7158,120.7805,3558.5810
