epoch,sat,L1m-P1c,L2m-P2c
0.0,G01,+1.832,+0.394
0.0,G03,+0.388,-2.033
0.0,G04,+3.161,+3.209
0.0,G08,-2.528,+4.797
0.0,G16,+6.902,+8.511
0.0,G26,+4.192,+5.897
0.0,G27,+0.530,+3.808
0.0,G31,+12.247,+12.484
900.0,G01,+2.141,+2.632
900.0,G03,+0.390,-1.566
900.0,G04,+4.301,+3.929
900.0,G16,+6.497,+9.011
900.0,G26,+4.142,+4.386
900.0,G27,+1.791,+5.743
900.0,G31,+11.820,+12.104
1800.0,G01,+2.496,+1.266
1800.0,G02,-0.869,-0.501
1800.0,G03,+0.329,-2.076
1800.0,G04,+4.341,+4.953
1800.0,G07,+0.147,-2.122
1800.0,G08,-1.358,-4.743
1800.0,G09,-1.932,-3.444
1800.0,G16,+6.546,+9.249
1800.0,G26,+3.637,+5.706
1800.0,G27,+2.202,+7.622
2700.0,G01,+3.076,+2.632
2700.0,G03,+0.228,-2.000
2700.0,G04,+4.583,+5.280
2700.0,G07,+1.323,+0.183
2700.0,G08,-2.340,-6.196
2700.0,G09,-0.768,-0.481
2700.0,G16,+6.276,+9.588
2700.0,G26,+3.670,+5.025
2700.0,G27,+2.221,+7.124
3600.0,G03,+0.013,-2.273
3600.0,G04,+4.621,+4.680
3600.0,G07,-1.278,-1.279
3600.0,G08,-3.344,-5.492
3600.0,G09,-1.335,+1.297
3600.0,G16,+6.175,+8.095
3600.0,G26,+1.439,+0.516
3600.0,G27,+1.157,+4.487
4500.0,G03,-0.796,-3.973
4500.0,G04,+3.815,+3.197
4500.0,G07,+0.176,+0.745
4500.0,G08,-4.424,-6.442
4500.0,G09,-1.707,-0.489
4500.0,G16,+5.143,+7.173
4500.0,G27,-0.058,+2.320
5400.0,G03,-1.486,-5.529
5400.0,G04,+2.939,+1.863
5400.0,G07,-0.932,-0.536
5400.0,G08,-5.616,-8.860
5400.0,G09,-2.564,-2.038
5400.0,G16,+3.385,+3.298
5400.0,G27,-1.278,-0.848
6300.0,G03,-3.457,-8.102
6300.0,G04,+1.592,-0.053
6300.0,G07,-3.418,-4.220
6300.0,G08,-6.746,-10.682
6300.0,G09,-3.876,-3.779
6300.0,G16,+1.241,+0.387
6300.0,G27,-3.129,-2.759
7200.0,G03,-5.285,-10.938
7200.0,G04,+0.384,-1.899
7200.0,G07,-4.923,-6.604
7200.0,G08,-7.310,-12.832
7200.0,G09,-5.001,-5.347
7200.0,G16,-1.721,-4.323
7200.0,G27,-4.356,-3.851
8100.0,G03,-7.502,-14.620
8100.0,G04,-0.814,-3.949
8100.0,G07,-7.043,-9.389
8100.0,G08,-8.425,-14.470
8100.0,G09,-5.622,-7.428
8100.0,G14,+0.924,-1.740
8100.0,G16,-5.900,-9.203
8100.0,G27,-5.930,-8.055
9000.0,G03,-11.032,-20.198
9000.0,G04,-1.665,-5.603
9000.0,G07,-8.309,-11.728
9000.0,G08,-9.599,-15.938
9000.0,G09,-6.289,-8.853
9000.0,G14,-0.441,-4.412
9000.0,G27,-7.933,-10.854
9900.0,G03,-13.718,-25.330
9900.0,G04,-2.760,-7.548
9900.0,G07,-9.610,-13.577
9900.0,G08,-10.670,-17.524
9900.0,G09,-7.218,-9.669
9900.0,G14,-1.823,-6.172
9900.0,G27,-11.017,-15.719
10800.0,G03,-14.586,-25.541
10800.0,G04,-4.258,-9.615
10800.0,G07,-10.111,-16.473
10800.0,G08,-11.709,-19.659
10800.0,G09,-7.893,-10.251
10800.0,G14,-2.448,-8.018
10800.0,G27,-8.912,-22.444
10800.0,G30,-2.077,-7.679
11700.0,G04,-5.589,-12.311
11700.0,G07,-10.276,-17.572
11700.0,G08,-13.266,-22.328
11700.0,G09,-8.790,-11.745
11700.0,G14,-3.087,-8.036
11700.0,G22,-0.591,-0.499
11700.0,G30,-4.315,+0.337
12600.0,G04,-7.670,-14.976
12600.0,G07,-11.169,-17.907
12600.0,G08,-15.242,-26.103
12600.0,G09,-9.346,-13.621
12600.0,G14,-3.855,-8.365
12600.0,G22,-0.400,-0.766
12600.0,G30,-4.515,-1.643
13500.0,G02,-2.693,-1.842
13500.0,G04,-10.222,-20.561
13500.0,G07,-12.017,-18.049
13500.0,G08,-17.514,-30.253
13500.0,G09,-10.740,-15.498
13500.0,G14,-5.114,-11.015
13500.0,G22,-0.213,-2.865
13500.0,G30,-4.899,-0.853
14400.0,G04,-14.250,-25.528
14400.0,G07,-13.432,-20.063
14400.0,G08,-22.034,-36.369
14400.0,G09,-12.564,-18.839
14400.0,G14,-6.044,-12.206
14400.0,G17,+1.106,+1.452
14400.0,G22,-2.010,-4.821
14400.0,G30,-5.548,-2.591
15300.0,G01,-1.234,+0.174
15300.0,G02,-2.470,-3.370
15300.0,G04,-17.795,-31.518
15300.0,G07,-14.941,-23.697
15300.0,G08,-19.723,-34.582
15300.0,G09,-14.886,-21.766
15300.0,G14,-7.145,-13.819
15300.0,G17,+1.559,+3.943
15300.0,G22,-3.152,-7.222
15300.0,G30,-5.808,-3.317
16200.0,G01,-1.601,+0.348
16200.0,G02,-3.555,-5.895
16200.0,G04,-20.596,-36.931
16200.0,G07,-16.438,-25.958
16200.0,G08,-27.813,-44.378
16200.0,G09,-17.245,-25.959
16200.0,G14,-8.602,-16.214
16200.0,G17,+2.161,+4.609
16200.0,G22,-4.526,-9.273
16200.0,G30,-6.870,-4.403
17100.0,G01,-0.129,+0.066
17100.0,G02,-5.495,-10.738
17100.0,G04,-28.543,-43.310
17100.0,G07,-18.066,-28.552
17100.0,G08,-35.415,-61.379
17100.0,G09,-19.834,-29.998
17100.0,G14,-9.763,-17.700
17100.0,G17,+2.529,+5.166
17100.0,G19,-0.192,+6.924
17100.0,G22,-5.784,-10.157
17100.0,G30,-7.681,-5.186
18000.0,G01,-0.674,-0.483
18000.0,G02,-2.824,-4.645
18000.0,G07,-18.904,-30.519
18000.0,G09,-22.470,-35.153
18000.0,G14,-11.381,-20.954
18000.0,G17,+3.397,+6.480
18000.0,G19,+1.260,+6.928
18000.0,G22,-6.751,-12.684
18000.0,G30,-8.871,-7.245
18900.0,G01,-1.152,+0.485
18900.0,G02,-7.210,-11.074
18900.0,G07,-19.605,-31.618
18900.0,G09,-24.440,-37.798
18900.0,G14,-12.079,-22.654
18900.0,G17,+3.890,+6.818
18900.0,G19,+2.402,+11.159
18900.0,G22,-7.533,-13.629
18900.0,G30,-9.491,-7.853
19800.0,G01,-1.202,+0.080
19800.0,G02,-12.758,-18.576
19800.0,G07,-19.983,-31.689
19800.0,G09,-26.028,-40.798
19800.0,G14,-12.938,-22.786
19800.0,G17,+4.002,+7.675
19800.0,G19,+4.608,+12.779
19800.0,G22,-7.854,-13.437
19800.0,G30,-9.423,-7.455
20700.0,G01,-2.349,-1.496
20700.0,G07,-19.974,-31.738
20700.0,G09,-29.630,-45.627
20700.0,G13,-1.557,+3.738
20700.0,G14,-13.240,-26.497
20700.0,G17,+4.268,+7.929
20700.0,G19,+5.960,+14.916
20700.0,G22,-7.999,-14.622
20700.0,G30,-9.132,-7.512
21600.0,G01,-3.192,-5.151
21600.0,G06,+2.291,-0.409
21600.0,G07,-19.842,-31.999
21600.0,G09,-28.530,-43.831
21600.0,G13,+0.266,+4.615
21600.0,G14,-14.466,-28.415
21600.0,G17,+3.827,+7.337
21600.0,G19,+6.828,+16.923
21600.0,G22,-8.823,-15.605
21600.0,G30,-8.951,-7.221
22500.0,G01,-6.591,-8.738
22500.0,G06,+0.282,+0.589
22500.0,G07,-19.887,-31.536
22500.0,G09,-33.815,-55.354
22500.0,G13,+0.171,+3.786
22500.0,G14,-16.857,-31.060
22500.0,G17,+3.609,+6.869
22500.0,G19,+7.285,+17.500
22500.0,G22,-10.424,-17.683
22500.0,G30,-7.928,-5.877
23400.0,G01,-9.846,-14.379
23400.0,G06,+2.613,+4.079
23400.0,G07,-19.992,-31.542
23400.0,G13,+0.853,+3.750
23400.0,G14,-17.900,-32.207
23400.0,G17,+3.262,+5.724
23400.0,G19,+7.660,+19.003
23400.0,G22,-11.323,-20.783
23400.0,G30,-7.484,-4.428
24300.0,G01,-10.567,-21.463
24300.0,G06,+5.475,+9.875
24300.0,G07,-20.035,-32.102
24300.0,G13,+0.244,+4.433
24300.0,G14,-18.369,-32.029
24300.0,G17,+1.872,+4.300
24300.0,G19,+7.970,+19.082
24300.0,G22,-11.753,-20.070
24300.0,G30,-6.708,-3.428
25200.0,G01,-17.552,-34.090
25200.0,G06,+7.617,+12.508
25200.0,G07,-21.465,-33.606
25200.0,G13,+0.230,+5.422
25200.0,G14,-17.783,-32.257
25200.0,G17,+1.036,+2.303
25200.0,G19,+7.809,+18.166
25200.0,G22,-11.901,-21.078
25200.0,G30,-6.275,-2.591
26100.0,G01,-26.494,-47.123
26100.0,G06,+9.429,+15.977
26100.0,G07,-23.092,-36.785
26100.0,G13,+0.339,+4.345
26100.0,G14,-16.922,-31.464
26100.0,G17,-0.494,+0.248
26100.0,G19,+7.386,+17.640
26100.0,G22,-11.514,-19.821
26100.0,G30,-6.476,-3.283
27000.0,G06,+10.750,+18.101
27000.0,G07,-26.622,-41.418
27000.0,G11,+5.420,+1.520
27000.0,G13,+0.763,+4.024
27000.0,G14,-16.058,-29.541
27000.0,G17,-2.220,-1.981
27000.0,G19,+6.285,+17.503
27000.0,G22,-10.490,-18.951
27000.0,G30,-7.025,-3.999
27900.0,G06,+11.248,+18.660
27900.0,G07,-27.388,-42.587
27900.0,G11,+11.447,+12.157
27900.0,G13,-0.084,+4.089
27900.0,G14,-15.153,-29.152
27900.0,G17,-4.411,-6.426
27900.0,G19,+5.873,+15.451
27900.0,G22,-9.572,-16.782
27900.0,G30,-8.117,-5.481
28800.0,G06,+11.794,+19.747
28800.0,G11,+15.117,+16.720
28800.0,G13,-0.593,+3.795
28800.0,G14,-15.177,-27.750
28800.0,G17,-7.156,-10.566
28800.0,G19,+4.930,+13.286
28800.0,G22,-9.125,-16.268
28800.0,G30,-9.809,-7.943
29700.0,G06,+11.977,+19.542
29700.0,G11,+17.480,+21.453
29700.0,G13,-1.148,+2.046
29700.0,G14,-14.535,-26.280
29700.0,G17,-10.283,-15.453
29700.0,G19,+3.403,+11.133
29700.0,G22,-7.898,-14.505
29700.0,G24,-1.455,-2.955
29700.0,G30,-11.882,-11.619
30600.0,G06,+11.553,+19.210
30600.0,G11,+19.180,+24.174
30600.0,G13,-2.545,-1.121
30600.0,G14,-14.870,-26.637
30600.0,G17,-13.381,-21.061
30600.0,G19,+2.011,+9.169
30600.0,G22,-7.347,-13.421
30600.0,G24,+0.373,+0.627
30600.0,G30,-14.942,-18.062
31500.0,G06,+10.852,+18.049
31500.0,G11,+20.515,+26.432
31500.0,G13,-4.820,-2.517
31500.0,G14,-14.301,-27.638
31500.0,G17,-16.563,-26.103
31500.0,G19,-0.248,+5.575
31500.0,G21,+2.334,+4.720
31500.0,G22,-6.812,-12.150
31500.0,G24,+6.037,+7.635
31500.0,G30,-19.405,-23.732
32400.0,G06,+10.196,+16.593
32400.0,G11,+21.359,+28.135
32400.0,G13,-7.055,-8.059
32400.0,G14,-15.004,-28.056
32400.0,G17,-20.167,-32.735
32400.0,G19,-1.859,+1.894
32400.0,G21,+0.141,+1.931
32400.0,G22,-6.898,-12.168
32400.0,G24,+10.097,+13.303
33300.0,G06,+8.716,+14.117
33300.0,G11,+22.071,+28.626
33300.0,G13,-11.461,-13.655
33300.0,G14,-16.027,-29.158
33300.0,G17,-23.629,-36.919
33300.0,G19,-3.724,-1.548
33300.0,G21,+3.399,+6.409
33300.0,G22,-6.037,-12.024
33300.0,G24,+13.022,+17.382
34200.0,G06,+6.728,+10.675
34200.0,G11,+22.092,+29.212
34200.0,G12,+0.303,+6.283
34200.0,G14,-17.250,-32.175
34200.0,G17,+0.145,-1.165
34200.0,G19,-6.097,-4.963
34200.0,G21,+6.000,+11.687
34200.0,G22,-6.266,-12.406
34200.0,G24,+14.127,+21.011
35100.0,G05,+3.020,+5.424
35100.0,G06,+4.172,+6.777
35100.0,G11,+21.906,+28.787
35100.0,G12,+3.386,+4.297
35100.0,G14,-19.107,-34.025
35100.0,G17,-2.967,-4.898
35100.0,G19,-8.586,-8.131
35100.0,G21,+9.132,+17.507
35100.0,G22,-7.395,-13.555
35100.0,G24,+14.806,+21.549
36000.0,G05,+8.378,+13.409
36000.0,G06,+0.300,+1.022
36000.0,G11,+21.340,+27.703
36000.0,G12,+9.144,+11.430
36000.0,G14,-22.082,-38.252
36000.0,G17,-0.367,-1.005
36000.0,G19,-10.188,-11.050
36000.0,G21,+11.108,+20.365
36000.0,G22,-8.192,-15.268
36000.0,G24,+15.152,+23.330
