SOD,sat,d_wl,wl_residual_raw,wl_residual_corrected,wl_std,wl_fixable_before,wl_fixable_after
10410,E02,0.000000,0.000000,0.000000,0.381332,1,1
10410,E05,-0.046012,-0.066949,-0.066949,0.202375,1,1
10410,E09,0.042094,0.053267,0.053267,0.154559,1,1
10410,E16,0.008834,0.010178,0.010178,0.117051,1,1
10410,E25,-0.106722,-0.143670,-0.143670,0.176522,1,1
10440,E02,0.001645,0.005914,0.005914,0.379884,1,1
10470,E02,0.001715,0.001966,0.000321,0.377268,1,1
10470,E03,-0.203042,-0.747786,-0.747786,0.491399,0,0
10500,E02,0.001587,0.001016,-0.000699,0.373755,1,1
10500,E03,-0.319566,-0.742633,-0.539591,0.487920,0,0
10530,E02,0.001597,0.001649,0.000062,0.370307,1,1
10530,E03,-0.395939,-0.742779,-0.423213,0.483207,0,0
10560,E02,0.002169,0.005761,0.004164,0.368166,1,1
10560,E03,-0.400000,-0.737577,-0.341637,0.480094,0,0
10590,E02,0.003068,0.009542,0.007374,0.365941,1,1
10590,E03,-0.400000,-0.741318,-0.341318,0.476408,0,0
10620,E02,0.003766,0.009387,0.006319,0.362718,1,1
10620,E03,-0.400000,-0.742013,-0.342013,0.472084,0,0
10650,E02,0.003679,0.002886,-0.000881,0.362912,1,1
10650,E03,-0.400000,-0.752303,-0.352303,0.474034,0,0
10680,E02,0.003340,-0.000022,-0.003700,0.360504,1,1
10680,E03,-0.400000,-0.759654,-0.359654,0.473066,0,0
10710,E02,0.003343,0.003375,0.000035,0.358438,1,1
10710,E03,-0.400000,-0.768172,-0.368172,0.473359,0,0
10740,E02,0.003498,0.005296,0.001953,0.355799,1,1
10740,E03,-0.400000,-0.781763,-0.381763,0.480608,0,0
10770,E02,0.003824,0.007891,0.004393,0.353500,1,1
10770,E03,-0.400000,-0.789760,-0.389760,0.480529,0,0
10800,E02,0.004330,0.011057,0.007232,0.351568,1,1
10800,E03,-0.400000,-0.798415,-0.398415,0.481267,0,0
10830,E02,0.005302,0.019474,0.015143,0.355151,1,1
10830,E03,-0.400000,-0.804886,-0.404886,0.480037,1,0
10860,E02,0.006436,0.024001,0.018699,0.354264,1,1
10860,E03,-0.400000,-0.809394,-0.409394,0.477533,1,0
10890,E02,0.007864,0.031808,0.025372,0.357160,1,1
10890,E03,-0.400000,-0.817540,-0.417540,0.478179,1,0
10920,E02,0.009347,0.035446,0.027581,0.355714,1,1
10920,E03,-0.369229,0.172906,0.572906,0.480603,1,0
10950,E02,0.010601,0.033619,0.024273,0.353405,1,1
10950,E03,-0.342412,0.162985,0.532214,0.483608,1,0
10980,E02,0.012072,0.040932,0.030331,0.355979,1,1
10980,E03,-0.319097,0.152077,0.494489,0.488098,1,0
11010,E02,0.013693,0.047406,0.035335,0.357496,1,1
