SOD,sat,delta_wl,raw_residual,corrected_residual,wl_fixable_before,wl_fixable_after
10380.0,E02,0.0435,0.0691,0.0256,0,0
10440.0,E03,0.1505,0.2986,0.1481,0,0
11880.0,E02,0.0435,0.1635,0.1200,0,0
11940.0,E03,0.1505,0.1125,0.0380,0,0
23280.0,E34,0.1990,0.3309,0.1319,0,0
24780.0,E34,0.1990,0.2200,0.0210,0,0
30540.0,E14,0.3720,0.4472,0.0752,0,1
39840.0,E13,0.0550,0.0100,0.0650,0,0
41340.0,E13,0.0550,0.0233,0.0317,0,0
47850.0,E03,0.1505,0.0821,0.0684,0,0
49350.0,E03,0.1505,0.1288,0.0217,0,0
53100.0,E07,0.0590,0.0844,0.0254,0,0
54600.0,E07,0.0590,0.1405,0.0815,0,0
60870.0,E26,0.0385,0.0084,0.0301,0,0
61290.0,E29,0.2795,0.2997,0.0202,0,0
62370.0,E26,0.0385,0.0943,0.0558,0,0
62790.0,E29,0.2795,0.3791,0.0996,0,0
