SOD,sat,epochs_since_entry,old_I_state,GF_measured,GF_test_skipped,skip_reason,reset_triggered,trigger_reason
1290.0,G07,0,0.0000,-1.0998,1,old_I_zero,0,guarded
3330.0,G01,0,0.0000,0.3493,1,old_I_zero,0,guarded
7650.0,G16,0,0.0000,2.1292,1,old_I_zero,0,guarded
7830.0,G16,0,0.0000,4.0166,1,old_I_zero,0,guarded
7920.0,G16,0,0.0000,5.4139,1,old_I_zero,0,guarded
8100.0,G16,0,0.0000,5.2949,1,old_I_zero,0,guarded
8190.0,G16,0,0.0000,5.1125,1,old_I_zero,0,guarded
10380.0,G03,0,0.0000,6.6196,1,old_I_zero,0,guarded
10530.0,G03,0,0.0000,6.9968,1,old_I_zero,0,guarded
10740.0,G03,0,0.0000,8.2736,1,old_I_zero,0,guarded
10920.0,G03,0,0.0000,8.1777,1,old_I_zero,0,guarded
11040.0,G27,0,0.0000,6.5794,1,old_I_zero,0,guarded
11190.0,G03,0,0.0000,8.0711,1,old_I_zero,0,guarded
11340.0,G27,0,0.0000,8.4945,1,old_I_zero,0,guarded
11430.0,G27,0,0.0000,9.4606,1,old_I_zero,0,guarded
12750.0,G30,0,0.0000,6.9655,1,old_I_zero,0,guarded
12810.0,G27,0,0.0000,14.2910,1,old_I_zero,0,guarded
14400.0,G08,0,0.0000,8.4943,1,old_I_zero,0,guarded
14490.0,G08,0,0.0000,9.1079,1,old_I_zero,0,guarded
14580.0,G08,0,0.0000,8.5221,1,old_I_zero,0,guarded
14730.0,G08,0,0.0000,9.3939,1,old_I_zero,0,guarded
14820.0,G08,0,0.0000,8.4726,1,old_I_zero,0,guarded
14910.0,G08,0,0.0000,9.9040,1,old_I_zero,0,guarded
15030.0,G08,0,0.0000,10.4805,1,old_I_zero,0,guarded
15270.0,G08,0,0.0000,11.6707,1,old_I_zero,0,guarded
15360.0,G08,0,0.0000,11.1483,1,old_I_zero,0,guarded
15450.0,G01,0,0.0000,15.1157,1,old_I_zero,0,guarded
15450.0,G08,0,0.0000,10.5810,1,old_I_zero,0,guarded
15690.0,G08,0,0.0000,11.8609,1,old_I_zero,0,guarded
15840.0,G08,0,0.0000,12.6507,1,old_I_zero,0,guarded
15930.0,G08,0,0.0000,12.7790,1,old_I_zero,0,guarded
16080.0,G08,0,0.0000,14.2011,1,old_I_zero,0,guarded
16170.0,G08,0,0.0000,14.5814,1,old_I_zero,0,guarded
16290.0,G08,0,0.0000,15.5706,1,old_I_zero,0,guarded
16440.0,G08,0,0.0000,15.2043,1,old_I_zero,0,guarded
16530.0,G08,0,0.0000,16.9510,1,old_I_zero,0,guarded
16710.0,G08,0,0.0000,15.7267,1,old_I_zero,0,guarded
16800.0,G08,0,0.0000,17.3899,1,old_I_zero,0,guarded
16980.0,G08,0,0.0000,17.0808,1,old_I_zero,0,guarded
17130.0,G04,0,0.0000,13.9811,1,old_I_zero,0,guarded
17460.0,G02,0,0.0000,17.9305,1,old_I_zero,0,guarded
18720.0,G02,0,0.0000,20.2955,1,old_I_zero,0,guarded
18810.0,G02,0,0.0000,21.0359,1,old_I_zero,0,guarded
18930.0,G02,0,0.0000,20.9911,1,old_I_zero,0,guarded
19140.0,G02,0,0.0000,20.5150,1,old_I_zero,0,guarded
19290.0,G02,0,0.0000,22.0715,1,old_I_zero,0,guarded
19440.0,G02,0,0.0000,23.0716,1,old_I_zero,0,guarded
19560.0,G02,0,0.0000,22.9650,1,old_I_zero,0,guarded
19650.0,G02,0,0.0000,22.8552,1,old_I_zero,0,guarded
19890.0,G02,0,0.0000,23.9852,1,old_I_zero,0,guarded
20100.0,G02,0,0.0000,24.5803,1,old_I_zero,0,guarded
20250.0,G02,0,0.0000,24.1583,1,old_I_zero,0,guarded
20430.0,G02,0,0.0000,26.4042,1,old_I_zero,0,guarded
20580.0,G02,0,0.0000,26.0920,1,old_I_zero,0,guarded
21780.0,G09,0,0.0000,14.1277,1,old_I_zero,0,guarded
21870.0,G09,0,0.0000,14.4044,1,old_I_zero,0,guarded
21960.0,G09,0,0.0000,14.2004,1,old_I_zero,0,guarded
22140.0,G09,0,0.0000,16.9688,1,old_I_zero,0,guarded
22290.0,G09,0,0.0000,17.1110,1,old_I_zero,0,guarded
22470.0,G09,0,0.0000,16.8420,1,old_I_zero,0,guarded
23820.0,G01,0,0.0000,19.6988,1,old_I_zero,0,guarded
23910.0,G01,0,0.0000,20.0759,1,old_I_zero,0,guarded
24000.0,G01,0,0.0000,21.0575,1,old_I_zero,0,guarded
24090.0,G01,0,0.0000,20.2753,1,old_I_zero,0,guarded
24180.0,G01,0,0.0000,20.3835,1,old_I_zero,0,guarded
24270.0,G01,0,0.0000,21.4439,1,old_I_zero,0,guarded
24360.0,G01,0,0.0000,20.4670,1,old_I_zero,0,guarded
24450.0,G01,0,0.0000,21.3851,1,old_I_zero,0,guarded
24540.0,G01,0,0.0000,21.0822,1,old_I_zero,0,guarded
24660.0,G01,0,0.0000,22.2353,1,old_I_zero,0,guarded
24750.0,G01,0,0.0000,22.2508,1,old_I_zero,0,guarded
24900.0,G01,0,0.0000,22.8196,1,old_I_zero,0,guarded
