SOD,sat,sigma_P2_before,sigma_P2_after,sigma_L2_before,sigma_L2_after,elevation_deg,residual_P2_mm,residual_L2_mm
0.0,G01,687.1307,1030.6960,114.5218,137.4261,25.89,-1456.07,-921.84
0.0,G03,343.0078,514.5117,57.1680,68.6016,61.00,-4534.60,-921.84
0.0,G04,683.3937,1025.0906,113.8990,136.6787,26.04,-3721.64,-921.84
0.0,G08,1093.7654,1640.6481,182.2942,218.7531,15.92,-1423.05,-921.84
0.0,G16,317.8866,476.8299,52.9811,63.5773,70.69,-4651.91,-921.84
0.0,G26,463.6456,695.4684,77.2743,92.7291,40.32,-7190.12,-921.84
0.0,G27,799.1108,1198.6662,133.1851,159.8222,22.05,-4353.47,-921.84
0.0,G31,721.0590,1081.5885,120.1765,144.2118,24.59,-6677.90,-921.84
30.0,G01,689.5803,1034.3705,114.9301,137.9161,25.79,-725.82,70.26
30.0,G03,342.3727,513.5590,57.0621,68.4745,61.19,-231.32,162.28
30.0,G04,680.3985,1020.5977,113.3997,136.0797,26.16,-912.07,192.07
30.0,G08,1086.0371,1629.0556,181.0062,217.2074,16.04,374.32,243.75
30.0,G16,317.9618,476.9427,52.9936,63.5924,70.65,-45.91,125.12
30.0,G26,465.6263,698.4394,77.6044,93.1253,40.11,69.33,6.36
30.0,G27,795.5170,1193.2755,132.5862,159.1034,22.15,-814.20,221.94
30.0,G31,724.9153,1087.3729,120.8192,144.9831,24.45,-216.03,29.98
60.0,G01,692.0518,1038.0777,115.3420,138.4104,25.69,-670.67,182.63
60.0,G03,341.7476,512.6215,56.9579,68.3495,61.38,197.98,270.45
60.0,G04,677.4224,1016.1336,112.9037,135.4845,26.29,-1494.37,305.25
60.0,G08,1078.3886,1617.5829,179.7314,215.6777,16.15,-1819.42,387.95
60.0,G16,318.0450,477.0674,53.0075,63.6090,70.61,-401.38,242.07
60.0,G26,467.6317,701.4476,77.9386,93.5263,39.91,778.40,206.22
60.0,G27,791.9514,1187.9271,131.9919,158.3903,22.26,-121.01,354.31
60.0,G31,728.8049,1093.2074,121.4675,145.7610,24.31,-501.24,214.39
90.0,G01,694.5457,1041.8186,23.1515,27.7818,25.59,14.26,206.69
90.0,G03,341.1326,511.6989,11.3711,13.6453,61.57,-59.59,288.82
90.0,G04,674.4654,1011.6981,22.4822,26.9786,26.41,-563.05,306.31
90.0,G08,1070.8202,1606.2303,35.6940,42.8328,16.27,-4281.93,431.56
90.0,G16,318.1361,477.2042,10.6045,12.7254,70.56,27.51,274.52
90.0,G26,469.6622,704.4933,15.6554,18.7865,39.70,264.95,234.40
90.0,G27,788.4144,1182.6215,26.2805,31.5366,22.37,152.93,403.35
90.0,G31,732.7282,1099.0923,24.4243,29.3091,24.17,-907.58,216.11
120.0,G01,697.0621,1045.5932,23.2354,27.8825,25.49,638.94,270.44
120.0,G03,340.5275,510.7913,11.3509,13.6211,61.76,-377.12,321.60
120.0,G04,671.5274,1007.2912,22.3842,26.8611,26.53,-545.77,332.07
120.0,G08,1063.3302,1594.9954,35.4443,42.5332,16.39,-3380.62,400.32
120.0,G16,318.2353,477.3529,10.6078,12.7294,70.51,559.90,332.91
120.0,G26,471.7180,707.5770,15.7239,18.8687,39.49,-284.27,299.42
120.0,G27,784.9052,1177.3578,26.1635,31.3962,22.47,1675.30,453.14
120.0,G31,736.6853,1105.0279,24.5562,29.4674,24.03,-350.37,253.22
150.0,G01,699.6013,1049.4019,23.3200,27.9841,25.39,-353.97,-373.59
150.0,G03,339.9324,509.8985,11.3311,13.5973,61.95,-593.01,-368.36
150.0,G04,668.6083,1002.9125,22.2869,26.7443,26.66,-859.95,-368.74
150.0,G08,1055.9180,1583.8771,35.1973,42.2367,16.51,-1749.46,-306.33
150.0,G16,318.3424,477.5136,10.6114,12.7337,70.46,-27.53,-324.11
150.0,G26,473.7994,710.6991,15.7933,18.9520,39.29,-1017.76,-345.24
150.0,G27,781.4239,1172.1358,26.0475,31.2570,22.58,1039.74,-211.29
150.0,G31,740.6766,1111.0149,24.6892,29.6271,23.89,-421.61,-402.17
180.0,G01,702.1632,1053.2449,23.4054,28.0865,25.29,-91.91,137.37
180.0,G03,339.3470,509.0205,11.3116,13.5739,62.13,410.06,100.62
180.0,G04,665.7080,998.5619,22.1903,26.6283,26.79,-280.55,116.15
180.0,G08,1048.5828,1572.8742,34.9528,41.9433,16.62,323.54,145.89
180.0,G16,318.4575,477.6863,10.6153,12.7383,70.40,-164.88,183.63
180.0,G26,475.9069,713.8603,15.8636,19.0363,39.08,-23.03,140.80
180.0,G27,777.9703,1166.9554,25.9323,31.1188,22.68,-119.11,299.69
180.0,G31,744.7025,1117.0537,24.8234,29.7881,23.76,143.58,137.27
210.0,G01,704.7481,1057.1222,23.4916,28.1899,25.19,120.40,-162.16
210.0,G03,338.7714,508.1571,11.2924,13.5509,62.32,-185.07,-195.34
210.0,G04,662.8261,994.2392,22.0942,26.5130,26.91,-1092.70,-225.50
210.0,G08,1041.3236,1561.9854,34.7108,41.6529,16.74,-69.49,-120.82
210.0,G16,318.5807,477.8710,10.6194,12.7432,70.34,-294.38,-113.18
210.0,G26,478.0407,717.0611,15.9347,19.1216,38.87,290.16,-123.77
210.0,G27,774.5443,1161.8165,25.8181,30.9818,22.79,-384.01,-21.46
210.0,G31,748.7634,1123.1450,24.9588,29.9505,23.62,-656.83,-117.33
240.0,G01,707.3561,1061.0342,23.5785,28.2942,25.09,211.55,131.41
240.0,G03,338.2056,507.3084,11.2735,13.5282,62.50,-57.31,70.17
