sat,sod,selected_L2_phase_signal,switch_detected,ambiguity_reset_triggered,GF_jump_mm,MW_jump_mm
G01,0.0,L2W,0,0,0.000,0.000
G03,0.0,L2W,0,0,0.000,0.000
G04,0.0,L2W,0,0,0.000,0.000
G08,0.0,L2W,0,0,0.000,0.000
G16,0.0,L2W,0,0,0.000,0.000
G26,0.0,L2W,0,0,0.000,0.000
G27,0.0,L2W,0,0,0.000,0.000
G01,30.0,L2W,0,0,-1.824,130.872
G03,30.0,L2W,0,0,-0.615,103.879
G04,30.0,L2W,0,0,-1.351,118.020
G08,30.0,L2W,0,0,-14.580,12.998
G16,30.0,L2W,0,0,-3.086,-312.114
G26,30.0,L2W,0,0,1.890,-193.166
G27,30.0,L2W,0,0,-4.773,345.427
G01,60.0,L2W,0,0,-1.164,348.930
G03,60.0,L2W,0,0,1.173,44.176
G04,60.0,L2W,0,0,-5.030,772.732
G08,60.0,L2W,0,0,-30.526,382.914
G16,60.0,L2W,0,0,-1.519,214.160
G26,60.0,L2W,0,0,0.653,-360.250
G27,60.0,L2W,0,0,-17.047,-458.011
G01,90.0,L2W,0,0,-0.790,-277.245
G03,90.0,L2W,0,0,0.270,76.067
G04,90.0,L2W,0,0,0.603,-49.594
G08,90.0,L2W,0,1,-45.582,1586.102
G16,90.0,L2W,0,0,-1.840,-151.609
G26,90.0,L2W,0,0,-2.880,197.112
G27,90.0,L2W,0,0,-21.744,108.692
G01,120.0,L2W,0,0,-0.111,-40.280
G03,120.0,L2W,0,0,0.787,153.986
G04,120.0,L2W,0,0,-3.974,96.914
G08,120.0,L2W,0,0,-18.582,-405.868
G16,120.0,L2W,0,0,-1.583,5.189
G26,120.0,L2W,0,0,-0.228,238.714
G27,120.0,L2W,0,0,-14.161,-133.983
G01,150.0,L2W,0,0,-7.951,-77.516
G03,150.0,L2W,0,0,2.490,-68.524
G04,150.0,L2W,0,0,-2.274,-297.196
G08,150.0,L2W,0,0,-9.435,-135.131
G16,150.0,L2W,0,0,-2.322,-179.233
G26,150.0,L2W,0,0,-0.974,231.286
G27,150.0,L2W,0,0,-16.844,-455.382
