epoch,sat,constellation,residual_mm,S_phase_mm2,NIS,gate_mode,accepted,K_amb,clk_sigma_mm,amb_sigma_mm
1,G01,G,-90.4838,300405904381.3073,2.72542093e-08,absolute,1,0.001332,547729.9976,20000.0000
2,E05,E,22.0650,300403589262.4615,1.62070024e-09,absolute,1,0.001332,547726.3097,20000.0000
3,G01,G,7.1568,300001031304.7729,1.70733834e-10,absolute,1,0.000002,547725.1967,1481.3819
3,G27,G,6.4058,300402279791.8757,1.36598563e-10,absolute,1,0.001332,547725.1967,20000.0000
6,G27,G,70.4427,300000772306.5756,1.65405491e-08,absolute,1,0.000001,547724.0997,1058.4320
7,G08,G,-40.4602,300401115117.9828,5.44946379e-09,absolute,1,0.001332,547723.6339,20000.0000
9,E05,E,-97.7568,300001028610.1451,3.18545034e-08,absolute,1,0.000002,547723.7353,1066.8881
9,G01,G,-4.1859,300000685285.2591,5.84062516e-11,absolute,1,0.000001,547723.7353,854.3206
11,E05,E,15.0713,300000615268.5095,7.57149777e-10,absolute,1,0.000000,547723.6027,777.5927
11,G01,G,13.4960,300000615372.0408,6.07143194e-10,absolute,1,0.000000,547723.6027,754.4222
13,G27,G,4.8622,300000608082.9753,7.88026686e-11,absolute,1,0.000000,547723.4822,675.9260
14,E05,E,-0.5437,300000001111.8837,9.85239281e-13,absolute,1,0.000000,547723.0597,679.9614
14,G01,G,20.7737,300000001896.6766,1.43849508e-09,absolute,1,0.000000,547723.0597,645.7477
15,E05,E,51.0518,300000000140.9496,8.68763208e-09,absolute,1,0.000000,547722.8700,647.9804
15,G01,G,51.4478,300000000108.0684,8.82292086e-09,absolute,1,0.000000,547722.8700,554.4857
15,G27,G,-84.1956,300000001127.2515,2.36296754e-08,absolute,1,0.000000,547722.8700,548.2022
16,G01,G,76.3041,300000000099.6824,1.94077002e-08,absolute,1,0.000000,547722.7397,449.1273
16,G27,G,90.3880,300000000114.1739,2.72333198e-08,absolute,1,0.000000,547722.7397,416.2328
18,E05,E,-58.4137,300000563972.0808,1.13738433e-08,absolute,1,0.000000,547723.1363,587.3850
18,G27,G,-90.1469,300000563951.8967,2.70881583e-08,absolute,1,0.000000,547723.1363,389.2044
19,E05,E,16.2848,300000000118.4590,8.83984508e-10,absolute,1,0.000000,547722.7074,568.9080
19,G01,G,-85.7815,300000000146.7465,2.45282147e-08,absolute,1,0.000000,547722.7074,405.9884
19,G27,G,-0.4653,300000000095.3356,7.21529877e-13,absolute,1,0.000000,547722.7074,376.8775
20,E05,E,39.8782,300000000107.3938,5.30091585e-09,absolute,1,0.000000,547722.6917,551.4656
20,G01,G,-40.7834,300000000093.7536,5.54428615e-09,absolute,1,0.000000,547722.6917,389.7148
20,G27,G,32.2674,300000000088.9059,3.47062484e-09,absolute,1,0.000000,547722.6917,361.0096
23,G01,G,20.3517,300000558587.5739,1.38063698e-09,absolute,1,0.000000,547723.1125,365.3254
24,E05,E,-60.0022,300000000186.1357,1.20008697e-08,absolute,1,0.000000,547722.6686,504.2595
