SOD,sat,old_I_m,new_I_m,trigger,used_ionex,VTEC,sigma_new_m
80730.0,G31,-2.0082,1.7221,neg(-2.008m),1,9.129,3.000
80760.0,G31,-2.0994,1.7195,neg(-2.099m),1,9.097,3.000
80790.0,G31,-2.0219,1.7168,neg(-2.022m),1,9.065,3.000
80880.0,G31,-2.0070,1.7090,neg(-2.007m),1,8.969,3.000
81000.0,G31,-2.0048,1.6986,neg(-2.005m),1,8.841,3.000
81030.0,G31,-2.0486,1.6960,neg(-2.049m),1,8.809,3.000
81060.0,G31,-2.0304,1.6934,neg(-2.030m),1,8.777,3.000
81090.0,G31,-2.0626,1.6909,neg(-2.063m),1,8.745,3.000
81120.0,G03,-2.0545,2.3599,neg(-2.054m),1,7.649,3.000
81120.0,G31,-2.1494,1.6883,neg(-2.149m),1,8.713,3.000
81150.0,G31,-2.1449,1.6858,neg(-2.145m),1,8.681,3.000
81180.0,G31,-2.0136,1.6832,neg(-2.014m),1,8.649,3.000
81240.0,G31,-2.0816,1.6782,neg(-2.082m),1,8.586,3.000
81270.0,G31,-2.1791,1.6757,neg(-2.179m),1,8.554,3.000
81300.0,G31,-2.0533,1.6731,neg(-2.053m),1,8.522,3.000
81330.0,G31,-2.0987,1.6706,neg(-2.099m),1,8.491,3.000
81360.0,G31,-2.2439,1.6681,neg(-2.244m),1,8.459,3.000
81390.0,G31,-2.2397,1.6656,neg(-2.240m),1,8.427,3.000
81420.0,G31,-2.0997,1.6631,neg(-2.100m),1,8.396,3.000
81480.0,G31,-2.0668,1.6582,neg(-2.067m),1,8.333,3.000
81510.0,G31,-2.1403,1.6557,neg(-2.140m),1,8.301,3.000
81540.0,G31,-2.0009,1.6532,neg(-2.001m),1,8.270,3.000
81570.0,G31,-2.0558,1.6507,neg(-2.056m),1,8.238,3.000
81600.0,G31,-2.1850,1.6483,neg(-2.185m),1,8.207,3.000
81630.0,G31,-2.2597,1.6458,neg(-2.260m),1,8.175,3.000
81660.0,G31,-2.0843,1.6433,neg(-2.084m),1,8.144,3.000
81750.0,G03,-2.0389,2.0897,neg(-2.039m),1,7.404,3.000
81750.0,G31,-2.0282,1.6359,neg(-2.028m),1,8.050,3.000
81780.0,G03,-2.2437,2.0773,neg(-2.244m),1,7.390,3.000
81810.0,G03,-2.1703,2.0649,neg(-2.170m),1,7.377,3.000
81840.0,G03,-2.0169,2.0525,neg(-2.017m),1,7.363,3.000
