epoch,sod,x_isb_m,sigma_isb_m,gps_code_mean_mm,gal_code_mean_mm,phase_same_sign_percent,phase_rms_mm,demeaned_phase_rms_mm,num_phase_reject
1,0.0,0.000000,5.000003,-2018.57,nan,100.0,nan,47.328,0
2,30.0,0.000000,5.000003,707.29,nan,71.4,nan,891.946,0
3,60.0,0.000000,5.000003,259.92,nan,0.0,nan,0.000,0
4,90.0,0.000000,5.000003,146.45,nan,71.4,334.618,334.567,4
5,120.0,0.000000,5.000003,-28.09,nan,85.7,748.387,406.171,7
6,150.0,0.000000,5.000003,-50.75,nan,71.4,279.309,278.994,3
7,180.0,0.000000,5.000003,17.22,nan,71.4,308.600,284.572,7
8,210.0,0.000000,5.000003,-37.66,nan,57.1,271.575,271.046,4
9,240.0,0.000000,5.000003,-112.07,nan,85.7,520.435,276.218,6
10,270.0,0.000000,5.000003,-228.49,nan,71.4,340.127,309.055,4
11,300.0,0.000000,5.000003,246.29,nan,85.7,441.303,331.112,7
12,330.0,0.000000,5.000003,54.28,nan,71.4,317.435,290.880,7
13,360.0,0.000000,5.000003,-102.13,nan,100.0,329.892,227.751,5
14,390.0,0.000000,5.000003,-135.54,nan,57.1,235.930,230.149,5
15,420.0,0.000000,5.000003,36.89,nan,85.7,368.197,249.324,5
16,450.0,0.000000,5.000003,-289.14,nan,57.1,229.493,214.233,5
17,480.0,0.000000,5.000003,-544.54,nan,71.4,235.211,201.602,5
18,510.0,0.000000,5.000004,-123.29,nan,100.0,488.325,230.511,7
19,540.0,0.000000,5.000004,-73.59,nan,71.4,266.005,230.401,5
20,570.0,0.000000,5.000004,-159.26,nan,57.1,275.173,269.337,3
21,600.0,0.000000,5.000004,-90.56,nan,50.0,272.229,3831.857,3
22,630.0,0.000000,5.000004,417.80,nan,62.5,260.148,3763.596,5
23,660.0,0.000000,5.000004,956.82,nan,57.1,250.844,242.804,3
24,690.0,0.000000,5.000004,256.51,nan,57.1,270.892,244.282,3
25,720.0,0.000000,5.000004,1.98,nan,71.4,267.378,229.217,3
26,750.0,0.000000,5.000004,3.46,nan,85.7,234.637,232.719,5
27,780.0,0.000000,5.000004,-261.80,nan,57.1,242.946,242.946,5
28,810.0,0.000000,5.000004,-282.17,nan,100.0,334.698,240.458,7
29,840.0,0.000000,5.000004,306.87,nan,85.7,290.538,248.400,2
30,870.0,0.000000,5.000004,-3.82,nan,100.0,379.842,248.434,7
60,1770.0,0.000000,5.000005,659.51,nan,55.6,302.248,1467.815,6
90,2670.0,0.000000,5.000006,26.12,nan,66.7,274.171,323.547,7
120,3570.0,0.000000,5.000007,-556.73,nan,87.5,214.649,157.580,5
150,4470.0,0.000000,5.000007,-294.65,nan,71.4,105.298,75.207,5
180,5370.0,0.000000,5.000007,-179.26,nan,100.0,176.442,41.111,7
210,6270.0,0.000000,5.000007,307.14,nan,100.0,531.102,56.766,7
240,7170.0,0.000000,5.000007,-104.54,nan,100.0,297.328,30.013,7
270,8070.0,0.000000,5.000007,323.98,nan,71.4,19.493,1240.938,6
300,8970.0,0.000000,5.000007,-260.72,nan,100.0,175.462,28.786,7
330,9870.0,0.000000,5.000007,168.25,nan,71.4,43.745,38.465,1
360,10770.0,0.000000,5.000007,-570.69,nan,75.0,247.080,1465.688,6
390,11670.0,0.000000,5.000007,920.02,nan,85.7,470.965,246.010,6
420,12570.0,0.000000,5.000007,81.67,nan,85.7,459.539,260.642,7
450,13470.0,0.000000,5.000007,-259.93,nan,100.0,317.227,155.484,8
480,14370.0,0.000000,5.000007,-35.19,nan,55.6,121.073,127.536,4
510,15270.0,0.000000,5.000007,320.45,nan,50.0,140.851,141.674,9
540,16170.0,0.000000,5.000007,295.37,nan,100.0,605.317,210.983,10
570,17070.0,0.000000,5.000007,12.16,nan,90.9,411.594,1756.900,9
600,17970.0,0.000000,5.000007,-50.49,nan,100.0,871.383,190.769,9
630,18870.0,0.000000,5.000007,212.65,nan,55.6,250.048,879.403,4
660,19770.0,0.000000,5.000007,7.33,nan,100.0,262.019,875.041,8
690,20670.0,0.000000,5.000007,345.76,nan,66.7,255.511,200.719,4
720,21570.0,0.000000,5.000007,513.67,nan,90.0,323.842,211.283,9
750,22470.0,0.000000,5.000007,-53.90,nan,60.0,272.589,452.679,4
780,23370.0,0.000000,5.000007,-306.61,nan,88.9,331.045,249.886,8
810,24270.0,0.000000,5.000007,162.68,nan,88.9,370.914,334.271,7
840,25170.0,0.000000,5.000007,-457.79,nan,55.6,276.894,333.994,7
870,26070.0,0.000000,5.000007,-189.49,nan,55.6,248.985,299.563,7
900,26970.0,0.000000,5.000007,69.99,nan,66.7,297.146,3728.284,7
930,27870.0,0.000000,5.000007,-21.47,nan,44.4,259.848,696.452,6
960,28770.0,0.000000,5.000007,-42.03,nan,87.5,232.006,187.321,8
990,29670.0,0.000000,5.000007,232.16,nan,100.0,351.085,154.322,9
