epoch,sod,x_isb_m,sigma_isb_m,gps_code_mean_mm,gal_code_mean_mm,phase_same_sign_percent,phase_rms_mm,demeaned_phase_rms_mm,num_phase_reject
1,0.0,4.059280,1.554946,-1974.78,-2228.77,100.0,nan,46.522,0
2,30.0,3.850610,1.126875,577.41,533.06,90.0,nan,898.444,0
3,60.0,3.644158,0.927789,154.47,457.50,0.0,nan,0.000,0
4,90.0,3.565479,0.806805,180.18,213.37,70.0,214.727,214.161,8
5,120.0,3.677173,0.723371,-65.49,319.90,100.0,585.849,239.375,7
6,150.0,3.740525,0.661369,-66.02,-189.77,60.0,269.178,265.241,7
7,180.0,3.796499,0.612960,-124.07,491.80,60.0,279.742,278.826,9
8,210.0,3.792325,0.573806,-5.42,184.32,60.0,288.414,286.713,10
9,240.0,3.883214,0.541286,-264.87,282.54,90.0,432.685,309.056,8
10,270.0,3.948178,0.510310,-443.34,-57.47,72.7,341.235,2614.351,9
11,300.0,3.897061,0.484138,530.52,-465.06,54.5,324.581,2595.700,6
12,330.0,3.817366,0.459540,97.92,-431.39,45.5,275.600,262.667,5
13,360.0,3.802615,0.440249,-25.38,-251.36,54.5,205.611,201.573,9
14,390.0,3.818085,0.416985,131.40,284.10,90.9,396.535,190.990,6
15,420.0,3.793406,0.402288,104.27,-88.65,63.6,269.117,257.519,9
16,450.0,3.791823,0.389037,-236.12,107.44,81.8,286.027,252.156,9
17,480.0,3.787381,0.377005,-519.36,4.40,90.9,426.205,254.708,10
18,510.0,3.778457,0.366021,-83.26,-171.25,81.8,339.882,276.244,11
19,540.0,3.787769,0.355926,-152.98,-11.87,63.6,280.124,279.870,8
20,570.0,3.825079,0.346611,-357.52,351.78,63.6,297.438,297.222,8
21,600.0,3.805473,0.337839,-234.91,-530.24,66.7,310.349,3208.199,8
22,630.0,3.827207,0.324695,441.00,296.25,66.7,340.756,3193.187,6
23,660.0,3.821548,0.317352,560.67,-251.48,72.7,324.363,322.222,8
24,690.0,3.828643,0.310478,177.80,-319.23,54.5,325.227,312.554,4
25,720.0,3.834034,0.304028,-150.71,28.30,63.6,307.594,307.592,8
26,750.0,3.838544,0.297358,-165.79,66.98,72.7,345.896,315.105,6
27,780.0,3.839884,0.291470,-429.73,75.98,54.5,337.925,320.575,6
28,810.0,3.829841,0.286063,-305.52,-174.17,54.5,298.775,297.725,11
29,840.0,3.814797,0.280937,381.47,50.01,90.9,358.445,292.759,6
30,870.0,3.808695,0.276072,74.86,-236.62,54.5,300.791,291.829,6
60,1770.0,3.895463,0.190712,150.81,-674.58,85.7,350.002,1266.209,14
90,2670.0,3.882911,0.151712,-343.83,337.79,85.7,419.753,294.253,13
120,3570.0,3.865997,0.129167,-617.50,-415.88,66.7,458.111,444.869,8
150,4470.0,3.834719,0.113991,-266.91,93.80,100.0,280.955,62.706,12
180,5370.0,3.874639,0.102615,-273.05,33.59,100.0,207.893,73.437,11
210,6270.0,3.847114,0.093878,573.57,-361.56,100.0,171.970,66.538,11
240,7170.0,3.850364,0.086872,79.79,-198.02,72.7,55.547,44.309,11
270,8070.0,3.873576,0.081135,194.11,126.31,90.9,76.969,984.814,10
300,8970.0,3.886897,0.076325,-482.29,305.24,76.9,35.446,316.291,12
330,9870.0,3.906084,0.072197,129.33,-38.02,92.3,38.707,14.685,10
360,10770.0,3.920159,0.068659,-683.49,-89.47,85.7,129.759,1115.506,12
390,11670.0,3.932673,0.065626,1140.67,-254.41,100.0,191.880,49.841,13
420,12570.0,3.950767,0.063026,68.43,25.42,100.0,386.466,30.546,13
450,13470.0,3.957535,0.060725,-309.94,-38.57,100.0,190.274,2752.197,12
480,14370.0,3.973575,0.058670,-25.14,191.65,80.0,50.246,2671.187,13
510,15270.0,3.989983,0.056851,254.18,42.07,93.8,82.273,2593.110,14
540,16170.0,4.010785,0.055203,85.54,278.37,100.0,424.938,112.501,14
570,17070.0,4.017639,0.053741,-41.00,111.19,100.0,322.212,1520.601,13
600,17970.0,4.032986,0.052400,-408.37,413.69,100.0,562.789,76.201,13
630,18870.0,4.052900,0.051161,12.86,217.73,69.2,47.100,718.747,6
660,19770.0,4.066760,0.050013,-82.61,227.97,100.0,141.677,716.978,12
690,20670.0,4.073994,0.048960,354.01,107.84,92.3,257.529,3432.562,11
720,21570.0,4.085902,0.048017,478.93,-27.43,85.7,321.227,144.638,11
750,22470.0,4.099043,0.047147,228.67,-16.74,93.3,502.294,356.958,14
780,23370.0,4.105768,0.046338,-532.78,869.43,78.6,158.735,2542.297,11
810,24270.0,4.119115,0.045636,-28.56,285.67,76.9,201.482,204.313,12
840,25170.0,4.129211,0.044969,-386.28,367.83,100.0,245.506,194.486,11
870,26070.0,4.138471,0.044327,-137.49,-207.69,92.3,198.007,168.574,9
900,26970.0,4.142074,0.043716,53.42,-96.69,92.3,151.732,3127.448,12
930,27870.0,4.151611,0.043115,-176.93,265.82,61.5,88.646,546.147,9
960,28770.0,4.157306,0.042525,-120.00,263.13,92.3,196.832,97.271,12
990,29670.0,4.157172,0.041842,-269.06,267.65,100.0,125.739,81.507,12
1020,30570.0,4.154167,0.041142,74.76,51.98,100.0,198.196,80.204,14
1050,31470.0,4.154704,0.040482,918.46,-289.44,46.7,89.400,164.658,14
1080,32370.0,4.152351,0.039844,-251.07,244.31,64.3,145.165,119.201,8
1110,33270.0,4.155081,0.039249,-170.87,-15.34,53.8,169.296,134.304,7
1140,34170.0,4.160587,0.038694,488.89,-20.95,76.9,185.804,16347.885,6
1170,35070.0,4.161657,0.038154,-195.65,431.60,92.9,174.071,215.084,12
1200,35970.0,4.165312,0.037639,310.86,-27.66,50.0,85.959,207.912,12
1230,36870.0,4.167470,0.037151,385.27,-61.54,64.3,113.637,944.463,11
1260,37770.0,4.169250,0.036691,152.03,-48.43,61.5,81.375,2478.000,9
1290,38670.0,4.174332,0.036255,-180.62,799.32,84.6,426.949,2508.941,12
1320,39570.0,4.176418,0.035838,-167.60,-38.04,78.6,168.902,2679.672,11
1350,40470.0,4.180086,0.035440,707.16,562.65,92.3,163.540,1008.679,11
1380,41370.0,4.183289,0.035068,112.04,455.91,72.7,83.666,199.308,10
1410,42270.0,4.179818,0.034712,240.16,-317.16,53.8,83.928,896.715,6
1440,43170.0,4.177660,0.034383,3.49,425.36,63.6,90.603,1127.638,9
1470,44070.0,4.175674,0.034079,479.28,560.48,54.5,118.677,2837.098,8
1500,44970.0,4.168939,0.033798,-412.94,416.08,66.7,88.671,5942.212,4
1530,45870.0,4.165747,0.033540,101.77,29.02,75.0,650.219,5625.062,9
1560,46770.0,4.160594,0.033314,-44.51,-772.54,58.3,133.049,5922.547,8
1590,47670.0,4.154951,0.033090,-63.26,182.13,46.2,424.282,5487.663,7
1620,48570.0,4.151440,0.032886,-7.16,285.40,50.0,291.002,3661.456,9
1650,49470.0,4.148611,0.032695,-124.58,19.36,53.8,219.879,932.326,12
1680,50370.0,4.145035,0.032517,54.05,-1164.15,69.2,310.797,563.106,8
1710,51270.0,4.143744,0.032350,-15.27,-43.25,91.7,547.361,603.078,11
1740,52170.0,4.144518,0.032191,771.57,-58.55,50.0,215.055,206.240,9
1770,53070.0,4.144292,0.032033,-444.98,234.94,84.6,242.719,159.654,10
1800,53970.0,4.143071,0.031881,-286.62,6.62,63.6,227.454,155.568,9
1830,54870.0,4.142320,0.031752,584.78,-245.38,90.9,591.874,226.192,10
1860,55770.0,4.140353,0.031615,27.74,-190.59,90.9,345.495,336.643,9
1890,56670.0,4.142174,0.031473,260.53,4.03,87.5,433.582,210.272,7
1920,57570.0,4.143360,0.031328,-550.25,487.20,100.0,456.661,146.409,10
1950,58470.0,4.146600,0.031171,-139.28,302.42,88.9,230.168,156.113,9
1980,59370.0,4.148403,0.031005,237.00,-228.24,55.6,158.216,151.655,9
2010,60270.0,4.147387,0.030820,-206.33,321.08,72.7,210.383,174.380,11
2040,61170.0,4.146131,0.030619,490.24,-177.53,81.8,251.646,5348.308,8
2070,62070.0,4.144024,0.030408,-133.30,345.12,54.5,145.710,1697.762,10
2100,62970.0,4.143796,0.030191,1040.09,-434.96,83.3,201.338,2377.294,11
2130,63870.0,4.142541,0.029960,-135.33,-198.78,58.3,153.689,3709.416,5
2160,64770.0,4.140387,0.029719,327.86,208.95,69.2,164.027,195.826,9
2190,65670.0,4.137133,0.029482,58.80,-144.11,91.7,280.063,338.916,10
2220,66570.0,4.134384,0.029240,212.12,-243.36,91.7,210.371,97.256,12
2250,67470.0,4.133678,0.028999,10.82,4.41,81.8,115.394,99.658,4
2280,68370.0,4.131377,0.028763,1295.62,-184.22,83.3,207.677,3413.151,12
2310,69270.0,4.126894,0.028532,538.56,172.94,84.6,160.233,95.414,11
2340,70170.0,4.122770,0.028311,216.65,-539.90,100.0,308.971,108.461,13
2370,71070.0,4.123932,0.028089,15.37,-82.45,50.0,121.597,1812.859,15
2400,71970.0,4.123134,0.027874,18.77,285.17,93.8,168.891,889.860,14
2430,72870.0,4.125202,0.027667,-465.92,75.80,93.3,483.798,598.504,13
2460,73770.0,4.122378,0.027467,220.42,-241.51,53.3,392.355,1685.344,14
2490,74670.0,4.120271,0.027276,153.25,-494.58,100.0,233.688,137.567,14
2520,75570.0,4.120133,0.027088,-21.09,-352.45,71.4,120.077,83.776,7
2550,76470.0,4.119148,0.026927,-11.51,185.24,63.6,127.857,88.543,7
2580,77370.0,4.117149,0.026775,111.96,38.75,100.0,156.439,80.103,10
2610,78270.0,4.115977,0.026631,267.20,134.71,54.5,90.490,83.626,8
2640,79170.0,4.114967,0.026495,24.76,8.54,54.5,91.162,85.165,11
2670,80070.0,4.114949,0.026369,-151.56,-87.69,91.7,288.200,110.034,11
2700,80970.0,4.114511,0.026253,-784.05,-78.95,53.8,136.588,151.688,13
2730,81870.0,4.113903,0.026148,440.04,-433.56,53.8,103.325,2467.942,11
2760,82770.0,4.113449,0.026055,-7.01,-405.04,66.7,177.378,1633.747,11
2790,83670.0,4.112615,0.025969,36.43,-371.28,81.8,240.822,207.563,11
2820,84570.0,4.111866,0.025878,-639.53,-181.17,81.8,177.933,176.402,5
2850,85470.0,4.110955,0.025790,-674.37,-262.92,90.0,263.942,178.016,10
2880,86370.0,4.109813,0.025702,139.58,-429.71,90.9,196.050,130.458,11
