epoch,sod,x_isb_m,sigma_isb_m,gps_code_mean_mm,gal_code_mean_mm,phase_same_sign_percent,phase_rms_mm,demeaned_phase_rms_mm,num_phase_reject
1,270.0,0.000000,4.999998,nan,-463.68,25.0,nan,17.841,0
2,300.0,0.000000,4.999998,nan,80.75,100.0,1064.265,540.421,3
3,330.0,0.000031,4.999304,nan,508.96,75.0,1574.176,815.115,2
4,360.0,0.000013,4.999304,nan,78.05,50.0,968.024,865.871,4
5,390.0,0.000004,4.999304,nan,-6.28,50.0,803.826,785.105,4
6,420.0,-0.000016,4.999304,nan,223.65,50.0,892.468,825.493,4
7,450.0,-0.000024,4.999304,nan,-126.61,50.0,912.613,912.274,3
8,480.0,-0.000011,4.999304,nan,-183.27,75.0,1095.803,1047.692,4
9,510.0,-0.000001,4.999304,nan,-91.55,50.0,1116.251,1114.326,4
10,540.0,-0.000003,4.999304,nan,15.72,50.0,1221.016,1205.070,4
11,570.0,-0.000006,4.999304,nan,12.99,50.0,1182.478,1166.044,4
12,600.0,-0.000005,4.999304,nan,-40.53,75.0,1275.304,1113.758,4
13,630.0,-0.000010,4.999304,nan,133.33,50.0,1076.065,1072.165,4
14,660.0,-0.000014,4.999304,nan,48.26,50.0,1099.632,1033.453,4
15,690.0,-0.000004,4.999304,nan,-92.98,75.0,1078.430,985.440,3
16,720.0,-0.000008,4.999304,nan,35.69,50.0,949.585,941.548,4
17,750.0,-0.000007,4.999304,nan,-49.09,50.0,896.416,886.547,4
18,780.0,-0.000007,4.999304,nan,-11.38,50.0,938.074,926.951,4
19,810.0,-0.000008,4.999304,nan,23.46,50.0,1009.879,943.330,4
20,840.0,-0.000010,4.999304,nan,70.51,50.0,995.117,924.286,4
21,870.0,-0.000010,4.999304,nan,-90.21,75.0,995.925,924.596,4
22,900.0,-0.000016,4.999304,nan,-232.47,75.0,1058.128,931.672,3
23,930.0,-0.000015,4.999304,nan,-50.04,75.0,1138.639,946.621,4
24,960.0,0.000001,4.999304,nan,69.22,50.0,1007.654,949.693,3
25,990.0,0.000002,4.999304,nan,-127.59,50.0,1001.854,988.179,4
26,1020.0,0.000003,4.999305,nan,-157.97,75.0,1094.942,992.025,4
27,1050.0,0.000000,4.999305,nan,146.47,50.0,1065.151,1005.113,3
28,1080.0,0.000002,4.999305,nan,81.42,75.0,1135.094,1012.172,4
29,1110.0,0.000002,4.999305,nan,109.38,50.0,1077.472,1025.427,3
30,1140.0,0.000006,4.999305,nan,122.66,50.0,1080.294,1037.104,3
60,2040.0,0.000159,4.998612,nan,-148.50,80.0,1082.483,993.509,5
90,2940.0,0.000195,4.997919,nan,-40.04,80.0,849.855,781.938,5
120,3840.0,0.000098,4.997920,nan,-109.42,75.0,893.699,892.561,4
150,4740.0,0.000030,4.997226,nan,66.40,80.0,779.621,777.959,5
180,5640.0,-0.000043,4.997226,nan,53.64,75.0,865.879,841.495,4
210,6540.0,-0.000255,4.996533,nan,-43.66,75.0,609.939,607.839,4
240,7440.0,-0.000277,4.996533,nan,-23.36,100.0,796.206,629.628,4
270,8340.0,-0.000329,4.996533,nan,-266.43,80.0,594.386,594.073,5
300,9240.0,-0.000336,4.995148,nan,-170.52,66.7,568.653,540.660,6
330,10140.0,-0.000392,4.994455,nan,-99.13,83.3,603.623,540.642,4
