sod,sat,const,phase_cycles_L1,phase_cycles_L2,lambda1,lambda2,PPP_phase_range_L1,PPP_phase_range_L2,independent_phase_range_L1,independent_phase_range_L2,difference_L1_mm,difference_L2_mm,PASS
0.0,E04,E,138704877.6760,103578339.7590,0.190293673,0.254828049,26394660.6080,26394666.2178,26394660.6080,26394666.2178,0.0000,0.0000,1
0.0,E09,E,131687063.3410,98337779.2620,0.190293673,0.254828049,25059214.9432,25059224.4118,25059214.9432,25059224.4118,0.0000,0.0000,1
0.0,E16,E,125160227.4140,93463793.0660,0.190293673,0.254828049,23817199.3629,23817196.0196,23817199.3629,23817196.0196,0.0000,0.0000,1
0.0,G01,G,121287881.0110,94510026.5180,0.190293673,0.244210213,23080316.3435,23080313.7467,23080316.3435,23080313.7467,0.0000,0.0000,1
0.0,G03,G,108219453.5560,84326848.3700,0.190293673,0.244210213,20593477.2854,20593477.6379,20593477.2854,20593477.6379,0.0000,0.0000,1
0.0,G04,G,121728456.2630,94853342.5320,0.190293673,0.244210213,23164155.0264,23164155.0238,23164155.0264,23164155.0238,0.0000,0.0000,1
0.0,G08,G,125909281.6800,98111137.5800,0.190293673,0.244210213,23959739.6503,23959741.8477,23959739.6503,23959741.8477,0.0000,0.0000,1
0.0,G16,G,105482384.8290,82194071.9790,0.190293673,0.244210213,20072630.4246,20072631.8602,20072630.4246,20072631.8602,0.0000,0.0000,1
0.0,G26,G,114535959.1510,89248819.6090,0.190293673,0.244210213,21795468.3343,21795473.2846,21795468.3343,21795473.2846,0.0000,0.0000,1
0.0,G27,G,123478658.5990,96217125.4160,0.190293673,0.244210213,23497207.4570,23497204.7329,23497207.4570,23497204.7329,0.0000,0.0000,1
0.0,G31,G,121412439.5480,94607094.2780,0.190293673,0.244210213,23104019.0450,23104018.6851,23104019.0450,23104018.6851,0.0000,0.0000,1
30.0,E04,E,138713580.4640,103584838.6090,0.190293673,0.254828049,26396316.6935,26396322.3070,26396316.6935,26396322.3070,0.0000,0.0000,1
30.0,E05,E,141151236.4530,105405127.4640,0.190293673,0.254828049,26860187.2047,26860182.9642,26860187.2047,26860182.9642,0.0000,0.0000,1
30.0,E09,E,131666012.2770,98322059.3120,0.190293673,0.254828049,25055209.0589,25055218.5276,25055209.0589,25055218.5276,0.0000,0.0000,1
30.0,E16,E,125113877.6790,93429181.2760,0.190293673,0.254828049,23808379.3016,23808375.9647,23808379.3016,23808375.9647,0.0000,0.0000,1
30.0,G01,G,121333776.3060,94545789.0930,0.190293673,0.244210213,23089049.9278,23089047.3328,23089049.9278,23089047.3328,0.0000,0.0000,1
30.0,G03,G,108180284.9130,84296327.3520,0.190293673,0.244210213,20586023.7405,20586024.0935,20586023.7405,20586024.0935,0.0000,0.0000,1
30.0,G04,G,121668495.9940,94806620.2500,0.190293673,0.244210213,23152744.9666,23152744.9653,23152744.9666,23152744.9653,0.0000,0.0000,1
30.0,G08,G,125841166.9940,98058061.2610,0.190293673,0.244210213,23946777.8565,23946780.0685,23946777.8565,23946780.0685,0.0000,0.0000,1
30.0,G16,G,105482826.1370,82194415.8680,0.190293673,0.244210213,20072714.4028,20072715.8414,20072714.4028,20072715.8414,0.0000,0.0000,1
30.0,G26,G,114615047.7500,89310447.0810,0.190293673,0.244210213,21810518.3943,21810523.3427,21810518.3943,21810523.3427,0.0000,0.0000,1
30.0,G27,G,123418279.1330,96170076.5010,0.190293673,0.244210213,23485717.6267,23485714.9074,23485717.6267,23485714.9074,0.0000,0.0000,1
30.0,G31,G,121483566.8500,94662518.1520,0.190293673,0.244210213,23117554.1205,23117553.7612,23117554.1205,23117553.7612,0.0000,0.0000,1
60.0,E04,E,138722351.2170,103591388.2250,0.190293673,0.254828049,26397985.7123,26397991.3329,26397985.7123,26397991.3329,0.0000,0.0000,1
60.0,E05,E,141114238.6840,105377499.3000,0.190293673,0.254828049,26853146.7633,26853142.5331,26853146.7633,26853142.5331,0.0000,0.0000,1
60.0,E09,E,131644904.6690,98306297.1250,0.190293673,0.254828049,25051192.4147,25051201.8802,25051192.4147,25051201.8802,0.0000,0.0000,1
60.0,E16,E,125067851.8300,93394811.3320,0.190293673,0.254828049,23799620.8737,23799617.5389,23799620.8737,23799617.5389,0.0000,0.0000,1
60.0,G01,G,121379777.5770,94581634.2440,0.190293673,0.244210213,23097803.6786,23097801.0848,23097803.6786,23097801.0848,0.0000,0.0000,1
60.0,G03,G,108141664.0420,84266233.1620,0.190293673,0.244210213,20578674.4331,20578674.7850,20578674.4331,20578674.7850,0.0000,0.0000,1
60.0,G04,G,121608427.6490,94759813.7680,0.190293673,0.244210213,23141314.3406,23141314.3444,23141314.3406,23141314.3444,0.0000,0.0000,1
60.0,G08,G,125772858.7540,98004834.1860,0.190293673,0.244210213,23933779.2306,23933781.4732,23933779.2306,23933781.4732,0.0000,0.0000,1
60.0,G16,G,105483908.2960,82195259.1150,0.190293673,0.244210213,20072920.3308,20072921.7710,20072920.3308,20072921.7710,0.0000,0.0000,1
60.0,G26,G,114694524.6920,89372377.1630,0.190293673,0.244210213,21825642.3535,21825647.3012,21825642.3535,21825647.3012,0.0000,0.0000,1
60.0,G27,G,123357870.6890,96123005.0560,0.190293673,0.244210213,23474222.2820,23474219.5797,23474222.2820,23474219.5797,0.0000,0.0000,1
60.0,G31,G,121554616.3420,94717881.3820,0.190293673,0.244210213,23131074.3893,23131074.0274,23131074.3893,23131074.0274,0.0000,0.0000,1
90.0,E04,E,138731190.2850,103597988.8040,0.190293673,0.254828049,26399667.7310,26399673.3456,26399667.7310,26399673.3456,0.0000,0.0000,1
90.0,E05,E,141077095.1020,105349762.1840,0.190293673,0.254828049,26846078.5747,26846074.3379,26846078.5747,26846074.3379,0.0000,0.0000,1
90.0,E09,E,131623740.5820,98290492.7680,0.190293673,0.254828049,25047165.0228,25047174.4868,25047165.0228,25047174.4868,0.0000,0.0000,1
90.0,E16,E,125022150.2980,93360683.5980,0.190293673,0.254828049,23790924.1614,23790920.8351,23790924.1614,23790920.8351,0.0000,0.0000,1
90.0,G01,G,121425881.1650,94617559.1210,0.190293673,0.244210213,23106576.8997,23106574.3067,23106576.8997,23106574.3067,0.0000,0.0000,1
90.0,G03,G,108103591.6180,84236566.3370,0.190293673,0.244210213,20571429.4917,20571429.8433,20571429.4917,20571429.8433,0.0000,0.0000,1
90.0,G04,G,121548251.3180,94712923.1180,0.190293673,0.244210213,23129863.1655,23129863.1687,23129863.1655,23129863.1687,0.0000,0.0000,1
