sod,sat,const,alfa_ppp,beta_ppp,alfa_ind,beta_ind,coeff_ok,PPP_PIF,ind_PIF,PIF_diff_mm,PPP_LIF,ind_LIF,LIF_diff_mm,PASS
0.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26394637.9739,26394637.9739,0.0000,26394653.5363,26394653.5363,0.0000,1
0.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25059197.9362,25059197.9362,0.0000,25059203.0071,25059203.0071,0.0000,1
0.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23817196.7977,23817196.7977,0.0000,23817203.5775,23817203.5775,0.0000,1
0.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23080316.0019,23080316.0019,0.0000,23080320.3574,23080320.3574,0.0000,1
0.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20593472.3827,20593472.3827,0.0000,20593476.7406,20593476.7406,0.0000,1
0.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23164150.9132,23164150.9132,0.0000,23164155.0304,23164155.0304,0.0000,1
0.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23959730.8369,23959730.8369,0.0000,23959736.2536,23959736.2536,0.0000,1
0.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20072622.5414,20072622.5414,0.0000,20072628.2056,20072628.2056,0.0000,1
0.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21795457.4344,21795457.4344,0.0000,21795460.6825,21795460.6825,0.0000,1
0.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23497201.0481,23497201.0481,0.0000,23497211.6677,23497211.6677,0.0000,1
0.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23104005.6889,23104005.6889,0.0000,23104019.6013,23104019.6013,0.0000,1
30.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26396293.8143,26396293.8143,0.0000,26396309.6171,26396309.6171,0.0000,1
30.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26860186.6221,26860186.6221,0.0000,26860192.5502,26860192.5502,0.0000,1
30.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25055192.1801,25055192.1801,0.0000,25055197.1227,25055197.1227,0.0000,1
30.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23808376.6323,23808376.6323,0.0000,23808383.5081,23808383.5081,0.0000,1
30.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23089050.7898,23089050.7898,0.0000,23089053.9389,23089053.9389,0.0000,1
30.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20586019.2118,20586019.2118,0.0000,20586023.1947,20586023.1947,0.0000,1
30.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23152742.5179,23152742.5179,0.0000,23152744.9685,23152744.9685,0.0000,1
30.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23946771.0496,23946771.0496,0.0000,23946774.4373,23946774.4373,0.0000,1
30.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20072709.1337,20072709.1337,0.0000,20072712.1790,20072712.1790,0.0000,1
30.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21810505.2265,21810505.2265,0.0000,21810510.7454,21810510.7454,0.0000,1
30.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23485710.5639,23485710.5639,0.0000,23485721.8300,23485721.8300,0.0000,1
30.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23117541.4619,23117541.4619,0.0000,23117554.6760,23117554.6760,0.0000,1
60.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26397964.2684,26397964.2684,0.0000,26397978.6269,26397978.6269,0.0000,1
60.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26853145.9485,26853145.9485,0.0000,26853152.0960,26853152.0960,0.0000,1
60.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25051175.1732,25051175.1732,0.0000,25051180.4823,25051180.4823,0.0000,1
60.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23799618.0786,23799618.0786,0.0000,23799625.0776,23799625.0776,0.0000,1
60.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23097804.0845,23097804.0845,0.0000,23097807.6879,23097807.6879,0.0000,1
60.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20578669.5311,20578669.5311,0.0000,20578673.8891,20578673.8891,0.0000,1
60.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23141311.5339,23141311.5339,0.0000,23141314.3347,23141314.3347,0.0000,1
60.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23933779.1100,23933779.1100,0.0000,23933775.7643,23933775.7643,0.0000,1
60.0,G16,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20072915.7051,20072915.7051,0.0000,20072918.1046,20072918.1046,0.0000,1
60.0,G26,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,21825628.9968,21825628.9968,0.0000,21825634.7057,21825634.7057,0.0000,1
60.0,G27,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23474216.5177,23474216.5177,0.0000,23474226.4590,23474226.4590,0.0000,1
60.0,G31,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23131062.3988,23131062.3988,0.0000,23131074.9487,23131074.9487,0.0000,1
90.0,E04,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26399645.0401,26399645.0401,0.0000,26399660.6533,26399660.6533,0.0000,1
90.0,E05,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,26846077.6056,26846077.6056,0.0000,26846083.9156,26846083.9156,0.0000,1
90.0,E09,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,25047148.3705,25047148.3705,0.0000,25047153.0925,25047153.0925,0.0000,1
90.0,E16,E,2.2606043275,1.2606043275,2.2606043275,1.2606043275,1,23790921.5353,23790921.5353,0.0000,23790928.3545,23790928.3545,0.0000,1
90.0,G01,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23106577.3737,23106577.3737,0.0000,23106580.9078,23106580.9078,0.0000,1
90.0,G03,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,20571425.3775,20571425.3775,0.0000,20571428.9482,20571428.9482,0.0000,1
90.0,G04,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23129858.8176,23129858.8176,0.0000,23129863.1606,23129863.1606,0.0000,1
90.0,G08,G,2.5457277802,1.5457277802,2.5457277802,1.5457277802,1,23920746.4495,23920746.4495,0.0000,23920740.4240,23920740.4240,0.0000,1
