sod,sat,const,signal_family,PIF_before_osb,PIF_after_osb,LIF_before_osb,LIF_after_osb,osb_code_L1_m,osb_code_L2_m,osb_phase_L1_m,osb_phase_L2_m,osb_IF_code_m,osb_IF_phase_m,code_shift_mm,phase_shift_mm,plaus_ok,sign_ok,PASS
0.0,E04,E,E1+E5a,26394637.9739,26394637.9739,26394653.5363,26394653.5832,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
0.0,E09,E,E1+E5a,25059197.9362,25059197.9362,25059203.0071,25059203.0280,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
0.0,E16,E,E1+E5a,23817196.7977,23817196.7977,23817203.5775,23817203.5358,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
0.0,G01,G,L1C+L2W,23080316.0019,23080316.0019,23080320.3574,23080320.3458,-1.5834,-2.6077,0.0610,0.0930,-0.0000,0.0117,-0.0008,11.6611,1,1,1
0.0,G03,G,L1C+L2W,20593472.3827,20593472.3827,20593476.7406,20593476.7575,2.4045,3.9602,-0.1591,-0.2510,-0.0000,-0.0169,-0.0244,-16.8706,1,1,1
0.0,G04,G,L1C+L2W,23164150.9132,23164150.9132,23164155.0304,23164154.9868,-0.2538,-0.4180,0.3510,0.5499,-0.0000,0.0436,-0.0015,43.5636,1,1,1
0.0,G08,G,L1C+L2W,23959730.8369,23959730.8368,23959736.2536,23959736.2666,3.3451,5.5093,-0.3449,-0.5596,0.0000,-0.0130,0.0165,-13.0006,1,1,1
0.0,G16,G,L1C+L2W,20072622.5414,20072622.5414,20072628.2056,20072628.2512,-1.2471,-2.0540,-0.2890,-0.4466,0.0000,-0.0455,0.0051,-45.5341,1,1,1
0.0,G26,G,L1C+L2W,21795457.4344,21795457.4344,21795460.6825,21795460.6586,3.9011,6.4249,0.3574,0.5732,-0.0000,0.0240,-0.0028,23.9574,1,1,1
0.0,G27,G,L1C+L2W,23497201.0481,23497201.0481,23497211.6677,23497211.6587,2.5952,4.2742,0.2132,0.3453,0.0000,0.0090,0.0018,8.9645,1,1,1
0.0,G31,G,L1C+L2W,23104005.6889,23104005.6889,23104019.6013,23104019.5592,-2.1366,-3.5189,0.0117,-0.0080,-0.0000,0.0421,-0.0339,42.1110,1,1,1
30.0,E04,E,E1+E5a,26396293.8143,26396293.8142,26396309.6171,26396309.6639,-0.9851,-1.7665,-0.0015,0.0345,0.0000,-0.0469,0.0274,-46.8614,1,1,1
30.0,E05,E,E1+E5a,26860186.6221,26860186.6220,26860192.5502,26860192.5636,0.9771,1.7521,-0.0187,-0.0229,0.0000,-0.0133,0.0478,-13.3290,1,1,1
30.0,E09,E,E1+E5a,25055192.1801,25055192.1800,25055197.1227,25055197.1436,0.4258,0.7635,-0.0162,-0.0124,0.0000,-0.0210,0.0309,-20.9682,1,1,1
30.0,E16,E,E1+E5a,23808376.6323,23808376.6323,23808383.5081,23808383.4664,-0.8430,-1.5118,-0.0867,-0.1885,0.0000,0.0417,0.0090,41.6710,1,1,1
