sod,sat,const,el_deg,wu_m,wu_ok,trop_zhd_m,tropo_ok,dtrel_m,rel_ok,shapiro_m,shp_ok,setm_m,set_ok,sat_apc_m,rec_apc_m,apc_ok,pcv_sat_m,pcv_rec_m,pcv_ok,sagnac_m,sag_ok,PASS
0.0,E04,E,24.6492,0.006986,1,4.9800,1,0.096659,1,0.016589,1,-0.000001,1,-1.013145,-0.018757,1,-0.013862,-0.010561,1,-35.079169,1,1
0.0,E09,E,41.4624,0.046838,1,3.1503,1,-0.217038,1,0.015205,1,-0.000001,1,-0.994431,-0.032575,1,-0.015031,-0.014767,1,-7.940850,1,1
0.0,E16,E,62.2157,-0.052569,1,2.3607,1,0.062670,1,0.014119,1,-0.000002,1,-1.023192,-0.043141,1,-0.012545,-0.009617,1,-3.254403,1,1
0.0,G01,G,25.8870,-0.060467,1,4.7601,1,0.399437,1,0.015491,1,-0.000001,1,-1.911894,-0.022508,1,0.042400,-0.008003,1,24.756646,1,1
0.0,G03,G,60.9995,0.066606,1,2.3879,1,-4.286370,1,0.013188,1,-0.000002,1,-1.508717,-0.040768,1,0.023500,-0.010178,1,11.205750,1,1
0.0,G04,G,26.0392,0.057314,1,4.7345,1,2.410754,1,0.015488,1,-0.000001,1,-1.896822,-0.020585,1,0.042400,-0.008084,1,14.244040,1,1
0.0,G08,G,15.9192,-0.044889,1,7.5039,1,7.875846,1,0.016530,1,-0.000001,1,-1.351932,-0.013152,1,0.023500,0.000488,1,-2.616072,1,1
0.0,G16,G,70.6882,-0.062715,1,2.2135,1,6.110376,1,0.012784,1,-0.000002,1,-1.383533,-0.042186,1,0.006400,-0.005509,1,-10.053517,1,1
0.0,G26,G,40.3192,0.035472,1,3.2233,1,-1.518006,1,0.014208,1,-0.000001,1,-1.367631,-0.027630,1,0.023500,-0.013110,1,-16.618177,1,1
0.0,G27,G,22.0501,-0.034207,1,5.5233,1,9.792315,1,0.015853,1,-0.000001,1,-1.337245,-0.016243,1,0.023500,-0.005264,1,-19.090450,1,1
0.0,G31,G,24.5858,0.036271,1,4.9918,1,-4.961462,1,0.015542,1,-0.000001,1,-0.817717,-0.017054,1,0.040600,-0.007214,1,-15.524198,1,1
30.0,E04,E,24.6307,0.006807,1,4.9834,1,0.097008,1,0.016591,1,-0.000001,1,-1.013114,-0.018739,1,-0.013862,-0.010548,1,-35.119681,1,1
30.0,E05,E,19.4818,0.061461,1,6.2031,1,-0.102535,1,0.017125,1,-0.000001,1,-1.083113,-0.018162,1,-0.015527,-0.006769,1,24.458265,1,1
30.0,E09,E,41.5189,0.046695,1,3.1468,1,-0.216945,1,0.015201,1,-0.000001,1,-0.994440,-0.032605,1,-0.015031,-0.014767,1,-8.037279,1,1
30.0,E16,E,62.4272,-0.052573,1,2.3562,1,0.063227,1,0.014111,1,-0.000002,1,-1.023297,-0.043227,1,-0.012545,-0.009512,1,-3.255062,1,1
30.0,G01,G,25.7883,-0.060391,1,4.7768,1,0.403279,1,0.015500,1,-0.000001,1,-1.911841,-0.022435,1,0.042400,-0.007951,1,24.707822,1,1
30.0,G03,G,61.1919,0.066674,1,2.3834,1,-4.290800,1,0.013180,1,-0.000002,1,-1.508877,-0.040845,1,0.023500,-0.010090,1,11.197467,1,1
30.0,G04,G,26.1625,0.057228,1,4.7140,1,2.414172,1,0.015476,1,-0.000001,1,-1.896890,-0.020664,1,0.042400,-0.008149,1,14.133272,1,1
30.0,G08,G,16.0356,-0.044794,1,7.4525,1,7.877956,1,0.016516,1,-0.000001,1,-1.351988,-0.013233,1,0.023500,0.000369,1,-2.714707,1,1
30.0,G16,G,70.6495,-0.063010,1,2.2140,1,6.073110,1,0.012785,1,-0.000002,1,-1.383508,-0.042171,1,0.006400,-0.005528,1,-10.064476,1,1
30.0,G26,G,40.1127,0.035317,1,3.2370,1,-1.550928,1,0.014222,1,-0.000001,1,-1.367552,-0.027501,1,0.023500,-0.013089,1,-16.639117,1,1
30.0,G27,G,22.1550,-0.034078,1,5.4989,1,9.791165,1,0.015842,1,-0.000001,1,-1.337192,-0.016312,1,0.023500,-0.005345,1,-19.163502,1,1
30.0,G31,G,24.4464,0.036088,1,5.0182,1,-4.986192,1,0.015556,1,-0.000001,1,-0.817674,-0.016945,1,0.040600,-0.007107,1,-15.631026,1,1
60.0,E04,E,24.6121,0.006630,1,4.9869,1,0.097455,1,0.016593,1,-0.000001,1,-1.013082,-0.018720,1,-0.013862,-0.010535,1,-35.159796,1,1
60.0,E05,E,19.5545,0.061383,1,6.1814,1,-0.102625,1,0.017117,1,-0.000001,1,-1.083202,-0.018217,1,-0.015527,-0.006843,1,24.361912,1,1
60.0,E09,E,41.5756,0.046550,1,3.1433,1,-0.216779,1,0.015197,1,-0.000001,1,-0.994450,-0.032635,1,-0.015031,-0.014767,1,-8.133474,1,1
60.0,E16,E,62.6387,-0.052578,1,2.3516,1,0.063881,1,0.014104,1,-0.000002,1,-1.023402,-0.043313,1,-0.012545,-0.009407,1,-3.255605,1,1
