ep,sod,sat,const,el_deg,rng_m,scm_m,rp_m,LIF_corr_m,pre_amb_res_m,dT_est_m,res_after_clk_m,mag_ok,PASS
0,0.0,E04,E,24.6492,26375542.6428,-19088.5337,26394636.0520,26394653.5762,17.5242,-1.7329,19.2571,1,1
0,0.0,E09,E,41.4624,24998255.7786,-60937.8535,25059196.9849,25059202.9812,5.9963,-1.7329,7.7292,1,1
0,0.0,E16,E,62.2157,23813723.9948,-3467.9732,23817194.2579,23817203.5883,9.3304,-1.7329,11.0633,1,1
0,0.0,G01,G,25.8870,23180857.6197,100545.2693,23080316.7608,23080320.4063,3.6454,-1.7329,5.3783,1,1
0,0.0,G03,G,60.9995,20766479.6051,173011.7238,20593474.5820,20593476.6909,2.1089,-1.7329,3.8417,1,1
0,0.0,G04,G,26.0392,23176946.2946,12796.8422,23164151.8260,23164154.9295,3.1035,-1.7329,4.8364,1,1
0,0.0,G08,G,15.9192,24108144.6172,148409.4921,23959734.7937,23959736.3115,1.5178,-1.7329,3.2507,1,1
0,0.0,G16,G,70.6882,20133486.9506,60856.4650,20072626.6024,20072628.3139,1.7115,-1.7329,3.4444,1,1
0,0.0,G26,G,40.3192,21698565.9374,-96887.9976,21795458.7008,21795460.6231,1.9223,-1.7329,3.6551,1,1
0,0.0,G27,G,22.0501,23486581.6178,-10624.0493,23497201.4322,23497211.6929,10.2608,-1.7329,11.9937,1,1
0,0.0,G31,G,24.5858,23053512.2372,-50487.3725,23104009.6120,23104019.5229,9.9109,-1.7329,11.6438,1,1
1,30.0,E04,E,24.6307,26377198.5363,-19088.6271,26396292.0420,26396309.6571,17.6152,-1.4946,19.1098,1,1
1,30.0,E05,E,19.4818,26863438.6900,3260.7589,26860184.2315,26860192.5021,8.2706,-1.4946,9.7652,1,1
1,30.0,E09,E,41.5189,24994249.6715,-60937.9600,25055190.9806,25055197.0969,6.1164,-1.4946,7.6110,1,1
1,30.0,E16,E,62.4272,23804903.7580,-3467.9920,23808374.0350,23808383.5190,9.4840,-1.4946,10.9786,1,1
1,30.0,G01,G,25.7883,23189591.0766,100545.2290,23089050.2711,23089053.9876,3.7166,-1.4946,5.2112,1,1
1,30.0,G03,G,61.1919,20759025.7969,173011.6255,20586020.8723,20586023.1449,2.2726,-1.4946,3.7673,1,1
1,30.0,G04,G,26.1625,23165536.0955,12796.8636,23152741.5815,23152744.8677,3.2862,-1.4946,4.7808,1,1
1,30.0,G08,G,16.0356,24095182.6126,148409.4497,23946772.7778,23946774.4951,1.7173,-1.4946,3.2119,1,1
1,30.0,G16,G,70.6495,20133570.8362,60856.5283,20072710.4624,20072712.2875,1.8251,-1.4946,3.3197,1,1
1,30.0,G26,G,40.1127,21713615.8910,-96888.0470,21810508.7505,21810510.6862,1.9356,-1.4946,3.4303,1,1
1,30.0,G27,G,22.1550,23475091.5176,-10624.1317,23485711.3910,23485721.8551,10.4641,-1.4946,11.9587,1,1
1,30.0,G31,G,24.4464,23067047.2371,-50487.3648,23117544.6553,23117554.5978,9.9425,-1.4946,11.4371,1,1
2,60.0,E04,E,24.6121,26378867.2148,-19088.7219,26397960.8183,26397978.6672,17.8489,-0.0608,17.9097,1,1
2,60.0,E05,E,19.5545,26856398.0307,3260.7851,26853143.5243,26853152.0479,8.5236,-0.0608,8.5844,1,1
2,60.0,E09,E,41.5756,24990232.6572,-60938.0716,25051174.0743,25051180.4567,6.3825,-0.0608,6.4432,1,1
2,60.0,E16,E,62.6387,23796145.0295,-3468.0139,23799615.3233,23799625.0885,9.7652,-0.0608,9.8260,1,1
2,60.0,G01,G,25.6895,23198344.5310,100545.1876,23097803.7799,23097807.7365,3.9566,-0.0608,4.0174,1,1
2,60.0,G03,G,61.3830,20751676.1086,173011.5292,20578671.2802,20578673.8393,2.5590,-0.0608,2.6198,1,1
2,60.0,G04,G,26.2862,23154105.2238,12796.8836,23141310.6660,23141314.2340,3.5680,-0.0608,3.6288,1,1
2,60.0,G08,G,16.1524,24082183.6788,148409.4090,23933773.8317,23933775.8220,1.9903,-0.0608,2.0510,1,1
2,60.0,G16,G,70.6069,20133776.5195,60856.5807,20072916.1311,20072918.2135,2.0823,-0.0608,2.1431,1,1
2,60.0,G26,G,39.9060,21728739.5453,-96888.0972,21825632.5018,21825634.6465,2.1448,-0.0608,2.2055,1,1
2,60.0,G27,G,22.2601,23463595.8030,-10624.2102,23474215.7318,23474226.4839,10.7522,-0.0608,10.8129,1,1
2,60.0,G31,G,24.3074,23080567.2414,-50487.3576,23131064.7036,23131074.8707,10.1671,-0.0608,10.2278,1,1
3,90.0,E04,E,24.5934,26380548.8975,-19088.8159,26399642.5980,26399660.6937,18.0957,-0.4423,18.5380,1,1
3,90.0,E05,E,19.6275,26849329.6466,3260.8117,26846075.0920,26846083.8676,8.7756,-0.4423,9.2179,1,1
3,90.0,E09,E,41.6325,24986204.9102,-60938.1871,25047146.4390,25047153.0671,6.6281,-0.4423,7.0704,1,1
3,90.0,E16,E,62.8504,23787448.0483,-3468.0356,23790918.3586,23790928.3654,10.0068,-0.4423,10.4491,1,1
3,90.0,G01,G,25.5906,23207117.4620,100545.1491,23106576.7624,23106580.9563,4.1939,-0.4423,4.6362,1,1
3,90.0,G03,G,61.5729,20744430.8168,173011.4263,20571426.0912,20571428.8982,2.8071,-0.4423,3.2494,1,1
3,90.0,G04,G,26.4103,23142653.8380,12796.9011,23129859.2388,23129863.0600,3.8212,-0.4423,4.2635,1,1
3,90.0,G08,G,16.2697,24069148.1475,148409.3659,23920738.2910,23920740.4816,2.1906,-0.4423,2.6329,1,1
3,90.0,G16,G,70.5603,20134104.0153,60856.6438,20073243.6019,20073245.9197,2.3178,-0.4423,2.7601,1,1
3,90.0,G26,G,39.6992,21743936.3858,-96888.1495,21840829.4414,21840831.8028,2.3614,-0.4423,2.8037,1,1
3,90.0,G27,G,22.3653,23452094.9595,-10624.2904,23462714.9458,23462725.9316,10.9859,-0.4423,11.4282,1,1
3,90.0,G31,G,24.1689,23094072.0102,-50487.3306,23144569.4966,23144579.8932,10.3966,-0.4423,10.8389,1,1
4,120.0,E04,E,24.5745,26382243.8071,-19088.9137,26401337.6084,26401356.0091,18.4007,-0.7197,19.1204,1,1
