SOD,sat,fix_age_s,ph_resid_cyc,ph_resid_rms30,up_leverage_frac,loo_up_shift_mm,flag_high_leverage,flag_mono_drift,quarantined
82740.0,E33,60,0.12081,0.12081,0.0120,1574.90,0,0,0
82800.0,E33,120,0.12779,0.12435,0.0120,900.24,0,0,0
82860.0,E33,180,0.00018,0.10153,0.1097,1984.53,0,0,0
82920.0,E33,240,0.00018,0.08793,0.0112,1364.05,0,0,0
82980.0,E33,300,0.00018,0.07865,0.1049,1342.23,0,0,0
83040.0,E33,360,0.00018,0.07179,0.5397,1407.35,1,0,0
83100.0,E33,420,0.00018,0.06647,0.1000,1391.98,0,0,0
83160.0,E33,480,0.00008,0.06217,0.0992,1411.12,0,0,0
83220.0,E33,540,0.00008,0.05862,0.5222,1697.81,1,0,0
83280.0,E33,600,0.00008,0.05561,0.0935,1536.43,0,0,0
83340.0,E33,660,0.00007,0.05302,0.0137,717.14,0,0,0
83400.0,E33,720,0.00008,0.05077,0.7177,1194.56,1,0,0
83460.0,E33,780,0.00004,0.04877,0.1160,1347.35,0,0,0
83520.0,E33,840,0.00004,0.04700,0.1153,1337.75,0,0,0
83580.0,E33,900,0.00004,0.04541,0.1147,1305.05,0,0,0
83640.0,E33,960,0.00004,0.04396,0.1141,1318.28,0,0,0
83700.0,E33,1020,0.00004,0.04265,0.0172,1129.11,0,0,0
83760.0,E33,1080,0.00002,0.04145,0.1041,1330.44,0,0,0
83820.0,E33,1140,0.00002,0.04034,0.1030,1304.84,0,0,0
83880.0,E33,1200,0.00002,0.03932,0.3499,1094.78,0,0,0
83940.0,E33,1260,0.00002,0.03837,0.0084,908.76,0,0,0
84000.0,E33,1320,0.00001,0.03749,0.6340,1178.09,1,0,0
84060.0,E33,1380,0.00001,0.03667,0.0913,1246.68,0,0,0
84120.0,E33,1440,0.00001,0.03590,0.0247,973.11,0,0,0
84180.0,E33,1500,0.00001,0.03517,0.0893,1376.56,0,0,0
84240.0,E33,1560,0.00001,0.03449,0.0880,1389.48,0,0,0
84300.0,E33,1620,0.00001,0.03384,0.0052,906.74,0,0,0
84360.0,E33,1680,0.00000,0.03323,0.2197,622.06,0,0,0
84420.0,E33,1740,0.00000,0.03266,0.0351,1098.86,0,0,0
84480.0,E33,1800,0.00000,0.03211,0.0137,728.88,0,0,0
84540.0,E33,1860,0.00000,0.02333,0.5394,1215.64,1,0,0
84600.0,E33,1920,0.00000,0.00008,0.0700,1486.40,0,0,0
84660.0,E33,1980,0.00000,0.00007,0.0677,1384.05,0,0,0
84720.0,E33,2040,0.00000,0.00007,0.2855,1021.73,0,0,0
84780.0,E33,2100,0.00000,0.00006,0.0011,435.23,0,0,0
84840.0,E33,2160,0.00000,0.00005,0.0617,953.69,0,0,0
84900.0,E33,2220,0.00000,0.00004,0.0185,1541.96,0,0,0
84960.0,E33,2280,0.00000,0.00003,0.0594,1998.60,0,0,0
85020.0,E33,2340,0.00000,0.00003,0.0581,2000.41,0,0,0
85080.0,E33,2400,0.00000,0.00003,0.0568,1997.37,0,0,0
85140.0,E33,2460,0.00000,0.00002,0.0547,1555.89,0,0,0
85200.0,E33,2520,0.00000,0.00002,0.0533,1563.39,0,0,0
85260.0,E33,2580,0.00000,0.00002,0.0527,1962.04,0,0,0
85320.0,E33,2640,0.00000,0.00002,0.0045,1106.64,0,0,0
85380.0,E33,2700,0.00000,0.00001,0.0106,952.13,0,0,0
85440.0,E33,2760,0.00000,0.00001,0.0427,1857.92,0,0,0
85500.0,E33,2820,0.00000,0.00001,0.0417,1832.69,0,0,0
85560.0,E33,2880,0.00000,0.00001,0.0031,1897.23,0,0,0
85620.0,E33,2940,0.00000,0.00001,0.3270,1938.77,0,0,0
85680.0,E33,3000,0.00000,0.00001,0.0370,1734.25,0,0,0
85740.0,E33,3060,0.00000,0.00000,0.0355,1762.41,0,0,0
85800.0,E33,3120,0.00000,0.00000,0.0346,1788.61,0,0,0
85860.0,E33,3180,0.00000,0.00000,0.0080,2181.16,0,0,0
85920.0,E33,3240,0.00000,0.00000,0.0312,3089.45,0,0,0
85980.0,E33,3300,0.00000,0.00000,0.0304,3094.48,0,0,0
86040.0,E33,3360,0.00000,0.00000,0.0073,1158.51,0,0,0
86100.0,E33,3420,0.00000,0.00000,0.0010,1113.72,0,0,0
86160.0,E33,3480,0.00000,0.00000,0.2287,1678.81,0,0,0
86220.0,E33,3540,0.00000,0.00000,0.0253,1296.30,0,0,0
86280.0,E33,3600,0.00000,0.00000,0.2152,1740.35,0,0,0
86340.0,E33,3660,0.00000,0.00000,0.0239,1337.00,0,0,0
