SOD,sat,N1_float,frac,sigma_N1_m
0.0,G26,71.6806,-0.3194,10.4806
0.0,G03,30.3433,+0.3433,12.4808
0.0,G08,54.4109,+0.4109,12.5491
0.0,G27,60.2492,+0.2492,12.6491
0.0,G31,74.7223,-0.2777,13.0338
0.0,G04,31.6869,-0.3131,13.5164
30.0,G08,51.3330,+0.3330,8.7536
30.0,G31,44.8739,-0.1261,9.0355
30.0,G26,37.0469,+0.0469,9.6113
30.0,G04,35.8367,-0.1633,9.8247
30.0,G16,13.8543,-0.1457,10.1817
30.0,G27,34.9232,-0.0768,10.3229
60.0,G08,49.5133,-0.4867,6.6796
60.0,G31,-18.6441,+0.3559,7.5669
60.0,G26,-33.1345,-0.1345,8.3163
60.0,G27,-23.5065,+0.4935,8.3333
60.0,G04,69.7393,-0.2607,8.4262
60.0,G16,-34.9530,+0.0470,8.9161
90.0,G08,50.7344,-0.2656,4.9012
90.0,G31,-66.3052,-0.3052,6.3344
90.0,G27,-66.5836,+0.4164,6.5756
90.0,G04,101.7014,-0.2986,6.9292
90.0,G26,-83.5218,+0.4782,7.1775
90.0,G16,-63.7827,+0.2173,7.6793
120.0,G08,53.1148,+0.1148,3.8105
120.0,G31,-111.3883,-0.3883,5.2353
120.0,G27,-108.3015,-0.3015,5.3160
120.0,G04,136.1383,+0.1383,5.6800
120.0,G26,-130.4346,-0.4346,6.0123
120.0,G01,264.1710,+0.1710,6.3203
150.0,G08,52.9143,-0.0857,3.0369
150.0,G31,-58.3127,-0.3127,4.3123
150.0,G27,-59.3674,-0.3674,4.3171
150.0,G04,102.6561,-0.3439,4.6676
150.0,G26,-73.0289,-0.0289,4.9863
150.0,G01,188.2070,+0.2070,5.1293
180.0,G08,51.6462,-0.3538,2.4807
180.0,G27,-40.3549,-0.3549,3.5517
180.0,G31,-31.0270,-0.0270,3.5786
180.0,G04,97.5604,-0.4396,3.8796
180.0,G26,-42.7098,+0.2902,4.1507
180.0,G01,161.3291,+0.3291,4.2224
210.0,G08,54.3531,+0.3531,2.0708
210.0,G27,-3.8552,+0.1448,2.9673
210.0,G31,9.2042,+0.2042,3.0059
210.0,G04,80.4214,+0.4214,3.2698
210.0,G26,2.6506,-0.3494,3.4900
210.0,G01,115.1360,+0.1360,3.5315
240.0,G08,57.4226,+0.4226,1.7616
240.0,G27,9.2412,+0.2412,2.5177
240.0,G31,22.6133,-0.3867,2.5592
240.0,G04,77.7709,-0.2291,2.7948
240.0,G26,19.1483,+0.1483,2.9711
240.0,G01,105.0868,+0.0868,2.9997
270.0,G08,59.8333,-0.1667,1.5228
270.0,G27,43.6851,-0.3149,2.1669
270.0,G31,58.8092,-0.1908,2.2079
270.0,G04,58.0463,+0.0463,2.4201
270.0,G26,59.1347,+0.1347,2.5612
270.0,G01,58.4996,+0.4996,2.5839
300.0,G08,59.7681,-0.2319,1.3346
300.0,G27,48.6236,-0.3764,1.8889
300.0,G31,65.8430,-0.1570,1.9281
300.0,G04,57.2084,+0.2084,2.1202
300.0,G26,67.0744,+0.0744,2.2340
300.0,G01,52.2256,+0.2256,2.2536
330.0,G08,59.2180,+0.2180,1.1868
330.0,G27,51.3120,+0.3120,1.6860
330.0,G31,69.8578,-0.1422,1.7277
330.0,G04,55.7153,-0.2847,1.8769
330.0,G01,47.0184,+0.0184,1.9963
330.0,G26,71.1933,+0.1933,2.0014
360.0,G08,59.4385,+0.4385,1.0664
360.0,G27,57.7650,-0.2350,1.5158
360.0,G31,76.4766,+0.4766,1.5576
360.0,G04,50.9010,-0.0990,1.6766
360.0,G01,36.9341,-0.0659,1.7840
360.0,G26,78.0840,+0.0840,1.8030
390.0,G08,59.9377,-0.0623,0.9669
390.0,G27,58.8319,-0.1681,1.3720
390.0,G31,77.4431,+0.4431,1.4125
390.0,G04,51.0384,+0.0384,1.5097
390.0,G01,36.8290,-0.1710,1.6067
390.0,G26,79.3693,+0.3693,1.6333
420.0,G08,59.9422,-0.0578,0.8838
420.0,G27,63.1437,+0.1437,1.2494
420.0,G31,82.0155,+0.0155,1.2881
420.0,G04,47.7366,-0.2634,1.3692
420.0,G01,29.7575,-0.2425,1.4570
420.0,G26,84.1376,+0.1376,1.4874
450.0,G08,59.3680,+0.3680,0.8137
450.0,G27,64.5677,-0.4323,1.1441
450.0,G31,84.1183,+0.1183,1.1807
450.0,G04,46.2035,+0.2035,1.2496
450.0,G01,25.9953,-0.0047,1.3293
450.0,G26,86.0964,+0.0964,1.3613
480.0,G08,58.7108,-0.2892,0.7536
480.0,G27,63.1040,+0.1040,1.0529
480.0,G02,22.6749,-0.3251,1.0580
480.0,G31,83.2378,+0.2378,1.0871
480.0,G04,46.7479,-0.2521,1.1468
480.0,G01,26.7535,-0.2465,1.2186
510.0,G08,58.2723,+0.2723,0.7025
510.0,G02,14.7874,-0.2126,0.8853
510.0,G27,70.3324,+0.3324,0.9733
510.0,G31,90.5594,-0.4406,1.0057
510.0,G04,39.4847,+0.4847,1.0576
510.0,G01,12.9266,-0.0734,1.1233
540.0,G08,57.7083,-0.2917,0.6582
540.0,G02,12.6039,-0.3961,0.7912
540.0,G27,71.7208,-0.2792,0.9034
540.0,G31,91.9581,-0.0419,0.9342
540.0,G04,36.8316,-0.1684,0.9794
540.0,G01,8.5206,-0.4794,1.0396
570.0,G08,57.3244,+0.3244,0.6198
570.0,G02,11.0494,+0.0494,0.7513
570.0,G27,72.6205,-0.3795,0.8419
570.0,G31,92.8256,-0.1744,0.8709
570.0,G04,35.0273,+0.0273,0.9113
570.0,G01,5.5850,-0.4150,0.9665
600.0,G08,57.6009,-0.3991,0.5861
600.0,G02,10.6066,-0.3934,0.7168
600.0,G27,73.5361,-0.4639,0.7874
600.0,G31,92.8846,-0.1154,0.8148
600.0,G04,33.4554,+0.4554,0.8511
600.0,G01,4.1109,+0.1109,0.9019
630.0,G08,57.7449,-0.2551,0.5565
630.0,G02,11.9572,-0.0428,0.6868
630.0,G27,72.0971,+0.0971,0.7387
630.0,G31,90.7040,-0.2960,0.7647
630.0,G04,33.7790,-0.2210,0.7976
630.0,G01,6.2835,+0.2835,0.8443
660.0,G08,57.5310,-0.4690,0.5303
660.0,G02,11.6142,-0.3858,0.6606
660.0,G27,71.9623,-0.0377,0.6951
660.0,G31,90.4509,+0.4509,0.7197
660.0,G04,33.0769,+0.0769,0.7497
660.0,G01,5.5801,-0.4199,0.7927
690.0,G08,57.2577,+0.2577,0.5071
690.0,G02,11.7856,-0.2144,0.6377
690.0,G27,71.1345,+0.1345,0.6558
690.0,G31,89.6688,-0.3312,0.6793
690.0,G04,33.1101,+0.1101,0.7067
690.0,G01,6.0367,+0.0367,0.7464
720.0,G08,56.8504,-0.1496,0.4864
720.0,G02,10.5233,-0.4767,0.6174
720.0,G27,71.6997,-0.3003,0.6203
720.0,G31,90.3793,+0.3793,0.6427
720.0,G04,31.7955,-0.2045,0.6680
720.0,G01,3.7771,-0.2229,0.7046
750.0,G08,56.2547,+0.2547,0.4678
750.0,G27,69.9393,-0.0607,0.5881
750.0,G02,10.9408,-0.0592,0.5996
750.0,G31,89.0285,+0.0285,0.6095
750.0,G04,32.4604,+0.4604,0.6329
750.0,G01,5.0514,+0.0514,0.6667
780.0,G08,55.9141,-0.0859,0.4512
780.0,G27,68.4968,+0.4968,0.5587
780.0,G31,87.6505,-0.3495,0.5793
780.0,G02,11.4845,+0.4845,0.5837
780.0,G04,32.8585,-0.1415,0.6009
780.0,G01,6.2740,+0.2740,0.6322
810.0,G08,55.6541,-0.3459,0.4363
810.0,G27,69.6201,-0.3799,0.5319
810.0,G31,88.7276,-0.2724,0.5517
810.0,G02,10.0144,+0.0144,0.5695
810.0,G04,31.1550,+0.1550,0.5718
810.0,G01,3.4105,+0.4105,0.6007
840.0,G08,55.1985,+0.1985,0.4228
840.0,G27,68.7982,-0.2018,0.5074
840.0,G31,88.2090,+0.2090,0.5264
840.0,G04,31.1926,+0.1926,0.5452
840.0,G02,9.8904,-0.1096,0.5569
840.0,G01,3.4819,+0.4819,0.5719
870.0,G08,55.1292,+0.1292,0.4106
870.0,G27,69.2849,+0.2849,0.4848
870.0,G31,88.5360,-0.4640,0.5032
870.0,G04,30.3159,+0.3159,0.5207
870.0,G01,2.2468,+0.2468,0.5454
870.0,G02,9.3136,+0.3136,0.5456
900.0,G08,55.0479,+0.0479,0.3995
900.0,G27,68.4204,+0.4204,0.4640
900.0,G31,87.6192,-0.3808,0.4818
900.0,G04,30.7488,-0.2512,0.4982
900.0,G01,3.3546,+0.3546,0.5210
900.0,G02,9.8763,-0.1237,0.5354
930.0,G08,55.1302,+0.1302,0.3894
930.0,G27,69.7510,-0.2490,0.4448
930.0,G31,88.6578,-0.3422,0.4620
930.0,G04,29.3351,+0.3351,0.4775
930.0,G01,1.1305,+0.1305,0.4985
930.0,G26,86.8072,-0.1928,0.5154
960.0,G08,55.2443,+0.2443,0.3802
960.0,G27,70.9961,-0.0039,0.4270
960.0,G31,89.5562,-0.4438,0.4437
960.0,G04,27.9776,-0.0224,0.4582
960.0,G01,-0.8591,+0.1409,0.4777
960.0,G26,87.6210,-0.3790,0.4939
990.0,G27,68.8235,-0.1765,0.4105
990.0,G31,87.6939,-0.3061,0.4267
990.0,G04,29.7107,-0.2893,0.4404
990.0,G01,2.1934,+0.1934,0.4583
990.0,G26,85.7497,-0.2503,0.4740
990.0,G02,9.3485,+0.3485,0.5104
1020.0,G27,67.8822,-0.1178,0.3951
1020.0,G31,86.8087,-0.1913,0.4109
1020.0,G04,30.2876,+0.2876,0.4239
1020.0,G01,3.4176,+0.4176,0.4404
1020.0,G26,84.8302,-0.1698,0.4555
1020.0,G16,51.5806,-0.4194,0.4993
1050.0,G27,67.0092,+0.0092,0.3808
1050.0,G31,85.7913,-0.2087,0.3962
1050.0,G04,30.7365,-0.2635,0.4084
1050.0,G01,4.7063,-0.2937,0.4237
1050.0,G26,83.7629,-0.2371,0.4382
1050.0,G16,50.9390,-0.0610,0.4804
1080.0,G27,65.3844,+0.3844,0.3674
1080.0,G31,84.3405,+0.3405,0.3824
1080.0,G04,31.9388,-0.0612,0.3940
1080.0,G01,6.9574,-0.0426,0.4080
1080.0,G26,82.2738,+0.2738,0.4220
1080.0,G08,46.3541,+0.3541,0.4362
1110.0,G27,64.8664,-0.1336,0.3548
1110.0,G31,83.9079,-0.0921,0.3695
1110.0,G04,32.1435,+0.1435,0.3806
1110.0,G01,7.4301,+0.4301,0.3934
1110.0,G08,46.0642,+0.0642,0.4021
1110.0,G26,81.7580,-0.2420,0.4069
1140.0,G27,64.5268,-0.4732,0.3430
1140.0,G31,83.6875,-0.3125,0.3574
1140.0,G04,32.2397,+0.2397,0.3680
1140.0,G08,45.8279,-0.1721,0.3763
1140.0,G01,7.6028,-0.3972,0.3798
1140.0,G26,81.4532,+0.4532,0.3927
1170.0,G27,63.7760,-0.2240,0.3332
1170.0,G08,45.7023,-0.2977,0.3557
1170.0,G04,32.6444,-0.3556,0.3598
1170.0,G01,8.5931,-0.4069,0.3690
1170.0,G26,80.6590,-0.3410,0.3794
1170.0,G16,48.7729,-0.2271,0.4162
1200.0,G27,63.6240,-0.3760,0.3241
1200.0,G08,45.6837,-0.3163,0.3385
1200.0,G04,32.6874,-0.3126,0.3520
1200.0,G01,8.9201,-0.0799,0.3587
1200.0,G26,80.3905,+0.3905,0.3670
1200.0,G16,48.5735,-0.4265,0.4029
1230.0,G27,63.6241,-0.3759,0.3155
1230.0,G08,45.6608,-0.3392,0.3239
1230.0,G04,32.5809,-0.4191,0.3448
1230.0,G01,8.9338,-0.0662,0.3490
1230.0,G26,80.2970,+0.2970,0.3552
1230.0,G16,48.4428,+0.4428,0.3902
1260.0,G27,63.0067,+0.0067,0.3075
1260.0,G08,45.5177,-0.4823,0.3112
1260.0,G04,32.8719,-0.1281,0.3379
1260.0,G01,9.7081,-0.2919,0.3398
1260.0,G26,79.6091,-0.3909,0.3441
1260.0,G16,47.9061,-0.0939,0.3783
1290.0,G27,63.2084,+0.2084,0.2999
1290.0,G08,45.4537,+0.4537,0.2999
1290.0,G01,9.2592,+0.2592,0.3310
1290.0,G04,32.5265,-0.4735,0.3313
1290.0,G26,79.6588,-0.3412,0.3337
1290.0,G16,47.7636,-0.2364,0.3671
1320.0,G08,45.4341,+0.4341,0.2898
1320.0,G27,63.4204,+0.4204,0.2927
1320.0,G01,8.8273,-0.1727,0.3226
1320.0,G26,79.7188,-0.2812,0.3238
1320.0,G04,32.1425,+0.1425,0.3250
1320.0,G16,47.6423,-0.3577,0.3564
1350.0,G08,45.2929,+0.2929,0.2807
1350.0,G27,62.8356,-0.1644,0.2859
1350.0,G26,79.1377,+0.1377,0.3144
1350.0,G01,9.4942,+0.4942,0.3145
1350.0,G04,32.4024,+0.4024,0.3189
1350.0,G16,47.1649,+0.1649,0.3464
1380.0,G08,45.1600,+0.1600,0.2724
1380.0,G27,62.7916,-0.2084,0.2794
1380.0,G26,79.0760,+0.0760,0.3056
1380.0,G01,9.2749,+0.2749,0.3069
1380.0,G04,32.2245,+0.2245,0.3131
1380.0,G16,46.9284,-0.0716,0.3368
1410.0,G08,44.9962,-0.0038,0.2648
1410.0,G27,61.9322,-0.0678,0.2733
1410.0,G26,78.3297,+0.3297,0.2972
1410.0,G01,10.2779,+0.2779,0.2995
1410.0,G04,32.7463,-0.2537,0.3074
1410.0,G16,46.4035,+0.4035,0.3277
1440.0,G08,44.8356,-0.1644,0.2577
1440.0,G27,61.1328,+0.1328,0.2674
1440.0,G26,77.6455,-0.3545,0.2893
1440.0,G01,11.2537,+0.2537,0.2924
1440.0,G04,33.2686,+0.2686,0.3019
1440.0,G16,45.9614,-0.0386,0.3191
1470.0,G08,44.9419,-0.0581,0.2511
1470.0,G27,61.7445,-0.2555,0.2618
1470.0,G26,78.0179,+0.0179,0.2817
1470.0,G01,10.3054,+0.3054,0.2857
1470.0,G04,32.5860,-0.4140,0.2965
1470.0,G16,46.0453,+0.0453,0.3108
1500.0,G08,44.7481,-0.2519,0.2450
1500.0,G27,60.6979,-0.3021,0.2564
1500.0,G26,77.1453,+0.1453,0.2745
1500.0,G01,11.6837,-0.3163,0.2792
1500.0,G04,33.3518,+0.3518,0.2914
1500.0,G16,45.5356,-0.4644,0.3030
1530.0,G08,44.6490,-0.3510,0.2393
1530.0,G27,60.3752,+0.3752,0.2513
1530.0,G26,76.8162,-0.1838,0.2677
1530.0,G01,12.0084,+0.0084,0.2729
1530.0,G04,33.4748,+0.4748,0.2863
1530.0,G16,45.2266,+0.2266,0.2955
1560.0,G08,44.5891,-0.4109,0.2340
1560.0,G27,60.0679,+0.0679,0.2464
1560.0,G26,76.4676,+0.4676,0.2611
1560.0,G01,12.3997,+0.3997,0.2669
1560.0,G04,33.5876,-0.4124,0.2814
1560.0,G16,44.9626,-0.0374,0.2884
1590.0,G08,44.6195,-0.3805,0.2289
1590.0,G27,60.2579,+0.2579,0.2416
1590.0,G26,76.5126,-0.4874,0.2549
1590.0,G01,12.0540,+0.0540,0.2612
1590.0,G04,33.2655,+0.2655,0.2766
1590.0,G16,44.8579,-0.1421,0.2816
1620.0,G08,44.5634,-0.4366,0.2241
1620.0,G27,60.0487,+0.0487,0.2371
1620.0,G26,76.2737,+0.2737,0.2490
1620.0,G01,12.2824,+0.2824,0.2556
1620.0,G04,33.3249,+0.3249,0.2720
1620.0,G16,44.6456,-0.3544,0.2751
1650.0,G08,44.6033,-0.3967,0.2196
1650.0,G27,60.2744,+0.2744,0.2327
1650.0,G26,76.3231,+0.3231,0.2433
1650.0,G01,11.9828,-0.0172,0.2503
1650.0,G04,33.0180,+0.0180,0.2674
1650.0,G16,44.5813,-0.4187,0.2689
1680.0,G08,44.5819,-0.4181,0.2153
1680.0,G27,60.3063,+0.3063,0.2284
1680.0,G26,76.3307,+0.3307,0.2379
1680.0,G01,11.8940,-0.1060,0.2451
1680.0,G16,44.5164,-0.4836,0.2629
1680.0,G04,32.9349,-0.0651,0.2630
1710.0,G08,44.5365,-0.4635,0.2113
1710.0,G27,59.9529,-0.0471,0.2243
1710.0,G26,76.0914,+0.0914,0.2327
1710.0,G01,12.4071,+0.4071,0.2402
1710.0,G16,44.3894,+0.3894,0.2572
1710.0,G04,33.2342,+0.2342,0.2586
1740.0,G27,60.8517,-0.1483,0.2205
1740.0,G26,76.4724,+0.4724,0.2280
1740.0,G01,11.1786,+0.1786,0.2354
1740.0,G16,44.3579,+0.3579,0.2519
1740.0,G04,32.1383,+0.1383,0.2544
1740.0,G03,28.7133,-0.2867,0.2919
1770.0,G27,60.3783,+0.3783,0.2167
1770.0,G26,76.1936,+0.1936,0.2234
1770.0,G01,11.8921,-0.1079,0.2309
1770.0,G16,44.2963,+0.2963,0.2468
1770.0,G04,32.6183,-0.3817,0.2503
1770.0,G03,29.2935,+0.2935,0.2865
1800.0,G27,60.2315,+0.2315,0.2131
1800.0,G26,76.0955,+0.0955,0.2190
1800.0,G01,12.0497,+0.0497,0.2264
1800.0,G16,44.2207,+0.2207,0.2419
1800.0,G04,32.6978,-0.3022,0.2462
1800.0,G03,29.3723,+0.3723,0.2813
1830.0,G27,60.6479,-0.3521,0.2096
1830.0,G26,76.2601,+0.2601,0.2148
1830.0,G01,11.4614,+0.4614,0.2222
1830.0,G16,44.1772,+0.1772,0.2372
1830.0,G04,32.1448,+0.1448,0.2423
1830.0,G03,28.7185,-0.2815,0.2762
1860.0,G27,60.7043,-0.2957,0.2062
1860.0,G26,76.2475,+0.2475,0.2108
1860.0,G01,11.3625,+0.3625,0.2181
1860.0,G16,44.0950,+0.0950,0.2327
1860.0,G04,31.9850,-0.0150,0.2384
1860.0,G03,28.5069,-0.4931,0.2712
1890.0,G27,60.5370,-0.4630,0.2029
1890.0,G26,76.1612,+0.1612,0.2069
1890.0,G01,11.5706,-0.4294,0.2141
1890.0,G16,44.0270,+0.0270,0.2283
1890.0,G04,32.1156,+0.1156,0.2346
1890.0,G03,28.6364,-0.3636,0.2664
1920.0,G27,60.0680,+0.0680,0.1998
1920.0,G26,75.9406,-0.0594,0.2031
1920.0,G01,12.1804,+0.1804,0.2103
1920.0,G16,43.9647,-0.0353,0.2241
1920.0,G04,32.5871,-0.4129,0.2309
1920.0,G03,29.1483,+0.1483,0.2617
1950.0,G27,59.4977,+0.4977,0.1967
1950.0,G26,75.6375,-0.3625,0.1995
1950.0,G01,12.9662,-0.0338,0.2066
1950.0,G16,43.9051,-0.0949,0.2200
1950.0,G04,33.1649,+0.1649,0.2273
1950.0,G03,29.8004,-0.1996,0.2572
1980.0,G27,59.7328,-0.2672,0.1937
1980.0,G26,75.6562,-0.3438,0.1960
1980.0,G01,12.6070,-0.3930,0.2030
1980.0,G16,43.7744,-0.2256,0.2161
1980.0,G04,32.7582,-0.2418,0.2238
1980.0,G03,29.3045,+0.3045,0.2527
2010.0,G27,59.5371,-0.4629,0.1908
2010.0,G26,75.4964,+0.4964,0.1926
2010.0,G01,12.8387,-0.1613,0.1996
2010.0,G16,43.6598,-0.3402,0.2123
2010.0,G04,32.8686,-0.1314,0.2203
2010.0,G03,29.4034,+0.4034,0.2484
2040.0,G27,59.1362,+0.1362,0.1879
2040.0,G26,75.2963,+0.2963,0.1894
2040.0,G01,13.2773,+0.2773,0.1962
2040.0,G16,43.5598,-0.4402,0.2086
2040.0,G04,33.2043,+0.2043,0.2170
2040.0,G03,29.7227,-0.2773,0.2442
2070.0,G27,59.1682,+0.1682,0.1852
2070.0,G26,75.2255,+0.2255,0.1863
2070.0,G01,13.2198,+0.2198,0.1930
2070.0,G16,43.4507,+0.4507,0.2051
2070.0,G04,33.0472,+0.0472,0.2137
2070.0,G03,29.5200,-0.4800,0.2401
2100.0,G27,59.0791,+0.0791,0.1825
2100.0,G26,75.1289,+0.1289,0.1832
2100.0,G01,13.3063,+0.3063,0.1899
2100.0,G16,43.3654,+0.3654,0.2016
2100.0,G04,33.0428,+0.0428,0.2105
2100.0,G03,29.4999,+0.4999,0.2361
2130.0,G27,59.2905,+0.2905,0.1799
2130.0,G26,75.1764,+0.1764,0.1803
2130.0,G01,12.9853,-0.0147,0.1869
2130.0,G16,43.2662,+0.2662,0.1983
2130.0,G04,32.7004,-0.2996,0.2073
2130.0,G03,29.0931,+0.0931,0.2322
2160.0,G27,59.5047,-0.4953,0.1774
2160.0,G26,75.1934,+0.1934,0.1775
2160.0,G01,12.7739,-0.2261,0.1840
2160.0,G16,43.1993,+0.1993,0.1951
2160.0,G04,32.3896,+0.3896,0.2043
2160.0,G03,28.7629,-0.2371,0.2285
2190.0,G26,75.2984,+0.2984,0.1748
2190.0,G27,60.0169,+0.0169,0.1749
2190.0,G01,12.1679,+0.1679,0.1812
2190.0,G16,43.1042,+0.1042,0.1920
2190.0,G04,31.6962,-0.3038,0.2013
2190.0,G03,27.9811,-0.0189,0.2248
2220.0,G26,75.3015,+0.3015,0.1721
2220.0,G27,60.1278,+0.1278,0.1725
2220.0,G01,12.0309,+0.0309,0.1784
2220.0,G16,43.0572,+0.0572,0.1889
2220.0,G04,31.4997,+0.4997,0.1983
2220.0,G03,27.7544,-0.2456,0.2212
2250.0,G26,75.2682,+0.2682,0.1696
2250.0,G27,59.9704,-0.0296,0.1701
2250.0,G01,12.1966,+0.1966,0.1758
2250.0,G16,43.0551,+0.0551,0.1860
2250.0,G04,31.6499,-0.3501,0.1954
2250.0,G03,27.8999,-0.1001,0.2177
2280.0,G26,75.2344,+0.2344,0.1671
2280.0,G27,59.8487,-0.1513,0.1678
2280.0,G01,12.3655,+0.3655,0.1732
2280.0,G16,43.0444,+0.0444,0.1832
2280.0,G04,31.7515,-0.2485,0.1926
2280.0,G03,28.0206,+0.0206,0.2143
2310.0,G26,75.0333,+0.0333,0.1647
2310.0,G27,59.2518,+0.2518,0.1655
2310.0,G01,13.2020,+0.2020,0.1708
2310.0,G16,43.1199,+0.1199,0.1804
2310.0,G04,32.4649,+0.4649,0.1899
2310.0,G03,28.8589,-0.1411,0.2110
2340.0,G26,75.0273,+0.0273,0.1624
2340.0,G27,59.2103,+0.2103,0.1634
2340.0,G01,13.2246,+0.2246,0.1684
2340.0,G16,43.0903,+0.0903,0.1777
2340.0,G04,32.4697,+0.4697,0.1872
2340.0,G03,28.8348,-0.1652,0.2078
2370.0,G26,75.0764,+0.0764,0.1602
2370.0,G27,59.3610,+0.3610,0.1612
2370.0,G01,13.0070,+0.0070,0.1660
2370.0,G16,43.0287,+0.0287,0.1751
2370.0,G04,32.2300,+0.2300,0.1846
2370.0,G03,28.5386,-0.4614,0.2046
2400.0,G26,74.8918,-0.1082,0.1580
2400.0,G27,58.7234,-0.2766,0.1591
2400.0,G01,13.8207,-0.1793,0.1638
2400.0,G16,43.1146,+0.1146,0.1726
2400.0,G04,32.9768,-0.0232,0.1821
2400.0,G03,29.3902,+0.3902,0.2016
2430.0,G26,74.8461,-0.1539,0.1559
2430.0,G27,58.5015,-0.4985,0.1571
2430.0,G01,14.0934,+0.0934,0.1616
2430.0,G16,43.1311,+0.1311,0.1702
2430.0,G04,33.2254,+0.2254,0.1796
2430.0,G03,29.6658,-0.3342,0.1986
2460.0,G26,74.7383,-0.2617,0.1539
2460.0,G27,58.2624,+0.2624,0.1551
2460.0,G01,14.3726,+0.3726,0.1595
2460.0,G16,43.0972,+0.0972,0.1678
2460.0,G04,33.4184,+0.4184,0.1772
2460.0,G03,29.8715,-0.1285,0.1957
2490.0,G26,74.6057,-0.3943,0.1519
2490.0,G27,58.0865,+0.0865,0.1532
2490.0,G01,14.5814,-0.4186,0.1575
2490.0,G16,43.0102,+0.0102,0.1655
2490.0,G04,33.5036,-0.4964,0.1748
2490.0,G03,29.9505,-0.0495,0.1929
2520.0,G26,74.4658,+0.4658,0.1500
2520.0,G27,57.7804,-0.2196,0.1513
