SOD,sat,N1_float,frac,sigma_N1_m
0.0,E16,1.5867,-0.4133,5.4185
0.0,G03,17.2116,+0.2116,5.4307
0.0,G26,48.4590,+0.4590,5.4665
0.0,G16,28.4666,+0.4666,5.5065
0.0,E09,65.2529,+0.2529,6.1476
0.0,G31,47.4032,+0.4032,6.8244
30.0,G16,21.6656,-0.3344,3.7472
30.0,E16,-1.2190,-0.2190,3.8561
30.0,G03,11.7858,-0.2142,3.8645
30.0,G26,46.7774,-0.2226,3.9271
30.0,E09,67.7324,-0.2676,4.2033
30.0,G31,48.5006,-0.4994,4.9098
60.0,G16,18.5477,-0.4523,3.0446
60.0,E16,-2.1478,-0.1478,3.1563
60.0,G03,11.6716,-0.3284,3.1639
60.0,G26,45.3115,+0.3115,3.2280
60.0,E09,69.8428,-0.1572,3.4167
60.0,G31,46.3036,+0.3036,4.0369
90.0,E16,-3.4162,-0.4162,1.0552
90.0,G03,6.5609,-0.4391,1.0699
90.0,G16,13.0293,+0.0293,1.0711
90.0,G26,40.5577,-0.4423,1.0909
90.0,E09,68.9051,-0.0949,1.2229
90.0,G31,40.1294,+0.1294,1.3827
120.0,G16,16.1333,+0.1333,0.7573
120.0,E16,-1.5236,+0.4764,0.7711
120.0,G03,3.8903,-0.1097,0.7776
120.0,G26,42.3901,+0.3901,0.7977
120.0,E09,66.4226,+0.4226,0.8665
120.0,G31,42.5572,-0.4428,1.0109
150.0,G16,17.2042,+0.2042,0.6213
150.0,E16,-2.3278,-0.3278,0.6383
150.0,G03,3.7714,-0.2286,0.6425
150.0,G26,42.7542,-0.2458,0.6613
150.0,E09,66.0110,+0.0110,0.7113
150.0,G31,43.6780,-0.3220,0.8392
180.0,G16,16.2182,+0.2182,0.5405
180.0,E16,-4.4306,-0.4306,0.5569
180.0,G03,5.3634,+0.3634,0.5599
180.0,G26,42.5652,-0.4348,0.5784
180.0,E09,65.9828,-0.0172,0.6149
180.0,G31,44.2071,+0.2071,0.7333
210.0,G16,15.8807,-0.1193,0.4855
210.0,E16,-4.0973,-0.0973,0.5009
210.0,G03,5.9401,-0.0599,0.5033
210.0,G26,42.2786,+0.2786,0.5214
210.0,E09,66.6661,-0.3339,0.5504
210.0,G31,43.1948,+0.1948,0.6611
240.0,G16,16.9999,-0.0001,0.4450
240.0,E16,-3.8883,+0.1117,0.4594
240.0,G03,6.0784,+0.0784,0.4614
240.0,G26,43.4803,+0.4803,0.4792
240.0,E09,66.5736,-0.4264,0.5034
240.0,G31,44.1832,+0.1832,0.6078
270.0,G16,17.7775,-0.2225,0.4136
270.0,E16,-4.0900,-0.0900,0.4270
270.0,G03,6.4746,+0.4746,0.4287
270.0,G26,44.4027,+0.4027,0.4463
270.0,E09,66.1761,+0.1761,0.4671
270.0,G31,45.0538,+0.0538,0.5664
300.0,G16,17.8876,-0.1124,0.3884
300.0,E16,-4.2794,-0.2794,0.4008
300.0,G03,6.2436,+0.2436,0.4024
300.0,G26,44.7910,-0.2090,0.4198
300.0,E09,67.1517,+0.1517,0.4380
300.0,G31,45.4572,+0.4572,0.5329
330.0,G16,17.4045,+0.4045,0.3662
330.0,E16,-4.3219,-0.3219,0.3786
330.0,G03,6.3144,+0.3144,0.3789
330.0,G26,44.4098,+0.4098,0.3969
330.0,E09,67.5200,-0.4800,0.4133
330.0,G04,10.2148,+0.2148,0.4889
360.0,G16,17.5829,-0.4171,0.3457
360.0,E16,-4.0529,-0.0529,0.3564
360.0,G03,6.2899,+0.2899,0.3589
360.0,G26,44.3308,+0.3308,0.3667
360.0,E09,67.7211,-0.2789,0.3936
360.0,G31,45.5344,-0.4656,0.4594
