SOD,nGPS,nGal,GPS_NE_up,Gal_NE_up,GPS_NE_frac,ISB_val,ISB_P,ISB_delta,ISB_P_reduction,ISB_gain_proxy,GPS_only_sigma_U_mm,combined_sigma_U_mm,Gal_leverage_ratio,GPS_ph_rms_mm,Gal_ph_rms_mm,gal_sig_scale,nml_sc_gps,nml_sc_gal,ISB_observable
60.0,8,4,27.5857,21.6775,0.5600,+1.323814,0.737295,-0.460143,+0.783051,-2.5473,2833.16,2802.66,1.0109,2605.327,2832.659,1.0000,1.0047,0.9953,1
120.0,8,4,27.5320,22.3031,0.5525,+1.284450,0.486020,-0.039364,+0.251335,-0.0603,2869.01,2256.38,1.2715,719.391,497.999,1.0000,1.0091,0.9909,1
180.0,8,4,59.3052,22.9288,0.7212,+1.303431,0.325418,+0.018981,+0.160662,+0.0445,3523.39,1888.05,1.8662,1418.771,752.528,1.0000,1.0136,0.9864,1
240.0,8,4,59.6391,23.5741,0.7167,+1.521227,0.247880,+0.217796,+0.077598,+7.2166,3577.84,1661.91,2.1528,918.177,540.104,1.0000,1.0180,0.9820,1
300.0,8,4,44.6374,24.2213,0.6482,+1.429132,0.199576,-0.092096,+0.048364,-0.2245,3077.37,1490.82,2.0642,818.002,291.739,1.0000,1.0221,0.9779,1
360.0,7,4,1000.0047,24.5908,0.9760,+1.414085,0.173370,-0.015047,+0.026266,-0.0962,2580.68,1370.37,1.8832,304.078,124.770,1.0000,1.0000,1.0000,1
420.0,7,4,3531.8461,1661.4229,0.6801,+1.378437,0.149988,-0.035648,+0.023442,-0.1694,802.11,1242.62,0.6455,102.242,75.875,1.0000,1.0000,1.0000,1
480.0,8,4,615.0550,24.6405,0.9615,+1.333387,0.130572,-0.045050,+0.019476,-0.7946,3604.33,1158.18,3.1121,46.977,32.309,1.0000,1.0000,1.0000,1
540.0,8,4,46.4068,25.0700,0.6493,+1.372576,0.115288,+0.039188,+0.015343,+0.4643,2353.53,1087.49,2.1642,868.017,282.801,1.0000,1.0050,0.9950,1
600.0,8,4,4294.4037,908.7742,0.8253,+1.370403,0.102897,-0.002173,+0.012451,-0.0060,3329.07,1027.17,3.2410,110.496,116.425,1.0000,1.0000,1.0000,1
660.0,7,4,99.9532,25.6359,0.7959,+1.404876,0.093367,+0.034473,+0.009590,+0.1297,1259.26,975.16,1.2913,95.206,113.530,1.0000,1.0000,1.0000,1
720.0,7,4,69.3416,694.6212,0.0908,+1.427365,0.085955,+0.022489,+0.007472,+0.1187,3732.55,918.98,4.0616,203.471,219.906,1.0000,1.0000,1.0000,1
780.0,7,4,46.3225,26.7931,0.6336,+1.467409,0.078733,+0.040044,+0.007282,+6.6278,3745.70,877.61,4.2681,143.687,146.216,1.0000,1.0050,0.9950,1
840.0,7,4,70.7434,27.4980,0.7201,+1.420268,0.072682,-0.047141,+0.006111,-1.0056,5288.52,843.17,6.2722,52.329,66.436,1.0000,1.0098,0.9902,1
