SOD,ISB_E_m,P_ISB_m2,NL_count,isb_reinitialized
0.0,+1.783957,1.520287,0,0
60.0,+1.323814,0.737295,0,0
120.0,+1.284450,0.486020,0,0
180.0,+1.303431,0.325418,0,0
240.0,+1.521227,0.247880,0,0
300.0,+1.429132,0.199576,0,0
360.0,+1.414085,0.173370,0,0
420.0,+1.378437,0.149988,0,0
480.0,+1.333387,0.130572,0,0
540.0,+1.372576,0.115288,0,0
600.0,+1.370403,0.102897,0,0
660.0,+1.404876,0.093367,0,0
720.0,+1.427365,0.085955,0,0
780.0,+1.467409,0.078733,0,0
840.0,+1.420268,0.072682,0,0
900.0,+1.435419,0.067570,0,0
960.0,+1.483363,0.062972,0,0
1020.0,+1.520777,0.058767,0,0
1080.0,+1.512276,0.055006,0,0
1140.0,+1.528317,0.052040,0,0
1200.0,+1.548044,0.049404,0,0
1260.0,+1.554610,0.046397,0,0
1320.0,+1.542826,0.043910,0,0
1380.0,+1.525211,0.041986,0,0
1440.0,+1.527772,0.039905,0,0
1500.0,+1.559803,0.038024,0,0
1560.0,+1.568491,0.036290,0,0
1620.0,+1.598932,0.034693,0,0
1680.0,+1.597412,0.033383,0,0
1740.0,+1.593354,0.032000,0,0
1800.0,+1.604069,0.031058,0,0
1860.0,+1.603917,0.030177,0,0
1920.0,+1.603374,0.029389,0,0
1980.0,+1.611837,0.028643,0,0
2040.0,+1.594855,0.027933,0,0
2100.0,+1.585032,0.027255,0,0
2160.0,+1.605206,0.026145,0,0
2220.0,+1.645165,0.025224,0,0
2280.0,+1.647391,0.024129,0,0
2340.0,+1.661441,0.023341,0,0
2400.0,+1.655959,0.022830,0,0
2460.0,+1.650616,0.022357,0,0
2520.0,+1.650073,0.021668,0,0
2580.0,+1.637153,0.021244,0,0
2640.0,+1.653445,0.020842,0,0
2700.0,+1.650369,0.020458,0,0
2760.0,+1.650245,0.020087,0,0
2820.0,+1.642990,0.019728,0,0
2880.0,+1.639597,0.019380,0,0
2940.0,+1.637347,0.018818,0,0
3000.0,+1.631627,0.018310,0,0
3060.0,+1.637158,0.017821,0,0
3120.0,+1.644683,0.017527,0,0
3180.0,+1.654306,0.017202,0,0
3240.0,+1.658812,0.016926,0,0
3300.0,+1.657753,0.016529,0,0
3360.0,+1.670988,0.016178,0,0
3420.0,+1.666966,0.015947,0,0
3480.0,+1.674503,0.015604,0,0
3540.0,+1.663973,0.015340,0,0
3600.0,+1.671775,0.015020,0,0
3660.0,+1.674606,0.014818,0,0
