SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
5400.0,G16,-0.43852,+0.00000,-0.43852,0.1409,1,0
5460.0,G03,+0.47976,+0.00000,+0.47976,0.1405,1,0
5460.0,G16,+0.46026,+0.00000,+0.46026,0.1398,1,0
5520.0,G03,+0.46453,+0.00000,+0.46453,0.1397,2,0
5520.0,G16,+0.40750,+0.00000,+0.40750,0.1389,1,0
5580.0,G03,+0.48196,+0.00000,+0.48196,0.1389,3,0
5580.0,G16,+0.40318,+0.00000,+0.40318,0.1382,1,0
5640.0,G03,+0.33658,+0.00000,+0.33658,0.1380,3,0
5700.0,G03,+0.36200,+0.00000,+0.36200,0.1373,3,0
5760.0,G03,+0.42462,+0.00000,+0.42462,0.1366,3,0
5820.0,G03,+0.41057,+0.00000,+0.41057,0.1361,4,0
5880.0,G03,+0.40263,+0.00000,+0.40263,0.1354,5,0
5940.0,G03,+0.37468,+0.00000,+0.37468,0.1348,5,0
6000.0,G03,+0.39627,+0.00000,+0.39627,0.1342,5,0
6060.0,G03,+0.42607,+0.00000,+0.42607,0.1336,5,0
6120.0,G03,+0.42790,+0.00000,+0.42790,0.1329,6,0
6180.0,G03,+0.44561,+0.00000,+0.44561,0.1323,7,0
6240.0,G03,+0.38897,+0.00000,+0.38897,0.1317,7,0
6300.0,G03,+0.39409,+0.00000,+0.39409,0.1311,8,0
6360.0,G03,+0.39415,+0.00000,+0.39415,0.1306,9,0
6420.0,G03,+0.37465,+0.00000,+0.37465,0.1300,10,0
6480.0,G03,+0.33592,+0.00000,+0.33592,0.1294,10,0
6540.0,G03,+0.33564,+0.00000,+0.33564,0.1289,11,0
6600.0,G03,+0.41603,+0.00000,+0.41603,0.1284,11,0
6660.0,G03,+0.43395,+0.00000,+0.43395,0.1278,12,0
6720.0,G03,+0.43350,+0.00000,+0.43350,0.1271,13,0
6780.0,G03,+0.39331,+0.00000,+0.39331,0.1266,13,0
6840.0,G03,+0.38661,+0.00000,+0.38661,0.1260,14,0
6900.0,G03,+0.44957,+0.00000,+0.44957,0.1255,14,0
6960.0,G03,+0.48069,+0.00000,+0.48069,0.1251,14,0
7020.0,G03,+0.44778,+0.00000,+0.44778,0.1246,14,0
7080.0,G03,+0.47015,+0.00000,+0.47015,0.1241,14,0
7140.0,G03,+0.48343,+0.00000,+0.48343,0.1236,15,0
7200.0,G03,+0.46809,+0.00000,+0.46809,0.1232,16,0
7260.0,G03,-0.49628,+0.00000,-0.49628,0.1228,16,0
7320.0,G03,-0.46383,+0.00000,-0.46383,0.1223,16,0
7380.0,G03,-0.48541,+0.00000,-0.48541,0.1218,0,0
7440.0,G03,-0.47705,+0.00000,-0.47705,0.1213,1,0
25860.0,G07,-0.05053,+0.00000,-0.05053,0.0622,1,0
27120.0,G17,+0.24132,+0.00000,+0.24132,0.0676,1,0
27180.0,G17,+0.21438,+0.00000,+0.21438,0.0672,1,0
27240.0,G17,+0.23253,+0.00000,+0.23253,0.0671,2,0
27300.0,G17,+0.26104,+0.00000,+0.26104,0.0669,2,0
27360.0,G17,+0.24154,+0.00000,+0.24154,0.0667,3,0
27420.0,G17,+0.23081,+0.00000,+0.23081,0.0665,4,0
27480.0,G17,+0.24331,+0.00000,+0.24331,0.0664,5,0
27540.0,G17,+0.22390,+0.00000,+0.22390,0.0662,6,0
27600.0,G17,+0.23881,+0.00000,+0.23881,0.0661,7,0
27660.0,G17,+0.22559,+0.00000,+0.22559,0.0658,8,0
27720.0,G17,+0.22679,+0.00000,+0.22679,0.0657,9,0
73500.0,E33,+0.48797,+0.00000,+0.48797,0.1210,1,0
73560.0,E33,-0.48926,+0.00000,-0.48926,0.1201,1,0
73620.0,E33,-0.45428,+0.00000,-0.45428,0.1191,1,0
73680.0,E33,-0.44511,+0.00000,-0.44511,0.1182,1,0
73740.0,E33,-0.44856,+0.00000,-0.44856,0.1174,2,0
73800.0,E33,-0.45909,+0.00000,-0.45909,0.1166,3,0
73860.0,E33,-0.45448,+0.00000,-0.45448,0.1157,4,0
73920.0,E33,-0.44285,+0.00000,-0.44285,0.1149,5,0
73980.0,E33,-0.42734,+0.00000,-0.42734,0.1142,6,0
74040.0,E33,-0.39940,+0.00000,-0.39940,0.1134,6,0
74100.0,E33,-0.39687,+0.00000,-0.39687,0.1127,7,0
74160.0,E33,-0.41128,+0.00000,-0.41128,0.1119,8,0
74220.0,E33,-0.41964,+0.00000,-0.41964,0.1112,9,0
74280.0,E33,-0.40172,+0.00000,-0.40172,0.1106,10,0
74340.0,E33,-0.41165,+0.00000,-0.41165,0.1099,11,0
74400.0,E33,-0.41139,+0.00000,-0.41139,0.1092,12,0
74460.0,E33,-0.43622,+0.00000,-0.43622,0.1086,12,0
74520.0,E33,-0.42439,+0.00000,-0.42439,0.1080,13,0
74580.0,E33,-0.42029,+0.00000,-0.42029,0.1074,14,0
74640.0,E33,-0.42829,+0.00000,-0.42829,0.1068,15,0
74700.0,E33,-0.41404,+0.00000,-0.41404,0.1062,16,0
74760.0,E33,-0.37082,+0.00000,-0.37082,0.1016,16,0
74820.0,E33,-0.40284,+0.00000,-0.40284,0.0995,16,0
74880.0,E33,-0.47227,+0.00000,-0.47227,0.0977,16,0
74940.0,E33,-0.44742,+0.00000,-0.44742,0.0964,16,0
75000.0,E33,-0.46531,+0.00000,-0.46531,0.0955,17,0
75060.0,E33,-0.44464,+0.00000,-0.44464,0.0948,17,0
75120.0,E33,+0.48909,+0.00000,+0.48909,0.0943,17,0
75180.0,E33,+0.49354,+0.00000,+0.49354,0.0939,18,0
75240.0,E33,+0.46539,+0.00000,+0.46539,0.0936,18,0
75300.0,E33,+0.43600,+0.00000,+0.43600,0.0933,18,0
75360.0,E33,+0.45134,+0.00000,+0.45134,0.0923,19,0
75420.0,E33,+0.41696,+0.00000,+0.41696,0.0917,19,0
75480.0,E33,+0.38028,+0.00000,+0.38028,0.0913,19,0
75540.0,E33,+0.38679,+0.00000,+0.38679,0.0909,20,0
75600.0,E33,+0.37935,+0.00000,+0.37935,0.0906,21,0
75660.0,E33,+0.36675,+0.00000,+0.36675,0.0903,22,0
75720.0,E33,+0.35331,+0.00000,+0.35331,0.0900,23,0
75780.0,E33,+0.35322,+0.00000,+0.35322,0.0893,24,0
75840.0,E33,+0.35266,+0.00000,+0.35266,0.0887,25,0
75900.0,E33,+0.37535,+0.00000,+0.37535,0.0884,25,0
75960.0,E33,+0.35705,+0.00000,+0.35705,0.0879,26,0
76020.0,E33,+0.35560,+0.00000,+0.35560,0.0876,27,0
76080.0,E33,+0.35183,+0.00000,+0.35183,0.0873,28,0
76140.0,E33,+0.34060,+0.00000,+0.34060,0.0870,29,0
76200.0,E33,+0.35887,+0.44311,-0.08424,0.0868,30,0
76260.0,E33,+0.35032,+0.43009,-0.07977,0.0866,31,0
76320.0,E33,+0.34783,+0.41745,-0.06962,0.0864,32,0
76380.0,E33,+0.34875,+0.40582,-0.05706,0.0861,33,0
76440.0,E33,+0.34813,+0.39465,-0.04652,0.0859,34,0
76500.0,E33,+0.35546,+0.38472,-0.02926,0.0835,35,0
76560.0,E33,+0.38304,+0.38472,-0.00168,0.0828,35,0
76620.0,E33,+0.38038,+0.37651,+0.00387,0.0822,36,0
76680.0,E33,+0.37259,+0.36946,+0.00313,0.0819,37,0
76740.0,E33,+0.37066,+0.36386,+0.00679,0.0816,38,0
76800.0,E33,+0.37240,+0.36012,+0.01228,0.0804,39,0
76860.0,E33,+0.39425,+0.36012,+0.03413,0.0799,39,0
76920.0,E33,+0.38527,+0.36004,+0.02522,0.0796,40,0
76980.0,E33,+0.39265,+0.36070,+0.03194,0.0794,41,0
77040.0,E33,+0.39139,+0.36193,+0.02946,0.0792,42,0
77100.0,E33,+0.40149,+0.36433,+0.03716,0.0790,43,0
77160.0,E33,+0.39099,+0.36623,+0.02476,0.0788,44,0
77220.0,E33,+0.38621,+0.36791,+0.01830,0.0787,45,0
77280.0,E33,+0.36988,+0.36856,+0.00132,0.0785,46,0
77340.0,E33,+0.36341,+0.36895,-0.00554,0.0784,47,0
77400.0,E33,+0.35946,+0.36933,-0.00988,0.0782,48,0
77460.0,E33,+0.36349,+0.37047,-0.00699,0.0780,49,0
77520.0,E33,+0.34808,+0.36993,-0.02186,0.0775,50,0
77580.0,E33,+0.35392,+0.37011,-0.01619,0.0773,51,0
77640.0,E33,+0.35068,+0.37026,-0.01958,0.0771,52,0
77700.0,E33,+0.34441,+0.37004,-0.02563,0.0769,53,0
77760.0,E33,+0.34911,+0.37009,-0.02098,0.0768,54,0
77820.0,E33,+0.34958,+0.36980,-0.02022,0.0767,55,0
77880.0,E33,+0.35278,+0.36841,-0.01563,0.0765,56,0
77940.0,E33,+0.34862,+0.36721,-0.01858,0.0764,57,0
78000.0,E33,+0.34238,+0.36579,-0.02341,0.0762,58,0
78060.0,E33,+0.34069,+0.36420,-0.02351,0.0761,59,0
78120.0,E33,+0.33099,+0.36148,-0.03049,0.0760,60,0
78180.0,E33,+0.32723,+0.35820,-0.03097,0.0759,61,0
78240.0,E33,+0.33515,+0.35539,-0.02023,0.0758,62,0
78300.0,E33,+0.32519,+0.35159,-0.02640,0.0756,63,0
78360.0,E33,+0.32166,+0.34814,-0.02648,0.0755,64,0
78420.0,E33,+0.31020,+0.34436,-0.03415,0.0753,65,0
78480.0,E33,+0.29933,+0.34084,-0.04151,0.0752,66,0
78540.0,E33,+0.29726,+0.33754,-0.04029,0.0751,67,0
78600.0,E33,+0.29860,+0.33450,-0.03591,0.0750,68,0
78660.0,E33,+0.29939,+0.33129,-0.03191,0.0749,69,0
78720.0,E33,+0.24944,+0.33129,-0.08185,0.0736,69,0
78780.0,E33,+0.24822,+0.32642,-0.07820,0.0732,70,0
78840.0,E33,+0.24133,+0.32089,-0.07956,0.0730,71,0
78900.0,E33,+0.22642,+0.31480,-0.08838,0.0728,72,0
78960.0,E33,+0.21743,+0.30854,-0.09111,0.0725,73,0
79020.0,E33,+0.20237,+0.30131,-0.09894,0.0723,74,0
79080.0,E33,+0.19934,+0.29381,-0.09447,0.0722,75,0
79140.0,E33,+0.18409,+0.29381,-0.10972,0.0720,76,0
79200.0,E33,+0.18080,+0.27694,-0.09614,0.0719,77,0
79260.0,E33,+0.17164,+0.26831,-0.09666,0.0718,78,0
79320.0,E33,+0.17163,+0.25968,-0.08805,0.0717,79,0
79380.0,E33,+0.16370,+0.25111,-0.08742,0.0716,80,0
79440.0,E33,+0.15843,+0.24245,-0.08402,0.0715,81,0
79500.0,E33,+0.14627,+0.23287,-0.08660,0.0714,82,0
79560.0,E33,+0.12986,+0.22301,-0.09315,0.0713,83,0
79620.0,E33,+0.12849,+0.21326,-0.08477,0.0712,84,0
79680.0,E33,+0.12777,+0.20403,-0.07627,0.0711,85,0
79740.0,E33,+0.12705,+0.19532,-0.06827,0.0710,86,0
79800.0,E33,+0.11879,+0.18639,-0.06760,0.0709,87,0
79860.0,E33,+0.11324,+0.17728,-0.06404,0.0709,88,0
79920.0,E33,+0.10988,+0.16816,-0.05828,0.0708,89,0
79980.0,E33,+0.10356,+0.16095,-0.05739,0.0707,90,0
80040.0,E33,+0.09855,+0.15385,-0.05530,0.0706,91,0
80100.0,E33,+0.09455,+0.14728,-0.05272,0.0705,92,0
80160.0,E33,+0.08258,+0.14057,-0.05799,0.0704,93,0
80220.0,E33,+0.07446,+0.13419,-0.05973,0.0704,94,0
80280.0,E33,+0.06101,+0.12732,-0.06631,0.0703,95,0
80340.0,E33,+0.06117,+0.12118,-0.06001,0.0702,96,0
80400.0,E33,+0.02065,+0.12118,-0.10052,0.0697,96,0
80460.0,E33,+0.01577,+0.11312,-0.09735,0.0696,97,0
80520.0,E33,+0.00450,+0.11312,-0.10862,0.0695,98,0
80580.0,E33,-0.00901,+0.11312,-0.12213,0.0694,99,0
80640.0,E33,-0.00408,+0.08772,-0.09180,0.0693,100,0
80700.0,E33,-0.00607,+0.07946,-0.08553,0.0692,100,0
80760.0,E33,-0.00936,+0.07159,-0.08095,0.0692,100,0
80820.0,E33,-0.01483,+0.06422,-0.07905,0.0691,100,0
80880.0,E33,-0.01221,+0.05702,-0.06923,0.0690,100,0
80940.0,E33,-0.00788,+0.05007,-0.05795,0.0690,100,0
81000.0,E33,+0.00401,+0.04378,-0.03977,0.0689,100,0
81060.0,E33,-0.00690,+0.03738,-0.04429,0.0688,100,0
81120.0,E33,-0.01948,+0.03066,-0.05015,0.0688,100,0
81180.0,E33,-0.02314,+0.02397,-0.04711,0.0687,100,0
81240.0,E33,-0.02339,+0.01760,-0.04100,0.0686,100,0
81300.0,E33,-0.03811,+0.01079,-0.04891,0.0682,100,0
81360.0,E33,-0.04703,+0.00379,-0.05083,0.0682,100,0
81420.0,E33,-0.05145,-0.00284,-0.04861,0.0681,100,0
81480.0,E33,-0.05786,-0.00936,-0.04849,0.0680,100,0
81540.0,E33,-0.05964,-0.01533,-0.04432,0.0680,100,0
81600.0,E33,-0.06794,-0.02166,-0.04628,0.0679,100,0
81660.0,E33,-0.07744,-0.02630,-0.05114,0.0678,100,0
81720.0,E33,-0.07314,-0.03019,-0.04295,0.0676,100,0
81780.0,E33,-0.07158,-0.03334,-0.03824,0.0675,100,0
81840.0,E33,-0.07260,-0.03679,-0.03581,0.0674,100,0
81900.0,E33,-0.07771,-0.04039,-0.03732,0.0674,100,0
81960.0,E33,-0.08993,-0.04443,-0.04550,0.0673,100,0
82020.0,E33,-0.08869,-0.04815,-0.04054,0.0673,100,0
82080.0,E33,-0.09436,-0.05228,-0.04207,0.0672,100,0
82140.0,E33,-0.09811,-0.05681,-0.04130,0.0672,100,0
