SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
1500.0,G16,+0.17127,+0.00000,+0.17127,0.1463,1,0
1530.0,G16,+0.02152,+0.00000,+0.02152,0.1449,1,0
1560.0,G16,-0.00024,+0.00000,-0.00024,0.1434,1,0
1590.0,G16,+0.01797,+0.00000,+0.01797,0.1419,2,0
1620.0,G03,+0.05914,+0.00000,+0.05914,0.1499,2,0
1620.0,G16,+0.05127,+0.00000,+0.05127,0.1404,2,0
1650.0,G03,+0.11971,+0.00000,+0.11971,0.1485,2,0
1650.0,G16,+0.08695,+0.00000,+0.08695,0.1391,2,0
1680.0,G03,+0.21826,+0.00000,+0.21826,0.1471,2,0
1680.0,G16,+0.13874,+0.00000,+0.13874,0.1378,2,0
1710.0,G03,+0.19208,+0.00000,+0.19208,0.1458,2,0
1710.0,G16,+0.20209,+0.00000,+0.20209,0.1366,2,0
1740.0,G03,+0.06912,+0.00000,+0.06912,0.1446,2,0
1740.0,G16,+0.17670,+0.00000,+0.17670,0.1354,2,0
1770.0,G03,-0.01189,+0.00000,-0.01189,0.1434,2,0
1770.0,G16,+0.11290,+0.00000,+0.11290,0.1343,2,0
1800.0,G03,-0.00594,+0.00000,-0.00594,0.1419,3,0
1800.0,G16,+0.13924,+0.00000,+0.13924,0.1315,2,0
1830.0,G03,-0.02298,+0.00000,-0.02298,0.1407,4,0
1830.0,G16,+0.11673,+0.00000,+0.11673,0.1303,2,0
1860.0,G03,-0.06998,+0.00000,-0.06998,0.1393,4,0
1860.0,G16,+0.10011,+0.00000,+0.10011,0.1289,3,0
1890.0,G03,-0.10591,+0.00000,-0.10591,0.1381,4,0
1890.0,G16,+0.06185,+0.00000,+0.06185,0.1276,3,0
1920.0,G03,-0.13034,+0.00000,-0.13034,0.1369,4,0
1920.0,G16,+0.11962,+0.00000,+0.11962,0.1265,3,0
1950.0,G03,-0.20142,+0.00000,-0.20142,0.1349,4,0
1950.0,G16,+0.07098,+0.00000,+0.07098,0.1252,3,0
