SOD,sat,event_type,corr_frac,sigma
1500.0,G03,SKIP_SIGMA,+0.0605,0.1568
1500.0,G16,SKIP_SIGMA,+0.1713,0.1463
1530.0,G03,SKIP_SIGMA,+0.1162,0.1553
1530.0,G16,SKIP_SIGMA,+0.0215,0.1449
1560.0,G03,SKIP_SIGMA,+0.1205,0.1534
1560.0,G16,SKIP_SIGMA,-0.0002,0.1434
1590.0,G03,SKIP_SIGMA,+0.0949,0.1515
1590.0,G16,SKIP_SIGMA,+0.0180,0.1419
1620.0,G03,SKIP_SIGMA,+0.0591,0.1499
1620.0,G16,SKIP_SIGMA,+0.0513,0.1404
1650.0,G03,SKIP_SIGMA,+0.1197,0.1485
1650.0,G16,SKIP_SIGMA,+0.0870,0.1391
1680.0,G03,SKIP_SIGMA,+0.2183,0.1471
1680.0,G16,SKIP_SIGMA,+0.1387,0.1378
1710.0,G03,SKIP_SIGMA,+0.1921,0.1458
1710.0,G16,SKIP_SIGMA,+0.2021,0.1366
1740.0,G03,SKIP_SIGMA,+0.0691,0.1446
1740.0,G16,SKIP_SIGMA,+0.1767,0.1354
1770.0,G03,SKIP_SIGMA,-0.0119,0.1434
1770.0,G16,SKIP_SIGMA,+0.1129,0.1343
1800.0,G03,SKIP_SIGMA,-0.0059,0.1419
1800.0,G16,SKIP_SIGMA,+0.1392,0.1315
1830.0,G03,SKIP_SIGMA,-0.0230,0.1407
1830.0,G16,SKIP_SIGMA,+0.1167,0.1303
1860.0,G03,SKIP_SIGMA,-0.0700,0.1393
1860.0,G16,SKIP_SIGMA,+0.1001,0.1289
1890.0,G03,SKIP_SIGMA,-0.1059,0.1381
1890.0,G16,SKIP_SIGMA,+0.0618,0.1276
1920.0,G03,SKIP_SIGMA,-0.1303,0.1369
1920.0,G16,SKIP_SIGMA,+0.1196,0.1265
1950.0,G03,SKIP_SIGMA,-0.2014,0.1349
1950.0,G16,SKIP_SIGMA,+0.0710,0.1252
1980.0,G03,SKIP_SIGMA,-0.1808,0.1338
1980.0,G16,SKIP_SIGMA,+0.0503,0.1242
2010.0,G03,SKIP_SIGMA,-0.0953,0.1327
2010.0,G16,SKIP_SIGMA,+0.0660,0.1232
2040.0,G03,SKIP_SIGMA,-0.1770,0.1317
2040.0,G16,SKIP_SIGMA,-0.0677,0.1223
2070.0,G03,SKIP_SIGMA,-0.1966,0.1308
2070.0,G16,SKIP_SIGMA,-0.0764,0.1214
2100.0,G03,SKIP_SIGMA,-0.2317,0.1298
2100.0,G16,SKIP_SIGMA,-0.1546,0.1206
2130.0,G03,SKIP_SIGMA,-0.3644,0.1286
2130.0,G16,SKIP_SIGMA,-0.2519,0.1196
2160.0,G03,SKIP_SIGMA,-0.4174,0.1276
2160.0,G16,SKIP_SIGMA,-0.2382,0.1188
2190.0,G03,SKIP_SIGMA,-0.4273,0.1267
2190.0,G16,SKIP_SIGMA,-0.1859,0.1180
2220.0,G03,SKIP_SIGMA,-0.3391,0.1256
2220.0,G16,SKIP_SIGMA,-0.0983,0.1171
2250.0,G03,SKIP_SIGMA,-0.3058,0.1245
2250.0,G16,SKIP_SIGMA,-0.0446,0.1160
2280.0,G03,SKIP_SIGMA,-0.4140,0.1230
2280.0,G16,SKIP_SIGMA,-0.0138,0.1149
2310.0,G03,SKIP_SIGMA,-0.4110,0.1222
2310.0,G16,SKIP_SIGMA,+0.1002,0.1142
2340.0,G03,SKIP_SIGMA,-0.3695,0.1214
2340.0,G16,SKIP_SIGMA,+0.2363,0.1135
2370.0,G03,SKIP_SIGMA,-0.3045,0.1206
2370.0,G16,SKIP_SIGMA,+0.3013,0.1128
2400.0,G03,SKIP_SIGMA,-0.2929,0.1198
