SOD,3D_error_mm,U_error_mm,NL_count,condNM,corr_U_ZWD,nGPS,nGal,dominant_sat,up_leverage
3540.0,407.80,392.41,0,7.12e+03,-0.1890,8,4,E16,0.989
7140.0,116.96,-52.16,0,1.27e+04,-0.0649,7,4,G04,0.987
10740.0,125.31,-92.97,0,5.75e+03,-0.1004,8,6,G09,0.957
14340.0,121.52,-92.96,0,4.67e+03,-0.1223,9,6,G09,0.935
17940.0,97.75,-75.35,0,4.82e+02,-0.1349,9,4,none,0.237
21540.0,113.65,-104.55,0,6.60e+03,-0.1540,10,4,G30,0.970
25140.0,107.26,-91.27,0,4.39e+02,-0.0798,9,4,none,0.294
28740.0,103.88,-89.84,0,5.62e+03,-0.0655,8,4,G14,0.912
32340.0,94.07,-86.12,0,4.36e+02,-0.0589,9,5,none,0.316
35940.0,93.26,-82.18,0,5.77e+02,-0.0532,9,4,G05,0.331
39540.0,90.27,-79.85,0,8.35e+02,-0.0464,8,5,G12,0.506
43140.0,90.82,-79.81,0,6.73e+03,-0.0402,7,4,G12,0.975
46740.0,116.60,-81.50,0,4.43e+02,-0.0358,8,3,none,0.220
50340.0,135.33,-82.57,0,5.26e+02,-0.0306,8,3,G18,0.329
53940.0,146.64,-84.58,0,8.61e+03,-0.0288,7,3,G23,0.842
57540.0,149.28,-85.86,0,4.76e+03,-0.0268,8,2,G23,0.853
61140.0,145.39,-86.36,0,3.67e+03,-0.0257,7,4,G29,0.894
64740.0,142.41,-84.61,0,4.10e+02,-0.0230,7,5,none,0.320
68340.0,141.72,-83.23,0,9.39e+03,-0.0209,7,5,G18,0.792
71940.0,137.73,-81.46,0,6.53e+02,-0.0256,10,6,G08,0.315
75540.0,126.64,-74.61,0,4.49e+02,-0.0411,9,5,none,0.268
79140.0,127.19,-73.60,0,4.19e+02,-0.0450,8,3,none,0.350
82740.0,120.77,-72.64,1,6.69e+03,-0.0582,9,3,G31,0.604
86340.0,95.67,-69.41,1,3.17e+02,-0.0633,8,3,G16,0.435
