SOD,n_sats,NL_count,WL_count,err3D,code_rms,phase_rms
0.0,11,0,0,3520.536,2482.45,2297.046
60.0,12,0,0,3049.609,1036.67,1138.777
120.0,12,0,0,1933.679,2080.09,1631.694
180.0,12,0,0,1489.762,1557.75,1264.866
240.0,12,0,0,1350.542,1148.06,1094.741
300.0,12,0,0,1575.575,748.22,803.929
360.0,11,0,0,1643.804,816.07,821.552
420.0,11,0,0,1577.570,758.80,840.701
480.0,12,0,0,1290.754,1576.36,1161.696
540.0,12,0,0,1154.539,877.31,854.814
600.0,12,0,0,1269.203,757.04,745.035
660.0,11,0,0,1535.762,697.96,750.767
720.0,11,0,0,1273.327,1019.92,951.206
780.0,11,0,0,1209.852,958.23,871.131
840.0,11,0,0,1094.121,926.57,919.256
900.0,11,0,0,1069.466,774.88,889.706
960.0,11,0,0,1079.298,865.17,889.460
1020.0,12,0,0,1279.805,800.11,831.974
1080.0,14,0,0,1282.376,1165.47,929.005
1140.0,14,0,0,1205.021,986.43,847.166
1200.0,14,0,0,1216.801,2493.46,1682.650
1260.0,14,0,0,1215.122,1155.22,905.790
1320.0,14,0,0,1233.889,946.70,812.686
1380.0,14,0,0,1149.302,963.34,875.363
1440.0,14,0,0,1158.631,916.93,813.722
1500.0,14,0,0,1077.927,1013.35,980.301
1560.0,14,0,0,1025.044,1001.02,1005.150
1620.0,14,0,0,932.532,1213.81,1016.147
1680.0,14,0,0,909.636,972.47,940.149
1740.0,14,0,0,916.835,998.63,1006.559
1800.0,15,0,0,899.368,1263.39,1010.439
1860.0,15,0,0,879.359,1249.92,977.610
1920.0,14,0,0,870.362,1034.39,970.104
1980.0,13,0,0,818.375,1071.48,1027.931
2040.0,13,0,0,747.480,979.13,1004.351
2100.0,13,0,0,737.681,987.27,1011.850
2160.0,14,0,0,618.841,1059.75,999.850
2220.0,14,0,0,661.155,1147.35,929.646
2280.0,15,0,0,704.727,1147.77,970.660
2340.0,14,0,0,704.842,996.46,1005.541
2400.0,15,0,0,706.568,935.02,971.595
2460.0,15,0,0,656.769,945.48,963.899
2520.0,14,0,0,580.374,964.97,1024.595
2580.0,14,0,0,593.534,1209.78,1024.172
2640.0,14,0,0,613.269,1175.94,994.774
2700.0,14,0,0,614.120,1092.14,1009.838
2760.0,14,0,0,580.984,981.49,988.580
2820.0,14,0,0,568.660,1031.34,1017.053
2880.0,14,0,0,565.977,971.47,976.149
2940.0,14,0,0,513.569,998.99,997.692
3000.0,13,0,0,505.159,1576.95,1184.432
3060.0,14,0,0,505.163,1215.89,1173.788
3120.0,13,0,0,477.253,997.69,960.699
3180.0,13,0,0,463.659,956.40,938.894
3240.0,13,0,0,466.597,1108.50,935.121
3300.0,14,0,0,459.578,1061.89,913.711
3360.0,13,0,0,456.770,968.08,929.359
3420.0,12,0,0,433.580,1034.39,977.934
3480.0,12,0,0,408.024,939.14,969.746
3540.0,12,0,0,407.797,892.47,966.436
3600.0,12,0,0,393.626,1019.86,999.753
3660.0,12,0,0,369.189,1070.46,975.750
3720.0,12,0,0,355.968,930.41,1002.581
3780.0,12,0,0,326.727,1719.36,1274.176
3840.0,11,0,0,327.129,1018.08,1005.537
3900.0,11,0,0,308.718,1032.98,980.277
3960.0,11,0,0,290.523,1122.58,1021.148
4020.0,11,0,0,283.866,1023.90,1016.797
4080.0,11,0,0,264.323,984.53,1009.512
4140.0,11,0,0,230.012,1039.39,1010.016
4200.0,11,0,0,179.874,1145.75,1055.596
4260.0,12,0,0,158.358,1228.67,1122.858
4320.0,13,0,0,134.150,1101.61,1061.040
4380.0,12,0,0,152.383,1016.93,1062.496
4440.0,12,0,0,139.204,1165.13,1042.257
4500.0,12,0,0,144.393,1125.14,1024.973
4560.0,12,0,0,133.909,1128.38,1044.075
4620.0,12,0,0,150.550,1087.56,1043.754
4680.0,12,0,0,153.535,1096.65,1056.599
4740.0,12,0,0,136.272,1179.81,1070.360
4800.0,12,0,0,77.926,1371.13,1214.230
4860.0,12,0,0,81.815,1101.53,1081.441
4920.0,12,0,0,74.786,1141.43,1060.251
4980.0,12,0,0,96.519,1169.50,1068.519
5040.0,12,0,0,95.059,1183.19,1042.719
5100.0,12,0,0,90.924,1116.63,1041.448
5160.0,12,0,0,88.479,1109.30,996.365
5220.0,12,0,0,90.942,1165.24,1002.907
5280.0,12,0,0,103.903,1214.35,1060.468
5340.0,11,0,0,99.457,1065.28,941.499
5400.0,11,0,1,95.073,1119.11,1018.239
5460.0,11,0,2,80.716,1084.91,1086.858
5520.0,11,0,2,85.611,971.58,994.936
5580.0,11,0,2,90.475,1001.97,951.948
5640.0,11,0,1,77.162,1176.38,1083.461
5700.0,11,0,1,86.894,1032.30,970.698
5760.0,11,0,1,92.226,1060.71,929.259
5820.0,11,0,1,93.583,1212.56,1049.091
5880.0,11,0,1,102.685,1056.13,974.243
5940.0,11,0,1,95.298,1108.74,968.574
6000.0,11,0,1,94.947,1099.90,990.450
6060.0,11,0,1,89.389,1070.48,940.146
6120.0,11,0,1,98.916,1060.70,1030.608
6180.0,11,0,1,104.252,1065.37,998.585
6240.0,11,0,1,102.886,1079.06,1030.485
6300.0,11,0,1,102.444,1087.22,1048.727
6360.0,11,0,1,105.183,1026.82,966.835
6420.0,11,0,1,102.922,1007.74,967.487
6480.0,11,0,1,106.517,1065.96,969.898
6540.0,11,0,1,114.415,1028.40,977.175
6600.0,11,0,1,115.468,1027.59,952.992
6660.0,11,0,1,112.330,1010.31,951.461
6720.0,11,0,1,115.466,1075.00,1023.368
6780.0,11,0,1,118.234,1087.64,1007.479
6840.0,11,0,1,119.335,1006.47,966.343
6900.0,11,0,1,124.151,1116.85,914.029
6960.0,11,0,1,122.895,1182.10,994.467
7020.0,11,0,1,117.996,1420.86,1091.948
7080.0,11,0,1,116.810,1039.14,936.853
7140.0,11,0,1,116.963,1037.37,966.024
7200.0,11,0,1,113.907,1122.48,990.353
7260.0,11,0,1,109.350,1117.51,987.345
7320.0,11,0,1,111.513,1057.32,950.035
7380.0,11,0,1,113.285,1101.05,1020.373
7440.0,11,0,1,117.968,1096.23,960.492
7500.0,11,0,0,120.319,1110.01,956.785
7560.0,11,0,0,117.977,1224.87,957.911
7620.0,11,0,0,121.728,1321.39,1046.149
7680.0,11,0,0,122.112,1161.40,1041.978
7740.0,11,0,0,117.942,1133.58,981.718
7800.0,11,0,0,113.115,1111.48,973.880
7860.0,11,0,0,115.593,1110.35,964.880
7920.0,11,0,0,115.780,1061.50,952.297
7980.0,11,0,0,118.359,1423.98,1060.555
8040.0,11,0,0,117.913,1023.61,933.671
8100.0,12,0,0,117.270,1043.66,962.697
8160.0,12,0,0,120.915,1165.12,1011.162
8220.0,12,0,0,117.817,1168.21,1002.812
8280.0,13,0,0,119.285,1038.92,1095.301
8340.0,12,0,0,120.462,1059.74,1104.918
8400.0,12,0,0,122.328,1060.24,1084.457
8460.0,12,0,0,123.871,1082.09,1093.085
8520.0,13,0,0,128.770,1176.95,1016.781
8580.0,12,0,0,128.664,1344.00,1053.244
8640.0,12,0,0,126.668,1175.87,1080.203
8700.0,12,0,0,125.366,1191.80,1064.943
8760.0,12,0,0,126.256,1158.24,1086.460
8820.0,12,0,0,128.598,1187.77,1046.093
8880.0,11,0,0,132.489,1094.32,1054.192
8940.0,12,0,0,126.301,1359.74,1095.869
9000.0,13,0,0,125.853,1247.08,1143.927
9060.0,13,0,0,130.193,1246.60,1134.052
9120.0,13,0,0,132.431,1121.28,1137.245
9180.0,13,0,0,131.896,1284.99,1153.640
9240.0,13,0,0,130.721,1195.21,1112.195
9300.0,13,0,0,132.828,1265.23,1145.747
9360.0,13,0,0,135.353,1290.30,1199.737
9420.0,13,0,0,135.260,1197.26,1152.764
9480.0,13,0,0,135.368,1263.60,1143.257
9540.0,13,0,0,137.079,1262.46,1087.284
9600.0,13,0,0,137.811,1365.95,1152.327
9660.0,13,0,0,137.450,1244.08,1143.133
9720.0,13,0,0,135.839,1311.38,1146.097
9780.0,13,0,0,135.248,1393.27,1111.311
9840.0,13,0,0,133.587,1342.31,1195.620
9900.0,13,0,0,134.010,1335.59,1153.092
9960.0,13,0,0,131.618,1290.16,1161.665
10020.0,13,0,0,125.703,1263.34,1197.708
10080.0,13,0,0,127.628,1171.14,1199.857
10140.0,14,0,0,131.941,1361.79,1195.024
10200.0,14,0,0,132.691,1153.96,1096.841
10260.0,14,0,0,131.048,1147.59,1165.266
10320.0,14,0,0,129.526,1120.01,1131.944
10380.0,14,0,0,129.074,1303.55,1166.649
10440.0,14,0,0,127.541,1119.22,1152.349
10500.0,14,0,0,127.646,1200.63,1111.541
10560.0,14,0,0,124.026,1383.84,1174.819
10620.0,14,0,0,126.716,1224.78,1138.373
10680.0,14,0,0,127.481,1161.00,1143.121
10740.0,14,0,0,125.313,1248.27,1186.762
10800.0,14,0,0,123.747,1201.82,1162.856
10860.0,14,0,0,120.129,1339.24,1179.032
10920.0,14,0,0,121.853,1251.97,1142.706
10980.0,14,0,0,123.992,1222.91,1190.536
11040.0,15,0,0,123.670,1344.68,1110.532
11100.0,15,0,0,124.402,1197.64,1103.062
11160.0,15,0,0,123.566,1173.25,1107.814
11220.0,15,0,0,122.619,1246.15,1124.332
11280.0,15,0,0,119.947,1444.08,1202.422
11340.0,15,0,0,118.164,1238.55,1099.447
11400.0,15,0,0,117.420,1162.10,1107.005
11460.0,13,0,1,116.545,1617.21,1314.932
11520.0,13,0,1,114.767,1311.89,1198.113
11580.0,13,0,1,119.091,1189.50,1206.458
11640.0,13,0,1,119.962,1291.03,1209.676
11700.0,13,0,1,121.278,1238.81,1199.297
11760.0,14,0,1,122.174,1389.85,1207.174
11820.0,14,0,1,118.990,1378.30,1201.621
11880.0,14,0,1,119.796,1163.78,1158.957
11940.0,13,0,1,119.622,1296.40,1196.625
12000.0,13,0,1,117.839,1228.17,1203.181
12060.0,14,0,1,117.455,1259.29,1144.725
12120.0,14,0,1,117.833,1152.77,1154.930
12180.0,14,0,1,121.484,1404.11,1246.889
12240.0,14,0,1,121.911,1177.83,1154.437
12300.0,14,0,1,120.636,1438.88,1176.798
12360.0,13,0,1,120.909,1241.39,1205.072
12420.0,13,0,1,122.773,1210.75,1194.769
12480.0,13,0,1,123.349,1214.02,1181.817
12540.0,13,0,1,122.747,1197.35,1176.679
12600.0,13,0,1,123.089,1222.03,1198.112
12660.0,13,0,1,123.487,1289.03,1196.524
12720.0,14,0,1,124.646,1220.21,1159.418
12780.0,14,0,1,123.136,1187.80,1130.948
12840.0,15,0,1,122.853,1606.29,1277.487
12900.0,15,0,1,125.637,1692.39,1360.017
12960.0,13,0,1,122.814,1277.76,1198.457
13020.0,13,0,1,126.257,1246.97,1216.191
13080.0,13,0,0,125.505,1278.71,1197.740
13140.0,14,0,0,122.496,1228.42,1192.705
13200.0,14,0,0,122.785,1255.03,1207.390
13260.0,14,0,0,123.424,1146.92,1161.048
13320.0,14,0,0,122.449,1257.29,1173.150
13380.0,14,0,0,119.034,1249.87,1145.374
13440.0,14,0,0,118.195,1275.36,1162.982
