SOD,n_sats,NL_count,WL_count,err3D,code_rms,phase_rms
0.0,11,0,0,2137.704,1742.77,1666.297
30.0,12,0,0,804.179,905.56,923.829
60.0,12,0,0,1181.709,494.43,450.708
90.0,12,0,0,944.508,1752.10,267.836
120.0,12,0,0,208.659,1863.69,669.548
150.0,12,0,0,345.682,914.12,842.803
180.0,12,0,0,325.979,474.08,543.691
210.0,12,0,0,574.876,475.37,409.363
240.0,12,0,0,571.358,327.54,303.257
270.0,12,0,0,599.048,279.64,227.202
300.0,12,0,0,860.873,352.14,189.911
330.0,11,0,0,827.196,312.63,113.199
360.0,11,0,0,898.665,314.35,96.073
390.0,11,0,0,897.061,154.88,56.820
420.0,11,0,0,958.359,254.66,41.700
450.0,11,0,0,934.517,250.19,81.357
480.0,12,0,0,792.413,1839.71,166.556
510.0,12,0,0,785.056,1512.55,48.162
540.0,12,0,0,714.002,863.35,802.900
570.0,11,0,0,692.436,239.20,65.434
600.0,11,0,0,767.594,236.03,54.150
630.0,11,0,0,873.487,246.87,62.461
660.0,11,0,0,1021.470,243.92,174.116
690.0,11,0,0,1096.551,227.02,91.975
720.0,11,0,0,1038.747,313.90,88.125
750.0,11,0,0,949.088,286.66,73.013
780.0,11,0,0,936.060,397.35,78.375
810.0,11,0,0,874.587,347.39,99.011
840.0,11,0,0,861.987,146.52,91.799
870.0,11,0,0,873.689,249.76,97.325
900.0,11,0,0,898.333,191.95,105.347
930.0,11,0,0,923.492,304.90,105.919
960.0,11,0,0,925.824,332.98,111.794
990.0,12,0,0,936.325,328.76,110.754
1020.0,12,0,0,1014.204,434.20,158.060
1050.0,12,0,0,1029.263,483.87,125.257
1080.0,12,0,0,1030.601,324.35,135.481
1110.0,12,0,0,1026.205,208.87,149.930
1140.0,12,0,0,986.174,245.15,112.078
1170.0,12,0,0,962.002,524.85,190.054
1200.0,12,0,0,991.096,958.53,153.753
1230.0,12,0,0,1035.040,561.49,140.103
1260.0,12,0,0,1040.996,714.90,316.305
1290.0,12,0,0,1038.755,552.12,312.933
1320.0,12,0,0,1030.574,560.62,178.989
1350.0,12,0,0,1013.721,294.60,212.089
1380.0,12,0,0,1002.029,431.09,150.110
1410.0,12,0,0,983.483,287.86,158.163
1440.0,12,0,0,979.587,414.30,161.707
1470.0,12,0,0,1012.783,327.19,118.687
1500.0,12,0,2,992.626,417.06,93.626
1530.0,12,0,2,930.544,319.60,121.504
1560.0,12,0,2,914.418,182.74,111.605
1590.0,12,0,2,877.234,402.59,87.646
1620.0,12,0,2,831.466,415.73,115.363
1650.0,12,0,2,822.996,227.84,84.593
1680.0,12,0,2,812.865,308.32,79.748
1710.0,12,0,2,763.745,667.65,117.247
1740.0,12,0,2,770.551,375.94,125.120
1770.0,12,0,2,787.305,1859.00,99.455
1800.0,12,0,2,788.237,1523.58,105.678
1830.0,12,0,2,796.882,376.16,251.893
1860.0,12,0,2,799.742,937.86,461.845
1890.0,12,0,2,792.714,536.91,459.951
1920.0,11,0,2,793.451,265.87,63.646
1950.0,11,0,2,763.651,231.58,89.861
1980.0,11,0,2,734.045,233.38,63.146
2010.0,11,0,2,714.634,163.25,80.347
2040.0,11,0,2,674.573,391.18,85.897
2070.0,11,0,2,679.256,279.47,96.491
2100.0,11,0,2,678.009,374.53,103.966
2130.0,11,0,2,618.685,267.46,117.016
2160.0,11,0,2,601.968,164.16,125.727
2190.0,11,0,2,620.336,360.77,154.958
2220.0,11,0,2,612.128,370.77,98.447
2250.0,12,0,2,615.629,255.74,80.004
2280.0,12,0,2,628.166,341.93,71.472
2310.0,12,0,2,648.564,287.49,73.441
2340.0,12,0,2,663.878,225.02,89.535
2370.0,12,0,2,671.080,311.50,82.603
2400.0,12,0,2,666.586,398.30,76.956
2430.0,12,0,2,659.609,242.14,78.655
2460.0,13,0,2,636.999,353.06,79.374
2490.0,13,0,2,592.320,454.26,100.093
2520.0,14,0,2,565.189,275.20,110.714
2550.0,14,0,2,561.241,356.19,142.184
2580.0,14,0,2,575.621,619.58,247.106
2610.0,14,0,2,604.382,425.73,241.915
2640.0,14,0,2,624.881,613.18,209.918
2670.0,14,0,2,630.221,367.00,138.126
2700.0,14,0,2,609.215,343.38,128.537
2730.0,14,0,2,580.812,471.58,84.587
2760.0,14,0,2,555.686,248.95,60.206
2790.0,14,0,2,555.475,316.87,88.388
2820.0,14,0,2,565.459,318.45,75.245
2850.0,14,0,2,570.648,352.71,111.473
2880.0,14,0,2,566.267,424.33,100.174
2910.0,14,0,2,569.139,269.64,83.250
2940.0,14,0,2,556.718,312.55,84.900
2970.0,14,0,2,544.201,366.67,95.007
3000.0,13,0,2,547.168,563.61,92.304
3030.0,14,0,2,539.484,397.73,99.991
3060.0,14,0,2,526.213,654.14,76.786
3090.0,14,0,2,511.488,522.28,105.158
3120.0,13,0,2,503.202,604.64,113.319
3150.0,14,0,2,496.186,445.10,75.974
3180.0,13,0,2,491.120,198.42,62.588
3210.0,13,0,2,488.242,165.59,60.641
3240.0,13,0,2,496.473,572.73,78.348
3270.0,13,0,2,498.896,364.29,81.198
3300.0,13,0,2,494.091,539.20,89.976
3330.0,13,0,2,491.185,201.24,100.918
3360.0,13,0,2,494.591,313.32,110.390
3390.0,13,0,2,486.009,297.57,102.958
3420.0,12,0,2,474.899,204.28,133.021
3450.0,12,0,2,469.183,284.90,123.899
3480.0,12,0,2,463.095,196.33,136.600
3510.0,12,0,2,455.067,272.71,98.657
3540.0,12,0,2,451.993,158.50,104.137
3570.0,12,0,2,444.858,226.15,169.207
3600.0,12,0,2,436.556,258.51,122.743
3630.0,12,0,2,434.083,260.62,118.726
3660.0,12,0,2,426.241,429.14,127.896
3690.0,12,0,2,413.989,223.03,97.957
3720.0,12,0,2,409.071,270.39,99.153
3750.0,11,0,2,369.574,226.20,134.054
3780.0,11,0,2,362.506,223.54,121.228
3810.0,11,0,2,353.429,278.33,104.609
3840.0,11,0,2,364.281,144.74,85.042
3870.0,11,0,2,372.482,312.08,105.937
3900.0,11,0,2,372.100,165.86,166.233
3930.0,11,0,2,371.869,290.39,110.209
3960.0,11,0,2,338.973,265.47,126.120
3990.0,11,0,2,332.312,177.69,88.876
4020.0,11,0,2,311.387,258.96,112.714
4050.0,11,0,2,312.420,230.88,97.273
4080.0,11,0,2,304.125,311.25,126.919
4110.0,11,0,2,297.882,325.46,129.330
4140.0,11,0,2,284.480,256.36,122.954
4170.0,11,0,2,276.019,220.70,82.590
4200.0,11,0,2,266.678,292.84,71.595
4230.0,11,0,2,266.240,194.47,196.189
4260.0,11,0,2,255.171,235.40,76.622
4290.0,11,0,2,244.111,301.98,90.810
4320.0,11,0,2,241.219,197.04,150.603
4350.0,11,0,2,239.120,173.57,212.462
4380.0,11,0,2,244.948,251.87,91.212
4410.0,11,0,2,254.094,227.39,133.225
4440.0,11,0,2,245.976,278.50,238.185
4470.0,11,0,2,239.384,171.27,86.953
4500.0,11,0,2,241.199,321.82,108.327
4530.0,11,0,2,244.494,150.84,151.707
4560.0,11,0,2,237.935,253.84,91.454
4590.0,11,0,2,187.729,241.27,58.763
4620.0,11,0,2,192.340,294.35,233.381
4650.0,11,0,2,197.169,171.68,220.237
4680.0,11,0,2,201.908,204.75,63.350
4710.0,11,0,2,205.115,131.74,140.034
4740.0,11,0,2,194.628,424.20,170.042
4770.0,11,0,2,178.045,346.73,68.622
4800.0,11,0,2,161.518,240.23,94.994
4830.0,11,0,2,149.025,198.09,249.041
4860.0,11,0,2,150.610,311.09,197.306
4890.0,11,0,2,150.205,257.35,230.473
4920.0,11,0,2,141.689,239.42,60.441
4950.0,11,0,2,147.799,122.42,106.369
4980.0,11,0,2,152.091,148.26,67.644
5010.0,11,0,2,152.232,197.69,200.177
5040.0,11,0,2,150.328,266.89,220.637
5070.0,11,0,2,144.444,267.94,74.550
5100.0,11,0,2,142.777,269.81,84.697
5130.0,11,0,2,144.909,257.82,221.135
5160.0,11,0,2,143.103,266.18,258.620
