SOD,nGPS,nGal,NL_count,WL_count,n_sats,GPS_NE_frac,gal_sig_scale,Gal_leverage,sigma_U_comb_mm,sigma_U_GPS_mm,ISB_m,P_ISB_m2,ISB_observable,ZWD_m,P_ZWD_m2,corr_U_ZWD,corr_mean_60ep,Q_ZWD_m2s,decorr_active,trace_P_pos_m2,nml_sc_gps,nml_sc_gal
0.0,0,0,0,0,11,nan,1.0000,nan,nan,nan,+1.783957,1.520287,0,0.124256,0.02063695,-0.0900,0.0900,2.500e-09,0,21.932018,1.0000,1.0000
60.0,8,4,0,0,12,0.5600,1.0000,1.011,2802.66,2833.16,+1.323814,0.737295,1,0.123383,0.01076111,-0.0988,0.0944,2.500e-09,0,10.290886,1.0047,0.9953
120.0,8,4,0,0,12,0.5525,1.0000,1.272,2256.38,2869.01,+1.284450,0.486020,1,0.122444,0.00727816,-0.1019,0.0969,2.500e-09,0,6.705419,1.0091,0.9909
180.0,8,4,0,0,12,0.7212,1.0000,1.866,1888.05,3523.39,+1.303431,0.325418,1,0.122417,0.00549830,-0.1045,0.0988,2.500e-09,0,4.680684,1.0136,0.9864
240.0,8,4,0,0,12,0.7167,1.0000,2.153,1661.91,3577.84,+1.521227,0.247880,1,0.122243,0.00441790,-0.1059,0.1002,2.500e-09,0,3.627215,1.0180,0.9820
300.0,8,4,0,0,12,0.6482,1.0000,2.064,1490.82,3077.37,+1.429132,0.199576,1,0.122716,0.00369223,-0.1081,0.1015,2.500e-09,0,2.928005,1.0221,0.9779
360.0,7,4,0,0,11,0.9760,1.0000,1.883,1370.37,2580.68,+1.414085,0.173370,1,0.122072,0.00317149,-0.1085,0.1025,2.500e-09,0,2.492133,1.0000,1.0000
420.0,7,4,0,0,11,0.6801,1.0000,0.646,1242.62,802.11,+1.378437,0.149988,1,0.122149,0.00277913,-0.1101,0.1035,2.500e-09,0,2.070050,1.0000,1.0000
480.0,8,4,0,0,12,0.9615,1.0000,3.112,1158.18,3604.33,+1.333387,0.130572,1,0.121952,0.00247330,-0.1113,0.1043,2.500e-09,0,1.806841,1.0000,1.0000
540.0,8,4,0,0,12,0.6493,1.0000,2.164,1087.49,2353.53,+1.372576,0.115288,1,0.121596,0.00222811,-0.1130,0.1052,2.500e-09,0,1.595630,1.0050,0.9950
600.0,8,4,0,0,12,0.8253,1.0000,3.241,1027.17,3329.07,+1.370403,0.102897,1,0.121406,0.00202696,-0.1152,0.1061,2.500e-09,0,1.425092,1.0000,1.0000
