epoch,sod,sat,sigma_N1_cm,raw_frac,bias,corr_frac,buf_n,frac_std,frozen
50,1500.0,G03,19.986,-0.13453,+0.00000,-0.13453,1,1.00000,N
50,1500.0,G16,19.637,+0.32272,+0.00000,+0.32272,1,1.00000,N
60,1800.0,G03,17.960,-0.43778,+0.00000,-0.43778,6,0.11431,N
60,1800.0,G16,17.514,+0.44617,+0.00000,+0.44617,4,0.10970,N
70,2100.0,G03,16.585,+0.38970,+0.00000,+0.38970,9,0.16157,N
70,2100.0,G16,16.162,+0.25098,+0.00000,+0.25098,7,0.09556,N
80,2400.0,G03,15.327,-0.38927,+0.00000,-0.38927,12,0.09189,N
80,2400.0,G16,14.520,-0.36325,+0.00000,-0.36325,8,0.13189,N
90,2700.0,G03,14.365,-0.28739,-0.35685,+0.06945,16,0.13000,N
90,2700.0,G16,13.547,+0.42935,+0.00000,+0.42935,11,0.12952,N
100,3000.0,G03,13.550,-0.49503,-0.36775,-0.12729,20,0.06668,N
100,3000.0,G16,12.807,+0.26249,+0.00000,+0.26249,11,0.06704,N
110,3300.0,G03,12.838,+0.48679,-0.41450,-0.09871,23,0.07390,N
110,3300.0,G16,12.099,+0.48042,+0.00000,+0.48042,13,0.09136,N
120,3600.0,E09,111.081,+0.08761,+0.00000,+0.08761,0,0.15207,N
120,3600.0,G03,12.222,-0.43053,-0.43684,+0.00631,28,0.05558,N
120,3600.0,G16,11.476,+0.46630,+0.42925,+0.03705,18,0.09510,N
130,3900.0,E09,111.065,+0.05796,+0.00000,+0.05796,0,0.04335,N
140,4200.0,E09,111.051,-0.00422,+0.00000,-0.00422,0,0.02136,N
160,4800.0,G03,9.100,-0.17027,-0.42228,+0.25201,29,0.16316,N
160,4800.0,G16,8.978,+0.31752,+0.42804,-0.11052,20,0.08055,N
170,5100.0,G03,8.565,-0.06314,-0.32961,+0.26647,36,0.10557,N
170,5100.0,G16,8.582,+0.37975,+0.40956,-0.02982,28,0.05030,N
180,5400.0,G03,0.000,+0.33913,-0.31658,-0.34429,37,0.14883,N
180,5400.0,G08,3.161,+0.32584,+0.00000,+0.32584,4,0.10666,N
190,5700.0,E16,104.276,+0.05555,+0.00000,+0.05555,0,0.02183,N
190,5700.0,G03,0.000,+0.40958,-0.33520,-0.25522,41,0.12678,N
190,5700.0,G08,0.000,+0.46186,+0.00000,+0.46186,8,0.12934,N
200,6000.0,E16,104.269,-0.06865,+0.00000,-0.06865,0,0.07016,N
200,6000.0,G03,0.000,+0.25024,-0.33520,-0.41456,41,0.07891,N
200,6000.0,G08,0.000,-0.47168,+0.00000,-0.47168,9,0.08012,N
210,6300.0,E16,104.264,-0.04501,+0.00000,-0.04501,0,0.01297,N
210,6300.0,G03,0.000,-0.43487,-0.37683,-0.05804,46,0.16143,N
210,6300.0,G08,0.000,-0.25324,+0.46400,+0.28276,16,0.14882,N
220,6600.0,G03,0.000,-0.25531,-0.49916,+0.24385,51,0.10910,N
220,6600.0,G08,0.000,+0.06882,-0.32848,+0.39730,21,0.12661,N
230,6900.0,G03,0.000,-0.39365,+0.49775,+0.10860,53,0.07940,N
230,6900.0,G04,0.000,+0.35595,+0.00000,+0.35595,3,1.00000,N
240,7200.0,E09,104.215,+0.06610,+0.00000,+0.06610,0,0.03291,N
240,7200.0,G03,0.000,-0.02585,+0.49876,+0.47538,56,0.11436,N
240,7200.0,G04,0.000,-0.47408,+0.00000,-0.47408,9,0.06191,N
250,7500.0,E09,104.209,+0.04573,+0.00000,+0.04573,0,0.02348,N
250,7500.0,G03,0.000,+0.02358,+0.49876,-0.47518,56,0.14755,N
250,7500.0,G04,0.000,-0.40497,+0.00000,-0.40497,12,0.06806,N
260,7800.0,E09,104.196,-0.00929,+0.00000,-0.00929,0,0.03337,N
260,7800.0,G03,0.000,+0.44564,-0.48638,-0.06798,58,0.23847,N
260,7800.0,G04,0.000,-0.22779,+0.46706,+0.30514,17,0.10458,N
270,8100.0,G03,0.000,-0.41307,-0.48638,+0.07331,58,0.42683,N
270,8100.0,G04,0.000,-0.24571,+0.46706,+0.28723,17,0.26834,N
280,8400.0,G04,17.671,+0.36794,+0.46706,-0.09912,17,0.63943,N
290,8700.0,G04,10.616,+0.37406,+0.46763,-0.09357,21,0.24190,N
290,8700.0,G27,14.606,-0.47201,+0.00000,-0.47201,2,0.21763,N
300,9000.0,E05,89.363,+0.00124,+0.00000,+0.00124,0,1.00000,N
300,9000.0,G04,8.970,+0.44858,+0.48967,-0.04109,24,0.07476,N
300,9000.0,G27,12.097,-0.42151,+0.00000,-0.42151,5,0.10755,N
310,9300.0,G04,8.100,-0.47806,-0.47534,-0.00272,31,0.04529,N
310,9300.0,G27,10.689,-0.42937,+0.00000,-0.42937,10,0.05773,N
320,9600.0,G27,9.533,-0.04873,+0.00000,-0.04873,13,0.12703,N
330,9900.0,G27,8.572,-0.11071,-0.28417,+0.17346,17,0.10051,N
340,10200.0,G27,7.959,-0.12327,-0.24702,+0.12375,22,0.05853,N
350,10500.0,G04,3.858,-0.29024,-0.46091,+0.17068,38,0.08168,N
350,10500.0,G08,3.723,+0.39424,-0.31656,-0.28920,25,0.21838,N
360,10800.0,G04,3.726,-0.24523,-0.32754,+0.08231,47,0.04821,N
360,10800.0,G08,3.539,+0.46109,-0.41620,-0.12270,33,0.22908,N
370,11100.0,E05,89.212,-0.08708,+0.00000,-0.08708,0,0.02335,N
400,12000.0,E05,89.208,-0.07585,+0.00000,-0.07585,0,0.05240,N
400,12000.0,G08,2.306,-0.36857,+0.46968,+0.16175,42,0.29543,N
400,12000.0,G09,0.949,+0.35183,+0.00000,+0.35183,4,1.00000,N
410,12300.0,E05,89.207,-0.05147,+0.00000,-0.05147,0,0.02823,N
410,12300.0,G08,2.274,-0.39032,-0.43805,+0.04773,52,0.40498,N
410,12300.0,G09,0.886,+0.38512,+0.00000,+0.38512,14,0.01350,N
470,14100.0,E25,89.261,+0.08330,+0.00000,+0.08330,0,0.22175,N
480,14400.0,G30,12.052,+0.04458,+0.00000,+0.04458,1,1.00000,N
500,15000.0,G04,9.122,-0.12666,-0.19624,+0.06958,63,0.05708,N
510,15300.0,G09,7.048,-0.31234,+0.35027,+0.33739,21,0.08004,N
510,15300.0,G30,9.351,-0.42086,+0.00000,-0.42086,1,0.19920,N
520,15600.0,G09,6.464,-0.44383,+0.40963,+0.14653,28,0.14448,N
520,15600.0,G30,8.728,-0.05768,+0.00000,-0.05768,6,0.20865,N
530,15900.0,G09,6.361,-0.34958,-0.43283,+0.08325,38,0.07487,N
530,15900.0,G30,8.262,+0.15897,+0.00000,+0.15897,9,0.19150,N
540,16200.0,E25,89.222,-0.09537,+0.00000,-0.09537,0,0.03732,N
540,16200.0,G30,7.857,+0.32414,+0.25770,+0.06643,15,0.10363,N
550,16500.0,G30,7.521,+0.35576,+0.34449,+0.01128,21,0.07170,N
560,16800.0,G30,7.189,+0.47272,+0.33342,+0.13931,27,0.04617,N
570,17100.0,G09,5.648,-0.47747,-0.43391,-0.04356,44,0.04297,N
570,17100.0,G30,6.924,-0.45056,+0.44256,+0.10688,35,0.42483,N
580,17400.0,G09,5.611,+0.49870,-0.44947,-0.05183,53,0.01941,N
580,17400.0,G30,6.763,-0.45331,-0.47369,+0.02038,44,0.32752,N
