epoch,sod,sat,sigma_N1_cm,raw_frac,bias,corr_frac,buf_n,frac_std,frozen
50,1500.0,G03,15.685,+0.06046,+0.00000,+0.06046,1,1.00000,N
50,1500.0,G16,14.635,+0.17127,+0.00000,+0.17127,1,1.00000,N
60,1800.0,G03,14.185,-0.00594,+0.00000,-0.00594,3,0.06814,N
60,1800.0,G16,13.151,+0.13924,+0.00000,+0.13924,2,0.06745,N
70,2100.0,G03,12.981,-0.23172,+0.00000,-0.23172,5,0.13681,N
70,2100.0,G16,12.057,-0.15461,+0.00000,-0.15461,5,0.08553,N
80,2400.0,G03,11.981,-0.29289,+0.00000,-0.29289,8,0.12529,N
80,2400.0,G16,11.207,+0.31423,+0.00000,+0.31423,7,0.15839,N
90,2700.0,G03,11.174,-0.19425,+0.00000,-0.19425,9,0.07613,N
90,2700.0,G16,10.115,+0.17774,+0.00000,+0.17774,10,0.17319,N
100,3000.0,G03,10.538,-0.22210,+0.00000,-0.22210,14,0.05517,N
100,3000.0,G16,9.630,+0.21417,+0.00000,+0.21417,14,0.09211,N
110,3300.0,G03,10.008,-0.15838,+0.00000,-0.15838,18,0.05991,N
110,3300.0,G16,9.155,+0.41953,+0.00000,+0.41953,17,0.09989,N
120,3600.0,G03,9.547,+0.06082,+0.00000,+0.06082,24,0.10286,N
120,3600.0,G16,8.666,+0.45860,+0.00000,+0.45860,20,0.09690,N
130,3900.0,G03,9.154,-0.07586,-0.11734,+0.04148,28,0.06302,N
130,3900.0,G16,8.257,+0.40213,+0.28840,+0.11374,22,0.07159,N
140,4200.0,G03,8.771,-0.08625,-0.06985,-0.01640,32,0.04679,N
140,4200.0,G16,7.851,+0.29025,+0.31862,-0.02836,26,0.04870,N
150,4500.0,G03,8.486,-0.03793,-0.04351,+0.00559,38,0.02347,N
150,4500.0,G16,7.598,+0.25776,+0.33173,-0.07398,32,0.03886,N
160,4800.0,G03,8.141,-0.14907,-0.04010,-0.10896,41,0.03950,N
160,4800.0,G16,7.301,+0.23862,+0.32984,-0.09122,34,0.04019,N
170,5100.0,G03,7.862,-0.03736,-0.07603,+0.03867,46,0.05148,N
170,5100.0,G16,7.072,+0.34779,+0.30599,+0.04180,38,0.04804,N
180,5400.0,G03,7.660,+0.23991,-0.06320,+0.30311,50,0.12477,N
180,5400.0,G16,6.886,-0.42359,+0.30028,+0.27613,45,0.10742,N
190,5700.0,G03,7.481,+0.11182,+0.05100,+0.06082,57,0.07032,N
190,5700.0,G16,6.711,-0.49208,+0.30028,+0.20764,49,0.05931,N
200,6000.0,G03,7.310,+0.06575,+0.10753,-0.04178,64,0.05602,N
200,6000.0,G16,6.545,-0.42121,+0.46674,+0.11205,56,0.03196,N
210,6300.0,G03,7.149,+0.04851,+0.10893,-0.06042,71,0.02429,N
210,6300.0,G16,6.395,-0.44928,-0.46631,+0.01703,64,0.03942,N
220,6600.0,G03,6.967,+0.05340,+0.08256,-0.02916,75,0.03200,N
220,6600.0,G16,6.240,-0.48949,-0.46149,-0.02800,71,0.03004,N
230,6900.0,G03,6.819,+0.04174,+0.07368,-0.03195,82,0.03179,N
230,6900.0,G16,6.100,-0.49544,-0.45435,-0.04109,77,0.02410,N
240,7200.0,G03,6.680,+0.03433,+0.05683,-0.02250,89,0.02985,N
240,7200.0,G16,5.975,-0.45692,-0.46864,+0.01172,84,0.02242,N
250,7500.0,G16,5.403,+0.31880,-0.46177,-0.21943,90,0.08091,N
290,8700.0,G03,3.954,-0.47597,+0.05124,+0.47279,100,0.23839,N
300,9000.0,G03,3.930,-0.46230,-0.47117,+0.00888,100,0.10466,N
310,9300.0,G03,3.909,-0.42827,-0.46932,+0.04105,100,0.01434,Y
320,9600.0,G03,3.882,-0.37534,-0.46932,+0.09399,100,0.02549,Y
330,9900.0,G03,3.847,-0.36949,+0.00000,-0.36949,1,0.01665,N
340,10200.0,G03,3.825,-0.34447,+0.00000,-0.34447,11,0.01437,N
350,10500.0,E05,4.449,+0.05577,+0.00000,+0.05577,3,1.00000,N
350,10500.0,E09,4.891,-0.00875,+0.00000,-0.00875,3,1.00000,N
350,10500.0,E16,4.107,+0.39712,+0.00000,+0.39712,3,1.00000,N
350,10500.0,E25,5.115,-0.10433,+0.00000,-0.10433,3,1.00000,N
360,10800.0,E05,4.348,+0.08423,+0.00000,+0.08423,12,0.01216,N
360,10800.0,E09,4.834,+0.02577,+0.00000,+0.02577,13,0.01856,N
360,10800.0,E16,4.031,+0.37667,+0.00000,+0.37667,11,0.03253,N
360,10800.0,E25,5.006,-0.10582,+0.00000,-0.10582,11,0.01960,N
370,11100.0,E05,3.838,+0.13022,+0.06490,+0.06532,21,0.01786,N
370,11100.0,E16,3.178,+0.44560,+0.36203,+0.08357,20,0.02977,N
370,11100.0,E25,4.825,-0.05285,-0.11429,+0.06144,20,0.02504,N
380,11400.0,E25,2.906,-0.35136,-0.11682,-0.23454,26,0.08016,N
390,11700.0,E25,2.861,-0.33190,-0.24288,-0.08901,36,0.10559,N
400,12000.0,E25,2.776,-0.39119,-0.34878,-0.04241,45,0.01817,N
410,12300.0,E25,2.733,-0.36694,-0.36426,-0.00268,55,0.02116,N
420,12600.0,E25,2.708,-0.30599,-0.35268,+0.04669,65,0.02807,N
430,12900.0,E25,2.687,-0.27052,-0.30914,+0.03863,75,0.02298,N
510,15300.0,G04,3.210,+0.48736,+0.00000,+0.48736,2,1.00000,N
520,15600.0,G04,3.195,-0.49696,+0.00000,-0.49696,11,0.00468,N
530,15900.0,G04,3.180,-0.47099,+0.00000,-0.47099,9,0.01582,N
540,16200.0,G04,3.165,-0.47748,+0.00000,-0.47748,19,0.00696,N
550,16500.0,G04,3.149,-0.49672,-0.48146,-0.01526,29,0.01020,N
560,16800.0,G04,3.134,+0.48512,-0.49320,-0.02168,35,0.01498,N
640,19200.0,E03,2.707,-0.39498,+0.00000,-0.39498,2,1.00000,N
650,19500.0,E03,2.663,-0.38252,+0.00000,-0.38252,12,0.01030,N
660,19800.0,E03,2.634,-0.36709,-0.37700,+0.00991,22,0.00628,N
780,23400.0,E25,5.333,+0.49708,+0.00000,+0.49708,2,0.03289,N
780,23400.0,G17,3.007,-0.34378,+0.00000,-0.34378,10,0.01426,N
790,23700.0,E25,5.269,+0.45729,+0.00000,+0.45729,12,0.03350,N
790,23700.0,G17,2.985,-0.34498,-0.34272,-0.00226,20,0.01117,N
800,24000.0,E25,4.630,+0.37801,+0.46108,-0.08307,20,0.03742,N
810,24300.0,E25,4.482,+0.36411,+0.00000,+0.36411,0,0.03856,N
820,24600.0,E25,4.368,+0.42673,+0.00000,+0.42673,7,0.03946,N
830,24900.0,E25,4.319,+0.39554,+0.00000,+0.39554,17,0.02044,N
840,25200.0,E25,4.215,+0.31722,+0.38007,-0.06285,26,0.03440,N
850,25500.0,E25,4.136,+0.33456,+0.34211,-0.00755,36,0.02258,N
860,25800.0,E25,3.961,+0.36814,+0.34774,+0.02040,45,0.01940,N
900,27000.0,E25,2.335,-0.30045,+0.35212,+0.34743,50,0.07701,N
910,27300.0,E25,2.322,-0.29371,+0.35212,+0.35416,60,0.17192,N
920,27600.0,E25,2.299,-0.28190,-0.29553,+0.01364,69,0.00496,Y
1050,31500.0,E34,2.389,+0.35505,+0.00000,+0.35505,3,1.00000,N
1060,31800.0,E34,2.377,+0.34951,+0.00000,+0.34951,13,0.00248,N
1190,35700.0,G11,2.843,-0.49462,+0.00000,-0.49462,2,1.00000,N
1200,36000.0,G11,2.809,-0.48595,+0.00000,-0.48595,12,0.00504,N
1210,36300.0,G11,2.734,-0.48115,-0.48495,+0.00380,22,0.00625,N
1220,36600.0,G11,2.666,-0.49051,-0.47465,-0.01586,32,0.01256,N
1230,36900.0,G11,2.629,-0.49046,-0.47648,-0.01399,42,0.01402,N
1240,37200.0,G11,2.615,-0.49079,-0.48294,-0.00785,47,0.00537,Y
1250,37500.0,G11,2.574,-0.48987,-0.48294,-0.00694,47,0.00555,Y
1260,37800.0,G11,2.556,+0.49566,-0.48294,-0.02140,47,0.00981,Y
1270,38100.0,G11,2.512,+0.49292,-0.48294,-0.02414,47,0.00856,Y
1280,38400.0,G11,2.481,-0.48658,-0.48294,-0.00364,47,0.01056,Y
1290,38700.0,G11,2.459,-0.45910,-0.48294,+0.02383,47,0.01758,Y
1300,39000.0,G11,2.444,-0.46005,-0.48294,+0.02289,47,0.01048,Y
1310,39300.0,G05,6.771,+0.16485,+0.00000,+0.16485,5,0.00463,N
1310,39300.0,G11,2.425,-0.46040,-0.48294,+0.02254,47,0.00465,Y
1320,39600.0,G05,6.690,+0.20524,+0.00000,+0.20524,14,0.01929,N
1320,39600.0,G11,2.404,-0.47915,-0.48294,+0.00378,47,0.00752,Y
1330,39900.0,G11,2.333,-0.47638,-0.48294,+0.00656,47,0.00489,Y
1340,40200.0,G11,2.286,-0.48470,-0.48294,-0.00176,47,0.00529,Y
1350,40500.0,G11,2.235,+0.46523,+0.00000,+0.46523,3,0.02223,N
1360,40800.0,G11,2.188,+0.44103,+0.00000,+0.44103,12,0.02033,N
1360,40800.0,G12,9.564,-0.25686,+0.00000,-0.25686,6,0.00612,N
1370,41100.0,G11,2.156,+0.44032,+0.44449,-0.00417,22,0.00989,N
1370,41100.0,G12,9.394,-0.05898,+0.00000,-0.05898,14,0.09914,N
1380,41400.0,G11,2.144,+0.46784,+0.45078,+0.01706,32,0.00922,N
1380,41400.0,G12,7.205,+0.29335,+0.00000,+0.29335,17,0.25384,N
1390,41700.0,G11,2.111,+0.44922,+0.45332,-0.00410,40,0.00651,Y
1390,41700.0,G12,5.397,+0.17851,+0.00000,+0.17851,21,0.13380,N
1400,42000.0,G11,2.100,+0.44731,+0.45332,-0.00601,40,0.00344,Y
1400,42000.0,G12,4.449,+0.12895,+0.10532,+0.02363,25,0.08757,N
1410,42300.0,G11,2.077,+0.41105,+0.45332,-0.04227,40,0.01196,Y
1410,42300.0,G12,3.861,-0.02370,+0.16146,-0.18516,32,0.10041,N
1420,42600.0,G11,2.060,+0.39905,+0.45332,-0.05427,40,0.01667,Y
1420,42600.0,G12,3.398,-0.07616,+0.16146,-0.23762,41,0.06955,N
1430,42900.0,G11,2.033,+0.36573,+0.45332,-0.08759,40,0.01946,Y
1430,42900.0,G12,3.074,-0.17646,+0.02635,-0.20281,48,0.04581,N
1440,43200.0,G11,2.025,+0.35655,+0.00000,+0.35655,3,0.01108,N
1440,43200.0,G12,3.033,-0.17994,-0.14400,-0.03594,58,0.02721,N
1450,43500.0,G11,1.933,+0.40184,+0.00000,+0.40184,12,0.01515,N
1460,43800.0,G11,1.921,+0.38497,+0.38095,+0.00402,22,0.01833,N
1520,45600.0,G25,6.869,-0.29524,+0.00000,-0.29524,7,0.00662,N
1530,45900.0,G25,6.660,-0.18152,+0.00000,-0.18152,16,0.07846,N
1540,46200.0,G25,6.624,-0.21263,-0.17765,-0.03498,26,0.02903,N
1550,46500.0,G25,6.560,-0.23538,-0.21132,-0.02407,36,0.01862,N
1560,46800.0,G25,6.436,-0.27120,-0.23713,-0.03408,46,0.01399,N
1570,47100.0,G25,6.318,-0.29586,-0.26766,-0.02820,56,0.02432,N
1630,48900.0,G15,10.448,+0.27696,+0.00000,+0.27696,7,0.00685,N
1640,49200.0,G15,10.308,+0.28488,+0.00000,+0.28488,16,0.01070,N
1650,49500.0,G15,10.168,+0.26664,+0.28061,-0.01396,25,0.01077,N
1660,49800.0,G15,10.038,+0.31467,+0.29153,+0.02314,35,0.01964,N
1670,50100.0,G15,9.913,+0.34939,+0.32091,+0.02848,45,0.02018,N
1680,50400.0,G15,9.791,+0.37835,+0.34723,+0.03111,55,0.01655,N
1680,50400.0,G29,10.613,+0.43730,+0.00000,+0.43730,6,0.03454,N
1690,50700.0,G15,9.606,+0.39046,+0.37097,+0.01949,65,0.01643,N
1690,50700.0,G29,7.670,-0.08458,+0.00000,-0.08458,7,0.19916,N
1700,51000.0,G15,9.195,+0.45690,+0.40366,+0.05323,74,0.02649,N
1700,51000.0,G29,6.275,+0.48776,+0.00000,+0.48776,7,0.27881,N
1710,51300.0,G15,8.843,-0.49782,+0.44692,+0.05526,82,0.03585,N
1710,51300.0,G29,6.088,+0.34174,+0.00000,+0.34174,13,0.18590,N
1720,51600.0,G15,8.483,-0.42139,-0.48933,+0.06793,91,0.03035,N
1720,51600.0,G29,4.977,+0.31631,+0.00000,+0.31631,18,0.05718,N
1730,51900.0,G15,4.977,-0.32525,-0.48933,+0.16407,93,0.12354,N
1730,51900.0,G29,4.892,+0.22272,+0.31379,-0.09108,26,0.07731,N
1740,52200.0,G15,3.628,-0.33120,+0.00000,-0.33120,4,0.11397,N
1740,52200.0,G29,4.715,+0.28356,+0.26687,+0.01669,35,0.02736,N
1750,52500.0,G15,3.456,-0.28340,+0.00000,-0.28340,12,0.07135,N
1750,52500.0,G29,4.648,+0.30105,+0.27025,+0.03080,45,0.02553,N
1760,52800.0,G15,3.339,-0.23862,-0.28680,+0.04818,22,0.02445,N
1760,52800.0,G29,4.595,+0.32732,+0.30584,+0.02148,55,0.01356,N
1770,53100.0,G15,3.029,-0.30058,-0.27048,-0.03010,30,0.02008,N
1780,53400.0,G15,2.883,-0.26822,-0.26202,-0.00620,37,0.02438,N
