epoch,sat,sys,sigma_N1_m,range_100,corr_frac,frac_std,selected,reason
0,SUMMARY,,,,,,0,"GPS=0,GAL=0"
1,SUMMARY,,,,,,0,"GPS=0,GAL=0"
2,SUMMARY,,,,,,0,"GPS=0,GAL=0"
3,SUMMARY,,,,,,0,"GPS=0,GAL=0"
4,SUMMARY,,,,,,0,"GPS=0,GAL=0"
5,SUMMARY,,,,,,0,"GPS=0,GAL=0"
6,SUMMARY,,,,,,0,"GPS=0,GAL=0"
7,SUMMARY,,,,,,0,"GPS=0,GAL=0"
8,SUMMARY,,,,,,0,"GPS=0,GAL=0"
9,SUMMARY,,,,,,0,"GPS=0,GAL=0"
10,SUMMARY,,,,,,0,"GPS=0,GAL=0"
11,SUMMARY,,,,,,0,"GPS=0,GAL=0"
12,SUMMARY,,,,,,0,"GPS=0,GAL=0"
13,SUMMARY,,,,,,0,"GPS=0,GAL=0"
14,SUMMARY,,,,,,0,"GPS=0,GAL=0"
15,SUMMARY,,,,,,0,"GPS=0,GAL=0"
16,SUMMARY,,,,,,0,"GPS=0,GAL=0"
17,SUMMARY,,,,,,0,"GPS=0,GAL=0"
18,SUMMARY,,,,,,0,"GPS=0,GAL=0"
19,SUMMARY,,,,,,0,"GPS=0,GAL=0"
20,SUMMARY,,,,,,0,"GPS=0,GAL=0"
21,SUMMARY,,,,,,0,"GPS=0,GAL=0"
22,SUMMARY,,,,,,0,"GPS=0,GAL=0"
23,SUMMARY,,,,,,0,"GPS=0,GAL=0"
24,SUMMARY,,,,,,0,"GPS=0,GAL=0"
25,SUMMARY,,,,,,0,"GPS=0,GAL=0"
26,SUMMARY,,,,,,0,"GPS=0,GAL=0"
27,SUMMARY,,,,,,0,"GPS=0,GAL=0"
28,SUMMARY,,,,,,0,"GPS=0,GAL=0"
29,SUMMARY,,,,,,0,"GPS=0,GAL=0"
30,SUMMARY,,,,,,0,"GPS=0,GAL=0"
31,SUMMARY,,,,,,0,"GPS=0,GAL=0"
32,SUMMARY,,,,,,0,"GPS=0,GAL=0"
33,SUMMARY,,,,,,0,"GPS=0,GAL=0"
34,SUMMARY,,,,,,0,"GPS=0,GAL=0"
35,SUMMARY,,,,,,0,"GPS=0,GAL=0"
36,SUMMARY,,,,,,0,"GPS=0,GAL=0"
37,SUMMARY,,,,,,0,"GPS=0,GAL=0"
38,SUMMARY,,,,,,0,"GPS=0,GAL=0"
39,SUMMARY,,,,,,0,"GPS=0,GAL=0"
40,SUMMARY,,,,,,0,"GPS=0,GAL=0"
41,SUMMARY,,,,,,0,"GPS=0,GAL=0"
42,SUMMARY,,,,,,0,"GPS=0,GAL=0"
43,SUMMARY,,,,,,0,"GPS=0,GAL=0"
44,SUMMARY,,,,,,0,"GPS=0,GAL=0"
45,SUMMARY,,,,,,0,"GPS=0,GAL=0"
46,SUMMARY,,,,,,0,"GPS=0,GAL=0"
47,SUMMARY,,,,,,0,"GPS=0,GAL=0"
48,SUMMARY,,,,,,0,"GPS=0,GAL=0"
49,SUMMARY,,,,,,0,"GPS=0,GAL=0"
50,SUMMARY,,,,,,0,"GPS=0,GAL=0"
51,SUMMARY,,,,,,0,"GPS=0,GAL=0"
52,SUMMARY,,,,,,0,"GPS=0,GAL=0"
53,SUMMARY,,,,,,0,"GPS=0,GAL=0"
54,SUMMARY,,,,,,0,"GPS=0,GAL=0"
55,SUMMARY,,,,,,0,"GPS=0,GAL=0"
56,SUMMARY,,,,,,0,"GPS=0,GAL=0"
57,SUMMARY,,,,,,0,"GPS=0,GAL=0"
58,SUMMARY,,,,,,0,"GPS=0,GAL=0"
59,SUMMARY,,,,,,0,"GPS=0,GAL=0"
60,SUMMARY,,,,,,0,"GPS=0,GAL=0"
61,SUMMARY,,,,,,0,"GPS=0,GAL=0"
62,SUMMARY,,,,,,0,"GPS=0,GAL=0"
63,SUMMARY,,,,,,0,"GPS=0,GAL=0"
64,SUMMARY,,,,,,0,"GPS=0,GAL=0"
65,SUMMARY,,,,,,0,"GPS=0,GAL=0"
66,SUMMARY,,,,,,0,"GPS=0,GAL=0"
67,SUMMARY,,,,,,0,"GPS=0,GAL=0"
68,SUMMARY,,,,,,0,"GPS=0,GAL=0"
69,SUMMARY,,,,,,0,"GPS=0,GAL=0"
70,SUMMARY,,,,,,0,"GPS=0,GAL=0"
71,SUMMARY,,,,,,0,"GPS=0,GAL=0"
72,SUMMARY,,,,,,0,"GPS=0,GAL=0"
73,SUMMARY,,,,,,0,"GPS=0,GAL=0"
74,SUMMARY,,,,,,0,"GPS=0,GAL=0"
75,SUMMARY,,,,,,0,"GPS=0,GAL=0"
76,SUMMARY,,,,,,0,"GPS=0,GAL=0"
77,SUMMARY,,,,,,0,"GPS=0,GAL=0"
78,SUMMARY,,,,,,0,"GPS=0,GAL=0"
79,SUMMARY,,,,,,0,"GPS=0,GAL=0"
80,SUMMARY,,,,,,0,"GPS=0,GAL=0"
81,SUMMARY,,,,,,0,"GPS=0,GAL=0"
82,SUMMARY,,,,,,0,"GPS=0,GAL=0"
83,SUMMARY,,,,,,0,"GPS=0,GAL=0"
84,SUMMARY,,,,,,0,"GPS=0,GAL=0"
85,SUMMARY,,,,,,0,"GPS=0,GAL=0"
86,SUMMARY,,,,,,0,"GPS=0,GAL=0"
87,SUMMARY,,,,,,0,"GPS=0,GAL=0"
88,SUMMARY,,,,,,0,"GPS=0,GAL=0"
