SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,+309.524,+217.506,+2598.139,2625.536,10,0,0,0.1209,2237.05,nan
30.0,FWD,+528.984,+331.590,+1427.017,1557.612,10,0,0,0.1206,2784.25,nan
60.0,FWD,+223.310,+529.930,+1146.872,1282.968,10,0,0,0.1205,2659.57,nan
90.0,FWD,+149.130,+478.583,+758.683,909.330,10,0,0,0.1204,2389.73,210.418
120.0,FWD,+373.615,+130.432,+208.837,447.452,10,0,0,0.1204,2731.01,510.409
150.0,FWD,+497.832,+52.465,+123.938,515.703,10,0,0,0.1203,2189.74,328.560
180.0,FWD,+386.843,+135.868,+14.836,410.278,10,0,0,0.1203,2456.96,293.312
210.0,FWD,+368.175,+94.523,-13.653,380.360,10,0,0,0.1203,2225.64,415.994
240.0,FWD,+497.813,+4.239,-97.160,507.223,10,0,0,0.1203,2451.84,287.391
270.0,FWD,+540.567,+0.231,-117.998,553.296,11,0,0,0.1202,2480.93,423.025
300.0,FWD,+621.897,+106.363,+17.820,631.179,11,0,0,0.1202,2337.29,371.762
330.0,FWD,+564.423,+144.431,-21.034,582.988,11,0,0,0.1202,2265.22,287.556
360.0,FWD,+595.311,+153.815,+24.151,615.335,11,0,0,0.1202,2343.78,429.615
390.0,FWD,+576.887,+183.742,+211.022,641.163,11,0,0,0.1204,2397.36,394.252
420.0,FWD,+610.739,+181.470,+204.817,669.241,11,0,0,0.1203,2322.56,409.292
450.0,FWD,+601.012,+186.637,+165.480,650.716,11,0,0,0.1204,2379.78,368.204
480.0,FWD,+546.620,+126.681,-266.583,621.214,11,0,0,0.1202,2662.94,247.333
510.0,FWD,+543.862,+137.601,-276.871,625.602,11,0,0,0.1202,2458.95,650.686
540.0,FWD,+479.681,+133.118,-280.949,571.618,11,0,0,0.1202,2472.32,432.696
570.0,FWD,+424.149,+133.820,-280.329,525.732,11,0,0,0.1202,2806.22,410.864
600.0,FWD,+350.160,+198.867,-451.244,604.799,12,0,0,0.1202,2508.40,315.001
630.0,FWD,+587.589,+174.828,-1313.683,1449.685,12,0,0,0.1187,3113.73,398.242
660.0,FWD,+585.724,+152.288,-1369.176,1496.965,11,0,0,0.1185,2747.40,443.237
690.0,FWD,+570.549,+153.612,-1349.333,1473.031,11,0,0,0.1185,2540.56,419.638
720.0,FWD,+547.457,+152.706,-1342.987,1458.301,11,0,0,0.1185,2709.37,501.342
750.0,FWD,+462.278,+174.824,-1016.177,1129.991,11,0,0,0.1192,2438.99,535.770
780.0,FWD,+483.559,+196.811,-1014.383,1140.849,11,0,0,0.1191,2851.49,375.960
810.0,FWD,+475.501,+203.146,-1015.878,1139.902,11,0,0,0.1191,2573.26,535.734
840.0,FWD,+474.496,+204.784,-1014.340,1138.406,11,0,0,0.1191,2502.57,394.028
870.0,FWD,+479.866,+212.479,-1017.671,1145.021,11,2,0,0.1192,2547.37,464.636
900.0,FWD,+488.645,+226.565,-1012.760,1147.078,11,2,0,0.1192,2299.40,376.424
930.0,FWD,+465.454,+237.957,-1009.379,1136.713,11,2,0,0.1191,2534.32,421.357
960.0,FWD,+484.753,+211.894,-1005.424,1136.117,11,2,0,0.1191,2637.80,470.010
990.0,FWD,+474.281,+215.019,-1002.855,1129.997,12,2,0,0.1190,3448.59,355.271
1020.0,FWD,+474.109,+219.159,-995.762,1124.434,12,2,0,0.1189,3338.74,315.790
1050.0,FWD,+468.442,+217.593,-990.354,1116.954,12,2,0,0.1189,3037.82,349.639
