SOD,pass,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZWD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,+309.524,+217.506,+2598.139,2625.536,10,0,0,0.1209,2237.05,nan
30.0,FWD,+528.984,+331.590,+1427.017,1557.612,10,0,0,0.1206,2784.25,nan
60.0,FWD,+223.310,+529.930,+1146.872,1282.968,10,0,0,0.1205,2659.57,nan
90.0,FWD,+149.130,+478.583,+758.683,909.330,10,0,0,0.1204,2389.73,210.418
120.0,FWD,+373.615,+130.432,+208.837,447.452,10,0,0,0.1204,2731.01,510.410
150.0,FWD,+497.674,+52.608,+121.185,514.911,10,0,0,0.1203,2212.41,301.409
180.0,FWD,+386.473,+136.340,+10.652,409.956,10,0,0,0.1203,2469.63,280.851
210.0,FWD,+367.781,+94.914,-18.941,380.303,10,0,0,0.1203,2245.75,383.440
240.0,FWD,+755.155,+559.451,+3718.785,3835.702,10,0,0,0.1230,3077.39,2662.302
270.0,FWD,+761.140,+533.866,+3423.791,3547.772,11,0,0,0.1228,2531.02,197.098
300.0,FWD,+930.553,+955.427,+5793.826,5945.350,11,0,0,0.1244,1881.41,1672.930
330.0,FWD,+1208.361,+360.205,+6133.939,6262.195,11,0,0,0.1237,2264.28,438.960
360.0,FWD,+1208.593,+375.153,+6015.154,6146.829,11,0,0,0.1236,2504.17,323.789
390.0,FWD,+937.196,+237.872,+4937.304,5031.092,11,0,0,0.1234,2912.60,758.173
420.0,FWD,+965.034,+247.024,+4878.055,4978.728,11,0,0,0.1234,2208.34,262.783
450.0,FWD,+698.755,-83.796,+4276.805,4334.321,11,0,0,0.1235,2565.83,494.152
480.0,FWD,+821.660,+250.881,+3831.001,3926.147,11,0,0,0.1232,2838.35,286.526
510.0,FWD,+826.027,+255.345,+3797.787,3894.959,11,0,0,0.1231,2487.75,491.902
540.0,FWD,+783.030,+251.268,+3770.496,3859.134,11,0,0,0.1231,2520.43,269.885
570.0,FWD,+746.897,+249.359,+3745.028,3826.914,11,0,0,0.1230,2817.03,206.254
600.0,FWD,+117.502,-261.302,+2840.875,2855.286,12,0,0,0.1244,2928.01,750.719
630.0,FWD,+163.150,+0.662,+2543.340,2548.567,12,0,0,0.1240,2424.37,224.852
660.0,FWD,+20.307,-119.784,+2118.544,2122.024,11,0,0,0.1248,2447.43,261.475
690.0,FWD,+767.773,+24.418,+75.222,771.835,11,0,0,0.1249,3107.91,1138.656
720.0,FWD,+758.602,+23.868,+76.559,762.829,11,0,0,0.1247,2619.79,333.743
750.0,FWD,+621.087,+60.677,-129.316,637.302,11,0,0,0.1269,2534.94,200.686
780.0,FWD,+547.855,+96.877,-213.610,595.952,11,0,0,0.1267,2834.45,208.867
810.0,FWD,+547.128,+97.961,-213.409,595.390,11,0,0,0.1264,2543.65,394.416
840.0,FWD,+414.874,+88.734,-241.899,488.374,11,0,0,0.1280,2424.26,226.837
870.0,FWD,+420.665,+91.281,-242.435,494.030,11,2,0,0.1277,2483.67,334.553
900.0,FWD,+395.807,+65.004,-243.358,469.161,11,2,0,0.1266,2227.62,234.874
930.0,FWD,+392.007,+65.382,-241.878,465.241,11,2,0,0.1263,2448.00,278.864
960.0,FWD,+390.958,+64.848,-240.779,463.712,11,2,0,0.1262,2553.04,256.383
990.0,FWD,+388.809,+65.464,-240.001,461.582,12,2,0,0.1260,3360.63,404.185
1020.0,FWD,+392.438,+67.324,-238.094,463.928,12,2,0,0.1258,3297.66,260.556
