epoch,sat,constellation,phase_rms_mm,max_residual_mm,used_for_NL
0,E04,E,nan,nan,0
0,E05,E,nan,nan,0
0,E09,E,nan,nan,0
0,E16,E,nan,nan,0
1,E04,E,nan,nan,0
1,E05,E,nan,nan,0
1,E09,E,nan,nan,0
1,E16,E,nan,nan,0
2,E04,E,nan,nan,0
2,E05,E,nan,nan,0
2,E09,E,nan,nan,0
2,E16,E,nan,nan,0
3,E04,E,nan,nan,0
3,E05,E,nan,nan,0
3,E09,E,nan,nan,0
3,E16,E,nan,nan,0
4,E04,E,nan,nan,0
4,E05,E,nan,nan,0
4,E09,E,nan,nan,0
4,E16,E,nan,nan,0
5,E04,E,nan,nan,0
5,E05,E,nan,nan,0
5,E09,E,nan,nan,0
5,E16,E,nan,nan,0
6,E04,E,nan,nan,0
6,E05,E,nan,nan,0
6,E09,E,nan,nan,0
6,E16,E,nan,nan,0
7,E04,E,nan,nan,0
7,E05,E,nan,nan,0
7,E09,E,nan,nan,0
7,E16,E,nan,nan,0
8,E04,E,nan,nan,0
8,E05,E,nan,nan,0
8,E09,E,nan,nan,0
8,E16,E,nan,nan,0
9,E04,E,486.287,1353.953,0
9,E05,E,472.847,1076.751,0
9,E09,E,725.719,1793.124,0
9,E16,E,432.200,1004.014,0
10,E04,E,464.711,1353.953,0
10,E05,E,454.095,1076.751,0
10,E09,E,695.662,1793.124,0
10,E16,E,417.648,1004.014,0
11,E04,E,445.104,1353.953,0
11,E05,E,434.812,1076.751,0
11,E09,E,666.087,1793.124,0
11,E16,E,399.879,1004.014,0
12,E04,E,427.672,1353.953,0
12,E05,E,417.790,1076.751,0
12,E09,E,639.964,1793.124,0
12,E16,E,384.199,1004.014,0
13,E04,E,413.312,1353.953,0
13,E05,E,408.783,1076.751,0
13,E09,E,619.875,1793.124,0
13,E16,E,373.388,1004.014,0
14,E04,E,401.353,1353.953,0
14,E05,E,395.037,1076.751,0
14,E09,E,599.442,1793.124,0
14,E16,E,360.954,1004.014,0
15,E04,E,388.744,1353.953,0
15,E05,E,382.731,1076.751,0
15,E09,E,580.422,1793.124,0
15,E16,E,350.026,1004.014,0
16,E04,E,377.642,1353.953,0
16,E05,E,372.020,1076.751,0
16,E09,E,563.150,1793.124,0
16,E16,E,340.447,1004.014,0
17,E04,E,368.577,1353.953,0
17,E05,E,362.950,1076.751,0
17,E09,E,549.509,1793.124,0
17,E16,E,334.964,1004.014,0
18,E04,E,359.717,1353.953,0
18,E05,E,353.877,1076.751,0
18,E09,E,536.051,1793.124,0
18,E16,E,328.311,1004.014,0
19,E04,E,350.990,1353.953,0
19,E05,E,345.613,1076.751,0
19,E09,E,523.463,1793.124,0
19,E16,E,322.410,1004.014,0
20,E04,E,342.535,1353.953,0
20,E05,E,337.291,1076.751,0
20,E09,E,510.854,1793.124,0
20,E16,E,314.772,1004.014,0
21,E04,E,334.699,1353.953,0
21,E05,E,329.566,1076.751,0
21,E09,E,499.249,1793.124,0
21,E16,E,307.886,1004.014,0
22,E04,E,327.493,1353.953,0
22,E05,E,322.907,1076.751,0
22,E09,E,489.129,1793.124,0
22,E16,E,303.280,1004.014,0
23,E04,E,320.607,1353.953,0
23,E05,E,316.321,1076.751,0
23,E09,E,479.041,1793.124,0
23,E16,E,297.566,1004.014,0
24,E04,E,314.726,1353.953,0
24,E05,E,310.529,1076.751,0
24,E09,E,469.373,1793.124,0
24,E16,E,291.969,1004.014,0
25,E04,E,309.400,1353.953,0
25,E05,E,304.562,1076.751,0
25,E09,E,460.317,1793.124,0
25,E16,E,286.335,1004.014,0
26,E04,E,304.058,1353.953,0
26,E05,E,298.938,1076.751,0
26,E09,E,451.826,1793.124,0
26,E16,E,280.983,1004.014,0
27,E04,E,299.900,1353.953,0
27,E05,E,293.969,1076.751,0
27,E09,E,444.329,1793.124,0
27,E16,E,276.309,1004.014,0
28,E04,E,294.799,1353.953,0
28,E05,E,288.938,1076.751,0
28,E09,E,436.618,1793.124,0
28,E16,E,271.647,1004.014,0
29,E04,E,290.189,1353.953,0
29,E05,E,284.139,1076.751,0
29,E09,E,429.281,1793.124,0
29,E16,E,267.170,1004.014,0
30,E04,E,285.495,1353.953,0
30,E05,E,279.738,1076.751,0
30,E09,E,422.340,1793.124,0
30,E16,E,263.025,1004.014,0
31,E04,E,281.241,1353.953,0
31,E05,E,275.487,1076.751,0
31,E09,E,415.694,1793.124,0
31,E16,E,258.899,1004.014,0
32,E04,E,277.913,1353.953,0
32,E05,E,272.722,1076.751,0
32,E09,E,410.467,1793.124,0
32,E16,E,256.976,1004.014,0
33,E04,E,273.816,1353.953,0
33,E05,E,269.068,1076.751,0
33,E09,E,404.788,1793.124,0
33,E16,E,253.705,1004.014,0
34,E04,E,269.878,1353.953,0
34,E05,E,265.219,1076.751,0
34,E09,E,398.964,1793.124,0
34,E16,E,250.054,1004.014,0
35,E04,E,266.175,1353.953,0
35,E05,E,261.552,1076.751,0
35,E09,E,393.444,1793.124,0
35,E16,E,246.564,1004.014,0
36,E04,E,262.947,1353.953,0
36,E05,E,258.023,1076.751,0
36,E09,E,388.326,1793.124,0
36,E16,E,243.396,1004.014,0
37,E04,E,259.807,1353.953,0
37,E05,E,254.615,1076.751,0
37,E09,E,383.301,1793.124,0
37,E16,E,240.234,1004.014,0
38,E04,E,256.536,1353.953,0
38,E05,E,251.462,1076.751,0
38,E09,E,378.446,1793.124,0
38,E16,E,237.265,1004.014,0
39,E04,E,253.431,1353.953,0
39,E05,E,248.376,1076.751,0
39,E09,E,373.734,1793.124,0
39,E16,E,234.339,1004.014,0
40,E04,E,251.023,1353.953,0
40,E05,E,245.357,1076.751,0
40,E09,E,369.330,1793.124,0
40,E16,E,231.614,1004.014,0
41,E04,E,248.080,1353.953,0
41,E05,E,242.501,1076.751,0
41,E09,E,364.908,1793.124,0
41,E16,E,228.848,1004.014,0
42,E04,E,245.180,1353.953,0
42,E05,E,239.945,1076.751,0
42,E09,E,360.805,1793.124,0
42,E16,E,226.474,1004.014,0
43,E04,E,242.432,1353.953,0
43,E05,E,237.335,1076.751,0
43,E09,E,356.901,1793.124,0
43,E16,E,224.229,1004.014,0
44,E04,E,239.734,1353.953,0
44,E05,E,234.832,1076.751,0
44,E09,E,353.037,1793.124,0
44,E16,E,221.868,1004.014,0
45,E04,E,237.597,1353.953,0
45,E05,E,232.280,1076.751,0
45,E09,E,349.193,1793.124,0
45,E16,E,219.463,1004.014,0
46,E04,E,235.060,1353.953,0
46,E05,E,230.253,1076.751,0
46,E09,E,345.623,1793.124,0
46,E16,E,217.527,1004.014,0
47,E04,E,232.610,1353.953,0
47,E05,E,228.404,1076.751,0
47,E09,E,342.138,1793.124,0
47,E16,E,215.609,1004.014,0
48,E04,E,230.727,1353.953,0
48,E05,E,226.207,1076.751,0
48,E09,E,339.154,1793.124,0
48,E16,E,213.871,1004.014,0
48,E25,E,nan,nan,0
49,E04,E,228.680,1353.953,0
49,E05,E,223.975,1076.751,0
