epoch,phase_rms_mm,num_phase_obs
0,11809.154488414548,22
1,11279.252126170346,24
2,11305.808019054677,24
3,11538.629839934514,24
4,11724.125127147565,24
5,12003.734163618201,24
6,11728.366380831503,24
7,11834.498853152827,24
8,11719.364650805828,24
9,11748.508353172667,24
10,11441.858124610422,24
11,11909.541244357119,22
12,11991.399013553373,22
13,11901.427368225339,22
14,11988.206108572664,22
15,11923.53127736325,22
16,11515.106799793486,24
17,11580.791161048228,24
18,11331.013559355266,24
19,11443.05542041083,24
20,11455.672555109928,24
21,11419.934077860999,24
22,11880.87503013691,22
23,11836.533297290183,22
24,11925.773145788047,22
25,11789.812000078087,22
26,11810.576293318363,22
27,11841.803251220594,22
28,11656.769800387337,22
29,11841.757323872187,22
30,11699.567131363661,22
31,11803.6261726062,22
32,11648.284279926047,22
33,11143.479908119043,24
34,11483.479290715753,24
35,11424.621494908617,24
36,10557.865702977553,28
37,10648.704656637485,28
38,10575.285563152742,28
39,10520.831132946763,28
40,10626.880527519941,28
41,10587.299888866854,28
42,10480.099672533892,28
43,10639.076924947907,28
44,10578.028328134382,28
45,10446.333801699673,28
46,10586.239861702545,28
47,10530.047746286104,28
48,10636.393165115345,28
49,10439.815368022597,28
50,10215.983789132391,28
51,10546.594003288761,28
52,10378.467022709276,28
53,10370.430700089439,28
54,10213.300079406352,28
55,10324.115060393302,28
56,10287.998527762757,28
57,10216.87745657043,28
58,10254.319460611156,28
59,9993.581453814093,28
60,10104.651686627856,30
61,10087.227240304886,30
62,9861.357721196831,30
63,9868.115658691351,30
64,10193.341847114163,28
65,10640.005758643983,26
66,10709.145353531878,26
67,10487.479179893942,26
68,10547.172896286049,26
69,10665.51399037337,26
70,10590.93269470769,26
71,10560.292586484187,26
72,10073.234979027076,28
73,10155.468765878379,28
74,10084.40195870259,28
75,9818.000525617419,30
76,9816.55873432752,30
77,9811.018920767086,30
78,10411.017829936301,28
79,9987.077295737075,30
80,9877.95114152387,30
81,10228.978598383334,30
82,10145.195628958154,30
83,10425.111021311255,28
84,10390.665241532932,28
85,10455.816093582698,28
86,10412.617960637945,28
87,10405.521671128745,28
88,10244.70223553339,28
89,10261.37624403211,28
90,10142.897764432333,28
91,10158.223430450995,28
92,9960.531355780238,28
93,10081.63151885964,28
94,10215.582803249012,28
95,10419.46999353968,28
96,10063.262045726506,28
97,10136.509275209688,28
98,10015.368905382142,28
99,10212.714010747079,28
100,7848.532092179438,26
101,10158.174363790244,28
102,10128.492681343487,28
103,10122.608436351853,28
104,7792.25465793798,26
105,10004.349390103054,28
106,7657.928056997643,26
107,7637.079450412859,26
108,7720.125894972796,26
109,7414.349651718525,28
110,7336.806801040296,28
111,7584.201070033841,26
112,7543.380529459504,26
113,7782.918314380222,24
114,7793.924425220153,24
115,7654.90416464041,24
116,7679.628667630579,24
117,7486.239293123239,24
118,7717.196639132545,24
119,7616.339019803647,24
120,7340.687733751497,24
121,7327.377295269354,24
122,6933.3778634397895,24
123,7584.610555187677,24
124,7395.328333637317,24
125,7148.077149788412,24
126,7199.533425107276,24
127,6924.080427561764,22
128,6822.8013854498495,22
