epoch,sat,elev_deg,raw_L1_P1,corr_L1_P1,code_bias,phase_bias
0,G01,25.89,0.0175,-1.8382,-1.8757,0.061041
0,G03,61.0,2.4754,4.7918,2.2467,-0.159055
0,G04,26.04,3.7914,3.0845,-0.279,0.351
0,G08,15.92,0.7343,4.747,3.6076,-0.344881
0,G16,70.69,7.3496,6.9863,-0.7365,-0.289045
0,G26,40.32,8.4663,11.9783,3.917,0.357428
0,G27,22.05,3.347,5.7834,2.6037,0.213188
0,G31,24.59,14.668,12.1981,-2.4096,0.011689
300,G03,30.23,-8.944,-6.6825,2.2467,-0.159055
300,G04,72.75,-1.035,-1.6654,-0.279,0.351
300,G07,26.01,-6.8601,-8.1824,-1.3612,0.08747
300,G08,55.81,-6.3368,-2.3782,3.6076,-0.344881
300,G09,58.73,-3.8335,-1.6537,2.3389,0.116877
300,G14,15.95,-1.982,-3.0884,-1.3599,-0.181428
300,G27,33.28,-5.1165,-2.7355,2.6037,0.213188
600,G01,28.45,1.263,-0.6671,-1.8757,0.061041
600,G02,21.76,-5.8,-8.3266,-2.752,-0.224062
600,G07,56.72,-17.4552,-18.7166,-1.3612,0.08747
600,G09,42.39,-20.0141,-17.7737,2.3389,0.116877
600,G14,35.82,-12.9228,-13.9374,-1.3599,-0.181428
600,G17,52.3,4.8779,3.4193,-1.6004,-0.119713
600,G19,27.0,3.1263,1.2927,-2.0151,-0.148613
600,G22,30.36,-5.4081,-6.6009,-1.0505,0.292759
600,G30,43.22,-12.0203,-8.8855,3.3328,0.183326
900,G06,58.13,13.4331,16.7099,2.9757,-0.292256
900,G07,29.22,-25.1728,-26.4266,-1.3612,0.08747
900,G11,18.57,6.8952,5.4335,-1.5717,-0.096578
900,G13,31.51,2.4902,0.778,-1.5316,0.195444
900,G14,42.12,-17.599,-18.5795,-1.3599,-0.181428
900,G17,46.6,-0.7389,-2.2151,-1.6004,-0.119713
900,G19,55.42,8.1511,6.2899,-2.0151,-0.148613
900,G22,40.15,-9.1464,-10.2943,-1.0505,0.292759
900,G30,61.54,-10.1743,-7.0168,3.3328,0.183326
1200,G05,23.19,10.0868,8.3753,-1.5022,0.206251
1200,G06,42.69,2.9839,6.2737,2.9757,-0.292256
1200,G11,71.26,22.8154,21.3539,-1.5717,-0.096578
1200,G12,23.81,11.2022,9.1591,-2.0193,0.038826
1200,G14,26.14,-23.6237,-24.6088,-1.3599,-0.181428
1200,G17,14.55,1.1137,-0.3292,-1.6004,-0.119713
1200,G19,27.16,-8.3214,-10.1604,-2.0151,-0.148613
1200,G21,41.26,13.1735,11.1085,-1.9424,0.122696
1200,G22,41.6,-6.8483,-7.9829,-1.0505,0.292759
1200,G24,36.07,17.2102,19.8071,2.3211,-0.26329
1500,G05,80.57,26.0935,24.4196,-1.5022,0.206251
1500,G11,26.02,6.724,5.2946,-1.5717,-0.096578
1500,G12,76.26,32.7752,30.7388,-2.0193,0.038826
1500,G13,20.55,5.5434,3.7415,-1.5316,0.195444
1500,G15,25.5,15.2424,13.2834,-1.6466,0.280798
1500,G21,47.5,13.5431,11.5237,-1.9424,0.122696
1500,G25,45.48,28.4732,32.4801,3.7313,-0.250468
1500,G29,17.97,10.0584,9.0743,-1.3093,-0.295571
1800,G10,17.61,0.4059,3.0145,2.6666,0.062792
1800,G12,13.08,-1.5098,-3.639,-2.0193,0.038826
1800,G13,29.97,21.3602,19.5136,-1.5316,0.195444
1800,G15,63.54,36.6058,34.5588,-1.6466,0.280798
1800,G18,26.52,25.5534,24.2879,-1.5584,-0.244457
1800,G23,45.03,27.5014,25.7322,-1.556,0.249268
1800,G25,30.62,38.6906,42.6327,3.7313,-0.250468
1800,G29,77.72,39.8566,38.9061,-1.3093,-0.295571
2100,G10,30.88,8.739,11.4101,2.6666,0.062792
2100,G18,60.97,36.2802,35.0471,-1.5584,-0.244457
