SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,NL_genuine,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
30.0,BWD,1337935.7777,6070317.2441,1427877.4944,1337935.5599,6070317.2377,1427877.5071,+217.765,+6.442,-12.653,-211.274,-24.306,+48.945,218.227,4,11,8,0,2.0909,0.0913,2.1821,298.38,6.441
60.0,BWD,1337935.7783,6070317.2444,1427877.4940,1337935.5599,6070317.2377,1427877.5071,+218.372,+6.724,-13.129,-211.807,-24.861,+49.234,218.870,4,11,8,0,2.0909,0.0909,2.1817,867.32,25.443
90.0,BWD,1337935.7807,6070317.2458,1427877.4918,1337935.5599,6070317.2377,1427877.5071,+220.821,+8.146,-15.257,-213.891,-27.366,+50.621,221.497,4,11,8,0,2.0909,0.0917,2.1825,325.98,28.165
120.0,BWD,1337935.7837,6070317.2474,1427877.4897,1337935.5599,6070317.2377,1427877.5071,+223.829,+9.675,-17.405,-216.500,-29.941,+52.222,224.713,4,11,8,0,2.0909,0.0923,2.1831,514.50,29.919
150.0,BWD,1337935.7868,6070317.2491,1427877.4870,1337935.5599,6070317.2377,1427877.5071,+226.872,+11.408,-20.067,-219.099,-33.064,+53.909,228.044,4,11,8,0,2.0909,0.0931,2.1839,654.69,23.509
180.0,BWD,1337935.7890,6070317.2504,1427877.4850,1337935.5599,6070317.2377,1427877.5071,+229.103,+12.724,-22.080,-220.994,-35.423,+55.176,230.516,4,11,8,0,2.0909,0.0940,2.1849,490.39,19.837
210.0,BWD,1337935.7910,6070317.2513,1427877.4843,1337935.5599,6070317.2377,1427877.5071,+231.145,+13.597,-22.826,-222.801,-36.441,+56.266,232.667,4,11,8,0,2.0909,0.0948,2.1856,752.22,12.729
240.0,BWD,1337935.7919,6070317.2520,1427877.4831,1337935.5599,6070317.2377,1427877.5071,+231.999,+14.310,-24.026,-223.481,-37.808,+56.853,233.678,4,11,8,0,2.0909,0.0955,2.1863,464.38,12.791
270.0,BWD,1337935.7930,6070317.2525,1427877.4828,1337935.5599,6070317.2377,1427877.5071,+233.118,+14.797,-24.339,-224.469,-38.274,+57.481,234.852,4,11,8,0,2.0909,0.0962,2.1871,469.26,11.192
300.0,BWD,1337935.7939,6070317.2529,1427877.4826,1337935.5599,6070317.2377,1427877.5071,+233.969,+15.179,-24.475,-225.218,-38.532,+57.993,235.735,4,11,8,0,2.0909,0.0969,2.1878,501.44,4.045
330.0,BWD,1337935.7940,6070317.2528,1427877.4831,1337935.5599,6070317.2377,1427877.5071,+234.093,+15.099,-24.038,-225.356,-38.095,+58.040,235.808,4,11,8,0,2.0909,0.0973,2.1882,630.65,5.039
360.0,BWD,1337935.7937,6070317.2523,1427877.4842,1337935.5599,6070317.2377,1427877.5071,+233.808,+14.629,-22.950,-225.179,-36.917,+57.779,235.387,4,11,8,0,2.0909,0.0975,2.1884,462.42,8.299
390.0,BWD,1337935.7928,6070317.2518,1427877.4851,1337935.5599,6070317.2377,1427877.5071,+232.891,+14.082,-21.981,-224.402,-35.808,+57.284,234.350,4,11,8,0,2.0909,0.0979,2.1887,39.00,7.650
420.0,BWD,1337935.7919,6070317.2514,1427877.4854,1337935.5599,6070317.2377,1427877.5071,+231.970,+13.701,-21.685,-223.583,-35.391,+56.795,233.383,4,11,8,0,2.0909,0.0979,2.1888,611.93,9.382
450.0,BWD,1337935.7909,6070317.2510,1427877.4859,1337935.5599,6070317.2377,1427877.5071,+231.034,+13.298,-21.180,-222.756,-34.765,+56.329,232.383,4,11,8,0,2.0909,0.0985,2.1894,980.51,9.753
