SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,BWD,1337935.4803,6070317.3517,1427877.6190,1337935.5599,6070317.2377,1427877.5071,-79.629,+114.028,+111.901,+102.306,+87.796,+117.006,178.508,7,8,6,2.0909,0.0051,2.0959,1309.03,19.236
30.0,BWD,1337935.4805,6070317.3513,1427877.6196,1337935.5599,6070317.2377,1427877.5071,-79.439,+113.629,+112.525,+102.035,+88.482,+116.807,178.561,7,8,6,2.0909,-0.0022,2.0887,1622.75,77.120
60.0,BWD,1337935.4833,6070317.3543,1427877.6211,1337935.5599,6070317.2377,1427877.5071,-76.610,+116.642,+113.979,+99.921,+89.098,+120.594,180.183,7,8,6,2.0909,-0.0116,2.0792,1865.42,104.573
90.0,BWD,1337935.4876,6070317.3584,1427877.6227,1337935.5599,6070317.2377,1427877.5071,-72.324,+120.732,+115.636,+96.616,+89.606,+125.758,182.151,7,8,6,2.0909,-0.0147,2.0761,1667.99,119.226
120.0,BWD,1337935.4926,6070317.3632,1427877.6247,1337935.5599,6070317.2377,1427877.5071,-67.348,+125.492,+117.569,+92.780,+90.200,+131.766,184.680,7,8,6,2.0909,-0.0194,2.0714,1672.18,118.328
150.0,BWD,1337935.4974,6070317.3679,1427877.6263,1337935.5599,6070317.2377,1427877.5071,-62.464,+130.182,+119.245,+89.020,+90.565,+137.630,187.266,8,8,6,2.0909,-0.0254,2.0654,2220.19,100.941
180.0,BWD,1337935.5018,6070317.3721,1427877.6279,1337935.5599,6070317.2377,1427877.5071,-58.088,+134.379,+120.775,+85.651,+90.919,+142.885,189.785,8,8,6,2.0909,-0.0286,2.0623,1604.24,82.393
210.0,BWD,1337935.5056,6070317.3753,1427877.6295,1337935.5599,6070317.2377,1427877.5071,-54.323,+137.556,+122.391,+82.658,+91.612,+147.061,191.969,7,8,6,2.0909,-0.0287,2.0621,1400.39,72.218
240.0,BWD,1337935.5086,6070317.3777,1427877.6308,1337935.5599,6070317.2377,1427877.5071,-51.337,+140.044,+123.659,+80.277,+92.155,+150.341,193.751,8,8,6,2.0909,-0.0261,2.0648,1889.18,52.077
270.0,BWD,1337935.5109,6070317.3795,1427877.6318,1337935.5599,6070317.2377,1427877.5071,-49.010,+141.845,+124.691,+78.392,+92.651,+152.775,195.115,7,8,6,2.0909,-0.0264,2.0644,1149.54,39.451
