pass_label,epoch_sod,satellite,system,elevation_deg,azimuth_deg,raw_phase_L1_m,raw_phase_L2_m,raw_code_P1_m,raw_code_P2_m,LIF_raw_m,PIF_raw_m,sat_pco_x_mm,sat_pco_y_mm,sat_pco_z_mm,sat_apc_range_mm,sat_pcv_mm,rec_pco_x_mm,rec_pco_y_mm,rec_pco_z_mm,rec_apc_range_mm,rec_pcv_mm,osb_code_L1_mm,osb_code_L2_mm,osb_phase_L1_mm,osb_phase_L2_mm,osb_IF_code_mm,osb_IF_phase_mm,tropo_hydro_m,tropo_wet_m,sagnac_mm,relativity_mm,phase_windup_cycles,phase_windup_mm,solid_earth_tide_mm,ocean_loading_mm,geom_range_m,corrected_phase_m,corrected_code_m,predicted_phase_m,predicted_code_m,phase_residual_mm,code_residual_mm,float_ambiguity_state_m,float_ambiguity_cycles,wl_fixed,nl_fixed
GPS-only,0.0,G01,G,25.887,-128.268,121287881.011000,94510026.518000,23080315.920000,23080315.867000,23080320.357448,23080316.001924,-68.444,20.595,1965.013,-1911.8935,42.4000,-0.851,-2.922,45.739,-22.5080,-8.0031,-1583.3838,-2607.7447,61.0407,92.9866,-0.0008,11.6611,4.763302,0.409941,24756.6458,399.4372,-0.426197,-60.4672,-0.0008,-2.1970,23180857.619659,23080320.406254,23080316.001924,23080320.406254,23080315.267778,nan,734.1460,5.138475,36.217993,0,0
GPS-only,0.0,G03,G,61.000,-47.402,108219453.556000,84326848.370000,20593474.556000,20593475.962000,20593476.740603,20593472.382707,394.000,0.000,1482.260,-1508.7174,23.5000,-0.851,-2.922,45.739,-40.7680,-10.1784,2404.5454,3960.1684,-159.0549,-251.0402,-0.0244,-16.8706,2.389653,0.205097,11205.7503,-4286.3704,0.469464,66.6058,-0.0017,3.7467,20766479.605095,20593476.690868,20593472.382731,20593476.690868,20593472.882679,nan,-499.9477,3.808189,26.841612,0,0
GPS-only,0.0,G04,G,26.039,-26.897,121728456.263000,94853342.532000,23164150.873000,23164150.847000,23164155.030362,23164150.913189,-60.991,20.386,1940.252,-1896.8220,42.4000,-0.851,-2.922,45.739,-20.5847,-8.0838,-253.8043,-418.0006,351.0000,549.8943,-0.0015,43.5636,4.737734,0.407725,14244.0403,2410.7539,0.403972,57.3140,-0.0008,2.0190,23176946.294598,23164154.929484,23164150.913190,23164154.929484,23164150.330685,nan,582.5049,4.598799,32.414140,0,0
GPS-only,0.0,G08,G,15.919,175.720,125909281.680000,98111137.580000,23959738.295000,23959743.120000,23959736.253635,23959730.836863,394.000,0.000,1427.680,-1351.9323,23.5000,-0.851,-2.922,45.739,-13.1520,0.4884,3345.1442,5509.2560,-344.8812,-559.5896,0.0165,-13.0006,7.507971,0.649620,-2616.0723,7875.8463,-0.316399,-44.8895,-0.0005,-0.0292,24108144.617187,23959736.311525,23959730.836847,23959736.311525,23959733.541158,nan,-2704.3108,2.770367,19.526635,0,0
GPS-only,0.0,G16,G,70.688,87.042,105482384.829000,82194071.979000,20072622.056000,20072621.742000,20072628.205617,20072622.541359,12.600,-6.900,1389.150,-1383.5328,6.4000,-0.851,-2.922,45.739,-42.1862,-5.5095,-1247.1366,-2053.9681,-289.0449,-446.5828,0.0051,-45.5341,2.215162,0.190096,-10053.5173,6110.3760,-0.442036,-62.7145,-0.0020,6.9309,20133486.950573,20072628.313866,20072622.541353,20072628.313866,20072624.887923,nan,-2346.5693,3.425943,24.147394,0,0
GPS-only,0.0,G26,G,40.319,41.633,114535959.151000,89248819.609000,21795459.229000,21795460.390000,21795460.682546,21795457.434410,394.000,0.000,1433.580,-1367.6310,23.5000,-0.851,-2.922,45.739,-27.6303,-13.1096,3901.1093,6424.9121,357.4276,573.1642,-0.0028,23.9574,3.225658,0.277059,-16618.1774,-1518.0055,0.250024,35.4724,-0.0014,7.2596,21698565.937399,21795460.623116,21795457.434413,21795460.623116,21795457.074042,nan,360.3713,3.549075,25.015272,0,0
GPS-only,0.0,G27,G,22.050,144.548,123478658.599000,96217125.416000,23497203.359000,23497204.854000,23497211.667704,23497201.048137,394.000,0.000,1436.320,-1337.2452,23.5000,-0.851,-2.922,45.739,-16.2431,-5.2645,2595.2134,4274.1711,213.1884,345.3099,0.0018,8.9645,5.526851,0.476253,-19090.4502,9792.3153,-0.241104,-34.2070,-0.0008,3.2591,23486581.617787,23497211.692947,23497201.048135,23497211.692947,23497200.005768,nan,1042.3672,11.687179,82.375828,0,0
GPS-only,30.0,G01,G,25.788,-128.499,121333776.306000,94545789.093000,23089049.663000,23089048.934000,23089053.938878,23089050.789836,-68.444,20.595,1965.013,-1911.8413,42.4000,-0.851,-2.922,45.739,-22.4351,-7.9507,-1583.3838,-2607.7447,61.0407,92.9866,-0.0008,11.6611,4.780056,0.391607,24707.8365,403.2793,-0.425662,-60.3914,-0.0008,-2.2105,23189589.207803,23089053.987609,23089050.789836,23089052.169788,23089046.571610,1817.8210,4218.2267,5.598178,39.458159,0,0
GPS-only,30.0,G03,G,61.192,-47.759,108180284.913000,84296327.352000,20586021.011000,20586022.175000,20586023.194717,20586019.211773,394.000,0.000,1482.260,-1508.8770,23.5000,-0.851,-2.922,45.739,-40.8453,-10.0903,2404.5454,3960.1684,-159.0549,-251.0402,-0.0244,-16.8706,2.385244,0.194871,11197.4765,-4290.8000,0.469944,66.6739,-0.0017,3.7370,20759024.777597,20586023.144914,20586019.211797,20586021.897609,20586017.824131,1247.3043,1387.6667,4.073479,28.711479,0,0
GPS-only,30.0,G04,G,26.162,-26.716,121668495.994000,94806620.250000,23152741.085000,23152740.158000,23152744.968463,23152742.517890,-60.991,20.386,1940.252,-1896.8895,42.4000,-0.851,-2.922,45.739,-20.6640,-8.1493,-253.8043,-418.0006,351.0000,549.8943,-0.0015,43.5636,4.717242,0.386424,14133.2803,2414.1715,0.403369,57.2284,-0.0009,2.0427,23165537.302037,23152744.867671,23152742.517891,23152745.033434,23152740.952149,-165.7630,1565.7419,4.081285,28.766501,0,0
GPS-only,30.0,G08,G,16.036,175.553,125841166.994000,98058061.261000,23946776.894000,23946780.675000,23946774.437328,23946771.049603,394.000,0.000,1427.680,-1351.9878,23.5000,-0.851,-2.922,45.739,-13.2326,0.3693,3345.1442,5509.2560,-344.8812,-559.5896,0.0165,-13.0006,7.456579,0.614069,-2714.7049,7877.9562,-0.315723,-44.7936,-0.0005,-0.0109,24095179.574036,23946774.495122,23946771.049587,23946772.380596,23946768.131910,2114.5261,2917.6769,4.248686,29.946411,0,0
