SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,ISB_mm,CodeRMS_mm,PhsRMS_mm
0.0,FWD,1337935.8774,6070320.5457,1427878.1609,1337935.5599,6070317.2377,1427877.5071,+317.527,+3308.018,+653.794,+401.933,-106.279,+3361.310,3386.924,11,0,0,2.0909,-0.4328,1.6580,+3526.962,2667.66,2474.172
30.0,FWD,1337935.4714,6070319.1476,1427878.1058,1337935.5599,6070317.2377,1427877.5071,-88.515,+1909.935,+598.703,+497.535,+167.358,+1933.541,2003.530,12,0,0,2.0909,-0.3495,1.7413,+3018.042,1314.53,835.554
60.0,FWD,1337935.3896,6070317.3180,1427877.9785,1337935.5599,6070317.2377,1427877.5071,-170.348,+80.265,+471.437,+183.632,+449.916,+146.866,507.656,12,0,0,2.0909,0.3067,2.3976,+2725.608,2293.20,1089.722
90.0,FWD,1337935.1892,6070315.8982,1427877.7172,1337935.5599,6070317.2377,1427877.5071,-370.693,-1339.481,+210.084,+73.694,+517.385,-1304.852,1405.617,12,0,0,2.0909,0.6172,2.7080,+2559.900,2520.98,879.168
120.0,FWD,1337934.8752,6070315.3772,1427877.3795,1337935.5599,6070317.2377,1427877.5071,-684.671,-1860.491,-127.582,+268.171,+318.267,-1942.491,1986.575,12,0,0,2.0909,0.8597,2.9506,+2584.881,2890.73,423.559
150.0,FWD,1337934.8851,6070315.9759,1427877.4343,1337935.5599,6070317.2377,1427877.5071,-674.794,-1261.840,-72.798,+387.379,+239.442,-1358.489,1432.790,12,0,0,2.0909,0.8059,2.8967,+2629.167,1127.59,385.868
180.0,FWD,1337935.1533,6070316.7363,1427877.6295,1337935.5599,6070317.2377,1427877.5071,-406.550,-501.371,+122.381,+289.106,+249.267,-534.712,656.988,12,0,0,2.0909,0.8074,2.8982,+2699.135,785.06,509.692
210.0,FWD,1337935.3394,6070317.6122,1427877.7667,1337935.5599,6070317.2377,1427877.5071,-220.542,+374.538,+259.565,+295.989,+181.176,+368.588,506.252,12,0,0,2.0909,0.8572,2.9480,+2675.801,1452.08,554.289
240.0,FWD,1337935.4138,6070318.3733,1427877.8202,1337935.5599,6070317.2377,1427877.5071,-146.120,+1135.627,+313.111,+387.128,+62.274,+1120.398,1187.029,12,0,0,2.0909,0.8922,2.9831,+2742.974,1782.15,455.165
270.0,FWD,1337935.4812,6070318.9799,1427877.8873,1337935.5599,6070317.2377,1427877.5071,-78.732,+1742.213,+380.227,+451.881,-9.071,+1726.789,1784.959,12,0,0,2.0909,0.9156,3.0064,+2829.458,1753.23,367.335
300.0,FWD,1337935.5620,6070319.8171,1427878.0935,1337935.5599,6070317.2377,1427877.5071,+2.058,+2579.398,+586.410,+553.180,+3.687,+2586.727,2645.218,12,0,0,2.0909,0.8142,2.9050,+2796.764,1600.99,532.821
330.0,FWD,1337935.6716,6070320.2044,1427878.1788,1337935.5599,6070317.2377,1427877.5071,+111.694,+2966.663,+671.744,+529.469,-3.701,+2997.408,3043.814,11,0,0,2.0909,0.7623,2.8531,+2772.298,1689.70,253.900
