SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,1337936.6459,6070319.1172,1427878.3863,1337935.5599,6070317.2377,1427877.5071,+1086.028,+1879.468,+879.184,-656.036,+390.370,+2214.057,2341.969,11,0,0,2.0909,0.1167,2.2076,1931.16,1836.590
30.0,FWD,1337936.1418,6070318.4973,1427878.3035,1337935.5599,6070317.2377,1427877.5071,+581.892,+1259.564,+796.424,-297.144,+470.584,+1499.883,1599.810,12,0,0,2.0909,0.1178,2.2087,700.31,687.315
60.0,FWD,1337936.3986,6070318.7159,1427878.7147,1337935.5599,6070317.2377,1427877.5071,+838.689,+1478.231,+1207.594,-500.856,+810.614,+1854.426,2084.910,12,0,0,2.0909,0.1190,2.2099,426.28,545.633
90.0,FWD,1337936.4298,6070318.7287,1427878.8228,1337935.5599,6070317.2377,1427877.5071,+869.939,+1491.034,+1315.671,-528.619,+911.580,+1897.512,2170.476,12,0,0,2.0909,0.1197,2.2105,959.99,477.332
120.0,FWD,1337936.2101,6070318.7133,1427878.6913,1337935.5599,6070317.2377,1427877.5071,+650.184,+1475.642,+1184.158,-317.327,+797.493,+1807.152,2000.622,12,0,0,2.0909,0.1201,2.2109,927.39,456.928
150.0,FWD,1337936.0804,6070318.6349,1427878.6048,1337935.5599,6070317.2377,1427877.5071,+520.515,+1397.243,+1097.728,-207.572,+736.823,+1685.893,1851.548,12,0,0,2.0909,0.1200,2.2108,419.88,339.088
180.0,FWD,1337936.1485,6070318.4337,1427878.6237,1337935.5599,6070317.2377,1427877.5071,+588.606,+1196.007,+1116.591,-317.381,+796.178,+1512.956,1738.869,12,0,0,2.0909,0.1199,2.2108,417.62,254.096
210.0,FWD,1337936.1873,6070318.4141,1427878.5978,1337935.5599,6070317.2377,1427877.5071,+627.392,+1176.397,+1090.672,-359.479,+773.359,+1496.592,1722.526,12,0,0,2.0909,0.1199,2.2108,452.75,166.857
240.0,FWD,1337936.0917,6070318.3750,1427878.5246,1337935.5599,6070317.2377,1427877.5071,+531.813,+1137.346,+1017.543,-274.546,+715.337,+1422.916,1616.098,12,0,0,2.0909,0.1199,2.2108,403.90,135.092
270.0,FWD,1337936.0478,6070318.3463,1427878.4830,1337935.5599,6070317.2377,1427877.5071,+487.859,+1108.554,+975.936,-237.819,+683.267,+1376.931,1555.426,12,0,0,2.0909,0.1199,2.2108,405.56,115.578
300.0,FWD,1337935.9663,6070318.4178,1427878.5557,1337935.5599,6070317.2377,1427877.5071,+406.405,+1180.055,+1048.583,-142.884,+742.264,+1444.247,1630.099,12,0,0,2.0909,0.1199,2.2108,318.68,64.532
330.0,FWD,1337935.9840,6070318.3495,1427878.5516,1337935.5599,6070317.2377,1427877.5071,+424.120,+1111.759,+1044.528,-174.884,+752.481,+1382.068,1583.327,11,0,0,2.0909,0.1199,2.2108,309.02,150.810
360.0,FWD,1337935.9610,6070318.3779,1427878.5503,1337935.5599,6070317.2377,1427877.5071,+401.115,+1140.181,+1043.236,-146.301,+746.084,+1403.995,1596.636,11,0,0,2.0909,0.1198,2.2106,357.89,91.774
390.0,FWD,1337935.9631,6070318.3529,1427878.5285,1337935.5599,6070317.2377,1427877.5071,+403.235,+1115.245,+1021.425,-153.738,+730.218,+1375.800,1565.145,11,0,0,2.0909,0.1198,2.2106,223.17,125.756
420.0,FWD,1337935.9332,6070318.4524,1427878.5305,1337935.5599,6070317.2377,1427877.5071,+373.290,+1214.748,+1023.398,-103.078,+711.699,+1464.637,1631.656,11,0,0,2.0909,0.1198,2.2107,313.20,113.595
450.0,FWD,1337935.9189,6070318.4266,1427878.5245,1337935.5599,6070317.2377,1427877.5071,+359.022,+1188.945,+1017.366,-94.698,+712.192,+1435.736,1605.467,11,0,0,2.0909,0.1199,2.2107,396.35,75.300
480.0,FWD,1337935.8950,6070318.3454,1427878.5387,1337935.5599,6070317.2377,1427877.5071,+335.112,+1107.657,+1031.585,-88.845,+745.090,+1356.584,1550.281,12,0,0,2.0909,0.1200,2.2109,1144.22,582.407
510.0,FWD,1337935.8774,6070318.3038,1427878.5340,1337935.5599,6070317.2377,1427877.5071,+317.451,+1066.105,+1026.949,-80.542,+750.573,+1312.300,1513.928,12,0,0,2.0909,0.1200,2.2109,589.11,480.297
540.0,FWD,1337935.9335,6070318.2065,1427878.4823,1337935.5599,6070317.2377,1427877.5071,+373.572,+968.829,+975.191,-156.285,+718.827,+1219.855,1424.494,12,0,0,2.0909,0.1199,2.2108,386.42,378.033
570.0,FWD,1337935.9947,6070318.1510,1427878.4487,1337935.5599,6070317.2377,1427877.5071,+434.791,+913.301,+941.551,-228.021,+695.302,+1172.281,1381.912,12,0,0,2.0909,0.1198,2.2107,388.49,274.281
600.0,FWD,1337935.9917,6070318.1690,1427878.4222,1337935.5599,6070317.2377,1427877.5071,+431.771,+931.346,+915.126,-221.188,+665.732,+1182.863,1375.240,12,0,0,2.0909,0.1197,2.2105,446.20,193.337
630.0,FWD,1337936.0026,6070318.2457,1427878.4223,1337935.5599,6070317.2377,1427877.5071,+442.703,+1007.999,+915.197,-215.365,+648.405,+1258.102,1431.654,12,0,0,2.0909,0.1196,2.2105,283.32,148.670
