SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,1337935.8004,6070319.2300,1427877.7757,1337935.5599,6070317.2377,1427877.5071,+240.488,+1992.323,+268.581,+193.977,-188.359,+2006.543,2024.678,11,0,0,2.0909,0.1206,2.2114,2273.88,nan
30.0,FWD,1337935.4374,6070318.2195,1427877.7977,1337935.5599,6070317.2377,1427877.5071,-122.535,+981.827,+290.588,+330.991,+73.027,+973.937,1031.233,12,0,0,2.0909,0.1203,2.2111,2618.94,3504.914
60.0,FWD,1337935.7614,6070318.3272,1427878.2849,1337935.5599,6070317.2377,1427877.5071,+201.525,+1089.472,+777.775,+37.697,+508.286,+1254.081,1353.696,12,0,0,2.0909,0.1204,2.2112,2532.35,2875.775
90.0,FWD,1337935.8456,6070318.3495,1427878.4636,1337935.5599,6070317.2377,1427877.5071,+285.671,+1111.821,+956.545,-39.667,+673.461,+1333.270,1494.233,12,0,0,2.0909,0.1204,2.2113,2742.64,2945.859
120.0,FWD,1337935.6275,6070318.3692,1427878.3396,1337935.5599,6070317.2377,1427877.5071,+67.615,+1131.532,+832.478,+177.521,+558.822,+1278.343,1406.398,12,0,0,2.0909,0.1205,2.2113,3483.60,2965.933
150.0,FWD,1337935.4961,6070318.3346,1427878.2526,1337935.5599,6070317.2377,1427877.5071,-63.793,+1096.868,+745.531,+298.387,+488.111,+1198.215,1327.783,12,0,0,2.0909,0.1204,2.2113,2342.56,2970.274
180.0,FWD,1337935.5561,6070318.1422,1427878.2598,1337935.5599,6070317.2377,1427877.5071,-3.802,+904.538,+752.706,+198.406,+534.511,+1029.419,1176.763,12,0,0,2.0909,0.1204,2.2112,2323.52,3037.860
210.0,FWD,1337935.5940,6070318.1098,1427878.2440,1337935.5599,6070317.2377,1427877.5071,+34.145,+872.061,+736.861,+154.358,+524.379,+1002.906,1142.200,12,0,0,2.0909,0.1204,2.2112,2279.43,2962.231
240.0,FWD,1337935.4757,6070318.0432,1427878.1542,1337935.5599,6070317.2377,1427877.5071,-84.178,+805.522,+647.090,+255.586,+457.294,+894.558,1036.666,12,0,0,2.0909,0.1203,2.2112,2491.86,3263.051
270.0,FWD,1337935.4098,6070317.9858,1427878.0933,1337935.5599,6070317.2377,1427877.5071,-150.064,+748.131,+586.207,+307.575,+413.800,+812.419,962.215,12,0,0,2.0909,0.1203,2.2112,2402.19,3059.752
300.0,FWD,1337935.3320,6070318.0492,1427878.1681,1337935.5599,6070317.2377,1427877.5071,-227.940,+811.461,+660.992,+397.256,+476.504,+873.194,1071.138,12,0,0,2.0909,0.1203,2.2111,2080.72,2987.933
330.0,FWD,1337935.3534,6070317.9611,1427878.1493,1337935.5599,6070317.2377,1427877.5071,-206.488,+723.391,+642.165,+357.351,+476.499,+789.656,989.094,11,0,0,2.0909,0.1202,2.2111,2091.34,3208.221
360.0,FWD,1337935.3196,6070317.9806,1427878.1396,1337935.5599,6070317.2377,1427877.5071,-240.256,+742.934,+632.547,+394.534,+464.465,+799.002,1004.883,11,0,0,2.0909,0.1202,2.2110,2379.99,3187.024
390.0,FWD,1337935.3094,6070317.9171,1427878.1200,1337935.5599,6070317.2377,1427877.5071,-250.532,+679.437,+612.863,+390.902,+459.758,+731.998,948.684,11,0,0,2.0909,0.1202,2.2110,2439.26,3304.230
420.0,FWD,1337935.3474,6070318.3995,1427878.4129,1337935.5599,6070317.2377,1427877.5071,-212.463,+1161.817,+905.755,+457.553,+637.134,+1264.934,1488.406,11,0,0,2.0909,0.1207,2.2115,2073.03,2850.597
450.0,FWD,1337935.5785,6070319.6963,1427879.4747,1337935.5599,6070317.2377,1427877.5071,+18.581,+2458.621,+1967.552,+511.048,+1375.088,+2786.464,3149.035,11,0,0,2.0909,0.1211,2.2120,2141.89,2333.383
480.0,FWD,1337935.5374,6070319.5297,1427879.4293,1337935.5599,6070317.2377,1427877.5071,-22.506,+2292.031,+1922.202,+515.316,+1369.552,+2609.129,2991.450,12,0,0,2.0909,0.1211,2.2120,3103.46,3255.138
510.0,FWD,1337935.5311,6070319.5136,1427879.4258,1337935.5599,6070317.2377,1427877.5071,-28.807,+2275.906,+1918.702,+517.998,+1369.996,+2591.676,2976.910,12,0,0,2.0909,0.1211,2.2120,2472.72,2836.370
540.0,FWD,1337935.6118,6070319.4680,1427879.4684,1337935.5599,6070317.2377,1427877.5071,+51.905,+2230.272,+1961.336,+429.356,+1417.660,+2574.790,2970.463,12,0,0,2.0909,0.1208,2.2116,2594.13,3010.777
570.0,FWD,1337935.5272,6070318.6687,1427879.1109,1337935.5599,6070317.2377,1427877.5071,-32.736,+1431.023,+1603.843,+339.983,+1249.322,+1716.047,2149.700,12,0,0,2.0909,0.1192,2.2101,3239.86,3526.185
600.0,FWD,1337935.4275,6070318.1869,1427878.8761,1337935.5599,6070317.2377,1427877.5071,-132.425,+949.170,+1368.984,+333.620,+1131.360,+1183.765,1671.101,12,0,0,2.0909,0.1182,2.2091,2886.14,3365.486
