SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.837,-5.582,+52.831,+40.522,-200.002,210.794,11,0,0,2.0909,0.1206,2.2114,2273.88,nan
30.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.837,-5.582,+52.831,+40.522,-200.002,210.794,12,0,0,2.0909,0.1203,2.2111,2618.94,3504.914
60.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.837,-5.582,+52.831,+40.522,-200.002,210.794,12,0,0,2.0909,0.1204,2.2112,2532.35,2875.775
90.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.837,-5.582,+52.831,+40.522,-200.002,210.794,12,0,0,2.0909,0.1204,2.2113,2742.64,2945.859
120.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.837,-5.583,+52.831,+40.522,-200.002,210.794,12,0,0,2.0909,0.1205,2.2113,3483.60,2965.933
150.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.837,-5.583,+52.831,+40.522,-200.003,210.794,12,0,0,2.0909,0.1204,2.2113,2342.56,2970.274
180.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.837,-5.583,+52.831,+40.521,-200.003,210.794,12,0,0,2.0909,0.1204,2.2112,2323.52,3037.860
210.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.837,-5.584,+52.831,+40.521,-200.003,210.794,12,0,0,2.0909,0.1204,2.2112,2279.43,2962.231
240.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.500,-187.838,-5.584,+52.831,+40.521,-200.003,210.794,12,0,0,2.0909,0.1203,2.2112,2491.86,3263.051
270.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.499,-187.838,-5.584,+52.831,+40.520,-200.003,210.795,12,0,0,2.0909,0.1203,2.2112,2402.19,3059.752
300.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.499,-187.838,-5.585,+52.830,+40.520,-200.004,210.795,12,0,0,2.0909,0.1203,2.2111,2080.72,2987.933
330.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.499,-187.838,-5.585,+52.830,+40.520,-200.004,210.795,11,0,0,2.0909,0.1202,2.2111,2091.34,3208.221
360.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.499,-187.838,-5.586,+52.830,+40.519,-200.004,210.795,11,0,0,2.0909,0.1202,2.2110,2379.99,3187.024
390.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.498,-187.839,-5.587,+52.829,+40.518,-200.004,210.795,11,0,0,2.0909,0.1202,2.2110,2439.26,3304.230
420.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.498,-187.839,-5.588,+52.829,+40.518,-200.005,210.795,11,0,0,2.0909,0.1207,2.2115,2073.03,2850.597
450.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.497,-187.840,-5.589,+52.828,+40.516,-200.006,210.795,11,0,0,2.0909,0.1211,2.2120,2141.89,2333.383
480.0,RTS,1337935.4644,6070317.0499,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.496,-187.847,-5.615,+52.826,+40.493,-200.019,210.803,12,0,0,2.0909,0.1211,2.2120,3103.46,3255.138
510.0,RTS,1337935.4644,6070317.0498,1427877.5015,1337935.5599,6070317.2377,1427877.5071,-95.495,-187.857,-5.648,+52.823,+40.463,-200.036,210.812,12,0,0,2.0909,0.1211,2.2120,2472.72,2836.370
540.0,RTS,1337935.4644,6070317.0498,1427877.5014,1337935.5599,6070317.2377,1427877.5071,-95.495,-187.868,-5.681,+52.820,+40.432,-200.053,210.821,12,0,0,2.0909,0.1208,2.2116,2594.13,3010.777
570.0,RTS,1337935.4644,6070317.0498,1427877.5014,1337935.5599,6070317.2377,1427877.5071,-95.494,-187.878,-5.716,+52.817,+40.401,-200.070,210.831,12,0,0,2.0909,0.1192,2.2101,3239.86,3526.185
600.0,RTS,1337935.4644,6070317.0498,1427877.5013,1337935.5599,6070317.2377,1427877.5071,-95.493,-187.889,-5.753,+52.813,+40.367,-200.089,210.842,12,0,0,2.0909,0.1182,2.2091,2886.14,3365.486
630.0,RTS,1337935.4644,6070317.0498,1427877.5013,1337935.5599,6070317.2377,1427877.5071,-95.492,-187.900,-5.791,+52.810,+40.332,-200.108,210.852,12,0,0,2.0909,0.1183,2.2092,2536.92,3031.066
660.0,RTS,1337935.4644,6070317.0498,1427877.5013,1337935.5599,6070317.2377,1427877.5071,-95.491,-187.911,-5.830,+52.807,+40.297,-200.127,210.863,11,0,0,2.0909,0.1183,2.2092,2377.37,3208.053
690.0,RTS,1337935.4644,6070317.0498,1427877.5012,1337935.5599,6070317.2377,1427877.5071,-95.490,-187.923,-5.868,+52.804,+40.263,-200.146,210.874,11,0,0,2.0909,0.1184,2.2093,2313.06,3249.117
720.0,RTS,1337935.4644,6070317.0498,1427877.5012,1337935.5599,6070317.2377,1427877.5071,-95.490,-187.934,-5.906,+52.800,+40.228,-200.166,210.885,11,0,0,2.0909,0.1185,2.2093,2603.75,3180.560
750.0,RTS,1337935.4644,6070317.0498,1427877.5012,1337935.5599,6070317.2377,1427877.5071,-95.489,-187.946,-5.945,+52.797,+40.192,-200.185,210.896,11,0,0,2.0909,0.1186,2.2095,2540.09,3256.903
780.0,RTS,1337935.4644,6070317.0497,1427877.5011,1337935.5599,6070317.2377,1427877.5071,-95.488,-187.957,-5.984,+52.794,+40.157,-200.204,210.907,11,0,0,2.0909,0.1187,2.2095,2694.42,3274.656
810.0,RTS,1337935.4644,6070317.0497,1427877.5011,1337935.5599,6070317.2377,1427877.5071,-95.487,-187.968,-6.023,+52.791,+40.122,-200.224,210.917,11,0,0,2.0909,0.1188,2.2096,2537.53,3177.206
840.0,RTS,1337935.4644,6070317.0497,1427877.5010,1337935.5599,6070317.2377,1427877.5071,-95.486,-187.980,-6.062,+52.787,+40.086,-200.243,210.928,11,0,0,2.0909,0.1188,2.2097,2360.83,3272.731
870.0,RTS,1337935.4644,6070317.0497,1427877.5010,1337935.5599,6070317.2377,1427877.5071,-95.485,-187.991,-6.101,+52.784,+40.051,-200.262,210.939,11,0,0,2.0909,0.1190,2.2098,2324.47,3155.836
900.0,RTS,1337935.4644,6070317.0497,1427877.5010,1337935.5599,6070317.2377,1427877.5071,-95.484,-188.002,-6.141,+52.781,+40.014,-200.282,210.950,11,2,0,2.0909,0.1190,2.2099,2085.70,3304.145
930.0,RTS,1337935.4644,6070317.0497,1427877.5009,1337935.5599,6070317.2377,1427877.5071,-95.483,-188.013,-6.181,+52.777,+39.977,-200.301,210.960,11,2,0,2.0909,0.1191,2.2099,2490.75,3571.530
960.0,RTS,1337935.4644,6070317.0497,1427877.5009,1337935.5599,6070317.2377,1427877.5071,-95.482,-188.025,-6.221,+52.774,+39.941,-200.321,210.971,11,2,0,2.0909,0.1191,2.2100,2689.84,3316.289
990.0,RTS,1337935.4644,6070317.0497,1427877.5008,1337935.5599,6070317.2377,1427877.5071,-95.481,-188.036,-6.261,+52.770,+39.904,-200.340,210.982,12,2,0,2.0909,0.1192,2.2100,2838.52,3396.347
1020.0,RTS,1337935.4644,6070317.0497,1427877.5008,1337935.5599,6070317.2377,1427877.5071,-95.480,-188.047,-6.301,+52.767,+39.867,-200.360,210.993,12,2,0,2.0909,0.1192,2.2100,2751.68,3138.106
1050.0,RTS,1337935.4644,6070317.0496,1427877.5008,1337935.5599,6070317.2377,1427877.5071,-95.479,-188.058,-6.342,+52.764,+39.830,-200.380,211.003,12,2,0,2.0909,0.1192,2.2100,3018.95,3155.544
1080.0,RTS,1337935.4644,6070317.0496,1427877.5007,1337935.5599,6070317.2377,1427877.5071,-95.478,-188.070,-6.382,+52.760,+39.793,-200.399,211.014,14,2,0,2.0909,0.1192,2.2101,2553.28,3773.215
1110.0,RTS,1337935.4644,6070317.0496,1427877.5007,1337935.5599,6070317.2377,1427877.5071,-95.477,-188.081,-6.423,+52.757,+39.756,-200.419,211.025,14,2,0,2.0909,0.1193,2.2101,2081.60,3569.978
1140.0,RTS,1337935.4644,6070317.0496,1427877.5006,1337935.5599,6070317.2377,1427877.5071,-95.476,-188.092,-6.463,+52.754,+39.719,-200.439,211.036,14,2,0,2.0909,0.1199,2.2107,2623.19,4155.740
1170.0,RTS,1337935.4644,6070317.0496,1427877.5006,1337935.5599,6070317.2377,1427877.5071,-95.476,-188.104,-6.505,+52.750,+39.681,-200.459,211.047,14,2,0,2.0909,0.1199,2.2108,3020.82,4315.563
1200.0,RTS,1337935.4644,6070317.0496,1427877.5006,1337935.5599,6070317.2377,1427877.5071,-95.475,-188.115,-6.547,+52.747,+39.643,-200.479,211.058,14,2,0,2.0909,0.1199,2.2108,4064.26,4155.089
1230.0,RTS,1337935.4644,6070317.0496,1427877.5005,1337935.5599,6070317.2377,1427877.5071,-95.474,-188.126,-6.589,+52.744,+39.604,-200.499,211.069,14,2,0,2.0909,0.1200,2.2108,2752.68,4314.177
1260.0,RTS,1337935.4644,6070317.0496,1427877.5005,1337935.5599,6070317.2377,1427877.5071,-95.473,-188.138,-6.631,+52.740,+39.566,-200.519,211.080,14,2,0,2.0909,0.1200,2.2108,2818.82,4300.267
1290.0,RTS,1337935.4644,6070317.0496,1427877.5004,1337935.5599,6070317.2377,1427877.5071,-95.472,-188.149,-6.673,+52.737,+39.527,-200.539,211.091,14,2,0,2.0909,0.1214,2.2122,2152.30,6772.537
1320.0,RTS,1337935.4644,6070317.0495,1427877.5004,1337935.5599,6070317.2377,1427877.5071,-95.471,-188.160,-6.714,+52.734,+39.490,-200.559,211.102,14,2,0,2.0909,0.1222,2.2131,2425.70,8870.495
1350.0,RTS,1337935.4644,6070317.0495,1427877.5003,1337935.5599,6070317.2377,1427877.5071,-95.470,-188.172,-6.753,+52.730,+39.454,-200.578,211.113,14,2,0,2.0909,0.1222,2.2131,2467.04,8484.270
1380.0,RTS,1337935.4644,6070317.0495,1427877.5003,1337935.5599,6070317.2377,1427877.5071,-95.468,-188.183,-6.792,+52.726,+39.418,-200.598,211.124,14,2,0,2.0909,0.1222,2.2130,2430.21,8522.534
1410.0,RTS,1337935.4644,6070317.0495,1427877.5003,1337935.5599,6070317.2377,1427877.5071,-95.467,-188.195,-6.832,+52.722,+39.382,-200.617,211.135,14,2,0,2.0909,0.1222,2.2130,2485.76,8525.623
1440.0,RTS,1337935.4644,6070317.0495,1427877.5002,1337935.5599,6070317.2377,1427877.5071,-95.466,-188.206,-6.871,+52.719,+39.346,-200.637,211.146,14,2,0,2.0909,0.1221,2.2130,2730.92,8614.705
1470.0,RTS,1337935.4644,6070317.0495,1427877.5002,1337935.5599,6070317.2377,1427877.5071,-95.465,-188.217,-6.911,+52.715,+39.310,-200.656,211.157,14,2,0,2.0909,0.1221,2.2129,2688.49,8915.747
1500.0,RTS,1337935.4644,6070317.0495,1427877.5001,1337935.5599,6070317.2377,1427877.5071,-95.464,-188.229,-6.951,+52.712,+39.274,-200.676,211.168,14,2,0,2.0909,0.1221,2.2129,3101.67,8648.587
