SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
30.0,FWD,1337935.8847,6070317.7115,1427878.2341,1337935.5599,6070317.2377,1427877.5071,+324.760,+473.798,+727.046,-215.168,+588.352,+682.711,926.579,4,0,0,2.0909,0.2001,2.2909,1079.94,1079.954
60.0,FWD,1337936.5826,6070318.5735,1427878.8345,1337935.5599,6070317.2377,1427877.5071,+1022.655,+1335.775,+1327.374,-711.173,+949.738,+1784.453,2142.904,4,0,0,2.0909,0.2411,2.3319,912.19,751.593
90.0,FWD,1337936.3134,6070317.3241,1427878.1673,1337935.5599,6070317.2377,1427877.5071,+753.547,+86.383,+660.225,-717.291,+587.697,+388.968,1005.580,4,0,0,2.0909,0.3366,2.4274,976.71,942.497
120.0,FWD,1337935.9341,6070316.9102,1427878.0080,1337935.5599,6070317.2377,1427877.5071,+374.191,-327.549,+500.874,-435.922,+541.919,-120.324,705.820,4,0,0,2.0909,0.4318,2.5227,656.67,317.122
150.0,FWD,1337935.8105,6070317.8602,1427878.5180,1337935.5599,6070317.2377,1427877.5071,+250.557,+622.459,+1010.868,-110.706,+835.765,+872.542,1213.297,4,0,0,2.0909,0.2468,2.3376,957.82,743.436
180.0,FWD,1337936.0498,6070319.0825,1427879.0593,1337935.5599,6070317.2377,1427877.5071,+489.923,+1844.755,+1552.222,-81.374,+1082.649,+2207.666,2460.191,4,0,0,2.0909,-0.0888,2.0020,586.37,881.467
210.0,FWD,1337936.1572,6070319.2003,1427879.1653,1337935.5599,6070317.2377,1427877.5071,+597.320,+1962.631,+1658.197,-160.883,+1154.755,+2366.218,2637.865,4,0,0,2.0909,-0.0702,2.0206,770.95,118.108
240.0,FWD,1337936.2027,6070319.2609,1427879.1664,1337935.5599,6070317.2377,1427877.5071,+642.848,+2023.230,+1659.327,-192.300,+1140.313,+2433.678,2694.454,4,0,0,2.0909,-0.1192,1.9716,536.55,38.551
270.0,FWD,1337936.2157,6070319.0901,1427879.0855,1337935.5599,6070317.2377,1427877.5071,+655.834,+1852.371,+1578.368,-241.757,+1098.401,+2255.595,2520.445,4,0,0,2.0909,-0.0892,2.0016,473.29,129.288
300.0,FWD,1337936.1539,6070319.2517,1427879.1595,1337935.5599,6070317.2377,1427877.5071,+594.017,+2014.046,+1652.403,-146.590,+1137.956,+2413.139,2672.017,4,0,0,2.0909,-0.1242,1.9667,592.34,128.686
