SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
30.0,FWD,1337935.8907,6070318.1164,1427878.3939,1337935.5599,6070317.2377,1427877.5071,+330.821,+878.681,+886.817,-133.939,+654.635,+1105.206,1291.498,4,0,0,2.0909,0.1211,2.2120,1327.58,nan
60.0,FWD,1337936.6377,6070319.2736,1427879.1424,1337935.5599,6070317.2377,1427877.5071,+1077.824,+2035.946,+1635.287,-614.344,+1092.999,+2531.576,2825.057,4,0,0,2.0909,0.1206,2.2114,1064.24,585.849
90.0,FWD,1337936.4597,6070318.6093,1427878.7525,1337935.5599,6070317.2377,1427877.5071,+899.800,+1371.643,+1245.366,-583.477,+867.904,+1774.338,2059.607,4,0,0,2.0909,0.1204,2.2112,531.27,1685.372
120.0,FWD,1337936.1576,6070318.6502,1427878.7911,1337935.5599,6070317.2377,1427877.5071,+597.696,+1412.530,+1284.030,-279.654,+911.228,+1758.599,2000.303,4,0,0,2.0909,0.1203,2.2111,620.38,1225.328
150.0,FWD,1337935.8424,6070318.4234,1427878.7308,1337935.5599,6070317.2377,1427877.5071,+282.525,+1185.663,+1223.655,-20.701,+917.608,+1463.050,1727.122,4,0,0,2.0909,0.1202,2.2111,716.82,1206.785
180.0,FWD,1337935.8079,6070318.0905,1427878.6038,1337935.5599,6070317.2377,1427877.5071,+248.033,+852.835,+1096.677,-58.655,+868.800,+1110.538,1411.222,4,0,0,2.0909,0.1202,2.2110,390.69,1001.074
210.0,FWD,1337935.9392,6070317.8459,1427878.4816,1337935.5599,6070317.2377,1427877.5071,+379.259,+608.183,+974.467,-239.464,+797.200,+877.747,1209.673,4,0,0,2.0909,0.1202,2.2110,673.64,1498.348
240.0,FWD,1337935.9379,6070317.5962,1427878.3296,1337935.5599,6070317.2377,1427877.5071,+377.974,+358.510,+822.509,-291.949,+704.147,+605.688,973.609,4,0,0,2.0909,0.1201,2.2110,376.94,1438.733
270.0,FWD,1337935.9852,6070317.5349,1427878.2930,1337935.5599,6070317.2377,1427877.5071,+425.292,+297.193,+785.864,-351.356,+679.641,+549.015,941.690,4,0,0,2.0909,0.1201,2.2110,269.74,1065.344
300.0,FWD,1337935.9330,6070317.4288,1427878.2471,1337935.5599,6070317.2377,1427877.5071,+373.125,+191.113,+739.965,-323.245,+660.793,+426.803,850.468,4,0,0,2.0909,0.1201,2.2110,259.89,1455.731
330.0,FWD,1337935.8485,6070317.1647,1427878.0656,1337935.5599,6070317.2377,1427877.5071,+288.637,-72.957,+558.541,-297.575,+546.235,+116.959,632.931,4,0,0,2.0909,0.1201,2.2110,599.06,1538.293
360.0,FWD,1337935.8960,6070317.1006,1427877.9972,1337935.5599,6070317.2377,1427877.5071,+336.050,-137.133,+490.097,-357.690,+491.371,+50.421,609.861,4,0,0,2.0909,0.1201,2.2109,375.36,1399.295
390.0,FWD,1337935.8894,6070317.1239,1427877.9718,1337935.5599,6070317.2377,1427877.5071,+329.455,-113.795,+464.719,-346.226,+461.831,+65.524,580.907,4,0,0,2.0909,0.1201,2.2109,267.92,1254.799
420.0,FWD,1337935.8234,6070317.1280,1427877.8748,1337935.5599,6070317.2377,1427877.5071,+263.505,-109.701,+367.746,-280.941,+369.648,+33.741,465.517,4,0,0,2.0909,0.1201,2.2109,881.70,1331.723
450.0,FWD,1337935.7214,6070317.2886,1427877.9313,1337935.5599,6070317.2377,1427877.5071,+161.513,+50.920,+424.160,-146.767,+394.217,+177.885,456.717,4,0,0,2.0909,0.1201,2.2109,1080.92,1213.655
