SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
30.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.016,+107.835,-19.454,-284.325,304.709,4,0,0,2.0909,0.1211,2.2120,1327.58,nan
60.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.016,+107.835,-19.454,-284.325,304.709,4,0,0,2.0909,0.1206,2.2114,1064.24,585.849
90.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.016,+107.835,-19.455,-284.325,304.709,4,0,0,2.0909,0.1204,2.2112,531.27,1685.372
120.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.016,+107.835,-19.455,-284.325,304.709,4,0,0,2.0909,0.1203,2.2111,620.38,1225.328
150.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.016,+107.835,-19.455,-284.325,304.709,4,0,0,2.0909,0.1202,2.2111,716.82,1206.785
180.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.016,+107.835,-19.455,-284.325,304.709,4,0,0,2.0909,0.1202,2.2110,390.69,1001.074
210.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.016,+107.835,-19.455,-284.325,304.709,4,0,0,2.0909,0.1202,2.2110,673.64,1498.348
240.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.016,+107.835,-19.455,-284.325,304.709,4,0,0,2.0909,0.1201,2.2110,376.94,1438.733
270.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.030,-83.017,+107.835,-19.455,-284.325,304.709,4,0,0,2.0909,0.1201,2.2110,269.74,1065.344
300.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.988,-243.029,-83.017,+107.835,-19.456,-284.325,304.709,4,0,0,2.0909,0.1201,2.2110,259.89,1455.731
330.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.029,-83.017,+107.835,-19.456,-284.324,304.709,4,0,0,2.0909,0.1201,2.2110,599.06,1538.293
360.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.029,-83.017,+107.835,-19.456,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,375.36,1399.295
390.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.029,-83.018,+107.835,-19.457,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,267.92,1254.799
420.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.029,-83.018,+107.836,-19.457,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,881.70,1331.723
450.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.029,-83.018,+107.836,-19.457,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,1080.92,1213.655
480.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.029,-83.018,+107.836,-19.457,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,629.84,1346.296
510.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.029,-83.019,+107.836,-19.458,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,1100.88,1091.237
540.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.028,-83.019,+107.836,-19.458,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,423.57,1154.727
570.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.028,-83.019,+107.836,-19.458,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,430.29,919.961
600.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.028,-83.020,+107.836,-19.459,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,353.79,1540.622
630.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.028,-83.020,+107.836,-19.459,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,760.29,1162.289
660.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.028,-83.020,+107.836,-19.459,-284.324,304.709,4,0,0,2.0909,0.1201,2.2109,558.41,1330.780
690.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.028,-83.020,+107.836,-19.460,-284.324,304.709,4,0,0,2.0909,0.1200,2.2109,802.48,1363.558
720.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.989,-243.027,-83.021,+107.836,-19.460,-284.324,304.709,4,0,0,2.0909,0.1200,2.2109,712.34,1083.860
750.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.990,-243.027,-83.021,+107.837,-19.460,-284.324,304.709,4,0,0,2.0909,0.1200,2.2109,932.83,1085.451
780.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.990,-243.027,-83.021,+107.837,-19.461,-284.324,304.709,4,0,0,2.0909,0.1200,2.2109,471.43,1120.064
810.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.990,-243.027,-83.022,+107.837,-19.461,-284.323,304.709,4,0,0,2.0909,0.1200,2.2109,390.08,1300.530
840.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.990,-243.027,-83.022,+107.837,-19.461,-284.323,304.709,4,0,0,2.0909,0.1200,2.2109,166.71,1315.230
870.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.990,-243.026,-83.022,+107.837,-19.462,-284.323,304.709,4,0,0,2.0909,0.1200,2.2109,638.35,1283.834
900.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.990,-243.026,-83.023,+107.838,-19.462,-284.323,304.709,4,0,0,2.0909,0.1200,2.2109,705.56,1382.321
930.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.990,-243.026,-83.023,+107.838,-19.462,-284.323,304.709,4,0,0,2.0909,0.1200,2.2109,410.25,1539.255
960.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.026,-83.023,+107.838,-19.463,-284.323,304.709,4,0,0,2.0909,0.1200,2.2109,1018.88,1179.397
990.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.026,-83.024,+107.838,-19.463,-284.323,304.709,4,0,0,2.0909,0.1200,2.2109,395.65,1139.910
1020.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.025,-83.024,+107.838,-19.464,-284.323,304.708,4,0,0,2.0909,0.1200,2.2109,669.35,1381.966
1050.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.025,-83.024,+107.838,-19.464,-284.322,304.708,4,0,0,2.0909,0.1200,2.2109,366.32,1351.689
1080.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.025,-83.025,+107.838,-19.464,-284.322,304.708,4,0,0,2.0909,0.1200,2.2109,607.87,1461.141
1110.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.025,-83.025,+107.838,-19.465,-284.322,304.708,4,0,0,2.0909,0.1200,2.2109,530.74,1314.348
1140.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.024,-83.026,+107.839,-19.465,-284.322,304.708,4,0,0,2.0909,0.1200,2.2109,459.03,1215.421
1170.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.024,-83.026,+107.839,-19.466,-284.322,304.708,4,0,0,2.0909,0.1200,2.2109,932.47,1297.350
1200.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.024,-83.026,+107.839,-19.466,-284.322,304.708,4,0,0,2.0909,0.1200,2.2109,898.37,962.122
1230.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.023,-83.027,+107.839,-19.466,-284.322,304.708,4,0,0,2.0909,0.1200,2.2109,781.61,1027.863
1260.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.023,-83.027,+107.839,-19.467,-284.321,304.708,4,0,0,2.0909,0.1200,2.2109,1003.07,1025.545
1290.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.023,-83.027,+107.839,-19.467,-284.321,304.708,4,0,0,2.0909,0.1200,2.2109,497.29,1318.067
1320.0,RTS,1337935.3959,6070316.9947,1427877.4241,1337935.5599,6070317.2377,1427877.5071,-163.991,-243.023,-83.028,+107.839,-19.468,-284.321,304.708,4,0,0,2.0909,0.1200,2.2109,809.28,1285.878
