SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,1337935.7304,6070319.8156,1427877.0485,1337935.5599,6070317.2377,1427877.5071,+170.463,+2577.922,-458.616,+388.405,-1022.310,+2385.182,2623.941,8,0,0,2.0909,0.1643,2.2552,2049.46,1620.356
30.0,FWD,1337935.0386,6070318.0562,1427877.3755,1337935.5599,6070317.2377,1427877.5071,-521.345,+818.545,-131.643,+685.309,-283.079,+639.815,979.360,8,0,0,2.0909,0.1829,2.2737,1689.18,1075.226
60.0,FWD,1337935.1573,6070317.5004,1427877.9891,1337935.5599,6070317.2377,1427877.5071,-402.637,+262.725,+481.954,+449.749,+431.281,+274.124,680.750,8,0,0,2.0909,0.2022,2.2931,2351.82,504.799
90.0,FWD,1337935.1159,6070316.7513,1427878.2283,1337935.5599,6070317.2377,1427877.5071,-444.008,-486.387,+721.244,+328.911,+831.251,-393.380,976.682,8,0,0,2.0909,0.2040,2.2948,2907.34,444.978
120.0,FWD,1337934.9956,6070317.0721,1427877.9877,1337935.5599,6070317.2377,1427877.5071,-564.263,-165.601,+480.553,+515.393,+531.998,-167.616,759.439,8,0,0,2.0909,0.2152,2.3061,3562.08,234.453
150.0,FWD,1337935.0575,6070317.7670,1427877.8264,1337935.5599,6070317.2377,1427877.5071,-502.394,+529.305,+319.257,+604.546,+218.949,+470.185,796.548,8,0,0,2.0909,0.2262,2.3171,1416.03,404.453
180.0,FWD,1337935.3622,6070318.6171,1427877.8898,1337935.5599,6070317.2377,1427877.5071,-197.672,+1379.351,+382.730,+489.930,+78.976,+1357.165,1445.049,8,0,0,2.0909,0.2494,2.3402,926.11,519.167
210.0,FWD,1337935.5722,6070319.6393,1427877.9691,1337935.5599,6070317.2377,1427877.5071,+12.291,+2401.640,+462.010,+504.926,-78.899,+2391.716,2445.707,8,0,0,2.0909,0.2769,2.3677,1510.42,609.634
240.0,FWD,1337935.6603,6070320.4982,1427878.0248,1337935.5599,6070317.2377,1427877.5071,+100.406,+3260.478,+517.691,+603.733,-217.893,+3239.881,3302.848,8,0,0,2.0909,0.3067,2.3976,1950.52,505.283
270.0,FWD,1337935.7380,6070321.1684,1427878.1550,1337935.5599,6070317.2377,1427877.5071,+178.063,+3930.663,+647.871,+672.147,-242.287,+3923.145,3987.675,8,0,0,2.0909,0.3328,2.4237,1889.29,409.137
300.0,FWD,1337935.7858,6070321.7322,1427878.3197,1337935.5599,6070317.2377,1427877.5071,+225.867,+4494.461,+812.565,+746.816,-208.199,+4506.704,4572.905,8,0,0,2.0909,0.3417,2.4325,1311.95,356.307
330.0,FWD,1337935.9002,6070321.9832,1427878.4207,1337935.5599,6070317.2377,1427877.5071,+340.332,+4745.512,+913.563,+689.069,-170.587,+4792.326,4844.616,7,0,0,2.0909,0.3467,2.4375,1605.22,184.468
360.0,FWD,1337935.8576,6070322.0703,1427878.4796,1337935.5599,6070317.2377,1427877.5071,+297.730,+4832.604,+972.507,+749.419,-130.256,+4879.536,4938.469,7,0,0,2.0909,0.3473,2.4381,1877.38,75.535
390.0,FWD,1337935.8693,6070321.9657,1427878.4685,1337935.5599,6070317.2377,1427877.5071,+309.435,+4727.961,+961.428,+715.465,-118.593,+4779.933,4834.637,7,0,0,2.0909,0.3387,2.4296,2103.36,64.483
420.0,FWD,1337935.8198,6070321.8285,1427878.4527,1337935.5599,6070317.2377,1427877.5071,+259.858,+4590.808,+945.570,+734.359,-101.461,+4635.469,4694.374,7,0,0,2.0909,0.3296,2.4204,1487.89,87.566
450.0,FWD,1337935.7845,6070321.5828,1427878.4146,1337935.5599,6070317.2377,1427877.5071,+224.553,+4345.127,+907.506,+715.956,-82.778,+4385.736,4444.561,7,0,0,2.0909,0.3129,2.4038,1765.61,154.473
480.0,FWD,1337935.7092,6070321.2503,1427878.3617,1337935.5599,6070317.2377,1427877.5071,+149.283,+4012.620,+854.625,+717.893,-57.487,+4041.672,4105.337,8,0,0,2.0909,0.3022,2.3930,3346.18,200.931
