SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,1337935.9961,6070320.2642,1427877.0421,1337935.5599,6070317.2377,1427877.5071,+436.160,+3026.534,-465.010,+225.495,-1140.133,+2866.291,3092.956,8,0,0,2.0909,0.1207,2.2115,2404.52,nan
30.0,FWD,1337935.3614,6070318.7637,1427877.3852,1337935.5599,6070317.2377,1427877.5071,-198.490,+1525.956,-121.854,+522.285,-444.851,+1382.792,1543.628,8,0,0,2.0909,0.1204,2.2112,1419.67,1951.180
60.0,FWD,1337935.5449,6070318.4708,1427878.0582,1337935.5599,6070317.2377,1427877.5071,-14.997,+1233.058,+551.074,+280.049,+266.321,+1294.212,1350.681,8,0,0,2.0909,0.1204,2.2113,2132.31,1057.641
90.0,FWD,1337935.6549,6070318.4147,1427878.3643,1337935.5599,6070317.2377,1427877.5071,+94.982,+1177.001,+857.172,+160.582,+571.550,+1332.907,1459.143,8,0,0,2.0909,0.1205,2.2113,2433.23,989.093
120.0,FWD,1337935.4821,6070318.5609,1427878.1680,1337935.5599,6070317.2377,1427877.5071,-77.840,+1323.195,+660.948,+360.820,+356.585,+1391.550,1481.133,8,0,0,2.0909,0.1205,2.2114,3493.12,1232.994
150.0,FWD,1337935.4308,6070318.6878,1427878.0213,1337935.5599,6070317.2377,1427877.5071,-129.111,+1450.109,+514.199,+438.207,+188.171,+1468.487,1543.984,8,0,0,2.0909,0.1205,2.2113,1363.05,1216.229
180.0,FWD,1337935.5130,6070318.4687,1427878.0645,1337935.5599,6070317.2377,1427877.5071,-46.932,+1230.983,+557.410,+310.789,+274.500,+1286.968,1352.120,8,0,0,2.0909,0.1204,2.2113,596.66,1317.374
210.0,FWD,1337935.5242,6070318.4566,1427878.0540,1337935.5599,6070317.2377,1427877.5071,-35.716,+1218.919,+546.866,+297.239,+266.338,+1275.467,1336.451,8,0,0,2.0909,0.1204,2.2113,1415.13,1158.308
240.0,FWD,1337935.3940,6070318.1338,1427878.1704,1337935.5599,6070317.2377,1427877.5071,-165.948,+896.121,+663.328,+354.940,+457.146,+967.270,1127.198,8,0,0,2.0909,0.1188,2.2096,1431.06,1501.002
270.0,FWD,1337935.2885,6070318.0970,1427878.0767,1337935.5599,6070317.2377,1427877.5071,-271.407,+859.345,+569.607,+450.011,+379.041,+889.047,1066.109,8,0,0,2.0909,0.1189,2.2097,879.25,1710.045
300.0,FWD,1337935.1907,6070318.1729,1427878.1567,1337935.5599,6070317.2377,1427877.5071,-369.230,+935.209,+649.648,+561.870,+445.075,+958.749,1197.075,8,0,0,2.0909,0.1190,2.2099,1058.24,1218.414
330.0,FWD,1337935.2380,6070318.1138,1427878.1738,1337935.5599,6070317.2377,1427877.5071,-321.910,+876.072,+666.749,+502.931,+472.454,+916.259,1147.032,7,0,0,2.0909,0.1191,2.2100,673.06,1458.255
360.0,FWD,1337935.1719,6070318.1341,1427878.1650,1337935.5599,6070317.2377,1427877.5071,-388.030,+896.448,+657.908,+571.887,+462.563,+919.788,1177.722,7,0,0,2.0909,0.1191,2.2100,1258.47,1433.858
390.0,FWD,1337935.1488,6070318.0131,1427878.1508,1337935.5599,6070317.2377,1427877.5071,-411.125,+775.400,+643.705,+568.386,+476.480,+796.573,1088.405,7,0,0,2.0909,0.1192,2.2101,1055.21,1489.068
420.0,FWD,1337935.1023,6070317.9582,1427878.1644,1337935.5599,6070317.2377,1427877.5071,-457.600,+720.492,+657.278,+601.953,+504.040,+737.643,1077.275,7,0,0,2.0909,0.1193,2.2101,697.60,1392.158
450.0,FWD,1337935.1207,6070317.8740,1427878.1430,1337935.5599,6070317.2377,1427877.5071,-439.222,+636.282,+635.940,+565.881,+500.888,+656.568,1001.095,7,0,0,2.0909,0.1193,2.2102,722.51,1724.842
480.0,FWD,1337935.1038,6070317.7604,1427878.1742,1337935.5599,6070317.2377,1427877.5071,-456.108,+522.669,+667.106,+557.917,+557.069,+551.952,962.418,8,0,0,2.0909,0.1194,2.2103,3196.88,1594.620
510.0,FWD,1337935.1375,6070317.7567,1427878.1673,1337935.5599,6070317.2377,1427877.5071,-422.430,+518.962,+660.217,+524.230,+549.540,+553.935,940.030,8,0,0,2.0909,0.1194,2.2103,1559.57,1283.129
540.0,FWD,1337935.2228,6070317.7354,1427878.1178,1337935.5599,6070317.2377,1427877.5071,-337.147,+497.701,+610.749,+436.370,+501.886,+540.445,856.965,8,0,0,2.0909,0.1195,2.2103,1183.60,1507.967
570.0,FWD,1337935.2837,6070317.6979,1427878.0661,1337935.5599,6070317.2377,1427877.5071,-276.167,+460.163,+559.020,+368.739,+456.789,+505.862,774.933,8,0,0,2.0909,0.1195,2.2103,1534.19,1742.581
600.0,FWD,1337935.2739,6070317.7119,1427878.0328,1337935.5599,6070317.2377,1427877.5071,-286.021,+474.206,+525.711,+381.385,+421.724,+509.652,763.578,8,0,0,2.0909,0.1195,2.2103,2045.04,1325.833
630.0,FWD,1337935.2635,6070317.7733,1427878.0348,1337935.5599,6070317.2377,1427877.5071,-296.356,+535.589,+527.734,+404.690,+410.691,+566.343,808.199,8,0,0,2.0909,0.1195,2.2103,1162.81,1390.073
660.0,FWD,1337935.2397,6070317.9147,1427878.0726,1337935.5599,6070317.2377,1427877.5071,-320.184,+676.985,+565.521,+458.393,+417.550,+704.391,938.424,7,0,0,2.0909,0.1195,2.2104,1326.51,1383.269
690.0,FWD,1337935.2486,6070317.9922,1427878.0763,1337935.5599,6070317.2377,1427877.5071,-311.321,+754.528,+569.247,+466.429,+403.689,+780.868,995.125,7,0,0,2.0909,0.1195,2.2104,1043.22,1496.220
720.0,FWD,1337935.2490,6070317.9283,1427878.0638,1337935.5599,6070317.2377,1427877.5071,-310.872,+690.648,+556.672,+452.240,+405.471,+717.351,939.958,7,0,0,2.0909,0.1195,2.2104,1266.11,1464.400
750.0,FWD,1337935.2590,6070317.8550,1427878.0324,1337935.5599,6070317.2377,1427877.5071,-300.936,+617.322,+525.335,+426.755,+390.592,+642.608,864.654,7,0,0,2.0909,0.1196,2.2104,913.83,1563.853
780.0,FWD,1337935.2562,6070317.8050,1427878.0702,1337935.5599,6070317.2377,1427877.5071,-303.725,+567.266,+563.098,+418.705,+438.533,+602.905,855.055,7,0,0,2.0909,0.1196,2.2104,1831.84,1545.614
810.0,FWD,1337935.2341,6070317.7174,1427878.0794,1337935.5599,6070317.2377,1427877.5071,-325.778,+479.720,+572.322,+421.397,+467.852,+517.063,814.749,7,0,0,2.0909,0.1196,2.2104,1696.99,1432.427
840.0,FWD,1337935.2191,6070317.6975,1427878.0888,1337935.5599,6070317.2377,1427877.5071,-340.775,+459.800,+581.675,+431.755,+482.075,+497.072,816.021,7,0,0,2.0909,0.1196,2.2105,1016.44,1538.314
870.0,FWD,1337935.1809,6070317.6373,1427878.1354,1337935.5599,6070317.2377,1427877.5071,-379.030,+399.594,+628.334,+456.155,+542.636,+442.280,835.549,7,0,0,2.0909,0.1196,2.2105,1496.74,1409.403
900.0,FWD,1337935.1721,6070317.6222,1427878.1699,1337935.5599,6070317.2377,1427877.5071,-387.808,+384.518,+662.839,+461.482,+579.997,+433.869,858.839,7,2,0,2.0909,0.1196,2.2105,896.04,1594.436
