hour,epochs,meanE_mm,meanN_mm,meanU_mm,rmsU_mm,meanZWD_m,meanNsat,NL_frac_percent
0,120,114.700,-39.238,819.897,1494.872,0.145889,8.667,50.000
1,120,-212.773,17.676,-21.628,38.948,0.070565,7.058,100.000
2,120,-280.539,-15.393,-89.093,100.157,0.036357,7.258,100.000
3,120,-218.013,29.770,-258.471,259.736,0.075810,8.067,100.000
4,120,-138.715,86.327,-308.359,308.420,0.154577,9.808,100.000
5,120,-26.010,109.532,-268.227,270.186,0.184103,9.442,100.000
6,120,96.839,109.293,-240.654,247.665,0.223471,9.225,100.000
7,120,121.410,7.779,-43.714,63.654,0.085067,8.800,100.000
8,120,94.761,-30.875,-260.499,262.468,0.186658,9.150,100.000
9,120,40.796,-28.172,-211.897,214.170,0.173594,9.317,100.000
10,120,21.160,-25.024,-97.483,100.822,0.138742,9.042,100.000
11,120,-21.923,-11.293,-62.886,66.463,0.122351,7.692,100.000
12,120,-32.728,0.651,-64.026,64.746,0.108234,8.075,100.000
13,120,-17.853,-3.836,-86.950,87.210,0.105510,9.633,100.000
14,120,27.065,-29.147,-109.726,125.320,0.102546,8.350,100.000
15,120,25.352,12.814,-351.488,354.131,0.137722,7.692,100.000
16,120,32.616,48.922,-379.983,380.477,0.152994,7.217,100.000
17,120,41.772,33.358,-338.407,338.441,0.196557,7.225,100.000
18,120,64.678,4.519,-260.269,261.162,0.195899,6.700,100.000
19,120,52.534,3.200,-238.975,240.899,0.200101,8.542,100.000
20,120,66.864,0.549,-185.901,186.120,0.142607,8.858,100.000
21,120,72.650,-24.483,-213.771,214.510,0.155264,7.958,100.000
22,120,58.118,-36.818,-146.204,150.920,0.141358,9.242,100.000
23,120,16.953,-57.218,-41.098,42.659,0.123769,8.075,100.000
