SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,1337935.7919,6070319.7285,1427878.3044,1337935.5599,6070317.2377,1427877.5071,+232.027,+2490.765,+797.302,+309.524,+217.506,+2598.139,2625.536,10,0,0,2.0909,0.1209,2.2117,2237.05,nan
30.0,FWD,1337935.3268,6070318.6384,1427878.1526,1337935.5599,6070317.2377,1427877.5071,-233.100,+1400.727,+645.549,+529.129,+332.052,+1429.290,1559.841,10,0,0,2.0909,0.1206,2.2114,2608.48,nan
60.0,FWD,1337935.5572,6070318.2639,1427878.2834,1337935.5599,6070317.2377,1427877.5071,-2.748,+1026.165,+776.323,+223.556,+530.708,+1150.683,1286.740,10,0,0,2.0909,0.1205,2.2114,2498.32,nan
90.0,FWD,1337935.5509,6070317.8912,1427878.1465,1337935.5599,6070317.2377,1427877.5071,-9.031,+653.480,+639.446,+149.475,+479.657,+763.935,914.336,10,0,0,2.0909,0.1204,2.2113,2181.76,214.727
120.0,FWD,1337935.2332,6070317.4928,1427877.6834,1337935.5599,6070317.2377,1427877.5071,-326.708,+255.087,+176.283,+373.956,+131.467,+213.909,450.426,10,0,0,2.0909,0.1204,2.2112,2666.66,585.849
150.0,FWD,1337935.0983,6070317.4586,1427877.5885,1337935.5599,6070317.2377,1427877.5071,-461.622,+220.899,+81.436,+498.349,+53.125,+131.718,518.192,10,0,0,2.0909,0.1203,2.2112,2142.68,269.178
180.0,FWD,1337935.1794,6070317.3120,1427877.6451,1337935.5599,6070317.2377,1427877.5071,-380.462,+74.266,+138.036,+387.529,+136.597,+21.976,411.486,10,0,0,2.0909,0.1203,2.2111,2399.74,279.742
210.0,FWD,1337935.1934,6070317.2883,1427877.5978,1337935.5599,6070317.2377,1427877.5071,-366.457,+50.636,+90.727,+368.767,+95.024,-8.229,380.902,10,0,0,2.0909,0.1203,2.2111,2266.93,288.414
240.0,FWD,1337935.0535,6070317.2518,1427877.4894,1337935.5599,6070317.2377,1427877.5071,-506.446,+14.138,-17.713,+497.619,+4.192,-96.744,506.953,10,0,0,2.0909,0.1203,2.2111,2503.74,432.685
270.0,FWD,1337935.0083,6070317.2514,1427877.4813,1337935.5599,6070317.2377,1427877.5071,-551.612,+13.704,-25.824,+541.633,-1.424,-108.456,552.386,11,0,0,2.0909,0.1202,2.2111,2486.77,341.235
300.0,FWD,1337934.9513,6070317.3770,1427877.6154,1337935.5599,6070317.2377,1427877.5071,-608.624,+139.310,+108.299,+624.344,+104.378,+29.316,633.687,11,0,0,2.0909,0.1202,2.2111,2350.12,324.581
330.0,FWD,1337935.1112,6070317.4234,1427877.8177,1337935.5599,6070317.2377,1427877.5071,-448.702,+185.687,+310.615,+478.152,+283.532,+152.562,576.450,11,0,0,2.0909,0.1201,2.2110,2181.35,275.600
360.0,FWD,1337935.0807,6070317.4627,1427877.8245,1337935.5599,6070317.2377,1427877.5071,-479.229,+224.975,+317.360,+516.420,+282.939,+185.060,617.245,11,0,0,2.0909,0.1201,2.2109,2357.40,205.611
390.0,FWD,1337934.9898,6070317.1918,1427877.6145,1337935.5599,6070317.2377,1427877.5071,-570.052,-45.878,+107.372,+546.816,+142.351,-139.002,581.887,11,0,0,2.0909,0.1200,2.2109,2608.36,396.535
420.0,FWD,1337934.9628,6070317.2194,1427877.6257,1337935.5599,6070317.2377,1427877.5071,-597.094,-18.336,+118.570,+579.152,+148.512,-115.945,609.029,11,0,0,2.0909,0.1200,2.2109,2331.41,269.117
450.0,FWD,1337934.9618,6070317.1861,1427877.6212,1337935.5599,6070317.2377,1427877.5071,-598.103,-51.597,+114.118,+572.978,+151.542,-148.805,611.074,11,0,0,2.0909,0.1200,2.2109,2464.27,286.027
480.0,FWD,1337934.9452,6070317.0201,1427877.5909,1337935.5599,6070317.2377,1427877.5071,-614.666,-217.637,+83.820,+553.414,+159.360,-317.084,657.423,11,0,0,2.0909,0.1200,2.2109,2622.95,426.205
510.0,FWD,1337934.9409,6070316.9997,1427877.5924,1337935.5599,6070317.2377,1427877.5071,-618.971,-237.979,+85.294,+553.240,+165.481,-337.009,668.606,11,0,0,2.0909,0.1200,2.2109,2506.91,339.882
540.0,FWD,1337935.0045,6070316.9613,1427877.5620,1337935.5599,6070317.2377,1427877.5071,-555.377,-276.449,+54.896,+482.857,+141.245,-367.124,622.801,11,0,0,2.0909,0.1200,2.2109,2492.62,280.124
570.0,FWD,1337935.0585,6070316.9423,1427877.5447,1337935.5599,6070317.2377,1427877.5071,-501.392,-295.437,+37.630,+426.050,+125.983,-377.759,583.174,11,0,0,2.0909,0.1200,2.2109,2812.42,297.438
600.0,FWD,1337935.0503,6070316.9811,1427877.5403,1337935.5599,6070317.2377,1427877.5071,-509.638,-256.579,+33.177,+442.466,+113.494,-343.521,571.546,12,0,0,2.0909,0.1199,2.2108,2437.22,310.349
630.0,FWD,1337934.9710,6070317.0418,1427877.4506,1337935.5599,6070317.2377,1427877.5071,-588.856,-195.945,-56.479,+532.879,+16.644,-322.644,623.166,12,0,0,2.0909,0.1201,2.2109,2648.55,340.756
660.0,FWD,1337934.9664,6070317.1121,1427877.4711,1337935.5599,6070317.2377,1427877.5071,-593.483,-125.621,-36.015,+552.534,+21.333,-252.093,607.701,11,0,0,2.0909,0.1200,2.2108,2514.03,324.363
690.0,FWD,1337934.9769,6070317.1412,1427877.4751,1337935.5599,6070317.2377,1427877.5071,-582.973,-96.462,-32.012,+548.546,+18.307,-221.244,591.766,11,0,0,2.0909,0.1200,2.2108,2401.54,325.227
720.0,FWD,1337934.9889,6070317.1169,1427877.4656,1337935.5599,6070317.2377,1427877.5071,-571.040,-120.778,-41.542,+531.660,+13.794,-244.025,585.150,11,0,0,2.0909,0.1200,2.2109,2629.31,307.594
750.0,FWD,1337935.0009,6070317.1033,1427877.4742,1337935.5599,6070317.2377,1427877.5071,-559.033,-134.406,-32.939,+517.000,+24.593,-252.535,575.906,11,0,0,2.0909,0.1201,2.2109,2474.44,345.896
780.0,FWD,1337935.0174,6070317.0988,1427877.5452,1337935.5599,6070317.2377,1427877.5071,-542.513,-138.905,+38.102,+499.900,+93.995,-237.345,561.308,11,0,0,2.0909,0.1201,2.2109,2821.74,337.925
810.0,FWD,1337935.0036,6070317.0717,1427877.5469,1337935.5599,6070317.2377,1427877.5071,-556.318,-166.003,+39.828,+507.548,+102.308,-265.633,581.922,11,0,0,2.0909,0.1201,2.2110,2607.74,298.775
840.0,FWD,1337935.0030,6070317.0710,1427877.5474,1337935.5599,6070317.2377,1427877.5071,-556.880,-166.664,+40.317,+507.955,+102.957,-266.270,582.682,11,0,0,2.0909,0.1201,2.2110,2485.36,358.445
870.0,FWD,1337934.9691,6070317.0389,1427877.5576,1337935.5599,6070317.2377,1427877.5071,-590.778,-198.767,+50.458,+534.149,+121.545,-301.637,625.358,11,2,0,2.0909,0.1201,2.2110,2546.58,300.791
900.0,FWD,1337934.9425,6070317.0154,1427877.5667,1337935.5599,6070317.2377,1427877.5071,-617.416,-222.268,+59.557,+555.103,+136.873,-327.534,658.903,11,2,0,2.0909,0.1201,2.2110,2295.69,370.098
930.0,FWD,1337934.9497,6070317.0108,1427877.5646,1337935.5599,6070317.2377,1427877.5071,-610.196,-226.938,+57.465,+547.048,+135.513,-330.934,653.561,11,2,0,2.0909,0.1202,2.2110,2702.74,590.997
960.0,FWD,1337934.9640,6070317.0268,1427877.5607,1337935.5599,6070317.2377,1427877.5071,-595.901,-210.908,+53.576,+536.538,+127.504,-313.562,634.391,11,2,0,2.0909,0.1202,2.2110,2653.43,347.630
990.0,FWD,1337934.9653,6070317.0123,1427877.5589,1337935.5599,6070317.2377,1427877.5071,-594.584,-225.389,+51.750,+532.134,+128.847,-327.474,637.972,12,2,0,2.0909,0.1202,2.2110,3259.65,475.918
1020.0,FWD,1337934.9617,6070317.0468,1427877.5702,1337935.5599,6070317.2377,1427877.5071,-598.161,-190.928,+63.112,+543.046,+132.508,-292.876,631.057,12,2,0,2.0909,0.1201,2.2110,3166.61,350.903
1050.0,FWD,1337934.9778,6070317.0691,1427877.5675,1337935.5599,6070317.2377,1427877.5071,-582.072,-168.634,+60.352,+532.132,+124.133,-268.912,609.005,12,2,0,2.0909,0.1201,2.2110,2900.85,293.872
1080.0,FWD,1337934.9819,6070317.0850,1427877.5700,1337935.5599,6070317.2377,1427877.5071,-578.000,-152.674,+62.885,+531.591,+122.892,-252.303,601.122,14,2,0,2.0909,0.1201,2.2109,2488.47,278.565
1110.0,FWD,1337935.0689,6070317.3677,1427877.6031,1337935.5599,6070317.2377,1427877.5071,-490.985,+129.982,+96.029,+507.454,+88.770,+42.345,516.898,14,2,0,2.0909,0.1209,2.2118,2065.79,344.001
1140.0,FWD,1337935.0670,6070317.3572,1427877.6038,1337935.5599,6070317.2377,1427877.5071,-492.908,+119.507,+96.729,+507.077,+91.850,+32.134,516.330,14,2,0,2.0909,0.1209,2.2118,2525.07,255.347
1170.0,FWD,1337935.0652,6070317.3457,1427877.6029,1337935.5599,6070317.2377,1427877.5071,-494.670,+108.025,+95.801,+506.326,+93.559,+20.630,515.311,14,2,0,2.0909,0.1210,2.2118,2823.57,318.957
1200.0,FWD,1337935.1684,6070317.2088,1427877.5100,1337935.5599,6070317.2377,1427877.5071,-391.454,-28.944,+2.885,+376.049,+28.163,-108.979,392.534,14,2,0,2.0909,0.1214,2.2122,3979.97,321.017
1230.0,FWD,1337935.1477,6070317.1966,1427877.5179,1337935.5599,6070317.2377,1427877.5071,-412.195,-41.084,+10.769,+393.690,+39.522,-123.102,414.377,14,2,0,2.0909,0.1214,2.2122,2637.48,375.689
1260.0,FWD,1337935.1472,6070317.1998,1427877.5198,1337935.5599,6070317.2377,1427877.5071,-412.664,-37.854,+12.743,+394.844,+40.757,-119.683,414.592,14,2,0,2.0909,0.1214,2.2122,2954.93,300.690
1290.0,FWD,1337935.1492,6070317.1996,1427877.5212,1337935.5599,6070317.2377,1427877.5071,-410.709,-38.108,+14.148,+392.880,+42.087,-119.199,412.716,14,2,0,2.0909,0.1213,2.2122,2450.99,349.146
1320.0,FWD,1337935.2899,6070317.3400,1427877.4584,1337935.5599,6070317.2377,1427877.5071,-269.958,+102.252,-48.663,+285.639,-56.818,+29.712,292.747,14,2,0,2.0909,0.1206,2.2115,2523.08,301.624
1350.0,FWD,1337935.2906,6070317.3386,1427877.4584,1337935.5599,6070317.2377,1427877.5071,-269.306,+100.899,-48.660,+284.712,-56.549,+28.562,291.675,14,2,0,2.0909,0.1206,2.2115,2361.51,283.768
1380.0,FWD,1337935.2950,6070317.3377,1427877.4583,1337935.5599,6070317.2377,1427877.5071,-264.911,+100.017,-48.836,+280.229,-56.740,+28.605,287.343,14,2,0,2.0909,0.1206,2.2115,2463.32,280.465
1410.0,FWD,1337935.3007,6070317.3357,1427877.4579,1337935.5599,6070317.2377,1427877.5071,-259.235,+98.001,-49.204,+274.253,-56.930,+27.794,281.475,14,2,0,2.0909,0.1206,2.2115,2432.11,525.160
1440.0,FWD,1337935.3041,6070317.3336,1427877.4590,1337935.5599,6070317.2377,1427877.5071,-255.804,+95.932,-48.128,+270.457,-55.592,+26.787,277.408,14,2,0,2.0909,0.1206,2.2115,2744.89,397.592
1470.0,FWD,1337935.3040,6070317.3381,1427877.4609,1337935.5599,6070317.2377,1427877.5071,-255.894,+100.351,-46.241,+271.496,-54.723,+31.398,278.730,14,2,0,2.0909,0.1206,2.2114,2707.30,537.923
1500.0,FWD,1337935.3097,6070317.3370,1427877.4600,1337935.5599,6070317.2377,1427877.5071,-250.207,+99.257,-47.138,+265.706,-55.631,+31.348,273.272,14,2,0,2.0909,0.1206,2.2114,2963.85,568.337
1530.0,FWD,1337935.3150,6070317.3290,1427877.4576,1337935.5599,6070317.2377,1427877.5071,-244.940,+91.323,-49.514,+258.855,-56.456,+24.368,266.058,14,2,0,2.0909,0.1206,2.2115,2613.01,383.183
1560.0,FWD,1337935.3111,6070317.3317,1427877.4598,1337935.5599,6070317.2377,1427877.5071,-248.784,+94.005,-47.331,+263.187,-54.733,+26.605,270.131,14,2,0,2.0909,0.1206,2.2114,2396.50,296.828
1590.0,FWD,1337935.3084,6070317.3341,1427877.4619,1337935.5599,6070317.2377,1427877.5071,-251.456,+96.389,-45.230,+266.309,-53.081,+28.787,273.069,14,2,0,2.0909,0.1206,2.2114,2680.68,332.673
1620.0,FWD,1337935.3019,6070317.3338,1427877.4630,1337935.5599,6070317.2377,1427877.5071,-258.029,+96.142,-44.071,+272.675,-51.578,+27.435,278.863,14,2,0,2.0909,0.1205,2.2114,2974.96,308.821
1650.0,FWD,1337935.3007,6070317.3354,1427877.4643,1337935.5599,6070317.2377,1427877.5071,-259.154,+97.744,-42.841,+274.118,-50.678,+29.000,280.268,14,2,0,2.0909,0.1205,2.2114,3317.69,271.240
1680.0,FWD,1337935.3035,6070317.3365,1427877.4643,1337935.5599,6070317.2377,1427877.5071,-256.423,+98.816,-42.820,+271.681,-51.025,+30.597,278.120,14,2,0,2.0909,0.1205,2.2114,2869.66,278.597
1710.0,FWD,1337935.2971,6070317.3388,1427877.4661,1337935.5599,6070317.2377,1427877.5071,-262.810,+101.136,-40.980,+278.419,-49.434,+31.880,284.565,14,2,0,2.0909,0.1205,2.2114,3293.36,370.351
1740.0,FWD,1337935.2910,6070317.3442,1427877.4695,1337935.5599,6070317.2377,1427877.5071,-268.890,+106.457,-37.612,+285.501,-47.028,+36.426,291.632,14,2,0,2.0909,0.1205,2.2113,2448.66,299.850
1770.0,FWD,1337935.2909,6070317.3465,1427877.4706,1337935.5599,6070317.2377,1427877.5071,-268.978,+108.790,-36.491,+286.089,-46.445,+38.880,292.431,14,2,0,2.0909,0.1204,2.2113,2705.57,350.002
1800.0,FWD,1337935.2955,6070317.3455,1427877.4705,1337935.5599,6070317.2377,1427877.5071,-264.414,+107.819,-36.643,+281.423,-46.601,+38.879,287.893,15,2,0,2.0909,0.1204,2.2113,2837.91,275.086
1830.0,FWD,1337935.2961,6070317.3464,1427877.4720,1337935.5599,6070317.2377,1427877.5071,-263.827,+108.734,-35.053,+281.047,-45.282,+40.231,287.500,15,2,0,2.0909,0.1204,2.2113,2626.26,272.536
1860.0,FWD,1337935.2994,6070317.3330,1427877.4666,1337935.5599,6070317.2377,1427877.5071,-260.502,+95.308,-40.528,+274.911,-47.823,+26.921,280.335,15,2,0,2.0909,0.1205,2.2113,3244.46,309.485
1890.0,FWD,1337935.2979,6070317.3310,1427877.4666,1337935.5599,6070317.2377,1427877.5071,-262.038,+93.279,-40.453,+275.974,-47.229,+24.685,281.072,15,2,0,2.0909,0.1204,2.2113,2795.27,344.755
1920.0,FWD,1337935.2931,6070317.3313,1427877.4668,1337935.5599,6070317.2377,1427877.5071,-266.762,+93.553,-40.331,+280.646,-46.941,+23.983,285.553,14,5,0,2.0909,0.1204,2.2113,2591.06,310.459
