SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,ISB_mm,CodeRMS_mm,PhsRMS_mm
0.0,FWD,1337935.8774,6070320.5457,1427878.1609,1337935.5599,6070317.2377,1427877.5071,+317.527,+3308.018,+653.794,+401.933,-106.279,+3361.310,3386.924,11,0,0,2.0909,-0.4328,1.6580,+3526.962,2667.66,2474.172
30.0,FWD,1337935.4714,6070319.1477,1427878.1058,1337935.5599,6070317.2377,1427877.5071,-88.507,+1909.974,+598.715,+497.535,+167.361,+1933.583,2003.570,12,0,0,2.0909,-0.3495,1.7413,+3018.046,1314.51,835.530
60.0,FWD,1337935.3896,6070317.3181,1427877.9786,1337935.5599,6070317.2377,1427877.5071,-170.319,+80.414,+471.485,+183.635,+449.928,+147.024,507.714,12,0,0,2.0909,0.3067,2.3975,+2725.623,2293.16,1089.653
90.0,FWD,1337935.1896,6070315.9001,1427877.7178,1337935.5599,6070317.2377,1427877.5071,-370.330,-1337.626,+210.691,+73.739,+517.551,-1302.875,1403.844,12,0,0,2.0909,0.6166,2.7075,+2559.945,2520.40,878.052
120.0,FWD,1337934.8757,6070315.3799,1427877.3804,1337935.5599,6070317.2377,1427877.5071,-684.160,-1857.802,-126.690,+268.250,+318.518,-1939.624,1983.823,12,0,0,2.0909,0.8590,2.9498,+2584.923,2890.66,423.034
150.0,FWD,1337934.8858,6070315.9795,1427877.4355,1337935.5599,6070317.2377,1427877.5071,-674.122,-1258.195,-71.577,+387.507,+239.796,-1354.605,1429.202,12,0,0,2.0909,0.8049,2.8958,+2629.193,1127.80,386.534
180.0,FWD,1337935.1527,6070316.7326,1427877.6282,1337935.5599,6070317.2377,1427877.5071,-407.185,-505.122,+121.065,+288.918,+248.841,-538.711,660.004,12,0,0,2.0909,0.8082,2.8990,+2699.125,782.06,504.642
210.0,FWD,1337935.3358,6070317.5906,1427877.7591,1337935.5599,6070317.2377,1427877.5071,-224.123,+352.891,+251.966,+294.826,+178.709,+345.529,488.108,12,0,0,2.0909,0.8620,2.9529,+2675.766,1446.00,542.055
240.0,FWD,1337935.4074,6070318.3329,1427877.8058,1337935.5599,6070317.2377,1427877.5071,-152.540,+1095.181,+298.730,+384.692,+57.473,+1077.330,1145.395,12,0,0,2.0909,0.9009,2.9918,+2742.922,1772.20,443.101
270.0,FWD,1337935.4733,6070318.9286,1427877.8689,1337935.5599,6070317.2377,1427877.5071,-86.602,+1690.872,+361.756,+448.516,-15.389,+1672.128,1731.305,12,0,0,2.0909,0.9262,3.0170,+2829.386,1743.93,360.226
300.0,FWD,1337935.5544,6070319.7663,1427878.0750,1337935.5599,6070317.2377,1427877.5071,-5.545,+2528.552,+567.925,+549.661,-2.766,+2532.590,2591.553,12,0,0,2.0909,0.8243,2.9152,+2796.649,1598.20,533.084
330.0,FWD,1337935.6664,6070320.1698,1427878.1660,1337935.5599,6070317.2377,1427877.5071,+106.541,+2932.086,+658.896,+527.059,-8.361,+2960.534,3007.096,11,0,0,2.0909,0.7687,2.8595,+2772.349,1690.20,265.028
360.0,FWD,1337935.6794,6070320.4328,1427878.2288,1337935.5599,6070317.2377,1427877.5071,+119.473,+3195.114,+721.701,+571.044,-5.671,+3227.655,3277.786,11,0,0,2.0909,0.7128,2.8036,+2756.982,1826.19,174.015
390.0,FWD,1337935.6945,6070320.5371,1427878.2291,1337935.5599,6070317.2377,1427877.5071,+134.622,+3299.350,+721.970,+578.686,-29.079,+3330.068,3380.100,11,0,0,2.0909,0.6458,2.7366,+2747.271,1796.45,63.959
420.0,FWD,1337935.6757,6070320.5796,1427878.2223,1337935.5599,6070317.2377,1427877.5071,+115.798,+3341.930,+715.196,+606.234,-44.134,+3365.107,3419.563,11,1,0,2.0909,0.5884,2.6793,+2726.282,1313.25,33.172
450.0,FWD,1337935.6841,6070320.6035,1427878.2474,1337935.5599,6070317.2377,1427877.5071,+124.187,+3365.798,+740.268,+603.179,-25.366,+3395.224,3448.480,11,4,0,2.0909,0.4997,2.5905,+2723.557,1507.30,28.794
480.0,FWD,1337935.6472,6070320.4558,1427878.2297,1337935.5599,6070317.2377,1427877.5071,+87.280,+3218.063,+722.620,+607.422,-8.264,+3242.945,3299.352,12,4,0,2.0909,0.4385,2.5294,+2714.614,2824.91,93.804
510.0,FWD,1337935.6453,6070320.3178,1427878.2062,1337935.5599,6070317.2377,1427877.5071,+85.419,+3080.141,+699.133,+579.553,-0.710,+3106.037,3159.644,12,4,0,2.0909,0.3785,2.4694,+2705.994,1689.27,89.228
540.0,FWD,1337935.6687,6070320.1652,1427878.1763,1337935.5599,6070317.2377,1427877.5071,+108.820,+2927.527,+669.165,+523.852,+2.537,+2958.988,3005.002,12,4,0,2.0909,0.3134,2.4043,+2718.575,1570.17,100.758
570.0,FWD,1337935.6905,6070320.0253,1427878.1591,1337935.5599,6070317.2377,1427877.5071,+130.622,+2787.569,+651.990,+472.436,+15.542,+2826.527,2865.780,12,4,0,2.0909,0.2472,2.3380,+2758.938,1891.65,90.590
600.0,FWD,1337935.6873,6070319.9555,1427878.1613,1337935.5599,6070317.2377,1427877.5071,+127.389,+2717.789,+654.234,+460.574,+33.238,+2759.962,2798.326,12,4,0,2.0909,0.1713,2.2621,+2734.538,2062.65,50.147
630.0,FWD,1337935.6774,6070319.8798,1427878.1561,1337935.5599,6070317.2377,1427877.5071,+117.486,+2642.146,+648.998,+453.964,+45.261,+2684.736,2723.222,12,4,0,2.0909,0.1050,2.1959,+2728.052,1149.62,54.393
660.0,FWD,1337935.6560,6070319.7767,1427878.1489,1337935.5599,6070317.2377,1427877.5071,+96.112,+2538.957,+641.834,+452.626,+62.023,+2580.460,2620.590,11,4,0,2.0909,0.0621,2.1530,+2720.132,1150.08,69.821
690.0,FWD,1337935.6475,6070319.6769,1427878.1335,1337935.5599,6070317.2377,1427877.5071,+87.625,+2439.166,+626.391,+439.435,+69.345,+2480.255,2519.837,11,4,0,2.0909,0.0269,2.1177,+2726.650,1254.12,68.524
720.0,FWD,1337935.6364,6070319.5456,1427878.1088,1337935.5599,6070317.2377,1427877.5071,+76.491,+2307.869,+601.747,+422.048,+74.764,+2347.445,2386.254,11,4,0,2.0909,0.0102,2.1011,+2733.985,1422.02,87.478
750.0,FWD,1337935.6230,6070319.3641,1427878.0579,1337935.5599,6070317.2377,1427877.5071,+63.051,+2126.420,+550.754,+396.118,+65.658,+2160.497,2197.491,11,4,0,2.0909,0.0122,2.1030,+2742.708,1134.46,124.456
780.0,FWD,1337935.6349,6070319.2575,1427878.0398,1337935.5599,6070317.2377,1427877.5071,+74.999,+2019.833,+532.743,+361.508,+70.983,+2057.532,2090.255,11,4,0,2.0909,-0.0020,2.0888,+2754.744,1739.34,72.524
810.0,FWD,1337935.6394,6070319.0814,1427877.9904,1337935.5599,6070317.2377,1427877.5071,+79.474,+1843.669,+483.258,+319.221,+61.315,+1879.710,1907.609,11,4,0,2.0909,0.0071,2.0980,+2744.238,1625.12,121.856
