SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
0.0,FWD,1337935.9961,6070320.2642,1427877.0421,1337935.5599,6070317.2377,1427877.5071,+436.160,+3026.534,-465.010,+225.495,-1140.134,+2866.291,3092.956,8,0,0,2.0909,0.1207,2.2115,2404.52,nan
30.0,FWD,1337935.3612,6070318.7634,1427877.3854,1337935.5599,6070317.2377,1427877.5071,-198.693,+1525.657,-121.745,+522.419,-444.669,+1382.490,1543.350,8,0,0,2.0909,0.1204,2.2112,1673.90,2390.505
60.0,FWD,1337935.5445,6070318.4701,1427878.0584,1337935.5599,6070317.2377,1427877.5071,-15.413,+1232.446,+551.324,+280.324,+266.720,+1293.599,1350.229,8,0,0,2.0909,0.1204,2.2113,2370.21,1517.384
90.0,FWD,1337935.6542,6070318.4137,1427878.3647,1337935.5599,6070317.2377,1427877.5071,+94.332,+1176.043,+857.610,+161.011,+572.218,+1331.957,1458.585,8,0,0,2.0909,0.1205,2.2113,2725.38,1559.412
120.0,FWD,1337935.4806,6070318.5586,1427878.1672,1337935.5599,6070317.2377,1427877.5071,-79.292,+1320.923,+660.075,+361.749,+356.305,+1388.888,1478.791,8,0,0,2.0909,0.1205,2.2114,3596.93,1644.994
150.0,FWD,1337935.4293,6070318.6855,1427878.0202,1337935.5599,6070317.2377,1427877.5071,-130.616,+1447.834,+513.139,+439.187,+187.712,+1465.767,1541.621,8,0,0,2.0909,0.1205,2.2113,1380.20,1336.221
180.0,FWD,1337935.5117,6070318.4667,1427878.0637,1337935.5599,6070317.2377,1427877.5071,-48.210,+1228.975,+556.626,+311.605,+274.240,+1284.614,1350.014,8,0,0,2.0909,0.1204,2.2113,636.57,1469.795
210.0,FWD,1337935.5230,6070318.4548,1427878.0533,1337935.5599,6070317.2377,1427877.5071,-36.883,+1217.075,+546.194,+297.982,+266.145,+1273.316,1334.526,8,0,0,2.0909,0.1204,2.2113,1435.27,1255.613
240.0,FWD,1337935.3703,6070318.4253,1427877.9543,1337935.5599,6070317.2377,1427877.5071,-189.581,+1187.617,+447.177,+440.761,+183.561,+1190.957,1283.099,8,0,0,2.0909,0.1204,2.2113,1440.24,1430.349
270.0,FWD,1337935.2665,6070318.3662,1427877.8776,1337935.5599,6070317.2377,1427877.5071,-293.385,+1128.455,+370.501,+529.397,+126.909,+1095.623,1223.420,8,0,0,2.0909,0.1204,2.2112,1023.95,1275.208
300.0,FWD,1337935.1704,6070318.4169,1427877.9769,1337935.5599,6070317.2377,1427877.5071,-389.465,+1179.194,+469.791,+634.147,+217.141,+1146.121,1327.737,8,0,0,2.0909,0.1204,2.2112,1149.58,1319.823
330.0,FWD,1337935.2181,6070318.3314,1427878.0060,1337935.5599,6070317.2377,1427877.5071,-341.834,+1093.685,+498.932,+569.227,+262.036,+1081.318,1249.772,7,0,0,2.0909,0.1203,2.2112,729.24,1502.482
360.0,FWD,1337935.1525,6070318.3351,1427878.0067,1337935.5599,6070317.2377,1427877.5071,-407.418,+1097.435,+499.617,+634.081,+265.060,+1071.286,1272.780,7,0,0,2.0909,0.1203,2.2111,1264.43,1379.479
390.0,FWD,1337935.1298,6070318.1960,1427878.0018,1337935.5599,6070317.2377,1427877.5071,-430.121,+958.343,+494.670,+626.313,+291.945,+933.072,1161.087,7,0,0,2.0909,0.1203,2.2111,1083.24,1537.780
420.0,FWD,1337935.0838,6070318.1263,1427878.0238,1337935.5599,6070317.2377,1427877.5071,-476.100,+888.618,+516.671,+656.207,+330.952,+862.047,1132.812,7,0,0,2.0909,0.1202,2.2111,719.71,1397.262
450.0,FWD,1337935.1034,6070318.0319,1427878.0122,1337935.5599,6070317.2377,1427877.5071,-456.525,+794.194,+505.070,+616.767,+339.476,+773.698,1046.066,7,0,0,2.0909,0.1202,2.2111,820.87,1505.335
480.0,FWD,1337935.0872,6070317.9069,1427878.0531,1337935.5599,6070317.2377,1427877.5071,-472.686,+669.215,+545.967,+605.649,+407.604,+660.613,984.562,8,0,0,2.0909,0.1203,2.2111,3237.77,1581.115
510.0,FWD,1337935.1215,6070317.8952,1427878.0524,1337935.5599,6070317.2377,1427877.5071,-438.419,+657.479,+545.302,+569.659,+407.877,+656.482,960.127,8,0,0,2.0909,0.1202,2.2111,1583.86,1191.538
540.0,FWD,1337935.2075,6070317.8670,1427878.0075,1337935.5599,6070317.2377,1427877.5071,-352.442,+629.300,+500.351,+479.632,+366.112,+637.573,877.829,8,0,0,2.0909,0.1202,2.2111,1224.43,1314.848
570.0,FWD,1337935.2693,6070317.8228,1427877.9594,1337935.5599,6070317.2377,1427877.5071,-290.611,+585.114,+452.338,+409.740,+326.058,+597.681,794.621,8,0,0,2.0909,0.1202,2.2111,1670.51,1357.522
600.0,FWD,1337935.2596,6070317.8325,1427877.9301,1337935.5599,6070317.2377,1427877.5071,-300.282,+594.797,+423.032,+421.268,+295.844,+598.263,789.246,8,0,0,2.0909,0.1202,2.2110,2015.19,1305.905
630.0,FWD,1337935.2507,6070317.8868,1427877.9347,1337935.5599,6070317.2377,1427877.5071,-309.236,+649.070,+427.590,+441.694,+288.777,+649.050,836.512,8,0,0,2.0909,0.1202,2.2110,1128.03,1359.187
660.0,FWD,1337935.2270,6070318.0242,1427877.9758,1337935.5599,6070317.2377,1427877.5071,-332.900,+786.485,+468.671,+494.380,+299.714,+784.087,974.183,7,0,0,2.0909,0.1201,2.2110,1312.32,1324.428
690.0,FWD,1337935.2355,6070318.0995,1427877.9833,1337935.5599,6070317.2377,1427877.5071,-324.425,+861.823,+476.192,+502.320,+290.054,+859.240,1036.701,7,0,0,2.0909,0.1201,2.2110,1030.66,1435.769
720.0,FWD,1337935.2363,6070318.0312,1427877.9745,1337935.5599,6070317.2377,1427877.5071,-323.626,+793.472,+467.414,+486.827,+296.503,+792.397,976.118,7,0,0,2.0909,0.1201,2.2110,1280.37,1396.010
750.0,FWD,1337935.2467,6070317.9531,1427877.9460,1337935.5599,6070317.2377,1427877.5071,-313.165,+715.449,+438.851,+459.818,+285.334,+713.920,895.840,7,0,0,2.0909,0.1201,2.2110,903.22,1541.466
780.0,FWD,1337935.2438,6070317.8998,1427877.9884,1337935.5599,6070317.2377,1427877.5071,-316.124,+662.075,+481.319,+451.219,+338.597,+672.086,877.466,7,0,0,2.0909,0.1201,2.2110,1877.19,1544.112
810.0,FWD,1337935.2221,6070317.8080,1427878.0011,1337935.5599,6070317.2377,1427877.5071,-337.802,+570.299,+493.969,+452.636,+372.167,+583.069,826.654,7,0,0,2.0909,0.1201,2.2109,1741.28,1374.524
840.0,FWD,1337935.2083,6070317.7820,1427878.0117,1337935.5599,6070317.2377,1427877.5071,-351.648,+544.346,+504.565,+460.571,+388.872,+557.860,821.313,7,0,0,2.0909,0.1201,2.2109,1010.23,1463.933
870.0,FWD,1337935.1703,6070317.7177,1427878.0617,1337935.5599,6070317.2377,1427877.5071,-389.560,+480.038,+554.565,+483.752,+453.575,+499.989,830.503,7,0,0,2.0909,0.1201,2.2109,1539.38,1380.136
900.0,FWD,1337935.1612,6070317.7016,1427878.1002,1337935.5599,6070317.2377,1427877.5071,-398.738,+463.906,+593.063,+489.243,+495.077,+491.389,852.012,7,2,0,2.0909,0.1201,2.2109,949.09,1564.229
930.0,FWD,1337935.2035,6070317.6738,1427878.1327,1337935.5599,6070317.2377,1427877.5071,-356.399,+436.079,+625.558,+441.907,+530.806,+481.114,841.729,7,2,0,2.0909,0.1201,2.2109,1602.07,1437.783
960.0,FWD,1337935.2327,6070317.7165,1427878.1040,1337935.5599,6070317.2377,1427877.5071,-327.230,+478.764,+596.873,+422.609,+492.053,+521.381,832.198,7,2,0,2.0909,0.1201,2.2109,1440.14,1433.202
990.0,FWD,1337935.2670,6070317.6990,1427878.1542,1337935.5599,6070317.2377,1427877.5071,-292.876,+461.339,+647.112,+385.310,+543.168,+523.325,846.974,8,2,0,2.0909,0.1201,2.2109,2328.77,1858.107
1020.0,FWD,1337935.2788,6070317.8326,1427878.2137,1337935.5599,6070317.2377,1427877.5071,-281.050,+594.948,+706.565,+402.519,+571.120,+666.322,965.498,8,2,0,2.0909,0.1201,2.2109,2551.13,1538.432
1050.0,FWD,1337935.3146,6070317.9112,1427878.1733,1337935.5599,6070317.2377,1427877.5071,-245.277,+673.497,+666.232,+384.492,+512.806,+739.473,978.583,8,2,0,2.0909,0.1201,2.2109,2394.38,1541.891
1080.0,FWD,1337935.3271,6070317.9438,1427878.1635,1337935.5599,6070317.2377,1427877.5071,-232.772,+706.144,+656.415,+379.306,+495.452,+770.945,991.818,10,2,0,2.0909,0.1201,2.2109,1829.98,3375.073
1110.0,FWD,1337935.3352,6070317.9667,1427878.1692,1337935.5599,6070317.2377,1427877.5071,-224.682,+729.019,+662.054,+376.330,+495.521,+795.676,1010.082,10,2,0,2.0909,0.1201,2.2109,907.70,3395.443
1140.0,FWD,1337935.3422,6070317.8842,1427878.1679,1337935.5599,6070317.2377,1427877.5071,-217.687,+646.546,+660.800,+351.748,+512.106,+718.392,949.772,10,2,0,2.0909,0.1201,2.2109,1689.87,3392.055
1170.0,FWD,1337935.3124,6070317.7810,1427878.1410,1337935.5599,6070317.2377,1427877.5071,-247.470,+543.265,+633.900,+358.602,+510.067,+607.819,870.751,10,2,0,2.0909,0.1200,2.2109,1869.68,3431.339
1200.0,FWD,1337935.3016,6070317.7237,1427878.1442,1337935.5599,6070317.2377,1427877.5071,-258.271,+485.953,+637.100,+356.814,+526.319,+551.745,841.873,10,2,0,2.0909,0.1200,2.2109,3648.91,3251.275
1230.0,FWD,1337935.2721,6070317.6779,1427878.1538,1337935.5599,6070317.2377,1427877.5071,-287.780,+440.203,+646.674,+375.784,+547.144,+504.186,833.537,10,2,0,2.0909,0.1200,2.2109,1539.52,3412.242
