sat,sod,epoch,generation,slip_reason,rec_clk_pre_mm,rec_clk_post_mm,dclk_epoch_mm,N_postfit_mm,N_prefit_mm,birth_sigma_mm,old_N_mm,old_sigma_mm,PIF_mm,LIFc_mm,rp_prefit_mm,rp_postfit_mm,code_res_mm,phase_res_mm,elevation_deg,code_rms_mm,phase_rms_mm,cm_ratio,mean_ph_innov_mm,n_accepted_phase,ph_innov_sign_majority,slip_detected_this_epoch,n_sats,classification
G01,0.0,0,1,first_birth,-4906.2302,-1906.2302,3000.0000,5138.4753,8091.4344,20000.0000,nan,nan,23080316001.9244,23080320406.2537,23080312314.8193,23080315267.7784,734.1460,0.0000,25.887,nan,nan,nan,nan,0,0,0,7,CLOCK_DRIVEN
G03,0.0,0,1,first_birth,-4906.2302,-1906.2302,3000.0000,3808.1889,6784.6540,20000.0000,nan,nan,20593472382.7312,20593476690.8677,20593469906.2138,20593472882.6789,-499.9477,0.0000,61.000,nan,nan,nan,nan,0,0,0,7,CLOCK_DRIVEN
G04,0.0,0,1,first_birth,-4906.2302,-1906.2302,3000.0000,4598.7987,7552.0121,20000.0000,nan,nan,23164150913.1904,23164154929.4841,23164147377.4721,23164150330.6855,582.5049,0.0000,26.039,nan,nan,nan,nan,0,0,0,7,CLOCK_DRIVEN
G08,0.0,0,1,first_birth,-4906.2302,-1906.2302,3000.0000,2770.3670,5695.8229,20000.0000,nan,nan,23959730836.8470,23959736311.5249,23959730615.7020,23959733541.1579,-2704.3108,0.0000,15.919,nan,nan,nan,nan,0,0,0,7,CLOCK_DRIVEN
G16,0.0,0,1,first_birth,-4906.2302,-1906.2302,3000.0000,3425.9433,6404.1297,20000.0000,nan,nan,20072622541.3534,20072628313.8660,20072621909.7363,20072624887.9227,-2346.5693,0.0000,70.688,nan,nan,nan,nan,0,0,0,7,CLOCK_DRIVEN
G26,0.0,0,1,first_birth,-4906.2302,-1906.2302,3000.0000,3549.0746,6517.2820,20000.0000,nan,nan,21795457434.4128,21795460623.1161,21795454105.8341,21795457074.0415,360.3713,0.0000,40.319,nan,nan,nan,nan,0,0,0,7,CLOCK_DRIVEN
G27,0.0,0,1,first_birth,-4906.2302,-1906.2302,3000.0000,11687.1787,14632.5286,20000.0000,nan,nan,23497201048.1351,23497211692.9467,23497197060.4181,23497200005.7679,1042.3672,0.0000,22.050,nan,nan,nan,nan,0,0,0,7,CLOCK_DRIVEN
G08,90.0,3,2,rebirth,-851.9912,311.2812,1163.2725,1241.7646,2396.3818,20000.0000,nan,nan,23920746449.4481,23920740481.6430,23920738085.2612,23920739239.8784,7209.5697,0.0000,16.270,nan,nan,nan,282.5160,6,1,1,7,GEOMETRY_DRIVEN
G02,480.0,16,1,first_birth,974.1736,1590.6251,616.4515,8349.0169,8973.6431,20000.0000,nan,nan,24008768756.4857,24008771842.6146,24008762868.9714,24008763493.5976,5262.8881,0.0000,15.230,nan,nan,nan,15.5358,6,0,0,7,GEOMETRY_DRIVEN
G08,990.0,33,3,rebirth,-1059.8305,-889.7079,170.1226,-30.1016,146.8895,20000.0000,nan,nan,23514511839.7925,23514509010.4533,23514508863.5638,23514509040.5549,2799.2376,0.0000,20.013,nan,nan,nan,570.4303,6,1,1,7,GEOMETRY_DRIVEN
